,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-03-01,-37,-27.4,-13,0,Ербогачен
2,1936-03-02,-37,-26.2,-11.6,0,Ербогачен
3,1936-03-03,-36,-25.4,-12.1,0,Ербогачен
4,1936-03-04,-35,-24.1,-12,0,Ербогачен
5,1936-03-05,-34,-23.6,-8.4,0,Ербогачен
6,1936-03-06,-35.5,-23,-9.1,0,Ербогачен
7,1936-03-07,-24.6,-16.7,-8.7,0,Ербогачен
8,1936-03-08,-19.8,-12.8,-6.6,0.4,Ербогачен
9,1936-03-09,-12.9,-9.6,-5.3,0.1,Ербогачен
10,1936-03-10,-20.1,-17.6,-10.3,0.2,Ербогачен
11,1936-03-11,-35,-25.6,-15.2,0,Ербогачен
12,1936-03-12,-37,-26,-13.7,0,Ербогачен
13,1936-03-13,-35,-27.1,-14.1,0,Ербогачен
14,1936-03-14,-33.5,-27.3,-19.4,0,Ербогачен
15,1936-03-15,-38,-25.5,-12.2,0,Ербогачен
16,1936-03-16,-18,-13.9,-8.9,0,Ербогачен
17,1936-03-17,-19.2,-12.5,-5.7,0,Ербогачен
18,1936-03-18,-10.9,-6.7,-1,0,Ербогачен
19,1936-03-19,-12.3,-7.2,-1,0,Ербогачен
20,1936-03-20,-25.8,-16.8,-6.7,0,Ербогачен
21,1936-03-21,-23.6,-18.6,-11.8,0,Ербогачен
22,1936-03-22,-32.1,-22.1,-8.1,0,Ербогачен
23,1936-03-23,-28.8,-13.9,-1.3,0,Ербогачен
24,1936-03-24,-4,-0.9,1.8,3,Ербогачен
25,1936-03-25,-7,-4.2,-0.5,0,Ербогачен
26,1936-03-26,-25.8,-11.4,0.8,0,Ербогачен
27,1936-03-27,-23.1,-10.8,0.7,0,Ербогачен
28,1936-03-28,-18,-5.2,5.4,0,Ербогачен
29,1936-03-29,-5.2,-3.4,3.4,0,Ербогачен
30,1936-03-30,-20.2,-12.2,-4.3,0,Ербогачен
31,1936-03-31,-27.6,-14,-4.5,0.1,Ербогачен
33,1936-04-01,-22.4,-11.7,-1.7,0,Ербогачен
34,1936-04-02,-14.5,-5.1,4,0,Ербогачен
35,1936-04-03,-12.9,-4.5,3,0,Ербогачен
36,1936-04-04,-8.3,-6.4,1,4,Ербогачен
37,1936-04-05,-13.7,-9.2,-4.1,1,Ербогачен
38,1936-04-06,-16.6,-8.4,-0.9,0.6,Ербогачен
