,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1904-10-03,8,13.5,19,0,Ереван
2,1904-10-04,7,13.3,18,0,Ереван
3,1904-10-05,5,13.3,18.6,0,Ереван
4,1904-10-06,5.8,15.7,23.9,0,Ереван
5,1904-10-07,7.3,16.7,24,0,Ереван
6,1904-10-08,8.6,18.7,25.1,0,Ереван
7,1904-10-09,9.3,19.5,28.3,0,Ереван
8,1904-10-10,9.3,19.9,26,0,Ереван
9,1904-10-11,9,19.3,26,0,Ереван
10,1904-10-12,9.5,18.8,25.7,0,Ереван
11,1904-10-13,10.2,19.2,24.3,0,Ереван
12,1904-10-14,9.5,17.2,22.7,0,Ереван
13,1904-10-15,10.5,15.9,20.8,0,Ереван
14,1904-10-16,10,15.3,18.8,0.5,Ереван
15,1904-10-17,8.2,15.1,22.5,0,Ереван
16,1904-10-18,9,15.7,20,12.2,Ереван
17,1904-10-19,7,14.1,22.2,7.2,Ереван
18,1904-10-20,7.7,12.4,15.5,15.3,Ереван
19,1904-10-21,9.5,11.8,14.5,3.4,Ереван
20,1904-10-22,10,13.4,17.8,1.4,Ереван
21,1904-10-23,11,13.5,16.8,0.4,Ереван
22,1904-10-24,10.2,12.8,16.1,9.3,Ереван
23,1904-10-25,8.5,9.7,11.5,4.2,Ереван
24,1904-10-26,7.4,10.5,15,0,Ереван
25,1904-10-27,4.4,11,16.2,0,Ереван
26,1904-10-28,4.8,10.8,15.8,0,Ереван
27,1904-10-29,5,10.3,14.4,0,Ереван
28,1904-10-30,6.4,11.7,17.8,0,Ереван
29,1904-10-31,6,11.9,19.7,0,Ереван
31,1904-11-01,9.2,10.7,13,9.5,Ереван
32,1904-11-02,8,9.9,12.5,1.5,Ереван
33,1904-11-03,7.5,10.9,14.5,0,Ереван
34,1904-11-04,6.8,12.8,16,0.5,Ереван
35,1904-11-05,7,10.6,15,0,Ереван
36,1904-11-06,3,8.4,14.5,0,Ереван
37,1904-11-07,2,7.1,13.5,0,Ереван
38,1904-11-08,1,7.7,14.5,0,Ереван
39,1904-11-09,1,7.9,14.5,0,Ереван
40,1904-11-10,3.1,9.5,14.6,0,Ереван
41,1904-11-11,4.1,10,15.3,0,Ереван
42,1904-11-12,6.7,10.5,15,0.7,Ереван
43,1904-11-13,3.2,4.3,11,20,Ереван
44,1904-11-14,2.5,6.1,9,4.5,Ереван
45,1904-11-15,4.8,8.5,14.1,0,Ереван
46,1904-11-16,2.5,8.9,14,0,Ереван
47,1904-11-17,4.3,10,15.2,0,Ереван
48,1904-11-18,5,10.6,28.5,0,Ереван
49,1904-11-19,6.2,10.3,15.5,0,Ереван
50,1904-11-20,4.5,10.1,18,0,Ереван
51,1904-11-21,5.8,9.4,17.5,0.6,Ереван
52,1904-11-22,2,5.9,9.5,12.4,Ереван
53,1904-11-23,3.8,5.9,14.1,2.8,Ереван
54,1904-11-24,3,6.7,12.5,0,Ереван
55,1904-11-25,4.5,6.4,11.2,0,Ереван
56,1904-11-26,2.3,5.5,13,0,Ереван
57,1904-11-27,2.3,5.6,11.2,2.5,Ереван
58,1904-11-28,3,6.2,11,0,Ереван
59,1904-11-29,2.3,7.2,9,0,Ереван
60,1904-11-30,1.2,7.8,13,0,Ереван
62,1904-12-01,0.1,7.5,10.1,4.5,Ереван
63,1904-12-02,2.3,4.2,10,2.8,Ереван
64,1904-12-03,2.3,3.7,7,20,Ереван
65,1904-12-04,-2.5,1.2,4,20,Ереван
66,1904-12-05,-2.1,0.2,5,0,Ереван
67,1904-12-06,-5,-1.8,1.1,10,Ереван
68,1904-12-07,-3.1,-2,9,0,Ереван
69,1904-12-08,-3,-2.6,4,0,Ереван
70,1904-12-09,-5.1,-4.8,-3,0,Ереван
71,1904-12-10,-5,-4.1,-2.4,0,Ереван
72,1904-12-11,-6.6,-3,3,6,Ереван
73,1904-12-12,-6,-1.3,4.5,0,Ереван
74,1904-12-13,-5,-1.9,3,0,Ереван
75,1904-12-14,-5,-1.8,3.6,0,Ереван
76,1904-12-15,-4,-2.5,1.5,0,Ереван
77,1904-12-16,-4,-2,3.5,0,Ереван
78,1904-12-17,-5,-1.8,5,0,Ереван
79,1904-12-18,-7,-2,2.5,0,Ереван
80,1904-12-19,-5,-2.8,-0.5,2,Ереван
81,1904-12-20,-4.5,-2.4,1.5,33,Ереван
82,1904-12-21,-4,-1.5,2.5,25,Ереван
83,1904-12-22,-4,-1.7,4.5,25,Ереван
84,1904-12-23,-10.5,-5.8,-0.5,0,Ереван
85,1904-12-24,-12.5,-8,0.5,0,Ереван
86,1904-12-25,-11.2,-6.7,-3.1,0,Ереван
87,1904-12-26,-9.5,-2.5,1.2,15,Ереван
88,1904-12-27,-2.1,2.3,5.8,0,Ереван
89,1904-12-28,1,3.2,6,28,Ереван
90,1904-12-29,-10.5,-5.6,-2.5,0,Ереван
91,1904-12-30,-11.6,-8.5,-6.5,55,Ереван
92,1904-12-31,-12.5,-7,-2.5,0,Ереван
94,1905-01-01,-7.7,-5.8,3,0,Ереван
95,1905-01-02,-9.9,-7.6,-3,0,Ереван
96,1905-01-03,-10.5,-8.7,-6,0,Ереван
97,1905-01-04,-10.5,-8.7,-1.7,0,Ереван
98,1905-01-05,-10.7,-6.7,-4.5,0,Ереван
99,1905-01-06,-7.7,-4.9,-1.5,1.7,Ереван
100,1905-01-07,-8.7,-4.5,3.5,0,Ереван
101,1905-01-08,-8.7,-1.5,4.5,0,Ереван
102,1905-01-09,-7.7,-1.7,3.4,0,Ереван
103,1905-01-10,-3.7,0.6,4,0.7,Ереван
104,1905-01-11,-3.2,-0.1,2.5,0,Ереван
105,1905-01-12,-3.7,0.2,7.5,0,Ереван
106,1905-01-14,-11.2,-5.4,-2,0,Ереван
107,1905-01-15,-11.2,-3.2,-0.2,3.3,Ереван
108,1905-01-16,-11.2,-3.1,-0.2,6,Ереван
109,1905-01-17,-4.8,-3.7,-0.3,0,Ереван
110,1905-01-18,-9.2,-4,6,0,Ереван
111,1905-01-19,-11.7,-4.3,1,0,Ереван
112,1905-01-20,-12.7,-5.1,0,0,Ереван
113,1905-01-21,-12.7,-9.2,-2,0,Ереван
114,1905-01-22,-12.2,-6.7,1,0,Ереван
115,1905-01-23,-13.2,-8.1,-4,0,Ереван
116,1905-01-24,-15.4,-7.9,-2.6,0,Ереван
117,1905-01-25,-14.2,-9.2,-4,0,Ереван
118,1905-01-26,-12.7,-9.6,-5,0,Ереван
119,1905-01-27,-16.8,-12.3,-9,0,Ереван
120,1905-01-28,-14.8,-13.4,-11.4,0,Ереван
121,1905-01-29,-17.6,-15.1,-12.5,0,Ереван
122,1905-01-30,-17.8,-14.3,-10.8,1.1,Ереван
123,1905-01-31,-17.9,-11.7,-6,0,Ереван
125,1905-02-01,-17.6,-11.2,-4.8,0,Ереван
126,1905-02-02,-16.5,-10.7,-5,0,Ереван
127,1905-02-03,-13.8,-8.6,-1.6,0,Ереван
128,1905-02-04,-16,-10.2,-3,0,Ереван
129,1905-02-05,-15.5,-10.1,-3.2,0,Ереван
130,1905-02-06,-14.5,-7.5,-3.2,1.3,Ереван
131,1905-02-07,-7.8,-4.7,-2,3,Ереван
132,1905-02-08,-6,-3.3,0.2,0,Ереван
133,1905-02-09,-6,-2.6,2.5,2.6,Ереван
134,1905-02-10,-10.5,-2.8,2.6,1.9,Ереван
135,1905-02-11,-7,-4,-0.3,1.2,Ереван
136,1905-02-12,-9.4,-5.7,-1,0,Ереван
137,1905-02-13,-11,-6.6,-3.5,0,Ереван
138,1905-02-14,-10,-8.2,-3.5,0,Ереван
139,1905-02-15,-11.5,-9.1,-6.5,0,Ереван
140,1905-02-16,-12,-7.9,-1.8,0,Ереван
141,1905-02-17,-9.5,-6.3,-3.2,0,Ереван
142,1905-02-18,-8.6,-6.2,-3.5,0,Ереван
143,1905-02-19,-12.5,-5.4,-1,0,Ереван
144,1905-02-20,-9.5,-4.4,0.2,0,Ереван
145,1905-02-21,-8.2,-2.7,2.2,0,Ереван
146,1905-02-22,-6.5,-3,1.5,0,Ереван
147,1905-02-23,-8.8,-4.9,1.2,0,Ереван
148,1905-02-24,-12.3,-8,-2.3,0,Ереван
149,1905-02-25,-13.3,-8.8,-4,0,Ереван
150,1905-02-26,-13.3,-7.9,-3.3,0,Ереван
151,1905-02-27,-13.6,-8.6,-3,0,Ереван
152,1905-02-28,-12.2,-7.5,-3.2,0,Ереван
154,1905-03-01,-11.3,-7.7,1,0,Ереван
155,1905-03-02,-10.5,-4.2,-0.3,0,Ереван
156,1905-03-03,-8.7,-3.3,1.2,0,Ереван
157,1905-03-04,-8,-3.8,-1,0,Ереван
158,1905-03-05,-7.5,-1.2,2.7,14,Ереван
159,1905-03-06,-5.2,-1.2,2.9,0,Ереван
160,1905-03-07,-8.2,-2.1,5.1,0,Ереван
161,1905-03-08,-6,-1.5,4.6,0,Ереван
162,1905-03-09,-6.6,-2.2,1.5,0,Ереван
163,1905-03-10,-6.5,-3.7,0,0,Ереван
164,1905-03-11,-6.5,-2.5,3,0,Ереван
165,1905-03-12,-7.5,-0.5,4.5,0,Ереван
166,1905-03-13,-3.5,0.8,6.5,0,Ереван
167,1905-03-14,-6.8,0,5,0,Ереван
168,1905-03-15,-2.5,1.2,5.5,0,Ереван
169,1905-03-16,-1,1.8,6.2,0,Ереван
170,1905-03-17,-3.1,2,7.5,0,Ереван
171,1905-03-18,-5,2.4,8,0,Ереван
172,1905-03-19,-0.8,4.1,8,0,Ереван
173,1905-03-20,1.5,4.6,11,0,Ереван
174,1905-03-21,0.8,5.7,9.5,3.6,Ереван
175,1905-03-22,1.5,5.9,9.3,5.5,Ереван
176,1905-03-23,2,3.3,7.5,2.1,Ереван
177,1905-03-24,1.1,4.5,7.5,0,Ереван
178,1905-03-25,-0.2,4.3,9,0,Ереван
179,1905-03-26,1.5,4.1,13,0,Ереван
180,1905-03-27,3,5.7,10,0,Ереван
181,1905-03-28,3,5.8,10.5,0,Ереван
182,1905-03-29,2.8,6.3,12.5,0,Ереван
183,1905-03-30,2,7,12.5,0,Ереван
184,1905-03-31,4,8.2,15,0,Ереван
186,1905-04-01,4.5,9.3,15.4,0,Ереван
187,1905-04-02,5,9.9,14,0,Ереван
188,1905-04-03,5,9.7,15.5,0,Ереван
189,1905-04-04,4,9.8,16.5,0,Ереван
190,1905-04-05,3.3,10.3,14.8,0,Ереван
191,1905-04-06,1,8.3,14.5,0,Ереван
