,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1937-08-01,10.8,15.1,21.3,1.2,Жигалово
2,1937-08-02,11.8,17,24.5,0,Жигалово
3,1937-08-03,8.9,16.7,27.3,0,Жигалово
4,1937-08-04,9.1,18.6,28,0,Жигалово
5,1937-08-05,8.1,19.4,32.6,0,Жигалово
6,1937-08-06,9.6,23.7,32.8,0,Жигалово
7,1937-08-07,14.5,18,28.8,0.4,Жигалово
8,1937-08-08,9.6,14.4,19.2,0,Жигалово
9,1937-08-09,9,14.4,18.2,1,Жигалово
10,1937-08-10,6.7,15.4,21.9,0,Жигалово
11,1937-08-11,10.9,14.2,21.8,14,Жигалово
12,1937-08-12,10.7,14.4,19.9,0,Жигалово
13,1937-08-13,7.4,16.1,22.5,0.6,Жигалово
14,1937-08-14,9.2,14.4,19.9,9.1,Жигалово
15,1937-08-15,8.9,12.5,16.4,1.6,Жигалово
16,1937-08-16,9.3,15.7,21.8,0,Жигалово
17,1937-08-17,4.3,12.8,24.3,0,Жигалово
18,1937-08-18,8.9,12.3,18.9,0,Жигалово
19,1937-08-19,4.2,10.4,18.2,0.4,Жигалово
20,1937-08-20,3.4,9,14.7,1.7,Жигалово
21,1937-08-21,5.8,10.6,16.6,0,Жигалово
22,1937-08-22,1.3,9,13,1,Жигалово
23,1937-08-23,4.8,8.3,13.5,10,Жигалово
24,1937-08-24,-1.8,6.5,12.6,1.5,Жигалово
25,1937-08-25,3.1,8.2,13.2,1.5,Жигалово
26,1937-08-26,0.7,12.5,22.5,0,Жигалово
27,1937-08-27,4.4,16,25.1,0,Жигалово
28,1937-08-28,9.6,11.6,20.9,3,Жигалово
29,1937-08-29,5.2,6.4,9.8,7.8,Жигалово
30,1937-08-30,0.3,6.6,11.5,0,Жигалово
31,1937-08-31,-0.6,6.1,14.1,3.5,Жигалово
33,1937-09-01,0.1,6.4,10.4,0.3,Жигалово
34,1937-09-02,3.1,8.5,14.1,8.9,Жигалово
35,1937-09-03,4,9.6,17.1,0,Жигалово
36,1937-09-04,3.3,8.5,16.2,0,Жигалово
37,1937-09-05,3.3,9.6,19.5,0,Жигалово
38,1937-09-06,1.3,10,20.9,0,Жигалово
39,1937-09-07,3.9,11.8,21.6,0,Жигалово
40,1937-09-08,10,12.6,17.1,0,Жигалово
41,1937-09-09,3.5,10,18.3,0,Жигалово
42,1937-09-10,3.1,13.1,24.7,0,Жигалово
43,1937-09-11,4.5,8.2,16.9,6.1,Жигалово
44,1937-09-12,1.1,4.6,8.5,6.4,Жигалово
45,1937-09-13,3,8.8,13.5,1.1,Жигалово
46,1937-09-14,5.3,11.9,21.5,0,Жигалово
47,1937-09-15,5.8,7.3,15.7,0,Жигалово
48,1937-09-16,-0.7,4,8.8,0,Жигалово
49,1937-09-17,-2.5,4.3,9.6,1,Жигалово
50,1937-09-18,1.1,3.6,7.1,13,Жигалово
51,1937-09-19,-0.1,1.8,7.6,0,Жигалово
52,1937-09-20,-4.4,2.2,8.2,0,Жигалово
53,1937-09-21,-1.1,4,11.9,0,Жигалово
54,1937-09-22,-5.7,1.1,6.2,2.3,Жигалово
55,1937-09-23,-1.5,3,7.8,3.4,Жигалово
56,1937-09-24,-2,1.8,7.5,0,Жигалово
57,1937-09-25,-3,-1,3.5,0,Жигалово
58,1937-09-26,-9.9,0.8,8.9,0,Жигалово
59,1937-09-27,1.3,5,10.3,12.9,Жигалово
60,1937-09-28,0.9,4.8,10.4,0,Жигалово
61,1937-09-29,-0.8,5.4,9.9,2.1,Жигалово
62,1937-09-30,-5.5,-1,3.4,0,Жигалово
64,1937-10-01,-3.4,-0.2,2.2,0.3,Жигалово
65,1937-10-02,-1.3,0.5,2.7,0.1,Жигалово
66,1937-10-03,-0.8,0.6,3.1,1.9,Жигалово
67,1937-10-04,-1.9,1.4,3.7,2,Жигалово
68,1937-10-05,0.4,3.6,11,0,Жигалово
69,1937-10-06,-7.2,0.9,12,0,Жигалово
70,1937-10-07,-0.8,1.3,4.7,0.1,Жигалово
71,1937-10-08,-2.9,0,5.8,0,Жигалово
72,1937-10-09,-5,0,3,0,Жигалово
73,1937-10-10,-2.9,-0.2,3.4,0.2,Жигалово
74,1937-10-11,-6.3,-1.2,3.9,0,Жигалово
75,1937-10-12,-3.5,-2,0.6,1.1,Жигалово
76,1937-10-13,-5.6,-3.6,-1,0,Жигалово
77,1937-10-14,-8,-4.4,-1.3,0,Жигалово
78,1937-10-15,-4.4,-2.8,1.6,0,Жигалово
79,1937-10-16,-4.8,-0.9,2.5,0,Жигалово
80,1937-10-17,-4.4,0.2,10,0,Жигалово
81,1937-10-18,-1.7,2,10.9,0,Жигалово
82,1937-10-19,-5.2,-0.3,6.6,0,Жигалово
83,1937-10-20,-4.1,2.4,7.6,0,Жигалово
84,1937-10-21,-1.5,2.3,8.4,0,Жигалово
85,1937-10-22,0,2.3,9.8,0.1,Жигалово
86,1937-10-23,-3,2,5.8,0.5,Жигалово
87,1937-10-24,-2.3,0.8,5.7,0,Жигалово
88,1937-10-25,-5.5,-3,0.2,0,Жигалово
89,1937-10-26,-8.4,-4.2,1,0,Жигалово
90,1937-10-27,-7.2,-6.3,-4.1,0.9,Жигалово
91,1937-10-28,-13.4,-7.7,-3.1,0.8,Жигалово
92,1937-10-29,-10.5,-5.8,-1.3,4.2,Жигалово
93,1937-10-30,-4.8,-2.3,0.2,14.2,Жигалово
94,1937-10-31,-3,0.1,2.9,13.1,Жигалово
96,1938-01-01,-39,-29.6,-20.7,0.1,Жигалово
97,1938-01-02,-39,-28.8,-25.2,0.8,Жигалово
98,1938-01-03,-34.2,-31.6,-28.2,0.3,Жигалово
99,1938-01-04,-42.2,-35,-30.7,0,Жигалово
100,1938-01-05,-37.7,-32.2,-30.2,0,Жигалово
101,1938-01-06,-40.3,-32.1,-28.5,0,Жигалово
102,1938-01-07,-38.2,-28.7,-23.8,1.3,Жигалово
103,1938-01-08,-26.5,-18.9,-11.1,0,Жигалово
104,1938-01-09,-31.4,-21.4,-12,0.1,Жигалово
105,1938-01-10,-41.4,-36.8,-30.4,0,Жигалово
