,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-02-01,-51.8,-42.6,-34.5,0,Жиганск
2,1936-02-02,-45.3,-42.6,-34.8,0,Жиганск
3,1936-02-03,-46.6,-41.4,-37.4,0.2,Жиганск
4,1936-02-04,-37.4,-32.8,-31.2,0.2,Жиганск
5,1936-02-05,-34.6,-31.6,-30.8,0.3,Жиганск
6,1936-02-06,-40.8,-37.5,-33.7,0.2,Жиганск
7,1936-02-07,-48.7,-41.6,-38.5,0.4,Жиганск
8,1936-02-08,-40.7,-31.6,-27.3,0.2,Жиганск
9,1936-02-09,-30.5,-27.2,-25.1,0.3,Жиганск
10,1936-02-10,-28.9,-26.8,-25.1,0.2,Жиганск
11,1936-02-11,-32.1,-29.6,-26.5,0,Жиганск
12,1936-02-12,-32.4,-28.4,-25.4,0,Жиганск
13,1936-02-13,-37.8,-31.2,-27.6,0,Жиганск
14,1936-02-14,-41.4,-35.7,-31.2,0,Жиганск
15,1936-02-15,-35.6,-27.4,-21.4,0,Жиганск
16,1936-02-16,-27.3,-24.8,-22,0,Жиганск
17,1936-02-17,-34.3,-29.8,-26,0,Жиганск
18,1936-02-18,-43.4,-37.1,-30.4,0,Жиганск
19,1936-02-19,-48,-42.4,-35.4,0,Жиганск
20,1936-02-20,-46.3,-40.4,-34.4,0,Жиганск
21,1936-02-21,-40,-37.5,-32.9,0,Жиганск
22,1936-02-22,-47.8,-41.1,-32.7,0,Жиганск
23,1936-02-23,-45.5,-40.3,-34.9,0,Жиганск
24,1936-02-24,-38.8,-31.1,-27.5,0.1,Жиганск
25,1936-02-25,-42.8,-36.5,-29.6,0,Жиганск
26,1936-02-26,-38.3,-33.6,-29.6,0,Жиганск
27,1936-02-27,-32.5,-30.2,-28.6,0.2,Жиганск
28,1936-02-28,-42,-33.1,-26.2,0,Жиганск
29,1936-02-29,-30.3,-28,-25.3,0,Жиганск
31,1936-03-01,-40.4,-32.1,-27.4,0,Жиганск
32,1936-03-02,-40.9,-30.4,-20.9,0,Жиганск
33,1936-03-03,-30.9,-24,-18.9,0,Жиганск
34,1936-03-04,-29.4,-24.3,-18,0,Жиганск
35,1936-03-05,-32.4,-25.5,-19.9,0,Жиганск
36,1936-03-06,-34.9,-26.8,-19.3,0,Жиганск
37,1936-03-07,-27.9,-23.6,-18.7,0,Жиганск
38,1936-03-08,-21.9,-20,-16.4,1.6,Жиганск
39,1936-03-09,-25.9,-21.7,-17.3,0.7,Жиганск
40,1936-03-10,-16.4,-13.6,-10.8,1,Жиганск
41,1936-03-11,-24.5,-21.1,-11.5,0.2,Жиганск
42,1936-03-12,-32.4,-25.9,-22.5,0.3,Жиганск
43,1936-03-13,-39.6,-32.9,-24.9,0.1,Жиганск
44,1936-03-14,-45.6,-36.8,-29.9,0,Жиганск
45,1936-03-15,-33.6,-27.4,-23.1,1.1,Жиганск
46,1936-03-16,-25.1,-22.8,-19.9,1.3,Жиганск
47,1936-03-17,-30.6,-23,-17.2,0.2,Жиганск
48,1936-03-18,-33.6,-26.8,-19.9,1.3,Жиганск
49,1936-03-19,-40.7,-36.6,-32.4,0,Жиганск
50,1936-03-20,-37.9,-33.4,-28.3,0,Жиганск
51,1936-03-21,-35.6,-31.2,-28.5,0,Жиганск
52,1936-03-22,-46.6,-36,-27.9,0,Жиганск
53,1936-03-23,-35,-26.2,-19.4,0,Жиганск
54,1936-03-24,-21.9,-17.1,-14.3,0,Жиганск
55,1936-03-25,-17.5,-15.4,-13.4,0.4,Жиганск
56,1936-03-26,-26.4,-20,-14.5,0.1,Жиганск
57,1936-03-27,-33.1,-23.4,-15.1,0,Жиганск
58,1936-03-28,-17.8,-13,-8.4,0,Жиганск
59,1936-03-29,-12.2,-9.2,-6.9,0,Жиганск
60,1936-03-30,-19.9,-16.6,-3.8,0,Жиганск
61,1936-03-31,-29,-21.4,-15.1,0,Жиганск
63,1936-04-01,-26.6,-18.8,-11.8,0,Жиганск
64,1936-04-02,-17.9,-12.4,-7.7,0.1,Жиганск
65,1936-04-03,-16.1,-9.7,-5.3,0,Жиганск
66,1936-04-04,-21.8,-11.6,-6.2,0,Жиганск
67,1936-04-05,-18.1,-14.6,-8.6,0,Жиганск
68,1936-04-06,-19.7,-15,-11,0,Жиганск
69,1936-04-07,-23.9,-13.4,-4,0,Жиганск
70,1936-04-08,-16.9,-10.4,-5.6,0,Жиганск
71,1936-04-09,-23.4,-12.2,-4,0,Жиганск
72,1936-04-10,-13.8,-5.6,5.2,0,Жиганск
73,1936-04-11,-5,-3,3.1,0,Жиганск
74,1936-04-12,-13.5,-11.2,-4.6,0.4,Жиганск
75,1936-04-13,-25.2,-14.2,-7.9,0,Жиганск
76,1936-04-14,-15.8,-8.5,-0.3,2.9,Жиганск
77,1936-04-15,-14.4,-3.8,4.1,0,Жиганск
78,1936-04-16,-12.1,-4,2.9,0,Жиганск
79,1936-04-17,-8.3,-1.6,4.3,0,Жиганск
80,1936-04-18,-9.2,-4.6,3.1,1.3,Жиганск
81,1936-04-19,-13,-11.9,-9.1,0.2,Жиганск
82,1936-04-20,-17.6,-13.6,-9.3,0,Жиганск
83,1936-04-21,-15.9,-10.8,-6.1,0,Жиганск
84,1936-04-22,-14.6,-9.4,-4.5,0,Жиганск
85,1936-04-23,-13.5,-9.4,-5,0,Жиганск
86,1936-04-24,-15.8,-10.9,-5.9,0,Жиганск
87,1936-04-25,-13.5,-7.8,-2.3,0,Жиганск
88,1936-04-26,-8.1,-3.8,0.1,0,Жиганск
89,1936-04-27,-12.5,-2.9,3.1,0,Жиганск
90,1936-04-28,-12.1,-2.3,3.6,0,Жиганск
91,1936-04-29,-8.1,-2.4,4.1,0,Жиганск
92,1936-04-30,-11.3,-6.8,0.5,0,Жиганск
94,1936-05-01,-12.5,-6.5,-1.6,0,Жиганск
95,1936-05-02,-11.3,-3.6,0.4,0,Жиганск
96,1936-05-03,-12.5,-0.2,5.1,0,Жиганск
97,1936-05-04,-9.3,-5.4,5.2,0,Жиганск
98,1936-05-05,-11.4,-6.7,-3.8,0,Жиганск
99,1936-05-06,-13,-5.7,-0.4,0,Жиганск
100,1936-05-07,-6.8,-1.3,3.1,0,Жиганск
101,1936-05-08,-2.7,2,6.7,0,Жиганск
102,1936-05-09,-5.3,2.5,9,0,Жиганск
103,1936-05-10,-2.7,5,9.1,0,Жиганск
104,1936-05-11,1.6,5.8,9.9,0,Жиганск
105,1936-05-12,-3.6,4.6,9.9,0,Жиганск
106,1936-05-13,0.3,4.7,10.4,0,Жиганск
107,1936-05-14,1.9,5.1,9.5,0,Жиганск
108,1936-05-15,-1.4,6.6,11,0,Жиганск
109,1936-05-16,-1.6,3.9,7.6,0,Жиганск
110,1936-05-17,0.8,9.4,18.2,2.5,Жиганск
111,1936-05-18,7.4,14.5,20.2,0,Жиганск
112,1936-05-19,0.4,6.4,17.6,0.4,Жиганск
113,1936-05-20,2.5,11.3,23,0,Жиганск
114,1936-05-21,3.8,8.1,18.9,0,Жиганск
115,1936-05-22,2.8,7.1,12.5,0,Жиганск
116,1936-05-23,0.2,7.9,17.1,0.4,Жиганск
117,1936-05-24,3.8,4.9,12.3,0.9,Жиганск
118,1936-05-25,-2.7,2.8,7.6,0,Жиганск
119,1936-05-26,-2.8,0.7,7.1,0,Жиганск
120,1936-05-27,-2.8,3.8,9.6,0,Жиганск
