,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-07-01,20.8,28.8,34.8,0,Зайсан
2,1936-07-02,23.1,27.3,35.5,0,Зайсан
3,1936-07-03,16,24.3,30.4,0,Зайсан
4,1936-07-04,16.3,19.4,27.4,0,Зайсан
5,1936-07-05,10.5,17.6,23,0,Зайсан
6,1936-07-06,11.1,18.2,23.2,3,Зайсан
7,1936-07-07,12.5,16,19.9,0.1,Зайсан
8,1936-07-08,10.4,14.6,20.6,0.3,Зайсан
9,1936-07-09,10.5,15.2,19.7,0,Зайсан
10,1936-07-10,12.3,15.8,21.8,0,Зайсан
11,1936-07-11,14.5,19.6,24,0,Зайсан
12,1936-07-12,15.8,22.1,26.5,0,Зайсан
13,1936-07-13,18.1,24.1,28.4,0,Зайсан
14,1936-07-14,18.9,26.2,32.4,0,Зайсан
15,1936-07-15,16.1,23.5,29.7,4.9,Зайсан
16,1936-07-16,11.7,17.4,24.7,0,Зайсан
17,1936-07-17,12.5,18.9,23,0,Зайсан
18,1936-07-18,15.9,21,26.5,0,Зайсан
19,1936-07-19,17.4,22.9,29.1,0,Зайсан
20,1936-07-20,19.6,26.8,31.9,0,Зайсан
21,1936-07-21,22,27.5,32.2,0,Зайсан
22,1936-07-22,23.3,27.2,32.1,0,Зайсан
23,1936-07-23,21.5,27.4,32.9,0,Зайсан
24,1936-07-24,24.1,30.3,36,0,Зайсан
25,1936-07-25,24.4,29.6,36.6,0,Зайсан
26,1936-07-26,17.4,26.8,32.1,2.8,Зайсан
27,1936-07-28,17.7,21.8,27.7,0,Зайсан
28,1936-07-29,17.1,23.3,26.4,0.8,Зайсан
29,1936-07-30,18.1,22.8,31.4,0.5,Зайсан
30,1936-07-31,12.8,19,25.5,3,Зайсан
32,1936-08-01,15.2,19.4,22.7,0,Зайсан
33,1936-08-02,15.4,22.2,29.2,0,Зайсан
34,1936-08-03,17.1,19.8,26.5,0.3,Зайсан
35,1936-08-04,15.2,21.3,26.9,0,Зайсан
36,1936-08-05,17.6,19.4,23,0,Зайсан
37,1936-08-06,15.5,19.6,23.8,0,Зайсан
38,1936-08-07,12.2,16.8,22.3,1.3,Зайсан
39,1936-08-08,12.1,19,25.1,0,Зайсан
40,1936-08-09,16,22.9,29.3,0,Зайсан
41,1936-08-10,17.1,23.5,29.4,0,Зайсан
42,1936-08-11,16.2,22.4,24.9,2.6,Зайсан
43,1936-08-12,15.1,20.4,26.5,0,Зайсан
