,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1934-10-09,-10.8,-2.1,2.9,0.1,Ивдель
2,1934-10-10,-2.3,4.3,11,0,Ивдель
3,1934-10-12,3.3,8.2,12.8,0,Ивдель
4,1934-10-13,-1.8,3.4,10.8,0,Ивдель
5,1934-10-14,0.3,6,8.6,0.1,Ивдель
6,1934-10-15,-2.8,5.3,11.1,0,Ивдель
7,1934-10-16,-0.7,4.9,7.7,3,Ивдель
8,1934-10-17,1.7,7.3,12.2,1.5,Ивдель
9,1934-10-18,-8.3,-2.8,4.9,0.1,Ивдель
10,1934-10-19,-12.1,-4,-1,4.3,Ивдель
11,1934-10-20,-2.3,-1.1,0,2.5,Ивдель
12,1934-10-21,-0.9,0.3,1.3,0.3,Ивдель
13,1934-10-22,-0.5,3,6.5,0.8,Ивдель
14,1934-10-23,-2.8,1.9,3.7,0.3,Ивдель
15,1934-10-24,-3,1.8,5.5,0,Ивдель
16,1934-10-25,2,6.9,10.2,0,Ивдель
17,1934-10-26,4.9,7.2,9.2,2.7,Ивдель
18,1934-10-27,-1.8,2.9,6,0.5,Ивдель
19,1934-10-29,0,2.1,4.9,0,Ивдель
20,1934-10-30,4.5,6.2,8.2,0,Ивдель
21,1934-10-31,0.1,6,11,0,Ивдель
23,1934-12-01,-12.4,-9.1,-6.5,1.2,Ивдель
24,1934-12-02,-14.9,-10.3,-7.5,0.9,Ивдель
25,1934-12-03,-11.7,-9.6,-7.6,1.4,Ивдель
26,1934-12-04,-11.7,-10.6,-7.5,1.3,Ивдель
27,1934-12-05,-20.5,-15,-10.9,0,Ивдель
28,1934-12-06,-25.4,-19.6,-12.8,0,Ивдель
29,1934-12-07,-14.1,-9.8,-8,0,Ивдель
30,1934-12-08,-11.6,-8.7,-7,0,Ивдель
31,1934-12-09,-18.4,-11.8,-8.2,0,Ивдель
32,1934-12-10,-15.7,-8.5,-6.7,0,Ивдель
33,1934-12-11,-14.5,-11.2,-6.7,0.1,Ивдель
34,1934-12-12,-14.3,-6.1,-0.6,0.3,Ивдель
35,1934-12-13,-7.7,-1.8,-0.3,0,Ивдель
36,1934-12-14,-7.2,-2.7,-0.8,0.1,Ивдель
37,1934-12-15,-10.2,-5,-3.5,0,Ивдель
38,1934-12-16,-15.3,-9.8,-3.1,0.5,Ивдель
39,1934-12-17,-26.6,-21.2,-13.7,0,Ивдель
40,1934-12-18,-28.8,-19.4,-11.4,0,Ивдель
41,1934-12-19,-15.8,-11.3,-9.7,0.7,Ивдель
42,1934-12-20,-12.4,-10.5,-7.5,0,Ивдель
43,1934-12-21,-14.5,-7.7,-4.6,1.7,Ивдель
44,1934-12-22,-13.4,-7.4,-4.2,2.1,Ивдель
45,1934-12-23,-28.9,-24.3,-10.2,0,Ивдель
46,1934-12-24,-29.7,-25.4,-22.3,0,Ивдель
47,1934-12-25,-28.3,-14.3,-8,0,Ивдель
