,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1958-01-01,-1.7,-0.6,0.7,0.5,Ижевск
2,1958-01-02,-5.4,-4,-1.4,2.9,Ижевск
3,1958-01-03,-6.1,-4.6,-0.9,4.9,Ижевск
4,1958-01-04,-11.5,-9.4,-5.6,0.2,Ижевск
5,1958-01-05,-13.6,-11.2,-9.6,0.6,Ижевск
6,1958-01-06,-13.5,-12.3,-10.4,2.7,Ижевск
7,1958-01-07,-19.4,-14.2,-10.5,0.7,Ижевск
8,1958-01-08,-29.8,-26.8,-19.3,0.4,Ижевск
9,1958-01-09,-30,-23.1,-15.3,0,Ижевск
10,1958-01-10,-15.4,-8.2,-6.1,11.1,Ижевск
11,1958-01-11,-7,-6.1,-5,2.3,Ижевск
12,1958-01-12,-9.4,-7.2,-6.1,1.1,Ижевск
13,1958-01-13,-10.5,-9.2,-7.9,0,Ижевск
14,1958-01-14,-12.5,-11.4,-10,0.5,Ижевск
15,1958-01-15,-11,-8.9,-8,11.2,Ижевск
16,1958-01-16,-10.5,-8.5,-6.5,0.8,Ижевск
17,1958-01-17,-12,-8.4,-6.5,0.6,Ижевск
18,1958-01-18,-10.6,-8.4,-6.5,0.7,Ижевск
19,1958-01-19,-6.6,-4.8,-2.9,2.3,Ижевск
20,1958-01-20,-9.8,-5.5,-1.4,2.2,Ижевск
21,1958-01-21,-4.3,-2,0.5,1,Ижевск
22,1958-01-22,-6.2,-5,-3.8,0.2,Ижевск
23,1958-01-23,-8.7,-7.6,-5.7,0.1,Ижевск
24,1958-01-24,-9,-7,-4.9,0,Ижевск
25,1958-01-25,-16,-13.5,-6.7,0,Ижевск
26,1958-01-26,-17.5,-12.5,-8.6,0,Ижевск
27,1958-01-27,-11.6,-10.5,-8.8,0,Ижевск
28,1958-01-28,-13.6,-12,-10.5,0.6,Ижевск
29,1958-01-29,-16.2,-14.5,-12.2,3.3,Ижевск
30,1958-01-30,-17,-14.6,-11.9,0.6,Ижевск
31,1958-01-31,-16.5,-13.8,-11.6,0.2,Ижевск
33,1958-02-01,-12.5,-9.4,-7,1.7,Ижевск
34,1958-02-02,-14.2,-11.2,-9.1,0,Ижевск
35,1958-02-03,-20.4,-16.9,-10.4,0,Ижевск
36,1958-02-04,-19,-16.5,-13.4,0,Ижевск
37,1958-02-05,-23.4,-19,-15.5,0,Ижевск
38,1958-02-06,-16.5,-12.1,-10.7,0.5,Ижевск
39,1958-02-07,-11.2,-5.4,0.7,8.7,Ижевск
40,1958-02-08,-14.7,-12.2,-8.6,6,Ижевск
41,1958-02-09,-17.1,-14.1,-1.1,21.4,Ижевск
42,1958-02-10,-18.2,-17,-15.4,1.7,Ижевск
43,1958-02-11,-24.3,-21,-17.4,0,Ижевск
44,1958-02-12,-27.2,-23.7,-19.7,0,Ижевск
45,1958-02-13,-29.5,-24.2,-19.4,1.3,Ижевск
46,1958-02-14,-19.6,-13.8,-10,2.6,Ижевск
47,1958-02-15,-14.7,-13.4,-10.3,4.6,Ижевск
48,1958-02-16,-14.4,-13.3,-10.7,0.6,Ижевск
49,1958-02-17,-14.5,-10.6,-6.5,1.6,Ижевск
50,1958-02-18,-6.6,-1.4,1,5,Ижевск
51,1958-02-19,-4.1,-2.3,-0.4,2.8,Ижевск
52,1958-02-20,-7.9,-5.5,-1.7,0,Ижевск
53,1958-02-21,-6.8,2.1,5.8,2,Ижевск
54,1958-02-22,0,0.8,3.1,0,Ижевск
55,1958-02-23,-7,-1.9,0.9,0.6,Ижевск
56,1958-02-24,-6.2,-4,-2.6,0,Ижевск
57,1958-02-25,-6.2,-2.8,0.1,4.8,Ижевск
58,1958-02-26,-7,-2.8,-0.1,0.1,Ижевск
59,1958-02-27,-7.1,-4.1,-0.9,0,Ижевск
60,1958-02-28,-7.4,-5.5,-3.7,0.4,Ижевск
62,1958-03-01,-10.9,-7.8,-4.4,1.5,Ижевск
63,1958-03-02,-12.6,-6,-0.9,0,Ижевск
64,1958-03-03,-6.4,-3.5,-0.1,0,Ижевск
65,1958-03-04,-9.5,-7.4,-1.4,9.7,Ижевск
66,1958-03-05,-21,-16.7,-7.7,0.7,Ижевск
67,1958-03-06,-19,-7.6,-2.6,0,Ижевск
68,1958-03-07,-2.7,-1.8,0.1,0,Ижевск
69,1958-03-08,-3.1,-1.4,2.4,1.7,Ижевск
70,1958-03-09,-15.2,-7.9,-0.4,0.2,Ижевск
71,1958-03-10,-20.1,-15.2,-9.6,0,Ижевск
72,1958-03-11,-13.6,-6,-1.1,0.7,Ижевск
73,1958-03-12,-5.2,-2.2,1.2,0,Ижевск
74,1958-03-13,-7.7,-3.7,-0.7,0,Ижевск
75,1958-03-14,-11.2,-6.5,-0.6,0,Ижевск
76,1958-03-15,-13.1,-7.6,-1.8,0,Ижевск
77,1958-03-16,-11.4,-6.6,0.3,0,Ижевск
78,1958-03-17,-18.9,-14.2,-6.2,0,Ижевск
79,1958-03-18,-24.3,-21.9,-15.4,0,Ижевск
80,1958-03-19,-25.7,-22.1,-17.2,0,Ижевск
81,1958-03-20,-25.7,-20.4,-13.7,0,Ижевск
82,1958-03-21,-27.2,-18.8,-11.1,0,Ижевск
83,1958-03-22,-23.7,-15.6,-7.1,0,Ижевск
84,1958-03-23,-18.4,-11.6,-4.1,0,Ижевск
85,1958-03-24,-16.4,-9.9,-2.9,0,Ижевск
86,1958-03-25,-15,-7.6,-1.5,0,Ижевск
87,1958-03-26,-6.4,-4.6,-2.1,3.5,Ижевск
88,1958-03-27,-12.5,-6.2,-0.5,0.1,Ижевск
89,1958-03-28,-8.3,-5,-1.8,2.5,Ижевск
90,1958-03-29,-14,-7.6,-1.9,0.2,Ижевск
91,1958-03-30,-15.7,-8.1,-0.6,0,Ижевск
