,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1940-09-01,12.4,15.7,20.7,7.8,Измаил
2,1940-09-02,10.7,15.8,22.1,0,Измаил
3,1940-09-03,10.5,17.5,24,0,Измаил
4,1940-09-04,13.2,17.6,21.7,0,Измаил
5,1940-09-05,11.2,16,21.4,0,Измаил
6,1940-09-06,11.7,16.2,22,0,Измаил
7,1940-09-07,10.1,16.8,22.4,0,Измаил
8,1940-09-08,12.4,18.4,24.7,0,Измаил
9,1940-09-09,11.5,17.2,23.2,0,Измаил
10,1940-09-10,11.4,18.4,25.2,0,Измаил
11,1940-09-11,14.4,19.4,25.1,0,Измаил
12,1940-09-13,11.6,13.4,21.3,1.7,Измаил
13,1940-09-14,6.3,14.4,22.7,0,Измаил
14,1940-09-15,16.3,19.1,24.5,0,Измаил
15,1940-09-16,16.2,20.4,27.6,0,Измаил
16,1940-09-17,12,14.2,21.6,2.7,Измаил
17,1940-09-18,9.9,14.4,20.2,0,Измаил
18,1940-09-19,12.1,17.4,23.7,0,Измаил
19,1940-09-20,11.7,17.8,24.5,0,Измаил
20,1940-09-21,14.7,19.6,26.2,0,Измаил
21,1940-09-22,13.6,19.9,26.8,0,Измаил
22,1940-09-23,16.3,18.9,22.3,5.2,Измаил
23,1940-09-24,12,17.2,22.9,0,Измаил
24,1940-09-25,12.9,17.5,24,0,Измаил
25,1940-09-26,13.6,20,28,0,Измаил
26,1940-09-27,14.6,16.6,20,0,Измаил
27,1940-09-28,15.1,18.7,24.6,0,Измаил
28,1940-09-29,14,18.3,24,0,Измаил
29,1940-09-30,13.6,16.5,22,0,Измаил
31,1940-10-01,13.6,16.3,20.9,0,Измаил
32,1940-10-02,14.7,17.1,21,0,Измаил
33,1940-10-03,16.4,19.5,24.4,0,Измаил
34,1940-10-04,17.6,19.8,24.6,0,Измаил
35,1940-10-05,17.8,19.6,23.2,0.2,Измаил
36,1940-10-06,16,18.2,23.5,1.3,Измаил
37,1940-10-07,11.2,17.1,23.5,0,Измаил
38,1940-10-08,12.4,17.3,24.3,0,Измаил
39,1940-10-09,13.9,16.3,20.9,0,Измаил
40,1940-10-10,12.3,16.3,23.9,0,Измаил
41,1940-10-11,12.3,16,21.3,0,Измаил
42,1940-10-13,6.2,10,14.6,0,Измаил
43,1940-10-14,4.7,9.7,16.6,0,Измаил
44,1940-10-15,3,7.2,13.9,0,Измаил
45,1940-10-16,4.6,7.4,11.7,0,Измаил
46,1940-10-17,4.3,5,7.3,5.7,Измаил
47,1940-10-18,5.7,6.6,8,12.6,Измаил
48,1940-10-19,4.1,5.3,7.4,4.6,Измаил
49,1940-10-20,3.8,5,7.1,0,Измаил
50,1940-10-21,5.2,6.3,11,0,Измаил
51,1940-10-22,-0.3,5,14.1,0,Измаил
52,1940-10-23,2,4.7,8.7,0,Измаил
53,1940-10-24,1.2,4.6,8,0,Измаил
54,1940-10-25,6.3,11.9,17.1,0,Измаил
55,1940-10-26,14.6,15.1,18.9,7.3,Измаил
56,1940-10-27,7.3,8.9,14.6,0,Измаил
57,1940-10-28,4.1,7.8,10.5,6,Измаил
58,1940-10-29,1.6,2.8,4.3,0,Измаил
59,1940-10-30,2.8,10.1,13.1,6.1,Измаил
60,1940-10-31,9.2,10.8,12.8,1.6,Измаил
62,1940-11-01,4.2,6.6,10.4,0,Измаил
63,1940-11-02,2.4,5.8,10.3,0,Измаил
64,1940-11-03,5.7,7.5,11.1,6.5,Измаил
65,1940-11-04,2.8,7.8,13.3,0.2,Измаил
66,1940-11-05,9.7,13.7,18.9,0,Измаил
67,1940-11-06,1.9,6.9,15,0,Измаил
68,1940-11-07,5.8,12.3,18.2,0,Измаил
69,1940-11-08,10.6,13.7,19.4,0.1,Измаил
70,1940-11-09,6.2,7.5,13.8,0,Измаил
71,1940-11-10,4.6,6.2,8.7,3.2,Измаил
72,1940-11-11,1.9,3.8,7.2,0,Измаил
73,1940-11-12,1.9,4.2,6.8,0.4,Измаил
74,1940-11-13,6.4,9.1,13.1,0.2,Измаил
75,1940-11-14,7.2,9.7,14.6,2.9,Измаил
76,1940-11-15,4.1,9.4,15.1,0,Измаил
77,1940-11-16,9.5,11.4,14.8,0,Измаил
78,1940-11-17,9.2,12.1,18.2,0,Измаил
79,1940-11-18,6.9,11.3,17.1,0,Измаил
80,1940-11-19,9.6,12.3,17.4,0,Измаил
81,1940-11-20,10.5,13.6,18.6,0,Измаил
82,1940-11-21,8.7,11.9,16.4,0,Измаил
83,1940-11-22,6.6,9.6,13.6,0,Измаил
84,1940-11-23,2.3,7,13.6,0,Измаил
85,1940-11-24,4.1,6.9,9.5,0.2,Измаил
86,1940-11-25,7.2,7.9,9.2,0,Измаил
87,1940-11-26,3.9,5.8,9.5,0,Измаил
88,1940-11-27,1.7,5.2,9.7,0.1,Измаил
89,1940-11-28,-1.1,1.6,5,0,Измаил
90,1940-11-29,1.8,4,6.1,0,Измаил
91,1940-11-30,1.7,3,5,0,Измаил
93,1940-12-01,0.3,1,2.2,0,Измаил
94,1940-12-02,-2.3,-1.2,0.6,0,Измаил
95,1940-12-03,-5.8,-1.6,2.2,0,Измаил
96,1940-12-04,-2.5,0.4,4.7,0,Измаил
97,1940-12-05,-3.7,-0.4,5,0,Измаил
98,1940-12-06,-5,-3.2,-1,0,Измаил
99,1940-12-07,-4.9,-1.3,2.9,0,Измаил
100,1940-12-08,-4.2,2.7,10.7,0,Измаил
101,1940-12-09,0.7,2.8,6.2,0,Измаил
102,1940-12-10,0.6,2.2,3.6,3.1,Измаил
103,1940-12-11,-3.2,-1.4,0.8,2.2,Измаил
104,1940-12-12,-2.7,4.2,8.3,6.5,Измаил
105,1940-12-13,-1,1,5.1,14.7,Измаил
106,1940-12-14,-6,-3.9,-0.5,0,Измаил
107,1940-12-15,-8.3,-7.4,-5.6,0,Измаил
108,1940-12-16,-10.5,-9.6,-7.4,0,Измаил
109,1940-12-17,-9.8,-8.7,-7.3,1.8,Измаил
110,1940-12-18,-8.8,-7.7,-6.7,0,Измаил
111,1940-12-19,-10.3,-8.4,-7,0,Измаил
112,1940-12-20,-8,-5,-3.1,2.7,Измаил
113,1940-12-21,-6.6,-5.2,-3.5,1,Измаил
114,1940-12-22,-8.2,-5.4,-2.4,0,Измаил
115,1940-12-23,-8.8,-4.3,2.9,7.3,Измаил
116,1940-12-24,-6.8,-4.7,2.9,10.5,Измаил
117,1940-12-25,-11,-8.8,-6.5,1.4,Измаил
118,1940-12-26,-11.5,-8.1,-4.8,0.1,Измаил
119,1940-12-27,-15.8,-12.3,-6.5,0,Измаил
120,1940-12-28,-16,-11.2,-5,0,Измаил
121,1940-12-29,-14.3,-8.9,-2.8,0,Измаил
122,1940-12-30,-8.8,-4.1,1.5,0,Измаил
123,1940-12-31,-2.4,0.9,2.7,0,Измаил
125,1941-01-01,-3.9,3,7.9,0,Измаил
126,1941-01-02,-4.8,-2,6.3,0.1,Измаил
127,1941-01-03,-5.9,-4,-0.9,4.1,Измаил
128,1941-01-04,-2.4,-0.5,2,5.6,Измаил
129,1941-01-05,-6.3,-5.2,-1.5,5.4,Измаил
130,1941-01-06,-5.5,-4.2,-1.5,13.4,Измаил
131,1941-01-07,-10.5,-6.6,-3.2,0,Измаил
132,1941-01-08,-11.9,-6.2,-3,0,Измаил
133,1941-01-09,-3.4,-2.1,-1.4,1.2,Измаил
134,1941-01-10,-5.3,-3.2,-2,0,Измаил
135,1941-01-11,-5.5,-3.6,0.5,0,Измаил
136,1941-01-12,-7.8,-4.6,-2.2,0,Измаил
137,1941-01-13,-14.5,-12,-7.3,0,Измаил
138,1941-01-14,-17.3,-11,-5,0,Измаил
139,1941-01-15,-12.5,-4.7,2,0.5,Измаил
140,1941-01-16,-4.4,-3.1,1.5,4.5,Измаил
141,1941-01-17,-5.9,2.5,6.8,0.9,Измаил
142,1941-01-18,-6.2,-1.7,3.8,0.9,Измаил
143,1941-01-19,-9.3,-6,-0.9,0,Измаил
144,1941-01-20,-8.1,-1.5,3.8,0.8,Измаил
145,1941-01-21,-4.2,2,7.5,0,Измаил
146,1941-01-22,2.1,5.4,9.9,0,Измаил
147,1941-01-23,3.1,5.3,10.6,1,Измаил
148,1941-01-24,2.3,4.8,9.7,2.1,Измаил
149,1941-01-25,0.5,1.8,4.7,0.1,Измаил
150,1941-01-26,-2.4,1.6,5,0,Измаил
151,1941-01-27,-11.3,-5.8,2.2,0.4,Измаил
152,1941-01-28,-15.4,-13,-10,0,Измаил
153,1941-01-29,-17,-13.6,-9.4,0,Измаил
154,1941-01-30,-12,-8.9,-6.2,10.5,Измаил
155,1941-01-31,-12,-6.8,-4,5,Измаил
157,1941-02-01,-8.9,-1.9,1.9,10.6,Измаил
158,1941-02-02,1.8,2.6,3.7,6,Измаил
159,1941-02-03,-2,-0.1,2.4,1,Измаил
160,1941-02-04,-2.8,-1.7,-1,0.2,Измаил
161,1941-02-05,-1.2,1.8,5.5,0.6,Измаил
162,1941-02-06,1.6,3.1,4.9,2.4,Измаил
163,1941-02-07,-0.6,0,1.9,0.3,Измаил
164,1941-02-08,-2.6,-1.7,0,0.2,Измаил
165,1941-02-09,-5.3,-2.9,-0.2,0,Измаил
166,1941-02-10,-6.3,-2.1,1.2,0,Измаил
167,1941-02-11,-1.5,1.7,8.6,0,Измаил
168,1941-02-12,-1.2,2.5,7.4,0,Измаил
169,1941-02-13,0,4.1,9.8,0,Измаил
170,1941-02-14,4.1,6.9,10.6,0,Измаил
171,1941-02-15,6.3,9.1,12.3,1.1,Измаил
172,1941-02-16,2.1,4.4,8.7,0,Измаил
173,1941-02-17,1.8,3.1,5.3,0,Измаил
174,1941-02-18,2.2,4.4,7.3,5.7,Измаил
175,1941-02-19,2.1,6.4,12.1,0,Измаил
176,1941-02-20,3.5,5.5,10.1,0,Измаил
177,1941-02-21,1.8,4.6,10.7,0.2,Измаил
178,1941-02-22,6.1,7.9,11.8,4.9,Измаил
179,1941-02-23,4.5,5.9,9.6,0,Измаил
180,1941-02-24,0,3.6,7.6,2.7,Измаил
181,1941-02-25,0.5,2.1,4.2,5,Измаил
182,1941-02-26,0.2,1.2,3.1,23.9,Измаил
183,1941-02-27,-0.2,1.2,3.2,0,Измаил
184,1941-02-28,-2.4,-1.2,2.2,0,Измаил
186,1941-03-01,-5.8,-2.5,0,0,Измаил
187,1941-03-02,-1.7,2,7.8,0.3,Измаил
188,1941-03-03,-0.7,2,6.4,0,Измаил
189,1941-03-04,1.8,3.4,6,0,Измаил
190,1941-03-05,3.7,4.6,5.4,0,Измаил
191,1941-03-06,5.3,7.2,11.1,0,Измаил
192,1941-03-07,6.2,7.4,10.1,4.3,Измаил
193,1941-03-08,3.8,4.9,8.8,1.1,Измаил
194,1941-03-09,3.5,4.6,5.6,0,Измаил
195,1941-03-10,4.2,5.4,7.3,0,Измаил
196,1941-03-11,5.3,8.2,12.1,0.7,Измаил
197,1941-03-12,1.8,3.1,10.2,0,Измаил
198,1941-03-13,-2.4,-0.2,3.5,0.4,Измаил
199,1941-03-14,-5,-1.7,2.2,0,Измаил
200,1941-03-15,-0.8,1.7,5.6,0,Измаил
201,1941-03-16,-1.9,2.6,7.9,0,Измаил
202,1941-03-17,-2.2,3.2,9.6,0.3,Измаил
203,1941-03-18,-7.4,-5.7,-2,0,Измаил
204,1941-03-19,-6.1,-0.5,4.5,0,Измаил
205,1941-03-20,-2.1,0.9,4.5,0,Измаил
206,1941-03-21,-1.2,2.6,7.6,0,Измаил
207,1941-03-22,-0.6,4.8,10.2,0,Измаил
208,1941-03-23,2.1,6.1,9.1,1.4,Измаил
209,1941-03-24,2.8,4.4,7.4,1,Измаил
210,1941-03-25,-1.2,3.5,8.6,0,Измаил
211,1941-03-26,2,6.4,11.8,0,Измаил
212,1941-03-27,1.8,4.7,10.3,0,Измаил
213,1941-03-28,5.1,9,15.9,0,Измаил
214,1941-03-29,5.8,11.3,20.1,0.2,Измаил
215,1941-03-30,9.1,12.8,19.7,0,Измаил
216,1941-03-31,5.3,11.4,19.9,0,Измаил
218,1941-04-01,10.6,13.6,16.1,0,Измаил
219,1941-04-02,8.5,14.2,20.1,0,Измаил
220,1941-04-03,11.2,12.7,20.8,0,Измаил
221,1941-04-04,6.8,16.1,21.6,0,Измаил
222,1941-04-05,10.5,16.4,22.7,0,Измаил
223,1941-04-06,8.7,15.5,20.7,0,Измаил
224,1941-04-07,7.1,14.3,17.8,0,Измаил
225,1941-04-08,12.2,15.1,20.4,4.8,Измаил
226,1941-04-10,1.8,2.8,5,0,Измаил
227,1941-04-11,0.2,2.5,4.5,0,Измаил
228,1941-04-12,-1,3.3,4.4,0,Измаил
229,1941-04-13,-1,5.8,8.4,0,Измаил
230,1941-04-14,3.4,10.6,14.2,0,Измаил
231,1941-04-15,7.1,12.6,19.1,0,Измаил
232,1941-04-16,9.1,12.6,16.9,0,Измаил
233,1941-04-17,9.4,11,13.4,1.7,Измаил
234,1941-04-18,8.9,15.2,17.1,0.1,Измаил
235,1941-04-19,10.5,14.4,17.4,0,Измаил
236,1941-04-20,8.3,14.7,19.6,0,Измаил
237,1941-04-21,5.9,13.7,18.6,0,Измаил
238,1941-04-22,10.7,16.5,21.2,0,Измаил
239,1941-04-23,9.1,14,18.5,0.7,Измаил
240,1941-04-24,7.8,13.7,16.3,19,Измаил
241,1941-04-25,10.3,12.3,17.3,0,Измаил
242,1941-04-26,11.1,12.5,16.9,0,Измаил
243,1941-04-27,11.2,16.9,18.9,0,Измаил
244,1941-04-28,11.2,15.9,21.9,0,Измаил
245,1941-04-29,12.4,16.3,22.2,0.6,Измаил
246,1941-04-30,9.8,13.5,17.5,11.5,Измаил
248,1941-05-01,8.6,14,18.2,0,Измаил
249,1941-05-02,13.4,15.5,18.7,0.2,Измаил
250,1941-05-03,13,16.6,21.8,0,Измаил
251,1941-05-04,10.5,13.4,16.8,0,Измаил
252,1941-05-05,11.7,14.9,18.8,0,Измаил
253,1941-05-06,11.2,13.2,15.6,0,Измаил
254,1941-05-07,7.5,10.8,14.8,0.3,Измаил
255,1941-05-08,3.3,12.1,17.5,0,Измаил
256,1941-05-09,12.1,14.4,18.1,11.2,Измаил
257,1941-05-10,11.4,13.2,16.7,0.3,Измаил
258,1941-05-11,11,13.6,16.8,1,Измаил
259,1941-05-12,11.2,13.3,15.8,26.1,Измаил
260,1941-05-13,8.9,11.6,17.6,0,Измаил
261,1941-05-14,7.6,13.2,17.9,0,Измаил
262,1941-05-15,8.7,15.3,19.8,0,Измаил
263,1941-05-16,10.4,15.3,20.3,0,Измаил
264,1941-05-17,11.2,14.2,17.4,0,Измаил
265,1941-05-18,11.7,15.2,18.9,0,Измаил
266,1941-05-19,14,17.5,22,0,Измаил
267,1941-05-20,17.9,21.8,26.9,0,Измаил
268,1941-05-21,15,18.8,24.7,0,Измаил
269,1941-05-22,9.3,12.8,18.3,1.2,Измаил
270,1941-05-23,9.1,15.6,21.4,0,Измаил
271,1941-05-24,14,17.6,22.4,0,Измаил
