,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-02,-35.9,-31.7,-23.9,0,Им.Полины Осипенко
2,1936-01-03,-45.4,-37.4,-27.5,0,Им.Полины Осипенко
3,1936-01-04,-35.7,-28.6,-24.5,0.2,Им.Полины Осипенко
4,1936-01-05,-26.2,-21.7,-18.5,0.1,Им.Полины Осипенко
5,1936-01-06,-20.7,-16.4,-13.9,0.3,Им.Полины Осипенко
6,1936-01-07,-36.2,-28,-13.9,0,Им.Полины Осипенко
7,1936-01-08,-40.4,-32.9,-23.5,0,Им.Полины Осипенко
8,1936-01-09,-41.7,-34.2,-24.5,0,Им.Полины Осипенко
9,1936-01-10,-40.5,-32.3,-22,0,Им.Полины Осипенко
10,1936-01-11,-38.8,-30.4,-22,0,Им.Полины Осипенко
11,1936-01-12,-32.2,-26.5,-20.5,0.1,Им.Полины Осипенко
12,1936-01-13,-26.7,-21.6,-17.6,0.3,Им.Полины Осипенко
13,1936-01-14,-23.2,-19.8,-17.1,0.1,Им.Полины Осипенко
14,1936-01-15,-18.8,-18,-17.1,0,Им.Полины Осипенко
15,1936-01-16,-19.6,-17.1,-14.9,0,Им.Полины Осипенко
16,1936-01-17,-17.5,-13.2,-11.3,0,Им.Полины Осипенко
17,1936-01-18,-12.3,-9.2,-7.2,0.4,Им.Полины Осипенко
18,1936-01-19,-17.1,-13.9,-7.2,1.9,Им.Полины Осипенко
19,1936-01-20,-15.1,-8.6,-5.2,0.1,Им.Полины Осипенко
20,1936-01-21,-17.4,-14.4,-8.2,0,Им.Полины Осипенко
21,1936-01-22,-22.9,-19,-13.8,0,Им.Полины Осипенко
22,1936-01-23,-26.9,-20.9,-16.8,0,Им.Полины Осипенко
23,1936-01-24,-35.7,-28.7,-18.8,0,Им.Полины Осипенко
24,1936-01-25,-41.7,-34,-21.5,0,Им.Полины Осипенко
25,1936-01-26,-43,-34.3,-22.7,0,Им.Полины Осипенко
26,1936-01-27,-32.7,-25.7,-21,0,Им.Полины Осипенко
27,1936-01-28,-28.8,-24.4,-20.1,0.6,Им.Полины Осипенко
28,1936-01-29,-25.2,-20.3,-17.6,0.4,Им.Полины Осипенко
29,1936-01-30,-21.7,-18.4,-15.4,0.6,Им.Полины Осипенко
30,1936-01-31,-23.2,-16,-10.1,0.6,Им.Полины Осипенко
32,1936-02-01,-15.7,-14.4,-11.8,0,Им.Полины Осипенко
33,1936-02-02,-23.1,-18.4,-13.4,0,Им.Полины Осипенко
34,1936-02-03,-35,-24.8,-13.2,0,Им.Полины Осипенко
35,1936-02-04,-32.7,-21.4,-12.5,0,Им.Полины Осипенко
36,1936-02-05,-26.4,-19.4,-12.1,0,Им.Полины Осипенко
37,1936-02-06,-25.6,-18.7,-8.9,0,Им.Полины Осипенко
38,1936-02-07,-33.5,-23.8,-13.5,0,Им.Полины Осипенко
39,1936-02-08,-34.4,-23.6,-13,0,Им.Полины Осипенко
40,1936-02-09,-15.8,-13.9,-11.5,0.3,Им.Полины Осипенко
41,1936-02-10,-19.2,-15.2,-11.5,0,Им.Полины Осипенко
42,1936-02-11,-25.8,-18.6,-10.6,0,Им.Полины Осипенко
43,1936-02-12,-20.6,-14,-8.3,0.1,Им.Полины Осипенко
44,1936-02-13,-16.4,-11,-5,0,Им.Полины Осипенко
45,1936-02-14,-18.8,-14.3,-8.8,0,Им.Полины Осипенко
46,1936-02-15,-28.3,-19.4,-10.5,0,Им.Полины Осипенко
47,1936-02-16,-30.3,-21.8,-12.3,0,Им.Полины Осипенко
48,1936-02-17,-25.5,-19.7,-12.3,0,Им.Полины Осипенко
49,1936-02-18,-23,-17.9,-12.3,0,Им.Полины Осипенко
50,1936-02-19,-18.5,-16.2,-12.3,0,Им.Полины Осипенко
51,1936-02-20,-21.5,-16.1,-11.8,0,Им.Полины Осипенко
52,1936-02-21,-18.6,-15,-10.3,0,Им.Полины Осипенко
53,1936-02-22,-20.6,-16.7,-11.2,0,Им.Полины Осипенко
54,1936-02-23,-21.5,-17.1,-9.6,0.1,Им.Полины Осипенко
55,1936-02-24,-22.8,-17.1,-11.9,0,Им.Полины Осипенко
56,1936-02-25,-31.6,-20.4,-11.7,0,Им.Полины Осипенко
57,1936-02-26,-32.3,-22,-11.9,0,Им.Полины Осипенко
58,1936-02-27,-29.9,-21.9,-12.3,0,Им.Полины Осипенко
59,1936-02-28,-27.1,-20.3,-13,0,Им.Полины Осипенко
60,1936-02-29,-19,-14,-10.2,0.1,Им.Полины Осипенко
62,1936-03-01,-10.8,-9.5,-7.5,0,Им.Полины Осипенко
63,1936-03-02,-12.6,-11,-8.2,0,Им.Полины Осипенко
64,1936-03-03,-11.6,-9.1,-7,0,Им.Полины Осипенко
65,1936-03-04,-12.2,-10.4,-6.4,0,Им.Полины Осипенко
66,1936-03-05,-25.8,-15,-4.6,0,Им.Полины Осипенко
67,1936-03-06,-23.8,-15.2,-9.3,0,Им.Полины Осипенко
68,1936-03-07,-26,-15.8,-9.3,0,Им.Полины Осипенко
69,1936-03-08,-29.9,-19.2,-8,0,Им.Полины Осипенко
70,1936-03-09,-28.9,-17.6,-5.7,0,Им.Полины Осипенко
71,1936-03-10,-28.3,-16.7,-5.5,0,Им.Полины Осипенко
72,1936-03-11,-15.2,-9.7,-3.2,0,Им.Полины Осипенко
73,1936-03-12,-16.7,-7.2,-0.2,0,Им.Полины Осипенко
74,1936-03-13,-19.7,-11.4,-4.1,0,Им.Полины Осипенко
75,1936-03-14,-12.7,-11.6,-7.4,0.4,Им.Полины Осипенко
76,1936-03-15,-14.3,-13.5,-12,0.6,Им.Полины Осипенко
77,1936-03-16,-15.8,-13.7,-10.5,0.5,Им.Полины Осипенко
78,1936-03-17,-26,-16.3,-7.7,0,Им.Полины Осипенко
79,1936-03-18,-28.5,-18.5,-6.6,0,Им.Полины Осипенко
