,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-04-01,-15.6,-10.4,-4.6,0,Иргиз
2,1936-04-02,-16.6,-8.8,-1.8,0,Иргиз
3,1936-04-03,-9.2,-4.4,-2.5,0,Иргиз
4,1936-04-04,-6.8,-4.7,-1.7,0,Иргиз
5,1936-04-05,-8,-5.9,-2.8,0,Иргиз
6,1936-04-06,-13.3,-6.6,-0.2,0,Иргиз
7,1936-04-07,-8.5,-4.2,0.4,0,Иргиз
8,1936-04-08,-8.4,-3.8,-0.6,0,Иргиз
9,1936-04-09,-3.5,0.7,3.5,0,Иргиз
10,1936-04-10,1.8,2.8,5.5,0,Иргиз
11,1936-04-11,-2,3.6,9.2,0,Иргиз
12,1936-04-12,1.9,5,9.5,0,Иргиз
13,1936-04-13,3.3,5.3,10.5,0.1,Иргиз
14,1936-04-14,-2,4.8,9.7,0,Иргиз
15,1936-04-15,-1,5.7,11,0,Иргиз
16,1936-04-16,5.1,13.1,21.5,0,Иргиз
17,1936-04-17,10.1,15.4,24.5,0,Иргиз
18,1936-04-18,5.3,13.8,20.5,0,Иргиз
19,1936-04-19,6.3,13,19,0,Иргиз
20,1936-04-20,8.8,13.2,19.4,2.5,Иргиз
21,1936-04-21,10.1,16.3,22.5,0.8,Иргиз
22,1936-04-22,8.6,13.4,18.2,2.3,Иргиз
23,1936-04-23,5.6,10,14,0.8,Иргиз
24,1936-04-24,6.9,10.4,14,3.8,Иргиз
25,1936-04-25,4.4,8.8,13.3,0,Иргиз
26,1936-04-26,-1,8.5,14.2,0,Иргиз
27,1936-04-27,2.6,11.1,16.3,0,Иргиз
28,1936-04-28,5.3,13.7,19.5,0,Иргиз
29,1936-04-29,4.6,7.4,15.7,0,Иргиз
30,1936-04-30,-3.7,3.4,6.8,0,Иргиз
32,1936-05-01,-2.6,8.1,14.4,0,Иргиз
33,1936-05-02,5.5,14.3,21,0,Иргиз
34,1936-05-03,7.4,16.2,22.1,0,Иргиз
35,1936-05-04,8.6,16.2,22.5,0,Иргиз
36,1936-05-05,6.5,17,22.5,0,Иргиз
37,1936-05-06,9.2,16.4,23.6,0,Иргиз
38,1936-05-07,4,10.4,15.4,0,Иргиз
39,1936-05-08,5.7,9.7,15.4,16.5,Иргиз
40,1936-05-09,5.5,12.4,18.6,0,Иргиз
41,1936-05-10,6.7,13.9,20,0,Иргиз
42,1936-05-11,6.7,15.5,21,0,Иргиз
43,1936-05-12,7.5,17.2,22.6,0,Иргиз
44,1936-05-13,9.5,16.6,21.6,0,Иргиз
45,1936-05-14,11.7,13.7,18.2,2.4,Иргиз
46,1936-05-15,7.4,16.2,21.4,0,Иргиз
47,1936-05-16,10.3,17.8,23.7,0,Иргиз
48,1936-05-17,5,9,15.3,0,Иргиз
49,1936-05-18,-1.1,9.8,15,0,Иргиз
50,1936-05-19,2.5,14.1,19.5,0,Иргиз
51,1936-05-20,8.7,16,20.5,0,Иргиз
52,1936-05-21,2.6,11.5,16.6,0,Иргиз
53,1936-05-22,1.3,14.4,21,0,Иргиз
54,1936-05-23,7.5,17.2,23.2,0,Иргиз
55,1936-05-24,15,18.8,24.7,0,Иргиз
56,1936-05-25,8.4,19.2,25.4,0,Иргиз
57,1936-05-26,10.8,20.1,28,0,Иргиз
58,1936-05-27,8.7,16.6,22.3,0,Иргиз
59,1936-05-28,6.3,17.9,24.2,0,Иргиз
60,1936-05-29,9,23.3,29,0,Иргиз
61,1936-05-30,10.9,22.9,30.5,0,Иргиз
62,1936-05-31,12.7,24.3,32.7,0,Иргиз
64,1936-06-01,15.1,26.4,34,0,Иргиз
65,1936-06-02,15.1,26.2,33.7,0,Иргиз
66,1936-06-03,16.2,26.8,33.7,0,Иргиз
67,1936-06-04,16.2,26.4,31.7,0,Иргиз
68,1936-06-05,16.7,27.6,33.6,0,Иргиз
69,1936-06-06,15.1,25.4,32.9,0,Иргиз
70,1936-06-07,16.7,26.6,34.5,0,Иргиз
71,1936-06-08,19.7,27.8,35.5,0,Иргиз
72,1936-06-09,19.2,23.9,32.2,0,Иргиз
73,1936-06-10,8.8,13.7,19.6,0,Иргиз
74,1936-06-11,13.6,19.2,25.7,0,Иргиз
75,1936-06-12,13.6,21.4,25,0,Иргиз
76,1936-06-13,12,23.3,27.3,0,Иргиз
77,1936-06-14,13.4,23.5,28.6,0,Иргиз
78,1936-06-15,11.8,24.1,30,0,Иргиз
79,1936-06-16,14.9,26,29.8,0,Иргиз
80,1936-06-17,17.6,25.1,32,1.8,Иргиз
81,1936-06-18,10.9,13.9,23.6,2.4,Иргиз
82,1936-06-19,6.8,15.2,26,0,Иргиз
83,1936-06-20,5.6,19.5,25,0,Иргиз
84,1936-06-21,7.6,21.8,29,0,Иргиз
85,1936-06-22,9.8,26.5,32.8,0,Иргиз
86,1936-06-23,11.1,26.3,32.8,0,Иргиз
87,1936-06-24,11.6,27,35,0,Иргиз
88,1936-06-25,13.1,27.9,33.9,0,Иргиз
89,1936-06-26,14.6,28.7,36.3,0,Иргиз
90,1936-06-27,16.7,30.6,39.2,0,Иргиз
91,1936-06-28,11.1,31.2,40,0,Иргиз
92,1936-06-29,18.7,32.6,40,0,Иргиз
93,1936-06-30,16.7,29.2,36.5,0,Иргиз
95,1936-07-01,13.5,22.2,32.5,0,Иргиз
96,1936-07-02,6.5,22.8,31.5,0,Иргиз
97,1936-07-03,7.9,20.4,26.5,0,Иргиз
98,1936-07-04,8,22.8,30.3,0.3,Иргиз
99,1936-07-05,7.5,20.3,26.5,0,Иргиз
100,1936-07-06,7.5,19.8,26,0,Иргиз
101,1936-07-07,10,20.1,26,0,Иргиз
102,1936-07-08,10.5,24.2,30.5,0.5,Иргиз
103,1936-07-09,10,24.1,33.5,0,Иргиз
104,1936-07-10,16.2,24.3,30,0,Иргиз
105,1936-07-11,11,25.6,32.5,0,Иргиз
106,1936-07-12,10.5,23.4,30.5,0,Иргиз
107,1936-07-13,11,24.5,31.4,2.5,Иргиз
108,1936-07-14,14.5,24.9,30.7,0,Иргиз
109,1936-07-15,12.5,24.3,29.4,0,Иргиз
110,1936-07-16,11,26.6,33.8,0,Иргиз
111,1936-07-17,12.3,28.6,35.5,0,Иргиз
112,1936-07-18,21.1,30.6,36.7,0,Иргиз
113,1936-07-19,21.5,31,38.6,0,Иргиз
114,1936-07-20,19.1,26,34.8,0,Иргиз
115,1936-07-21,18.1,24.3,30.5,0,Иргиз
116,1936-07-22,15.6,20.1,29.5,0.2,Иргиз
117,1936-07-23,14.7,23.6,31,1.5,Иргиз
118,1936-07-24,17.6,26.7,34,0,Иргиз
119,1936-07-25,19.3,28.4,35.3,0,Иргиз
120,1936-07-26,23.1,27.4,33.8,0.3,Иргиз
121,1936-07-27,17.8,26.9,31.7,0,Иргиз
122,1936-07-28,19.1,24,30.2,0,Иргиз
123,1936-07-29,15.5,22.5,27.8,0,Иргиз
124,1936-07-30,14.3,22.8,27.8,0,Иргиз
125,1936-07-31,18.6,25.8,32.3,0,Иргиз
127,1936-08-01,16.8,24.3,30.8,0,Иргиз
128,1936-08-02,17.1,26,33.4,0,Иргиз
129,1936-08-03,21.1,27.1,32,0,Иргиз
130,1936-08-04,15.9,25.4,29.8,0,Иргиз
131,1936-08-05,13,22.2,28,0,Иргиз
132,1936-08-06,12.8,22.6,29.5,0,Иргиз
133,1936-08-07,19.2,27,35.1,0,Иргиз
134,1936-08-08,18.4,26.6,33.6,0,Иргиз
135,1936-08-09,21.1,29.4,37,0,Иргиз
136,1936-08-10,18.8,28.2,35.6,0,Иргиз
137,1936-08-11,19.6,28,37.5,0,Иргиз
138,1936-08-12,17.3,27.4,33,0,Иргиз
139,1936-08-13,15.6,23.7,29.5,0,Иргиз
140,1936-08-14,14.4,23.3,30.5,0,Иргиз
141,1936-08-15,15.6,25,33.2,0,Иргиз
142,1936-08-16,17.4,27.3,36.7,0,Иргиз
143,1936-08-17,18.6,29,38,0,Иргиз
144,1936-08-18,15.8,21.6,33.8,0,Иргиз
145,1936-08-19,12.5,21.2,28.5,0,Иргиз
146,1936-08-20,19.1,25,31.8,0,Иргиз
147,1936-08-21,16.1,23.6,31.5,12,Иргиз
148,1936-08-22,14,16.8,21.4,20,Иргиз
149,1936-08-23,9.4,13.2,18.2,0,Иргиз
150,1936-08-24,8,10.5,14.8,1.2,Иргиз
151,1936-08-25,6.5,13.6,22,0.5,Иргиз
152,1936-08-26,9.2,15.3,20.3,1.4,Иргиз
153,1936-08-27,9.5,13.5,19.5,0,Иргиз
154,1936-08-28,10.8,17.1,23.8,0,Иргиз
155,1936-08-29,12,17.8,24,0,Иргиз
156,1936-08-30,14.9,18,22.4,1.2,Иргиз
157,1936-08-31,11.5,17.7,25.5,0,Иргиз
159,1936-09-01,13.4,18.8,24.5,0,Иргиз
160,1936-09-02,10.4,18.1,26.4,0,Иргиз
161,1936-09-03,10.5,21.8,29.6,0,Иргиз
162,1936-09-04,14.9,18,25.2,2.7,Иргиз
163,1936-09-05,14.9,18.7,24.5,0,Иргиз
164,1936-09-06,13.4,14.9,19.5,1.3,Иргиз
165,1936-09-07,9.2,13.6,19.4,0,Иргиз
166,1936-09-08,8.9,13.6,20.3,0,Иргиз
167,1936-09-09,6.7,14.4,21.7,0,Иргиз
168,1936-09-10,8.4,16.5,25,0,Иргиз
169,1936-09-11,10.9,19.5,28.4,0,Иргиз
170,1936-09-12,11.9,20.6,29.5,0,Иргиз
171,1936-09-13,11.9,21.2,29.5,0,Иргиз
172,1936-09-14,10.5,21,27,0,Иргиз
173,1936-09-15,10.9,13.5,21.6,2.8,Иргиз
174,1936-09-16,8.9,11.8,17.2,0.5,Иргиз
175,1936-09-17,5.1,10.2,15.4,0,Иргиз
176,1936-09-18,6.9,10.2,14.6,0,Иргиз
177,1936-09-19,4.2,11,19.4,0,Иргиз
178,1936-09-20,3.9,11.1,20,0,Иргиз
179,1936-09-21,5.4,13.5,21.6,0,Иргиз
180,1936-09-22,7.6,9.6,15.2,0.5,Иргиз
181,1936-09-23,3.2,8.1,15.1,0.3,Иргиз
182,1936-09-24,4.9,10.9,19,0,Иргиз
183,1936-09-25,5.4,11.9,20,0,Иргиз
184,1936-09-26,3.4,12.1,23,0,Иргиз
185,1936-09-27,4.8,14.2,23.5,0,Иргиз
186,1936-09-28,7.4,15.2,24.7,0,Иргиз
187,1936-09-29,4.4,14,24.3,0,Иргиз
188,1936-09-30,5.4,14.2,24,0,Иргиз
190,1936-10-01,5,13.9,25,0,Иргиз
191,1936-10-02,6,13.6,22.1,0,Иргиз
192,1936-10-03,4.5,12.8,22.3,0,Иргиз
193,1936-10-04,5.2,14.4,24.3,0,Иргиз
194,1936-10-05,7.5,15.9,26.5,0,Иргиз
195,1936-10-06,4.5,14.3,24.2,0,Иргиз
196,1936-10-07,5.5,14.4,26,0,Иргиз
197,1936-10-08,9,18.6,27.5,0,Иргиз
198,1936-10-09,6.4,14.2,23.3,0.1,Иргиз
199,1936-10-10,5.7,13.9,22,0,Иргиз
200,1936-10-11,6.5,14.4,22.9,0.7,Иргиз
201,1936-10-12,0.8,5.8,12.3,0,Иргиз
202,1936-10-13,0.2,3.6,9,0,Иргиз
203,1936-10-14,3.5,8.9,19.5,1.3,Иргиз
204,1936-10-15,0.5,3.2,11.3,0,Иргиз
205,1936-10-16,0.5,5.7,11.5,11.2,Иргиз
206,1936-10-17,6.5,9,13,0,Иргиз
207,1936-10-18,3.7,9.6,14.5,0,Иргиз
208,1936-10-19,6,9.2,12,13.6,Иргиз
209,1936-10-20,5,9.4,12.5,0,Иргиз
210,1936-10-21,4.5,9,15.5,0,Иргиз
211,1936-10-22,6.3,10.2,16,0,Иргиз
212,1936-10-23,3,9.8,19,0,Иргиз
213,1936-10-24,-1.5,1.2,11,0,Иргиз
214,1936-10-25,-4.6,0.2,6.5,0,Иргиз
215,1936-10-26,0.2,3.7,9,0,Иргиз
216,1936-10-27,-2.7,2.4,4.3,0,Иргиз
217,1936-10-28,1.7,3,4.7,0,Иргиз
218,1936-10-29,1,4,7,5.6,Иргиз
219,1936-10-30,1.5,3.1,6.5,0,Иргиз
220,1936-10-31,0.9,1.6,3.5,0,Иргиз
222,1936-11-01,-0.9,0.2,4.3,0,Иргиз
223,1936-11-02,-0.1,5.2,8.2,0,Иргиз
224,1936-11-03,2.3,5.2,10.5,0,Иргиз
225,1936-11-04,-2.1,2.6,9.8,0,Иргиз
226,1936-11-05,-3.1,2.2,8.7,0,Иргиз
227,1936-11-06,-2.1,2.8,7,0,Иргиз
228,1936-11-07,-2.6,1.3,7,0,Иргиз
229,1936-11-08,-4.3,-0.8,5,0,Иргиз
230,1936-11-09,-6.6,-0.6,7.5,0,Иргиз
231,1936-11-10,-0.9,2.7,6.7,0,Иргиз
232,1936-11-11,-4.1,0.9,8.3,0,Иргиз
233,1936-11-12,-4.6,0.6,8.8,0,Иргиз
234,1936-11-13,-6.1,0.1,8.6,0,Иргиз
235,1936-11-14,-7.1,0.9,10.7,0,Иргиз
236,1936-11-15,-4.9,1,10,0,Иргиз
237,1936-11-16,-6.6,0.2,9.2,0,Иргиз
238,1936-11-17,-2.7,2.1,6.7,0,Иргиз
239,1936-11-18,-0.5,2.6,5.7,0,Иргиз
240,1936-11-19,-4.1,0.9,7,0,Иргиз
241,1936-11-20,0.2,2.6,5,0,Иргиз
242,1936-11-21,-6.7,-4,0.5,0,Иргиз
243,1936-11-22,-8.6,-6.8,-3,0,Иргиз
244,1936-11-23,-12.6,-8.2,1.5,0,Иргиз
245,1936-11-24,-11.1,-6.4,-3,0.1,Иргиз
246,1936-11-25,-5.1,-1.5,2.3,0,Иргиз
247,1936-11-26,-4.6,-2.1,2.2,0,Иргиз
248,1936-11-27,-11.1,-7.2,-3.5,0,Иргиз
249,1936-11-28,-15.1,-8.2,-1.5,0,Иргиз
250,1936-11-29,-11.1,-5.2,2.3,0,Иргиз
251,1936-11-30,-9.6,-4.4,2,0,Иргиз
253,1936-12-01,-4.6,-0.5,3.5,0,Иргиз
254,1936-12-02,0.7,2.1,5.4,0,Иргиз
255,1936-12-03,-3.6,-1.6,1.7,0.6,Иргиз
256,1936-12-04,-5.6,-2.2,0.8,0,Иргиз
257,1936-12-05,-10.7,-7.4,-2.4,0,Иргиз
258,1936-12-06,-10.1,-6.5,-1.5,0,Иргиз
259,1936-12-07,-10.6,-6.8,-0.5,0,Иргиз
260,1936-12-08,-11.1,-7.7,-3,0,Иргиз
261,1936-12-09,-13.7,-10.4,-6.5,0,Иргиз
262,1936-12-10,-17.1,-12.4,-4.5,0,Иргиз
263,1936-12-11,-16.2,-10.6,-4,0,Иргиз
264,1936-12-12,-17,-10.8,-4,0,Иргиз
265,1936-12-13,-6.1,-4.1,0,0.1,Иргиз
266,1936-12-14,-12.2,-8.4,-1.7,0,Иргиз
267,1936-12-15,-12.8,-3.7,-1.5,0,Иргиз
268,1936-12-16,-6.6,-5.2,-3,0,Иргиз
269,1936-12-17,-6.1,-2.7,-0.6,0,Иргиз
270,1936-12-18,-13.6,-9.2,-3,0,Иргиз
271,1936-12-19,-19.6,-14.9,-8.5,0,Иргиз
272,1936-12-20,-23,-14.8,-8,0,Иргиз
273,1936-12-21,-19,-12.2,-7.5,0,Иргиз
274,1936-12-22,-19.2,-6.6,-0.5,0,Иргиз
275,1936-12-23,-7.8,-4.9,-1.5,0,Иргиз
276,1936-12-24,-5.6,-3.2,-1.5,0,Иргиз
277,1936-12-25,-2.3,-0.9,0.6,0.3,Иргиз
278,1936-12-26,-1.6,0.2,2.7,0,Иргиз
279,1936-12-27,-2.1,0,1,0,Иргиз
280,1936-12-28,-11.6,-5.4,1.5,2.4,Иргиз
281,1936-12-29,-12.1,-5.4,-0.7,0.5,Иргиз
282,1936-12-30,-8.1,-4.6,0,3.3,Иргиз
283,1936-12-31,-19.5,-12.6,-6,0.2,Иргиз
285,1937-01-02,-30.4,-18.4,-10.5,0.1,Иргиз
286,1937-01-03,-10.8,-3.9,-1.5,0,Иргиз
287,1937-01-04,-5.4,-3.8,-2,0,Иргиз
288,1937-01-05,-4.1,-3.6,-2.5,0,Иргиз
289,1937-01-06,-15,-7.8,-3.5,0.1,Иргиз
290,1937-01-07,-16.5,-10.1,-7,0.2,Иргиз
