,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-33.9,-28.3,-25.5,0.3,Иркутск
2,1900-01-02,-32.4,-27.6,-21.7,0,Иркутск
3,1900-01-03,-36.8,-29.9,-23.9,0,Иркутск
4,1900-01-04,-28.1,-22.2,-16.4,0,Иркутск
5,1900-01-05,-27.4,-21.4,-18.3,0,Иркутск
6,1900-01-06,-26.1,-22.7,-19.3,0,Иркутск
7,1900-01-07,-25.2,-21.2,-18.9,0.3,Иркутск
8,1900-01-08,-29.4,-24.3,-20.1,0.3,Иркутск
9,1900-01-09,-29.3,-23.4,-19.6,0.4,Иркутск
10,1900-01-10,-32.6,-23.9,-15.3,0,Иркутск
11,1900-01-11,-23.6,-20,-16.3,0.3,Иркутск
12,1900-01-12,-32.8,-27.1,-19,0.1,Иркутск
13,1900-01-13,-33.9,-27.5,-21.1,0,Иркутск
14,1900-01-14,-34.4,-24.5,-15.6,0,Иркутск
15,1900-01-15,-32.1,-22.9,-16.3,0,Иркутск
16,1900-01-16,-24.5,-20.4,-16.5,0,Иркутск
17,1900-01-17,-27,-20.9,-16.1,0,Иркутск
18,1900-01-18,-27.8,-22.8,-17,0,Иркутск
19,1900-01-19,-34.1,-29.7,-24.6,0,Иркутск
20,1900-01-20,-39.1,-33.9,-27.5,0,Иркутск
21,1900-01-21,-41.4,-35.5,-28,0,Иркутск
22,1900-01-22,-39,-35.4,-27.3,0,Иркутск
23,1900-01-23,-40.8,-30.8,-21.8,0.1,Иркутск
24,1900-01-24,-33.9,-28,-21.2,0,Иркутск
25,1900-01-25,-31.6,-22.4,-16.6,0,Иркутск
26,1900-01-26,-20.4,-18.8,-17.2,0.6,Иркутск
27,1900-01-27,-26.6,-21.9,-16.7,0.6,Иркутск
28,1900-01-28,-31.5,-26.5,-19.3,0,Иркутск
29,1900-01-29,-38,-32.1,-24.9,0.2,Иркутск
30,1900-01-30,-39.2,-30.6,-22.3,0,Иркутск
31,1900-01-31,-37.1,-31.2,-24.7,0,Иркутск
33,1900-02-01,-33.1,-23.5,-18.9,0.6,Иркутск
34,1900-02-02,-24,-19,-16.2,2.9,Иркутск
35,1900-02-03,-19.2,-17.4,-15.1,3.3,Иркутск
36,1900-02-04,-17.7,-11.7,-8.3,2.3,Иркутск
37,1900-02-05,-15.4,-10.2,-5.8,0,Иркутск
38,1900-02-06,-19.5,-14.5,-8.7,1.3,Иркутск
39,1900-02-07,-24.7,-18.1,-13.2,0.3,Иркутск
40,1900-02-08,-27.6,-18.1,-11.8,2,Иркутск
41,1900-02-09,-14.5,-10.2,-6.3,3.7,Иркутск
42,1900-02-10,-13.3,-7.9,0.6,0.4,Иркутск
43,1900-02-11,-21.5,-15.1,-9,0.5,Иркутск
44,1900-02-12,-28.9,-20.8,-16.1,0,Иркутск
45,1900-02-13,-35.2,-29.1,-20.5,0,Иркутск
46,1900-02-14,-34.7,-22.3,-12.7,0,Иркутск
47,1900-02-15,-21,-16.6,-11.3,0.6,Иркутск
48,1900-02-16,-20.2,-14.5,-7.7,0.5,Иркутск
49,1900-02-17,-21,-14,-8.7,0,Иркутск
50,1900-02-18,-22.4,-13.7,-6.8,0,Иркутск
51,1900-02-19,-13.2,-8.1,-1.7,0,Иркутск
52,1900-02-20,-15.4,-7.9,0.5,0,Иркутск
53,1900-02-21,-10.5,-5.4,1.5,0,Иркутск
54,1900-02-22,-17.5,-9.8,-3.3,1.8,Иркутск
55,1900-02-23,-18.5,-16,-9.1,0.9,Иркутск
56,1900-02-24,-29.1,-22.6,-14.5,0,Иркутск
57,1900-02-25,-31.7,-18.4,-10.8,0,Иркутск
58,1900-02-26,-14,-8.6,0.5,0,Иркутск
59,1900-02-27,-20.4,-14.7,-3.8,0.1,Иркутск
60,1900-02-28,-20.2,-13.5,-5.2,0.9,Иркутск
62,1900-03-01,-19.8,-13.4,-7.2,0.3,Иркутск
63,1900-03-02,-24,-14,-5.3,0,Иркутск
64,1900-03-03,-17.9,-12.5,-8.1,0,Иркутск
65,1900-03-04,-21.5,-14.6,-7.3,0,Иркутск
66,1900-03-05,-26.5,-15.2,-3.3,0,Иркутск
67,1900-03-06,-21.7,-9.7,-2.4,2,Иркутск
68,1900-03-07,-6.7,-2.5,2.9,0.6,Иркутск
69,1900-03-08,-7.1,0.4,4.6,0,Иркутск
70,1900-03-09,-1.1,0.6,3.6,0,Иркутск
71,1900-03-10,-12.5,-3.8,4.7,0,Иркутск
72,1900-03-11,-16.5,-6.7,2.5,0,Иркутск
73,1900-03-12,-19.6,-10.6,0,0,Иркутск
74,1900-03-13,-22,-13.7,-5.4,0.5,Иркутск
75,1900-03-14,-24.6,-15.7,-5.6,0,Иркутск
76,1900-03-15,-19.7,-11.1,-4.4,0,Иркутск
77,1900-03-16,-9.6,-6.5,-3.2,0,Иркутск
78,1900-03-17,-17.7,-10.2,-1.9,0,Иркутск
79,1900-03-18,-22,-11.1,-1.3,0,Иркутск
80,1900-03-19,-20.3,-8,0.7,0,Иркутск
81,1900-03-20,-14.8,-9.2,-4.6,0,Иркутск
82,1900-03-21,-18.5,-11.6,-5.2,0,Иркутск
83,1900-03-22,-14.7,-8,-1.7,0.5,Иркутск
84,1900-03-23,-19.8,-7.8,0.9,0,Иркутск
85,1900-03-24,-17.3,-7.5,-0.7,0,Иркутск
86,1900-03-25,-16.1,-12.3,-5.2,0,Иркутск
87,1900-03-26,-21.5,-8.1,2.9,0,Иркутск
88,1900-03-27,-15.3,-6,0.8,0.3,Иркутск
89,1900-03-28,-8.3,-3.2,1.9,0.2,Иркутск
90,1900-03-29,-13.2,-2.5,4.7,0,Иркутск
91,1900-03-30,-6.3,-4.4,-0.7,0.1,Иркутск
92,1900-03-31,-12.1,-7.2,-4,0,Иркутск
94,1900-04-01,-15.3,-8.7,-3.2,0,Иркутск
95,1900-04-02,-13,-4.7,1.4,0,Иркутск
96,1900-04-03,-8.8,-6,-2.1,1,Иркутск
97,1900-04-04,-13.3,-11,-7.8,0,Иркутск
98,1900-04-05,-24,-12.2,-4,0,Иркутск
99,1900-04-06,-20.6,-9.9,-1.2,0,Иркутск
100,1900-04-07,-15,-6.5,0.2,0,Иркутск
101,1900-04-08,-13.6,-4.5,-1.4,5.4,Иркутск
102,1900-04-09,-11.4,-9,-5.2,0.2,Иркутск
103,1900-04-10,-23.4,-12.1,-5.8,0,Иркутск
