,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-15.9,-11.4,-8.6,0,Иртышск
2,1936-01-02,-12,-9.6,-7.9,0,Иртышск
3,1936-01-03,-19,-12.1,-8.6,0.2,Иртышск
4,1936-01-04,-21.3,-15.1,-12.2,0,Иртышск
5,1936-01-05,-14.6,-9.8,-8.3,0,Иртышск
6,1936-01-06,-14.6,-11.5,-8.2,0,Иртышск
7,1936-01-07,-18.2,-14.7,-12.6,0,Иртышск
8,1936-01-08,-17.2,-14.5,-11.7,0,Иртышск
9,1936-01-09,-23.1,-19.9,-16,0,Иртышск
10,1936-01-10,-22.4,-18.3,-15.6,0,Иртышск
11,1936-01-12,-24.4,-21.6,-17,0.1,Иртышск
12,1936-01-13,-25.9,-22.2,-18,0.2,Иртышск
13,1936-01-14,-24.7,-22.1,-18.5,0.1,Иртышск
14,1936-01-15,-27,-22.7,-19,0,Иртышск
15,1936-01-16,-24,-21,-18,0,Иртышск
16,1936-01-17,-23,-19.8,-14.5,0,Иртышск
17,1936-01-18,-20.3,-16.2,-10.6,0,Иртышск
18,1936-01-19,-20.6,-16.9,-14.2,0.4,Иртышск
19,1936-01-20,-30,-24,-16,0.1,Иртышск
20,1936-01-21,-33.9,-27.5,-21,0.1,Иртышск
21,1936-01-22,-32.8,-20.1,-14.7,0,Иртышск
22,1936-01-23,-15.9,-13.5,-12.6,0,Иртышск
23,1936-01-24,-15.6,-11.4,-8.5,0.3,Иртышск
24,1936-01-25,-12,-8.3,-5.9,0.1,Иртышск
25,1936-01-26,-22.4,-17.4,-6.7,0,Иртышск
26,1936-01-27,-24.2,-21.8,-19.5,0,Иртышск
27,1936-01-28,-20.5,-12.2,-10.3,0.2,Иртышск
28,1936-01-29,-21,-15.3,-6.2,0.4,Иртышск
29,1936-01-30,-28,-24,-20,0,Иртышск
30,1936-01-31,-20.6,-15.5,-13.1,0.9,Иртышск
32,1936-02-01,-13.4,-4.6,2.5,0,Иртышск
33,1936-02-02,-23.6,-16.4,-3.4,0,Иртышск
34,1936-02-03,-28.9,-23.4,-11.7,0.4,Иртышск
35,1936-02-04,-26.9,-20.7,-15.5,0,Иртышск
36,1936-02-05,-20.6,-15.6,-10,0,Иртышск
37,1936-02-06,-14.4,-11.2,-7.8,0.1,Иртышск
38,1936-02-07,-10.7,-7.8,-5.5,0,Иртышск
39,1936-02-08,-14.7,-10.4,-7.3,0,Иртышск
40,1936-02-09,-12.1,-5.8,0.1,0,Иртышск
41,1936-02-10,-24.8,-15,0,2.4,Иртышск
42,1936-02-11,-24.8,-16.3,-7.8,0,Иртышск
43,1936-02-12,-8.8,-2.5,-0.7,0,Иртышск
44,1936-02-13,-7.3,-3.7,0.4,3,Иртышск
45,1936-02-14,-7.3,-5.6,-4.3,0,Иртышск
46,1936-02-15,-11,-8,-4.3,0,Иртышск
47,1936-02-16,-13.5,-12,-7.7,0,Иртышск
48,1936-02-17,-19.4,-16,-11.7,0,Иртышск
49,1936-02-18,-19.9,-15.8,-11.4,0,Иртышск
50,1936-02-19,-21.3,-17.3,-14.2,0,Иртышск
51,1936-02-20,-23.8,-20.2,-16.8,0,Иртышск
52,1936-02-21,-28.7,-21.6,-13.8,0,Иртышск
