,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-37,-32.4,-29.2,0.4,Исить
2,1936-01-02,-48.2,-44,-35.6,0,Исить
3,1936-01-03,-49.5,-45.5,-43.1,0.1,Исить
4,1936-01-04,-51.2,-48.2,-45.6,0,Исить
5,1936-01-05,-50.9,-48.7,-45.6,0,Исить
6,1936-01-06,-46.9,-44.4,-43.5,0,Исить
7,1936-01-07,-46.1,-43.7,-41.6,0,Исить
8,1936-01-08,-47,-44.4,-43.6,0,Исить
9,1936-01-09,-44.2,-42.1,-38.7,0.4,Исить
10,1936-01-10,-38.8,-29.9,-23.4,0.9,Исить
11,1936-01-11,-35,-30,-27.2,0,Исить
12,1936-01-12,-40.9,-38.4,-33.1,0.1,Исить
13,1936-01-13,-45.6,-42.7,-40.6,0.1,Исить
14,1936-01-14,-49.8,-46.1,-41.7,0,Исить
15,1936-01-15,-52.1,-50,-47.5,0,Исить
16,1936-01-16,-50.8,-48.7,-47.4,0,Исить
17,1936-01-17,-49.5,-46.9,-44.6,0,Исить
18,1936-01-18,-47.5,-40,-36.2,0,Исить
19,1936-01-19,-36.2,-29,-26.2,0.4,Исить
20,1936-01-20,-27.8,-24.4,-23,0,Исить
21,1936-01-21,-29.2,-25.8,-22.6,0,Исить
22,1936-01-22,-34.6,-30.7,-28.5,0,Исить
23,1936-01-23,-39.2,-32,-27.3,0.2,Исить
24,1936-01-24,-27.8,-23.8,-22.2,0.5,Исить
25,1936-01-25,-27.8,-25.2,-23.3,0.1,Исить
26,1936-01-26,-41.7,-37.8,-26.9,0,Исить
27,1936-01-27,-44.8,-43.4,-41.6,0,Исить
28,1936-01-28,-47.5,-42.8,-39.8,0,Исить
29,1936-01-29,-47.5,-44.4,-41.4,0,Исить
30,1936-01-30,-48.5,-44.8,-43.2,0,Исить
31,1936-01-31,-45.1,-42.5,-40.3,0,Исить
33,1936-02-01,-43.4,-40,-37.7,0,Исить
34,1936-02-02,-42.2,-40,-37.7,0,Исить
35,1936-02-03,-40.6,-37.3,-33.7,0,Исить
36,1936-02-04,-44.9,-40.4,-36.2,0,Исить
37,1936-02-05,-42.7,-36.9,-32.2,0,Исить
38,1936-02-06,-39,-34.5,-30.2,0,Исить
39,1936-02-07,-40.2,-37.2,-34.5,0,Исить
40,1936-02-08,-37.2,-35,-31.9,0,Исить
41,1936-02-09,-37,-33.2,-29.9,0,Исить
