,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-21.4,-17,-13.7,0.6,Казань
2,1900-01-02,-14.1,-11.8,-10,1.6,Казань
3,1900-01-03,-15.9,-13.5,-12.6,3.1,Казань
4,1900-01-04,-18.1,-15.9,-12.5,1.3,Казань
5,1900-01-05,-25.5,-22.7,-17.6,0,Казань
6,1900-01-06,-29.2,-24,-21,1.1,Казань
7,1900-01-07,-21.9,-15,-13.5,4.2,Казань
8,1900-01-08,-26.5,-22.5,-14.5,0,Казань
9,1900-01-09,-26.7,-17.7,-15.7,0,Казань
10,1900-01-10,-19.5,-16.7,-14.6,0,Казань
11,1900-01-11,-20.8,-18.2,-14.5,0,Казань
12,1900-01-12,-24.1,-21.5,-19.4,0,Казань
13,1900-01-13,-24.7,-20.8,-17.1,0,Казань
14,1900-01-14,-25.3,-22.1,-18.5,0,Казань
15,1900-01-15,-25.5,-22.4,-19.3,0,Казань
16,1900-01-16,-27,-22,-19.3,0,Казань
17,1900-01-17,-22.9,-16.4,-11.5,0,Казань
18,1900-01-18,-20.8,-17.5,-13.4,0,Казань
19,1900-01-19,-24.1,-21.6,-17.8,0,Казань
20,1900-01-20,-26.7,-22.9,-18.9,0,Казань
21,1900-01-21,-25.7,-21.4,-19.1,0,Казань
22,1900-01-22,-22.8,-19.8,-17.3,0,Казань
23,1900-01-23,-18.9,-17.8,-16.6,0,Казань
24,1900-01-24,-21.3,-19.8,-17.5,0,Казань
25,1900-01-25,-21,-18.6,-17.7,0.2,Казань
26,1900-01-26,-19.5,-18.8,-17.6,0.8,Казань
27,1900-01-27,-19.7,-18.5,-17.4,0.1,Казань
28,1900-01-28,-18.1,-16.9,-15.5,0,Казань
29,1900-01-29,-18.3,-16.1,-14.5,0,Казань
30,1900-01-30,-15,-12,-9,0,Казань
31,1900-01-31,-17.1,-15.4,-12,0,Казань
33,1900-02-01,-17.8,-15.3,-12.5,0,Казань
34,1900-02-02,-15.8,-14.6,-13.4,0,Казань
35,1900-02-03,-17.7,-15.8,-13.5,0.2,Казань
