,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1947-01-01,-6.8,-5,-4,0,Калининград
2,1947-01-02,-11,-6.5,-4,0.3,Калининград
3,1947-01-03,-13.4,-9.4,-4.5,0.2,Калининград
4,1947-01-04,-18,-13.9,-9.8,0,Калининград
5,1947-01-05,-19.1,-16.5,-12,0.1,Калининград
6,1947-01-06,-16.7,-13.6,-12.6,0.5,Калининград
7,1947-01-07,-15.8,-13.4,-12.3,0.3,Калининград
8,1947-01-08,-13,-10.7,-8.1,0.4,Калининград
9,1947-01-09,-18.2,-15.3,-11,0.1,Калининград
10,1947-01-10,-18.2,-16.3,-15,0,Калининград
11,1947-01-11,-22.3,-17.5,-13,0.2,Калининград
12,1947-01-12,-21.2,-17.4,-14.4,1.5,Калининград
13,1947-01-13,-18.1,-12,-8.2,0,Калининград
14,1947-01-14,-8.2,-0.8,3.4,2.5,Калининград
15,1947-01-15,0.1,1.6,2.4,0.1,Калининград
16,1947-01-16,0.9,3.6,9.9,0.8,Калининград
17,1947-01-17,0.8,4.6,8.4,0,Калининград
18,1947-01-18,1.7,2.9,4.2,0.2,Калининград
19,1947-01-19,0.6,1.8,3,0.3,Калининград
20,1947-01-20,-2.4,-0.2,1.4,1.7,Калининград
21,1947-01-21,-6.8,-3.5,-1.3,1.5,Калининград
22,1947-01-22,-9.5,-7.6,-3.5,1.5,Калининград
23,1947-01-23,-9.8,-7.4,-6,0.3,Калининград
24,1947-01-24,-7.8,-6.4,-5,0.8,Калининград
25,1947-01-25,-15.7,-10.5,-4,2.5,Калининград
26,1947-01-26,-22.8,-17.6,-13.2,0.3,Калининград
27,1947-01-27,-18.5,-16.5,-13.9,0.2,Калининград
28,1947-01-28,-24.4,-13.6,-7.4,1,Калининград
29,1947-01-29,-7.4,-3,-1,0.3,Калининград
30,1947-01-30,-5.8,-4.3,-3,0.2,Калининград
31,1947-01-31,-8.2,-6.9,-4.2,0.7,Калининград
33,1947-02-01,-18.3,-14.1,-7.8,0,Калининград
34,1947-02-02,-19.3,-11.8,-6,0,Калининград
35,1947-02-03,-8,-6.6,-6,0,Калининград
36,1947-02-04,-7.9,-6.7,-5.5,1,Калининград
37,1947-02-05,-16,-13.2,-7.5,0,Калининград
38,1947-02-06,-19.6,-17.2,-14.3,0,Калининград
39,1947-02-07,-20.7,-12.5,-8.5,1,Калининград
40,1947-02-08,-16.8,-13.8,-10.1,0,Калининград
41,1947-02-09,-21.8,-16.4,-12.3,0,Калининград
42,1947-02-10,-20.8,-15.5,-10.4,0,Калининград
43,1947-02-11,-18.2,-15.4,-12,0,Калининград
44,1947-02-12,-18.8,-15.2,-11.9,0,Калининград
45,1947-02-13,-13.5,-11.9,-10.5,0,Калининград
46,1947-02-14,-17.3,-14.4,-9,0,Калининград
47,1947-02-15,-16.6,-13.3,-8.2,0,Калининград
48,1947-02-16,-19.3,-13.2,-9,0,Калининград
49,1947-02-17,-16.8,-14.2,-8.5,0,Калининград
50,1947-02-18,-21.6,-14.8,-5.1,0,Калининград
51,1947-02-19,-19.5,-15,-8.5,0,Калининград
52,1947-02-20,-17.4,-14,-10,0,Калининград
53,1947-02-21,-10.6,-9.4,-8.3,18,Калининград
54,1947-02-22,-15.3,-11.6,-8.8,6,Калининград
55,1947-02-23,-12.8,-9.2,-8.3,0,Калининград
56,1947-02-24,-10,-8.6,-6.5,19,Калининград
57,1947-02-25,-12.5,-9.8,-6.5,1,Калининград
58,1947-02-26,-13.6,-9.6,-5,0,Калининград
59,1947-02-27,-14.3,-10.7,-6.3,0,Калининград
60,1947-02-28,-16.4,-12.2,-8.6,0,Калининград
62,1947-03-01,-10.1,-4.9,1.4,2.2,Калининград
63,1947-03-02,-7.7,-6.1,-3,3,Калининград
64,1947-03-03,-11.1,-8.5,-7.5,2.3,Калининград
65,1947-03-04,-13.9,-7.6,-3,0,Калининград
66,1947-03-05,-11.9,-7.2,-3.5,0,Калининград
67,1947-03-06,-7,-5.4,-3.5,0,Калининград
68,1947-03-07,-8,-5.3,-1.9,0,Калининград
69,1947-03-08,-7.1,-3.8,0.6,0,Калининград
70,1947-03-09,-7.1,-3.9,-2.5,2.4,Калининград
71,1947-03-10,-9.2,-7.5,-4.8,0.1,Калининград
72,1947-03-11,-17.3,-10.3,-8,0.2,Калининград
73,1947-03-12,-11.8,-9.6,-8,0.3,Калининград
74,1947-03-13,-11.6,-7.2,-3.5,0,Калининград
75,1947-03-14,-7.2,-2.8,4,0.5,Калининград
76,1947-03-15,-5.9,-2.6,5.1,0.3,Калининград
77,1947-03-16,-8.3,-2.9,1,0,Калининград
78,1947-03-17,-2.8,1,4.6,0.2,Калининград
79,1947-03-18,-0.9,0.2,3.7,0,Калининград
80,1947-03-19,-1.8,-0.4,0.6,1.8,Калининград
81,1947-03-20,-0.2,0.3,1.3,0.9,Калининград
82,1947-03-21,-1,1,3.3,1.3,Калининград
83,1947-03-22,0.7,3,5,0,Калининград
84,1947-03-23,0.7,2.6,6,5.2,Калининград
85,1947-03-24,-0.1,5.3,13.7,0,Калининград
86,1947-03-25,2.7,6.6,10,2.3,Калининград
87,1947-03-26,0.4,3,7.2,7.8,Калининград
88,1947-03-27,-1.5,1.8,5.5,0,Калининград
89,1947-03-28,0.7,2.8,4.6,0.7,Калининград
90,1947-03-29,0.2,5.5,12.8,0,Калининград
91,1947-03-30,3.2,8.6,14.6,0,Калининград
92,1947-03-31,1.4,3.9,11.5,0.3,Калининград
94,1947-04-01,0.8,7.5,14.1,0,Калининград
95,1947-04-02,3.7,6.8,12.2,4,Калининград
96,1947-04-03,-1.1,2.1,7,0,Калининград
97,1947-04-04,-0.9,2.4,9.7,6.2,Калининград
98,1947-04-05,0,4.7,8.3,2,Калининград
99,1947-04-06,-2,2.2,6,3.4,Калининград
100,1947-04-07,3.3,4.7,6,4.3,Калининград
101,1947-04-08,1.7,3.1,5.2,3.4,Калининград
102,1947-04-09,-1.9,0.5,2,5.8,Калининград
103,1947-04-10,-0.7,1.6,4.6,0,Калининград
104,1947-04-11,-1,1.4,4.5,0,Калининград
105,1947-04-12,-4,2.1,8.5,0,Калининград
106,1947-04-13,2.9,5.2,9.2,0,Калининград
107,1947-04-14,0.6,4.9,10.1,0,Калининград
108,1947-04-15,4.3,5.8,10,0,Калининград
109,1947-04-16,2.3,6.8,10.1,0,Калининград
110,1947-04-17,6.6,10.6,15.6,0,Калининград
111,1947-04-18,2.3,4.2,11.6,0,Калининград
112,1947-04-19,0.8,5.7,11.6,0,Калининград
113,1947-04-20,0.3,9.1,17.6,0,Калининград
114,1947-04-21,3.7,12.2,22.5,0,Калининград
115,1947-04-22,5.8,11.6,18.6,0.9,Калининград
116,1947-04-23,5.6,13,21.4,0,Калининград
117,1947-04-24,6.1,8.4,13,1,Калининград
118,1947-04-25,5.3,7.6,9.5,1.1,Калининград
119,1947-04-26,3,8.8,16.4,0,Калининград
120,1947-04-27,3.5,6.4,10.2,0,Калининград
121,1947-04-28,3.8,7.8,10,3.7,Калининград
122,1947-04-29,4,5.7,7.4,1.1,Калининград
123,1947-04-30,2.8,6.3,11.4,0.4,Калининград
125,1947-05-01,4.5,5.8,7.6,18.3,Калининград
126,1947-05-02,1.8,5,8.7,0,Калининград
127,1947-05-03,1.2,3.4,5.7,0,Калининград
128,1947-05-04,-0.5,3.7,7.6,0,Калининград
129,1947-05-05,-0.3,7.3,13.5,0,Калининград
130,1947-05-06,2.8,10.7,18.3,0,Калининград
131,1947-05-07,4.2,13.7,21.5,0,Калининград
132,1947-05-08,9,16.6,22.8,0,Калининград
133,1947-05-09,9.3,16.7,23.6,0,Калининград
134,1947-05-10,7.7,15.8,23.6,0,Калининград
135,1947-05-11,8.2,15.4,22,0,Калининград
136,1947-05-12,7.4,14.7,21,0,Калининград
137,1947-05-13,5.8,14,20.4,0,Калининград
138,1947-05-14,5.4,15.2,25.1,0,Калининград
139,1947-05-15,8,19.5,27.4,0,Калининград
140,1947-05-16,11.6,17,23.4,0,Калининград
141,1947-05-17,9.3,14.4,19.7,0,Калининград
142,1947-05-18,9.3,11.2,14.5,0,Калининград
143,1947-05-19,4.9,10.9,17.6,0,Калининград
144,1947-05-20,8.2,11,15.2,3,Калининград
145,1947-05-21,4.7,10.8,15.4,0,Калининград
146,1947-05-22,2.9,11,17.5,0,Калининград
147,1947-05-23,3.2,13.2,20,0,Калининград
148,1947-05-24,7.2,14.6,20.7,0,Калининград
149,1947-05-25,12.7,16.1,21,0.1,Калининград
150,1947-05-26,9.2,11.8,15.5,0,Калининград
151,1947-05-27,4.2,12.9,19.6,0,Калининград
152,1947-05-28,9.8,13.1,17.9,0,Калининград
153,1947-05-29,8.8,12.6,17.1,0,Калининград
154,1947-05-30,7.2,15.9,22.3,0,Калининград
155,1947-05-31,14.3,19.9,25,0,Калининград
157,1947-06-01,9.7,17.3,22.6,0,Калининград
158,1947-06-02,9.7,18,26.2,0,Калининград
159,1947-06-03,9.5,15.5,24.2,0,Калининград
160,1947-06-04,7.6,10.2,14.8,0,Калининград
161,1947-06-05,1.3,11.2,19.6,0,Калининград
162,1947-06-06,14.5,18.6,23.6,0,Калининград
163,1947-06-07,11.8,14.4,20.5,4,Калининград
164,1947-06-08,10.8,13.5,16.9,0.5,Калининград
165,1947-06-09,10.2,12.6,16.9,8.4,Калининград
166,1947-06-10,7.9,11.1,14.5,0,Калининград
167,1947-06-11,8.7,12.5,16.5,0,Калининград
168,1947-06-12,7.7,10.4,13.7,1.6,Калининград
169,1947-06-13,10.2,13.7,18.6,0,Калининград
170,1947-06-14,7.8,15.7,21.5,0.1,Калининград
171,1947-06-15,13.6,21,28.7,0,Калининград
172,1947-06-16,12.8,15.1,25,5.3,Калининград
173,1947-06-17,12.1,13.8,16.7,0,Калининград
174,1947-06-18,8.2,14.6,20,0,Калининград
175,1947-06-19,11.8,18.2,23,0,Калининград
176,1947-06-20,12.1,21.1,27.6,0,Калининград
177,1947-06-21,13,20.7,28.3,0,Калининград
179,1947-07-01,17.8,24,29.5,0,Калининград
180,1947-07-02,15,21.6,28,0,Калининград
181,1947-07-03,15.3,19,26,0,Калининград
182,1947-07-04,14.5,20.8,26.5,0,Калининград
183,1947-07-05,14,20.9,30.3,4.8,Калининград
184,1947-07-06,15,16.7,22,4.1,Калининград
185,1947-07-07,10,16.7,21,0,Калининград
186,1947-07-08,12.9,18.4,26.2,0,Калининград
187,1947-07-09,11.9,16.8,21.6,0,Калининград
188,1947-07-10,13.6,15.8,20,7.4,Калининград
189,1947-07-11,10,14.8,19.8,0.1,Калининград
190,1947-07-12,12.5,15.5,18.6,12.8,Калининград
191,1947-07-13,13.9,15.3,17.8,12.1,Калининград
192,1947-07-14,13.7,16.8,20.5,0.6,Калининград
193,1947-07-15,12.6,17.5,22.7,0,Калининград
194,1947-07-16,13.1,18,22.5,0,Калининград
195,1947-07-17,13.1,17.5,20.8,0.2,Калининград
196,1947-07-18,12.4,17.1,21.6,1.6,Калининград
197,1947-07-19,15.3,17.8,20.8,21.4,Калининград
198,1947-07-20,12,17.9,23.8,0.3,Калининград
199,1947-07-21,16.6,20,26,2.3,Калининград
200,1947-07-22,15.1,18.2,21.9,0,Калининград
201,1947-07-23,16.6,19.3,23.6,0.6,Калининград
202,1947-07-24,14.1,21,26.1,0,Калининград
203,1947-07-25,16.4,20.7,27.1,0,Калининград
204,1947-07-26,16.8,19.7,23.5,0,Калининград
205,1947-07-27,15.8,17.3,21.9,12.6,Калининград
206,1947-07-28,12.9,18.1,22.9,0,Калининград
207,1947-07-29,12.8,17.8,23.5,0,Калининград
208,1947-07-30,16,17.8,19.6,5.7,Калининград
209,1947-07-31,12.9,17.8,23.5,0,Калининград
211,1947-08-01,15.4,16.8,18.7,0.4,Калининград
212,1947-08-02,10.4,16.5,21.2,0,Калининград
213,1947-08-03,11,17,22,0,Калининград
214,1947-08-04,8.5,17.1,23.5,0,Калининград
215,1947-08-05,13.2,20.7,30,0,Калининград
216,1947-08-06,19,21,25.7,0,Калининград
217,1947-08-07,15,18,22.8,9.8,Калининград
218,1947-08-08,13.6,16.7,20.5,2.4,Калининград
219,1947-08-09,17,18.3,21,2.2,Калининград
220,1947-08-10,12,18.2,22.6,3.6,Калининград
221,1947-08-11,13,17.6,21.4,5.1,Калининград
222,1947-08-12,17.6,19.5,23.3,2.4,Калининград
223,1947-08-13,15.5,19.4,23.2,0,Калининград
224,1947-08-14,14.7,18.6,22,0,Калининград
225,1947-08-15,13.5,18.5,23.1,0,Калининград
226,1947-08-16,14.5,18.8,22.6,0,Калининград
227,1947-08-17,13.4,19.1,24.2,0,Калининград
228,1947-08-18,15.9,18.8,22.4,0,Калининград
229,1947-08-19,13.8,16.5,19.5,0,Калининград
230,1947-08-20,11,13,16.5,2.4,Калининград
231,1947-08-21,9,13.8,19.7,0,Калининград
232,1947-08-22,9,15.9,20,5.7,Калининград
233,1947-08-23,14.5,17.7,22.1,1.6,Калининград
234,1947-08-24,13.6,15.8,18.7,0.5,Калининград
235,1947-08-25,14.2,16.8,21.6,2,Калининград
236,1947-08-26,11.5,17.4,22.5,0,Калининград
237,1947-08-27,13.6,16.4,20.6,0,Калининград
238,1947-08-28,12.3,14.3,18,0,Калининград
239,1947-08-29,8.5,11.2,15.2,0,Калининград
240,1947-08-30,5.9,10.2,13.4,0,Калининград
241,1947-08-31,10.6,11.8,14.3,4.4,Калининград
243,1947-09-01,9.6,13.5,18.5,2.4,Калининград
244,1947-09-02,9.8,12.8,17.9,0,Калининград
245,1947-09-03,10.8,13.2,17.2,0,Калининград
246,1947-09-04,9.3,12.2,14.4,0,Калининград
247,1947-09-05,8.7,11.1,16.3,0,Калининград
248,1947-09-06,2.4,10.7,18.5,0,Калининград
249,1947-09-07,4.6,11.4,19.4,0,Калининград
250,1947-09-08,7.1,13.5,21.6,0,Калининград
251,1947-09-09,10.4,14.8,19.2,3.4,Калининград
252,1947-09-10,12.1,14.8,17.5,1.3,Калининград
253,1947-09-11,13.6,15.1,18.4,2.2,Калининград
254,1947-09-12,14.1,16.8,22.9,0,Калининград
255,1947-09-13,13.9,18.6,25.5,0,Калининград
256,1947-09-14,15.6,20.7,30.2,0,Калининград
257,1947-09-15,15.5,18.6,25.9,0,Калининград
258,1947-09-16,12.9,19.2,27.6,0,Калининград
259,1947-09-17,15,21.1,30.8,0,Калининград
260,1947-09-18,12.6,15.4,21,0,Калининград
261,1947-09-19,9.9,13.8,17.5,0,Калининград
