,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1927-07-01,20,25.8,31.6,0,Калмыково
2,1927-07-02,18.5,25.6,31.6,0,Калмыково
3,1927-07-03,16.5,26.1,31.5,0,Калмыково
4,1927-07-04,16.5,29.2,34.1,0,Калмыково
5,1927-07-05,20.1,28,34.2,0,Калмыково
6,1927-07-06,20.1,27.2,36.4,0,Калмыково
7,1927-07-07,16.2,29.3,37,0,Калмыково
8,1927-07-08,19.4,31.4,39.9,0,Калмыково
9,1927-07-09,20.8,26.5,31.9,0,Калмыково
10,1927-07-10,19.9,26.4,37.8,0,Калмыково
11,1927-07-11,18,24.9,31.7,8.3,Калмыково
12,1927-07-12,18.5,25.7,32,0,Калмыково
13,1927-07-13,20.5,28.1,34.8,2.7,Калмыково
14,1927-07-14,20.5,29.7,35.6,0,Калмыково
15,1927-07-15,19.1,27.5,32.9,0,Калмыково
16,1927-07-16,19.1,25.3,30.9,0,Калмыково
17,1927-07-17,15,24,28.9,0,Калмыково
18,1927-07-18,16,20.6,26.7,0,Калмыково
19,1927-07-19,14.1,23.8,29.6,0,Калмыково
20,1927-07-20,15.9,22.9,29.9,0,Калмыково
21,1927-07-21,14.6,26.1,31.7,0,Калмыково
22,1927-07-22,16.1,20.7,31.3,0,Калмыково
23,1927-07-23,14.9,27.2,33.3,0,Калмыково
24,1927-07-24,17.5,28.9,37.1,0,Калмыково
25,1927-07-25,19.1,27.6,34.7,0,Калмыково
26,1927-07-26,18.5,31.1,37.1,0,Калмыково
27,1927-07-27,23.4,31.5,38.4,0,Калмыково
28,1927-07-28,20,30.1,39.7,0,Калмыково
29,1927-07-29,18.9,28.2,39.1,0,Калмыково
30,1927-07-30,20.8,26.9,33.8,0,Калмыково
31,1927-07-31,18,23.6,27.9,0,Калмыково
33,1927-08-01,13.4,21,26.6,0,Калмыково
34,1927-08-02,12.5,19.2,26.5,0,Калмыково
35,1927-08-03,13.5,21.7,27.5,0,Калмыково
36,1927-08-04,13.4,25.1,31.8,0,Калмыково
37,1927-08-05,16.4,22.9,29.7,0,Калмыково
38,1927-08-06,13.7,22.2,27.6,0,Калмыково
39,1927-08-07,15.1,21,27.4,0,Калмыково
40,1927-08-08,14.3,23.2,29.8,0,Калмыково
41,1927-08-09,17.1,21.7,27,0,Калмыково
42,1927-08-10,15.1,23.9,29.7,0,Калмыково
43,1927-08-11,17.2,24.6,30.6,0,Калмыково
44,1927-08-12,16.7,27.8,32.6,0,Калмыково
45,1927-08-13,17.4,25.5,30.4,0,Калмыково
46,1927-08-14,20.7,24.9,30.1,0,Калмыково
47,1927-08-15,20.5,25.7,31.9,0,Калмыково
48,1927-08-16,18,26.6,34,0,Калмыково
49,1927-08-17,18,28.7,34.6,0,Калмыково
50,1927-08-18,19.1,29.7,36.4,0,Калмыково
51,1927-08-19,15.7,19.1,26,1.6,Калмыково
52,1927-08-20,13.8,22.9,29.3,0,Калмыково
53,1927-08-21,17.6,22.1,25.1,1,Калмыково
54,1927-08-22,15.7,24.2,30.7,0,Калмыково
55,1927-08-23,16.1,26.8,33,0,Калмыково
56,1927-08-24,18.6,26.6,32.6,0,Калмыково
57,1927-08-25,15.8,28.9,34.5,0,Калмыково
58,1927-08-26,17.9,27.8,35.6,0,Калмыково
59,1927-08-27,18.2,26.3,33.4,0,Калмыково
60,1927-08-28,21.2,26.7,33.4,0,Калмыково
61,1927-08-29,17.1,27.8,35.4,0,Калмыково
62,1927-08-30,20.1,23.7,30.2,0,Калмыково
63,1927-08-31,13,19.8,26,0,Калмыково
65,1927-09-01,9.8,20.7,29.7,0,Калмыково
66,1927-09-02,9,15,21,0,Калмыково
67,1927-09-03,4.8,12.7,18.7,0,Калмыково
68,1927-09-04,4.5,13.6,19.6,0,Калмыково
69,1927-09-05,5.9,14,18.6,0,Калмыково
70,1927-09-06,8.8,18.6,23.2,0,Калмыково
71,1927-09-07,13.8,18.8,21.6,0,Калмыково
72,1927-09-08,8.1,15.1,21.5,0,Калмыково
73,1927-09-09,2.9,16.1,22.1,0,Калмыково
74,1927-09-10,7.2,19.1,25.4,0,Калмыково
75,1927-09-11,12.2,21.2,28.4,0,Калмыково
76,1927-09-12,10.2,20.8,27.5,0,Калмыково
77,1927-09-13,12,23.4,29,0,Калмыково
78,1927-09-14,10.9,20.4,30.4,0,Калмыково
79,1927-09-15,13.4,22.8,31.2,0,Калмыково
80,1927-09-16,12.4,17.5,23,0,Калмыково
81,1927-09-17,8.8,14.8,19.7,0,Калмыково
82,1927-09-18,2.1,11.6,16.9,0,Калмыково
83,1927-09-19,5.6,14.9,20.6,0,Калмыково
84,1927-09-20,10.5,18.4,25.6,1.4,Калмыково
85,1927-09-21,9.4,17.1,24.3,3,Калмыково
86,1927-09-22,9.5,13.1,16.3,5.1,Калмыково
87,1927-09-23,7.4,11.4,14.6,0,Калмыково
88,1927-09-24,8.2,12.9,17.5,0,Калмыково
89,1927-09-25,6.9,15.3,21.6,0,Калмыково
90,1927-09-26,10.5,18.5,26.2,0,Калмыково
91,1927-09-27,12,20.4,27.4,0,Калмыково
92,1927-09-28,11.4,21,29.2,0,Калмыково
93,1927-09-29,13.8,19.5,25.1,0,Калмыково
94,1927-09-30,11.8,20.4,27,0,Калмыково
96,1927-10-01,12,21.5,29.7,0,Калмыково
97,1927-10-02,12.3,20.1,28.2,0,Калмыково
98,1927-10-03,5.2,13,18.7,0,Калмыково
99,1927-10-04,7.1,12.4,19.3,0,Калмыково
100,1927-10-05,3.6,13.1,19.9,0,Калмыково
101,1927-10-06,5.7,13.9,21.5,0,Калмыково
102,1927-10-07,7.2,16.3,23.2,0,Калмыково
103,1927-10-08,13.1,18.1,24.1,0,Калмыково
104,1927-10-09,8.9,16.4,23.2,0,Калмыково
105,1927-10-10,7.8,9.9,11.6,0,Калмыково
106,1927-10-11,-0.3,6.1,13.4,0,Калмыково
107,1927-10-12,-3.4,8.5,14.4,0,Калмыково
108,1927-10-13,4.9,11.5,17.2,1.5,Калмыково
109,1927-10-14,2.6,6.1,8.7,0,Калмыково
110,1927-10-15,-7.1,1.9,8.9,0,Калмыково
111,1927-10-16,-3.7,5.9,10.7,0,Калмыково
112,1927-10-17,-1.9,3.2,5.7,0,Калмыково
113,1927-10-18,-2,6.3,11.4,2,Калмыково
114,1927-10-19,8.5,15.8,18.8,0,Калмыково
115,1927-10-20,2.4,6.2,11.4,0,Калмыково
116,1927-10-21,1,6.6,8,1,Калмыково
117,1927-10-22,1.5,5.7,10.1,0,Калмыково
118,1927-10-23,1.6,8,11.7,0.1,Калмыково
119,1927-10-24,1,9.1,13.5,0,Калмыково
120,1927-10-25,7.6,14.3,19.4,0,Калмыково
121,1927-10-26,8,10.7,13.8,0,Калмыково
122,1927-10-27,0.8,6.7,9.8,0,Калмыково
123,1927-10-28,7.5,12.5,13.8,0,Калмыково
124,1927-10-29,8.1,11.1,13.4,1.8,Калмыково
125,1927-10-30,5.4,7.5,10.3,0,Калмыково
126,1927-10-31,-2.3,4.1,12.2,2.1,Калмыково
128,1927-11-01,-9.8,-4.2,-0.8,0,Калмыково
129,1927-11-02,-1.2,4.8,8.7,0.2,Калмыково
130,1927-11-03,-2.3,1.2,7.7,0.5,Калмыково
131,1927-11-04,-9.6,-5.5,-1.5,0,Калмыково
132,1927-11-05,-8.8,-0.7,2.9,1,Калмыково
133,1927-11-06,-0.8,5,8.5,0.1,Калмыково
134,1927-11-07,0,4.7,11.2,0,Калмыково
135,1927-11-08,0,8.3,12.7,0,Калмыково
136,1927-11-09,7.7,11.5,15,0,Калмыково
137,1927-11-10,4.2,10.6,15.7,0,Калмыково
138,1927-11-11,2.6,8.9,13.9,0,Калмыково
139,1927-11-12,0,8.9,15.2,0,Калмыково
140,1927-11-13,-0.3,7.5,14.4,0,Калмыково
141,1927-11-14,-0.3,5.5,9.6,0,Калмыково
142,1927-11-15,-6,-0.2,5.5,0,Калмыково
143,1927-11-16,-4.9,2.9,8.4,3.8,Калмыково
144,1927-11-17,-1.7,-0.3,3.4,1.5,Калмыково
145,1927-11-18,-1.7,0.1,0.4,0.8,Калмыково
146,1927-11-19,-2.9,-0.9,1.8,0.5,Калмыково
147,1927-11-20,-6.9,-4.7,-2.3,0,Калмыково
148,1927-11-21,-6.9,-5.4,-4.1,0,Калмыково
149,1927-11-22,-15.8,-13.4,-6,0,Калмыково
150,1927-11-23,-18,-11.7,-8.3,0,Калмыково
151,1927-11-24,-13.1,-4.7,-3,0,Калмыково
152,1927-11-25,-17.8,-14.9,-3.3,0,Калмыково
153,1927-11-26,-19.3,-8.4,-6.7,0,Калмыково
154,1927-11-27,-14.7,-12,-8.7,0,Калмыково
155,1927-11-28,-18.1,-15.2,-10.3,0,Калмыково
