,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-21.7,-16.4,-12.5,0,Каменная Степь
2,1900-01-02,-16,-10.5,-8.5,0.1,Каменная Степь
3,1900-01-03,-9.2,-5.1,-3,0,Каменная Степь
4,1900-01-04,-5,-4,-2.5,1.8,Каменная Степь
5,1900-01-05,-11.1,-7.3,-3.7,0,Каменная Степь
6,1900-01-06,-11.6,-8.9,-7,2,Каменная Степь
7,1900-01-07,-17.7,-11.4,0,0,Каменная Степь
8,1900-01-08,-22.3,-20.8,-17,0,Каменная Степь
9,1900-01-09,-27.2,-20.5,-14.2,0,Каменная Степь
10,1900-01-10,-24.8,-21.6,-18.9,0,Каменная Степь
11,1900-01-11,-23,-16.3,-13,0,Каменная Степь
12,1900-01-12,-15.6,-12.9,-11.8,0,Каменная Степь
13,1900-01-13,-18.3,-15.6,-12.6,0,Каменная Степь
14,1900-01-14,-20.7,-17.3,-14,0,Каменная Степь
15,1900-01-15,-20.6,-15.3,-11.5,0,Каменная Степь
16,1900-01-16,-18.5,-14.5,-12.2,0,Каменная Степь
17,1900-01-17,-18.6,-16.4,-13.1,0,Каменная Степь
18,1900-01-18,-22,-18.1,-14.5,0,Каменная Степь
19,1900-01-19,-19.9,-15.1,-12.3,0.4,Каменная Степь
20,1900-01-20,-18.6,-16.5,-15.1,0,Каменная Степь
21,1900-01-21,-17.9,-11.4,-9.5,0.1,Каменная Степь
22,1900-01-22,-15.6,-10.7,-8,0.2,Каменная Степь
23,1900-01-23,-17,-15.8,-12.6,0.2,Каменная Степь
24,1900-01-24,-18.7,-16,-13,0.5,Каменная Степь
25,1900-01-25,-13.6,-4.4,-2.7,0.4,Каменная Степь
26,1900-01-26,-6.8,-4.8,-2.9,0,Каменная Степь
27,1900-01-27,-8.4,-6.9,-5.7,0.1,Каменная Степь
28,1900-01-28,-12.7,-10.4,-6.1,0.3,Каменная Степь
29,1900-01-29,-16.1,-14.4,-10.5,0,Каменная Степь
30,1900-01-30,-20.7,-16.5,-13.1,0,Каменная Степь
31,1900-01-31,-16.3,-12.1,-10.7,0,Каменная Степь
33,1900-02-01,-12.5,-7.7,-5.5,0,Каменная Степь
34,1900-02-02,-11.1,-9.8,-7.5,0,Каменная Степь
35,1900-02-03,-10.6,-7.7,-5.6,0,Каменная Степь
36,1900-02-04,-10.6,-8.5,-6,0,Каменная Степь
37,1900-02-05,-14.9,-9.5,-5.2,0,Каменная Степь
38,1900-02-06,-15.9,-10,-8.5,0,Каменная Степь
39,1900-02-07,-19.9,-16.6,-9.4,0,Каменная Степь
40,1900-02-08,-19.5,-12.3,-10.7,0,Каменная Степь
41,1900-02-09,-13.1,-9.1,-7,0,Каменная Степь
42,1900-02-10,-18.1,-11.9,-8,0,Каменная Степь
43,1900-02-11,-23.9,-17.8,-15,0,Каменная Степь
44,1900-02-12,-17.2,-11.7,-9.5,0,Каменная Степь
45,1900-02-13,-20.6,-8.6,-5.3,0,Каменная Степь
46,1900-02-14,-8.7,-4.2,0.6,0,Каменная Степь
47,1900-02-15,-10.2,-4.3,-1.6,1.8,Каменная Степь
48,1900-02-16,-5.2,-1.8,0.1,1.1,Каменная Степь
49,1900-02-17,-23.4,-22.1,-0.2,0.3,Каменная Степь
50,1900-02-18,-23.3,-20.7,-17.7,0,Каменная Степь
51,1900-02-19,-26.1,-20.9,-16.2,0,Каменная Степь
52,1900-02-20,-22.6,-18.5,-13.6,0,Каменная Степь
53,1900-02-21,-24.9,-13.6,-9.5,0,Каменная Степь
54,1900-02-22,-16.2,-12.9,-9.8,0,Каменная Степь
55,1900-02-23,-22.9,-13.8,-10.4,0,Каменная Степь
56,1900-02-24,-16.9,-12.9,-8.5,0,Каменная Степь
57,1900-02-25,-17.2,-12,-7.5,0,Каменная Степь
58,1900-02-26,-18.4,-12.8,-6,0,Каменная Степь
59,1900-02-27,-17.6,-8.7,-2,0,Каменная Степь
60,1900-02-28,-7.8,-4.1,-0.3,0,Каменная Степь
62,1900-03-01,-5,-0.1,1.6,0,Каменная Степь
63,1900-03-02,-1.3,0.5,2.1,0,Каменная Степь
64,1900-03-03,-2.3,-0.6,0.5,0,Каменная Степь
65,1900-03-04,-6.3,-2.9,0.1,0.7,Каменная Степь
66,1900-03-05,-7.9,-4.9,0,0,Каменная Степь
67,1900-03-06,-13.7,-6.6,-1.1,0.1,Каменная Степь
68,1900-03-07,-19.7,-13.1,-7.9,0,Каменная Степь
69,1900-03-08,-16.9,-12.7,-9.6,1.6,Каменная Степь
70,1900-03-09,-12.9,-10.6,-9,0.3,Каменная Степь
