,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1953-09-01,6.4,9.5,11.8,0.6,Каменское
2,1953-09-02,10,12.4,14.5,4.1,Каменское
3,1953-09-03,8.1,10.8,13.9,5.4,Каменское
4,1953-09-04,5.1,9.6,16.4,0,Каменское
5,1953-09-05,1.3,6.5,11.8,0,Каменское
6,1953-09-06,4.8,10.6,16.9,0,Каменское
7,1953-09-07,1,8,14.5,0.6,Каменское
8,1953-09-08,8.8,10.4,12.2,0.7,Каменское
9,1953-09-09,1.1,6.8,11.2,0,Каменское
10,1953-09-10,7.9,9.3,10.9,2.7,Каменское
11,1953-09-11,6.3,9.2,12.3,0,Каменское
12,1953-09-12,6.2,8.9,12.5,0,Каменское
13,1953-09-13,5.1,7.2,12.6,0,Каменское
14,1953-09-14,1.3,6.6,12.4,0,Каменское
15,1953-09-15,4.2,8.3,11.8,0,Каменское
16,1953-09-16,-1.2,5.9,13.2,0,Каменское
17,1953-09-17,5.1,6.7,9.3,9.9,Каменское
18,1953-09-18,0.3,6.9,11.6,0,Каменское
19,1953-09-19,8,10.8,14.3,0.8,Каменское
20,1953-09-20,6.5,10.2,12.3,0.1,Каменское
21,1953-09-21,6.8,8.1,9.9,3,Каменское
22,1953-09-22,1,3,7,0.3,Каменское
23,1953-09-23,-1.3,2.5,4.6,0,Каменское
24,1953-09-24,0,3.8,8.7,0,Каменское
25,1953-09-25,-3.6,2.6,10.7,0,Каменское
26,1953-09-26,-1.5,4.4,8,0.1,Каменское
27,1953-09-27,3.2,6.5,8.2,0,Каменское
28,1953-09-28,1.9,7.5,11,0,Каменское
29,1953-09-29,6.2,7.3,9.4,0,Каменское
30,1953-09-30,3.1,4.5,7.1,2.4,Каменское
32,1953-10-01,3.9,5.1,6.2,19.3,Каменское
33,1953-10-02,4.8,6.2,7.9,0,Каменское
34,1953-10-03,5,7.5,11.3,0.3,Каменское
35,1953-10-04,3.2,6.8,10.7,0,Каменское
36,1953-10-05,3.7,5,8.4,0,Каменское
37,1953-10-06,0.8,2,5.2,0,Каменское
38,1953-10-07,-1.2,1.1,3.4,0,Каменское
39,1953-10-08,-1.4,0.4,2.1,1.2,Каменское
40,1953-10-09,-0.2,0.5,1.6,0.1,Каменское
41,1953-10-10,-6.3,-3,0.6,0,Каменское
42,1953-10-11,-10.7,-6.8,-3.5,0,Каменское
43,1953-10-12,-6.1,-4.2,-1.6,0.1,Каменское
44,1953-10-13,-5.4,-4.2,-1.6,0,Каменское
45,1953-10-14,-10.1,-6,-4,0,Каменское
46,1953-10-15,-8.1,-7,-5.1,0,Каменское
47,1953-10-16,-16.9,-10.8,-1.2,0,Каменское
48,1953-10-17,-10.4,-7.6,-4.7,0,Каменское
49,1953-10-18,-13.9,-8.6,-5.3,0,Каменское
50,1953-10-19,-13.3,-9.4,-5,0,Каменское
51,1953-10-20,-14.1,-10.7,-7.7,0,Каменское
52,1953-10-21,-14.7,-11.1,-8.2,0,Каменское
53,1953-10-22,-19.7,-14.8,-7.7,0,Каменское
54,1953-10-23,-17.9,-14,-10.5,0,Каменское
55,1953-10-24,-14.8,-10.5,-8.8,1.1,Каменское
56,1953-10-25,-11.2,-10.4,-8.5,1.9,Каменское
57,1953-10-26,-12.4,-8.9,-6.4,1.4,Каменское
58,1953-10-27,-9.6,-7.8,-6,0.7,Каменское
59,1953-10-28,-9.6,-6.4,-4.5,0.7,Каменское
60,1953-10-29,-9.2,-7.4,-4.9,0.4,Каменское
61,1953-10-30,-8,-4.2,-0.5,0,Каменское
62,1953-10-31,-5.8,-3.9,0.7,0,Каменское
64,1953-11-01,-6,-3.4,-1.7,1,Каменское
65,1953-11-02,-12.8,-9.8,-3.2,0,Каменское
66,1953-11-03,-14.7,-8.8,-8,0.1,Каменское
67,1953-11-04,-8.9,-5.4,-2.9,0.3,Каменское
68,1953-11-05,-5.4,-3.1,-1,0,Каменское
69,1953-11-06,-12.9,-8.6,-3.1,0,Каменское
70,1953-11-07,-12,-3.8,-0.3,1.7,Каменское
71,1953-11-08,-5.9,-2.4,0.1,0.5,Каменское
72,1953-11-09,-5.1,-3.5,-2.3,3.6,Каменское
73,1953-11-10,-6.2,-5,-1.9,2.5,Каменское
74,1953-11-11,-6.8,-6.2,-5.3,0.6,Каменское
75,1953-11-12,-8.8,-7,-4.9,0.1,Каменское
76,1953-11-13,-14.4,-11.2,-8.5,0,Каменское
77,1953-11-14,-20.1,-17.8,-13.7,0,Каменское
78,1953-11-15,-24.4,-20.5,-15.5,1.3,Каменское
79,1953-11-16,-18.6,-17.2,-15.9,0,Каменское
80,1953-11-17,-25,-23.1,-17.9,0,Каменское
81,1953-11-18,-28.8,-25.3,-21.2,0,Каменское
82,1953-11-19,-31.8,-22.8,-16.6,0,Каменское
83,1953-11-20,-22.9,-13.3,-8.2,2.2,Каменское
84,1953-11-21,-8.5,-4.5,-3.8,2.4,Каменское
85,1953-11-22,-5.8,-3.9,-2.3,0,Каменское
86,1953-11-23,-15.4,-10.9,-5.5,0,Каменское
87,1953-11-24,-19.2,-15.8,-13.6,0,Каменское
