,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1912-10-01,-2.7,0,4.1,0,Кандалакша
2,1912-10-02,-7.5,-3.6,-1.8,0,Кандалакша
3,1912-10-04,-7.4,-2.4,1,0,Кандалакша
4,1912-10-07,1.9,5.3,7.1,0,Кандалакша
5,1912-10-08,3.1,4,6.2,0,Кандалакша
6,1912-10-09,-1.6,2.1,5.2,0,Кандалакша
7,1912-10-10,2.1,5.6,9,0,Кандалакша
8,1912-10-11,2.5,4.1,6,0,Кандалакша
9,1912-10-12,2.4,3.2,4.5,0,Кандалакша
10,1912-10-13,-1.3,2.4,5.7,0,Кандалакша
11,1912-10-14,-3.6,0.8,3.8,0.4,Кандалакша
12,1912-10-15,0.4,1,2.8,0.6,Кандалакша
13,1912-10-16,-0.7,0.7,2.2,2.5,Кандалакша
14,1912-10-17,-0.1,1.1,2.2,0,Кандалакша
15,1912-10-19,-6,-4,-0.5,0,Кандалакша
16,1912-10-21,-7.2,-6.2,-4.7,0,Кандалакша
17,1912-10-23,-10.9,-8.1,-4.3,0.5,Кандалакша
18,1912-10-24,-7.6,-3.5,-1.7,0.9,Кандалакша
19,1912-10-26,-12,-10.9,-6.2,0.2,Кандалакша
20,1912-10-27,-11.8,-9.1,-8.5,1.2,Кандалакша
21,1912-10-28,-11.1,-9,-6.7,0,Кандалакша
22,1912-10-29,-10.6,-6.8,-5.5,0.2,Кандалакша
23,1912-10-30,-12.2,-8,-4.7,2.1,Кандалакша
24,1912-10-31,-9.8,-6,-5,2.2,Кандалакша
26,1912-11-01,-8,-4.8,-3.4,1.5,Кандалакша
27,1912-11-02,-7.4,-5.4,-4,0.7,Кандалакша
28,1912-11-03,-6.3,-3.4,-2.5,0.2,Кандалакша
29,1912-11-04,-9.2,-5.8,-2.8,0.2,Кандалакша
30,1912-11-05,-10.4,-7.8,-4.8,0,Кандалакша
31,1912-11-06,-13.6,-10.9,-8.6,0,Кандалакша
32,1912-11-07,-18.1,-7,-4.1,0,Кандалакша
33,1912-11-08,-4.3,0.6,1.6,0,Кандалакша
34,1912-11-09,-0.6,0.6,1.5,0.2,Кандалакша
35,1912-11-10,-3.7,-1.8,-0.3,1.3,Кандалакша
36,1912-11-11,-3.1,-1.6,-0.7,0.4,Кандалакша
37,1912-11-12,-4.2,-2.8,-2,0.3,Кандалакша
38,1912-11-13,-2.9,-2.2,-1.5,1.2,Кандалакша
39,1912-11-14,-2.9,-2.1,-1.3,2.6,Кандалакша
40,1912-11-15,-2.4,-0.6,0.5,2.8,Кандалакша
41,1912-11-16,-13.7,-7.2,-1.6,0.1,Кандалакша
42,1912-11-17,-14,-9.5,-6,1.2,Кандалакша
43,1912-11-18,-6.4,-3.4,-0.3,2.7,Кандалакша
44,1912-11-19,-20.4,-13.4,-6,0,Кандалакша
45,1912-11-20,-24.6,-20.9,-13.8,0,Кандалакша
46,1912-11-21,-25.4,-19.2,-18.1,0,Кандалакша
47,1912-11-22,-19.4,-11,-7.2,0,Кандалакша
48,1912-11-23,-7.3,0,1.8,0,Кандалакша
49,1912-11-24,-7.5,-1.6,0.6,0,Кандалакша
50,1912-11-25,-1.6,0.2,2,1.9,Кандалакша
51,1912-11-26,-2.7,-0.3,2.2,0.4,Кандалакша
52,1912-11-27,-6.4,-4.1,2.5,0,Кандалакша
53,1912-11-28,-3,2.7,3.6,0,Кандалакша
54,1912-11-29,0.3,1.1,3.8,0,Кандалакша
55,1912-11-30,-8.9,-3.7,1.6,1,Кандалакша
57,1912-12-01,-9.4,-6.4,-4.8,0,Кандалакша
58,1912-12-02,-5.3,-1.7,-1.3,0.9,Кандалакша
59,1912-12-03,-2.4,-1.4,-0.6,0.4,Кандалакша
60,1912-12-04,-3.5,-2.9,-1.6,0.2,Кандалакша
61,1912-12-05,-8.3,-5.4,-3.5,0.2,Кандалакша
62,1912-12-06,-6.3,-5.2,-4.2,0.2,Кандалакша
63,1912-12-07,-5.5,-5,-3.6,0.5,Кандалакша
