,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-21.1,-18.6,-13.8,0,Караганда
2,1936-01-02,-18.6,-15.8,-11,0,Караганда
3,1936-01-03,-16.1,-13.8,-11.5,0,Караганда
4,1936-01-04,-18.4,-15.1,-12,0,Караганда
5,1936-01-05,-21.2,-16.4,-12.8,0,Караганда
6,1936-01-06,-16.6,-14.5,-12.1,0.1,Караганда
7,1936-01-07,-18.4,-15.5,-12.1,0,Караганда
8,1936-01-08,-17.9,-16.2,-14.1,0,Караганда
9,1936-01-09,-21.3,-17.8,-14.4,0.2,Караганда
10,1936-01-10,-21.8,-16.9,-14.5,0,Караганда
11,1936-01-11,-18.4,-15.6,-13.6,0.1,Караганда
12,1936-01-12,-22.3,-17.1,-12.1,0,Караганда
13,1936-01-13,-20.5,-16.6,-12.6,0.1,Караганда
14,1936-01-14,-24.7,-15.5,-8.1,0,Караганда
15,1936-01-15,-20.7,-13.4,-9.5,0,Караганда
16,1936-01-16,-11.1,-10.1,-9.3,1,Караганда
17,1936-01-17,-14.3,-12.3,-9.6,0.3,Караганда
18,1936-01-18,-15.3,-11.3,-9,0.4,Караганда
19,1936-01-19,-16.5,-12.4,-9.5,0.7,Караганда
20,1936-01-20,-21.5,-19.5,-16,0.3,Караганда
21,1936-01-21,-29.8,-26.6,-20,0.3,Караганда
22,1936-01-22,-30.9,-23.1,-17.5,0.2,Караганда
23,1936-01-23,-21.8,-18.4,-15.2,0,Караганда
24,1936-01-24,-21.4,-17.4,-12.1,0,Караганда
25,1936-01-25,-21.5,-14.6,-9.6,0,Караганда
26,1936-01-26,-17.8,-11.4,-6.5,0,Караганда
27,1936-01-27,-12.9,-10.2,-7,0.5,Караганда
28,1936-01-28,-13.7,-9.4,-6.4,0.5,Караганда
29,1936-01-29,-18.4,-13.9,-6.5,0.3,Караганда
30,1936-01-30,-19.6,-10.5,-1.2,0.6,Караганда
31,1936-01-31,-22,-0.4,5.5,1.3,Караганда
33,1936-02-01,-9.5,-2,2.2,0,Караганда
34,1936-02-02,-22.7,-17.2,-9.5,0.1,Караганда
35,1936-02-03,-33.3,-29.2,-22.4,0,Караганда
36,1936-02-04,-28.3,-23.2,-15.9,0,Караганда
37,1936-02-05,-23.7,-18.4,-6.9,0,Караганда
38,1936-02-06,-17.4,-13,-8.2,0,Караганда
39,1936-02-07,-16.5,-11.2,-4.5,0,Караганда
40,1936-02-08,-16.4,-10.9,-4.5,0,Караганда
41,1936-02-09,-11.7,-4.6,-0.6,0.2,Караганда
42,1936-02-10,-11.4,-8.3,-1.5,0.7,Караганда
43,1936-02-11,-14.5,-8.3,-3.5,0,Караганда
44,1936-02-12,-7.1,-3.8,1.2,0,Караганда
45,1936-02-13,-5.8,-2.4,3.6,0,Караганда
46,1936-02-14,-8.1,-4.2,0.7,0,Караганда
47,1936-02-15,-3.7,0,5.2,0,Караганда
48,1936-02-16,-9.2,-4,1.3,0,Караганда
