,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1928-05-01,5.4,14.5,20.9,0,Карсакпай
2,1928-05-02,3,10.4,14.8,5.2,Карсакпай
3,1928-05-03,6.1,9.8,12.7,0,Карсакпай
4,1928-05-04,4.8,14.1,20.4,0,Карсакпай
5,1928-05-05,10.3,18.2,23.4,0,Карсакпай
6,1928-05-06,11.4,22.1,29,0,Карсакпай
7,1928-05-07,14.2,23.4,30.5,0,Карсакпай
8,1928-05-08,12.1,16.3,21.6,0,Карсакпай
9,1928-05-09,7.1,11.1,13.4,0,Карсакпай
10,1928-05-10,5.7,8.5,10.8,0,Карсакпай
11,1928-05-11,4.1,10.6,14,12.7,Карсакпай
12,1928-05-12,8.1,9.6,11.9,1.9,Карсакпай
13,1928-05-13,5.5,12.9,17,0.5,Карсакпай
14,1928-05-14,8.2,10.5,16.2,0,Карсакпай
15,1928-05-15,6.7,13.2,18.3,1.8,Карсакпай
16,1928-05-16,7.1,15.6,19.2,0,Карсакпай
17,1928-05-17,6.1,15.5,19.6,0,Карсакпай
18,1928-05-18,6.7,15.3,21.9,0,Карсакпай
19,1928-05-19,10.9,19.4,24.4,0,Карсакпай
20,1928-05-20,13.5,19.9,25.7,0,Карсакпай
21,1928-05-21,9.7,17.2,21.6,7.1,Карсакпай
22,1928-05-22,9.5,13.9,17.3,4,Карсакпай
23,1928-05-23,10,17.6,21.6,0.9,Карсакпай
24,1928-05-24,10.9,17.3,23.4,0,Карсакпай
25,1928-05-25,11,17,21.3,0,Карсакпай
26,1928-05-26,11.1,18.1,23.9,0,Карсакпай
27,1928-05-27,10,12.1,16.9,0,Карсакпай
28,1928-05-28,7.4,11.7,15.7,0,Карсакпай
29,1928-05-29,5.4,17.7,23.6,0,Карсакпай
30,1928-05-30,10.7,20.3,26,0,Карсакпай
31,1928-05-31,14.8,22.8,29.8,0,Карсакпай
33,1928-06-01,10.9,21.2,26.7,0,Карсакпай
34,1928-06-02,11.7,22.3,27.4,0,Карсакпай
35,1928-06-03,17.4,24.1,30,0.2,Карсакпай
36,1928-06-04,15.2,18.8,23.7,4.2,Карсакпай
37,1928-06-05,12.4,20.8,26.8,0.1,Карсакпай
38,1928-06-06,12.9,15.2,20.8,0,Карсакпай
39,1928-06-07,8.4,19.1,25.3,0,Карсакпай
40,1928-06-08,12.4,20.5,27.5,0,Карсакпай
41,1928-06-09,10.7,15.5,20.1,0,Карсакпай
42,1928-06-10,3.1,15,19.3,0,Карсакпай
43,1928-06-11,9.2,16.5,21.2,0,Карсакпай
44,1928-06-12,4.6,16.7,20.9,0,Карсакпай
45,1928-06-13,6.1,16,21.4,0,Карсакпай
46,1928-06-14,5.1,17.3,23.5,0,Карсакпай
47,1928-06-15,6.2,21.7,26.6,0,Карсакпай
48,1928-06-16,21.6,25,29.3,0,Карсакпай
49,1928-06-17,11.4,27.1,31.9,0,Карсакпай
50,1928-06-18,16.2,25.8,32.4,0,Карсакпай
