,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1922-05-01,10,15.4,22.3,0,Каунас
2,1922-05-02,6.5,8.2,13.5,0,Каунас
3,1922-05-03,4,10.2,15.8,0,Каунас
4,1922-05-04,5.2,7.3,10.4,0,Каунас
5,1922-05-05,4,11.2,16,0,Каунас
6,1922-05-06,6,11.2,17.5,0,Каунас
7,1922-05-07,6,11.4,14.2,0,Каунас
8,1922-05-08,7.5,12.2,17.5,0,Каунас
9,1922-05-09,6.5,9.5,17,0,Каунас
10,1922-05-10,3,4.2,7.3,0,Каунас
11,1922-05-11,-0.3,5.6,10,0.4,Каунас
12,1922-05-12,1,7,10.3,0,Каунас
13,1922-05-13,3,7.6,12.5,0.6,Каунас
14,1922-05-14,3,7,11.8,34,Каунас
15,1922-05-15,2,9.5,12.6,2,Каунас
16,1922-05-16,8.5,10.6,12.4,0.1,Каунас
17,1922-05-17,5,10.4,22.5,0,Каунас
18,1922-05-18,11.2,17.6,21.8,1.2,Каунас
19,1922-05-19,9.8,12,17.1,0.6,Каунас
20,1922-05-20,6.6,11.4,16.5,1,Каунас
21,1922-05-21,6.3,12.2,16.5,6,Каунас
22,1922-05-22,7.4,15.2,19.6,0.1,Каунас
23,1922-05-23,8,16.6,20.7,1,Каунас
24,1922-05-24,10.5,20.3,25,0,Каунас
25,1922-05-25,14,22.9,27,0,Каунас
26,1922-05-26,16,18.5,24.4,0,Каунас
27,1922-05-27,11,15.6,25,0,Каунас
28,1922-05-28,7.5,11.4,14.7,15.6,Каунас
29,1922-05-29,5.6,9.3,14,0.2,Каунас
30,1922-05-30,2.8,11.6,14,0,Каунас
31,1922-05-31,10,15.1,23.1,0,Каунас
33,1922-06-01,9,11.1,15.5,0,Каунас
34,1922-06-02,4.2,9.4,14.4,0,Каунас
35,1922-06-03,2.5,11.3,16.9,0,Каунас
36,1922-06-04,3.5,14.1,17.5,0,Каунас
37,1922-06-05,7.2,16.4,21.9,0,Каунас
38,1922-06-06,7.5,12.6,17.8,0,Каунас
39,1922-06-07,6.8,10.9,15.5,0,Каунас
40,1922-06-08,7.7,13.2,17,12.5,Каунас
41,1922-06-09,8.4,15.8,20.1,0,Каунас
42,1922-06-10,5.1,12.8,15.5,0,Каунас
43,1922-06-11,7,17.2,22.5,0,Каунас
44,1922-06-12,9,19.4,24.1,0,Каунас
45,1922-06-13,13.2,14.4,20,0.2,Каунас
46,1922-06-14,12.5,15.9,17.1,6.5,Каунас
47,1922-06-15,10,17.3,22.8,1.8,Каунас
48,1922-06-16,10.2,18,24.1,0,Каунас
49,1922-06-17,11.3,19,24.6,0,Каунас
50,1922-06-18,17.1,20,24,4.5,Каунас
51,1922-06-19,6.1,14.8,24,0.2,Каунас
52,1922-06-20,11.6,13.4,16,0,Каунас
53,1922-06-21,10.4,13.3,14.8,0,Каунас
54,1922-06-22,10.3,13.6,19,7,Каунас
55,1922-06-23,7.7,15.6,19.5,0,Каунас
56,1922-06-24,9.5,14.3,21.5,0,Каунас
57,1922-06-25,9.4,16.6,21.2,10,Каунас
58,1922-06-26,12.4,16.5,20,0,Каунас
59,1922-06-27,11.3,15.8,19.9,2,Каунас
60,1922-06-28,11.6,15.8,18.8,0.4,Каунас
61,1922-06-29,14.5,21.4,26.5,0,Каунас
62,1922-06-30,12,14.6,21.5,8.2,Каунас
64,1922-07-01,6.8,15.8,20,0,Каунас
65,1922-07-02,9.7,18.2,22,0,Каунас
66,1922-07-03,13,20,24,0,Каунас
67,1922-07-04,14.5,21.2,25.6,0,Каунас
68,1922-07-05,14.5,21.8,29.9,0,Каунас
69,1922-07-06,14.6,27.1,30.7,0,Каунас
70,1922-07-07,18,22.6,32,0,Каунас
71,1922-07-08,11.7,16.2,21.6,0,Каунас
72,1922-07-09,9.2,18.4,23.6,0,Каунас
73,1922-07-10,17.8,20.3,24.5,0,Каунас
74,1922-07-11,14.2,19.4,24.6,0,Каунас
75,1922-07-12,10,14.9,18.6,0,Каунас
76,1922-07-13,9.5,18.2,23.3,0,Каунас
77,1922-07-14,12.2,16.7,20.5,0.2,Каунас
78,1922-07-15,12.6,18.1,21.1,16.5,Каунас
79,1922-07-16,17.4,19,22,0,Каунас
80,1922-07-17,12.1,14,20.4,9,Каунас
81,1922-07-18,10,13,14.7,7.7,Каунас
82,1922-07-19,11.6,14.1,15.6,0,Каунас
83,1922-07-20,12.5,15.6,19.8,13.3,Каунас
84,1922-07-21,12.2,15.4,18.5,10.3,Каунас
85,1922-07-22,12.2,17.4,22.4,15.6,Каунас
86,1922-07-23,13.3,18,25.1,0,Каунас
87,1922-07-24,14,22,27.7,0,Каунас
88,1922-07-25,14.1,17.2,21.2,0,Каунас
89,1922-07-26,13.8,15.2,17.8,0,Каунас
90,1922-07-27,13,16.4,21.6,53.8,Каунас
91,1922-07-28,12.7,16.8,21.4,1.5,Каунас
92,1922-07-29,12.1,14.8,18.5,0.2,Каунас
93,1922-07-30,12.9,15.1,20.4,0,Каунас
94,1922-07-31,12.5,20.6,23,0,Каунас
96,1922-08-01,14.7,19.8,28.6,5.2,Каунас
97,1922-08-02,12.3,16.8,20.6,0.1,Каунас
98,1922-08-03,14.5,18.5,22.5,0.3,Каунас
99,1922-08-04,9.9,15,20,0.4,Каунас
100,1922-08-05,9,15.5,20.6,0,Каунас
101,1922-08-06,12.8,16.1,21.2,3.7,Каунас
102,1922-08-07,9,16.6,21,0,Каунас
103,1922-08-08,10.5,15.2,19.6,0,Каунас
104,1922-08-09,12.5,15.7,16.5,9.8,Каунас
105,1922-08-10,10.5,15.4,20.8,10.4,Каунас
106,1922-08-11,12.6,15.6,21.5,5.5,Каунас
107,1922-08-12,12.6,14,18,0.5,Каунас
108,1922-08-13,10.1,13.3,20,1.1,Каунас
109,1922-08-14,9.4,12.8,17.5,5.3,Каунас
110,1922-08-15,9.6,14.8,19,1,Каунас
111,1922-08-16,12.3,13.6,19.4,0,Каунас
112,1922-08-17,9.2,15,20,0,Каунас
113,1922-08-18,10,17.4,21.5,0,Каунас
114,1922-08-19,14,17,18.6,12,Каунас
115,1922-08-20,9.5,11.5,18.4,1,Каунас
116,1922-08-21,8.5,12.1,20,0,Каунас
117,1922-08-22,9.8,15.2,21.1,0,Каунас
118,1922-08-23,12,19.6,25,0,Каунас
119,1922-08-24,13.5,15.2,20.7,1,Каунас
120,1922-08-25,10.2,14.5,21.2,2.1,Каунас
121,1922-08-26,9.5,13.5,17,0,Каунас
122,1922-08-27,10.4,13.8,18.5,0.1,Каунас
123,1922-08-28,8.9,15.8,22.6,0,Каунас
124,1922-08-29,11.5,18,25.2,0,Каунас
125,1922-08-30,12.8,20,25.6,0,Каунас
126,1922-08-31,13.5,20.8,27.5,0,Каунас
128,1922-09-01,12,19.8,26.7,0,Каунас
129,1922-09-02,13,16.6,23.5,0,Каунас
130,1922-09-03,10.8,13.6,20.9,0,Каунас
131,1922-09-04,5.5,11.3,19,0,Каунас
132,1922-09-05,3.2,10.1,18,0,Каунас
133,1922-09-06,3.8,11,17,0,Каунас
134,1922-09-07,5.6,13.2,20,0,Каунас
135,1922-09-08,7,15.2,22.5,0,Каунас
136,1922-09-09,11.5,13.6,16.6,0,Каунас
137,1922-09-10,12.2,14.4,18,4,Каунас
138,1922-09-11,11.4,13.9,16,0,Каунас
139,1922-09-12,12.5,15.9,21,0,Каунас
140,1922-09-13,12.6,14.4,18,0.5,Каунас
141,1922-09-14,11.2,12.3,16,4.6,Каунас
142,1922-09-15,7.8,13,19.5,0.2,Каунас
143,1922-09-16,8.2,13.1,19,0,Каунас
144,1922-09-17,11,12,15.5,1.8,Каунас
145,1922-09-18,10,12,15.5,0.1,Каунас
146,1922-09-19,5.9,7.6,12.5,2,Каунас
147,1922-09-20,6,9.1,14.5,1,Каунас
148,1922-09-21,6.2,8.7,14,20.1,Каунас
149,1922-09-22,6.1,8.9,15,2,Каунас
150,1922-09-23,4,7,12.2,0,Каунас
151,1922-09-24,3.5,6.9,11.5,1.8,Каунас
152,1922-09-25,2,7,14.6,0.2,Каунас
153,1922-09-26,2.2,5.7,11.5,0,Каунас
154,1922-09-27,3.6,8.6,11,0.5,Каунас
155,1922-09-28,7,8.9,11.5,0.1,Каунас
156,1922-09-29,4,8.1,12.5,0.2,Каунас
157,1922-09-30,3.6,6.7,11.2,0,Каунас
159,1922-10-01,4.5,7.6,10,0,Каунас
160,1922-10-02,5.4,6.3,7.7,2.5,Каунас
161,1922-10-04,5.6,6.8,9.8,1.2,Каунас
162,1922-10-05,4,5.9,10.8,2,Каунас
163,1922-10-06,4,5.8,9,0.8,Каунас
164,1922-10-07,2.8,7.9,12.5,0.6,Каунас
165,1922-10-08,3,4.7,7.8,0.7,Каунас
166,1922-10-09,0,3.6,7.8,0,Каунас
167,1922-10-10,-0.5,4.2,10.8,0,Каунас
168,1922-10-11,-0.1,5.3,7.6,0,Каунас
169,1922-10-12,5.7,7.8,9,1,Каунас
170,1922-10-13,7.4,7.6,8.5,1,Каунас
171,1922-10-14,6.5,7.3,9,0.1,Каунас
172,1922-10-15,4.5,7.2,10,0,Каунас
