,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1916-12-01,-4,-1.7,1,0.1,Кемь-Порт
2,1916-12-02,-4,-2,-1,0,Кемь-Порт
3,1916-12-03,-7.5,-4.6,-2,0.2,Кемь-Порт
4,1916-12-04,-7.7,-0.4,1.3,0.2,Кемь-Порт
5,1916-12-05,-7.5,-2.9,0.6,0,Кемь-Порт
6,1916-12-06,-7.6,-2.5,0.5,0,Кемь-Порт
7,1916-12-07,0,2.9,4.1,0.8,Кемь-Порт
8,1916-12-08,0.5,1.1,2,0,Кемь-Порт
9,1916-12-09,-2,-0.6,1,2.9,Кемь-Порт
10,1916-12-10,-2.7,-1,-0.5,0,Кемь-Порт
11,1916-12-11,-5,-4.1,-0.7,0,Кемь-Порт
12,1916-12-12,-6,-4.9,-4.4,0.2,Кемь-Порт
13,1916-12-13,-5.4,-4.1,-2.5,3.3,Кемь-Порт
14,1916-12-14,-4.9,-3.5,-2.5,1.3,Кемь-Порт
15,1916-12-15,-2.6,1.6,2.5,0.3,Кемь-Порт
16,1916-12-16,-0.4,0.7,1.8,1.2,Кемь-Порт
17,1916-12-17,-3.5,-1,1.1,0,Кемь-Порт
18,1916-12-18,-8.7,-6.5,-2.9,7.2,Кемь-Порт
19,1916-12-19,-8.5,-6.9,-3.4,2.8,Кемь-Порт
20,1916-12-20,-14,-10,-7.8,0.3,Кемь-Порт
21,1916-12-21,-17.4,-14.4,-9,0.3,Кемь-Порт
22,1916-12-22,-17.7,-15.4,-14,0.1,Кемь-Порт
23,1916-12-23,-16.3,-12,-9.7,0.2,Кемь-Порт
24,1916-12-24,-10.7,-9,-7.5,0.5,Кемь-Порт
25,1916-12-25,-11.5,-10.1,-8.4,4.1,Кемь-Порт
26,1916-12-26,-9,-7.7,-7,5,Кемь-Порт
27,1916-12-27,-13,-9.7,-7.2,2.6,Кемь-Порт
28,1916-12-28,-22.5,-19.9,-12.6,0.1,Кемь-Порт
29,1916-12-29,-21.5,-17.9,-14.6,0.9,Кемь-Порт
30,1916-12-30,-17.5,-6,-5,4.5,Кемь-Порт
31,1916-12-31,-12.1,-8.7,-6,4.1,Кемь-Порт
33,1917-01-01,-17.5,-12.5,-9.3,3.1,Кемь-Порт
