,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0.7,2.9,5.1,0,Керчь
2,1936-01-02,-0.4,2.2,4.3,0,Керчь
3,1936-01-03,-1.8,1,5.4,0,Керчь
4,1936-01-04,-3.3,1.9,7.8,0,Керчь
5,1936-01-05,-1.1,3.8,9,0,Керчь
6,1936-01-06,-0.1,1.3,2.8,0.2,Керчь
7,1936-01-07,-0.4,1.2,1.7,0,Керчь
8,1936-01-08,-0.9,0.7,2.1,0,Керчь
9,1936-01-09,-1,2.6,7.3,0,Керчь
10,1936-01-10,2.1,5.4,7.7,1.4,Керчь
11,1936-01-11,2.4,5.7,8.8,7.4,Керчь
12,1936-01-12,2.5,7.3,10.3,6.7,Керчь
13,1936-01-13,0.5,2.8,4.6,0,Керчь
14,1936-01-14,-1.5,1.7,4.8,0,Керчь
15,1936-01-15,-0.1,1.5,3.3,0.2,Керчь
16,1936-01-16,-0.4,2.7,6.8,0,Керчь
17,1936-01-17,-0.9,1.2,2.7,0,Керчь
18,1936-01-18,-0.1,2.8,5.7,0,Керчь
19,1936-01-19,1.7,4.8,8.6,0,Керчь
20,1936-01-20,4.2,6.2,8.8,0,Керчь
21,1936-01-21,3.7,5.9,7.7,0,Керчь
22,1936-01-22,6.1,7.3,9.1,0.2,Керчь
23,1936-01-23,7.1,8.5,9.9,0,Керчь
24,1936-01-24,2.7,6.8,9.9,13.2,Керчь
25,1936-01-25,0.5,2.7,7.1,0.2,Керчь
26,1936-01-26,4.9,6.7,8.9,0,Керчь
27,1936-01-27,4.9,7.2,8.9,0.1,Керчь
28,1936-01-28,6.1,7.9,9.4,0,Керчь
29,1936-01-29,6.7,8.8,11.8,0,Керчь
30,1936-01-30,-1.5,5.5,7.6,0.3,Керчь
31,1936-01-31,-3.6,-2.4,-1.3,0,Керчь
33,1936-02-01,-4.9,-2.4,0,0,Керчь
34,1936-02-02,-1.4,2,6.9,0.6,Керчь
35,1936-02-03,5.6,7.1,8.6,0,Керчь
36,1936-02-04,4.6,7.1,9.2,0,Керчь
37,1936-02-05,4.3,7.3,10.3,0,Керчь
38,1936-02-06,5.9,8.9,12.7,1.6,Керчь
39,1936-02-07,3.6,5.8,7.3,0.7,Керчь
40,1936-02-08,0.5,2.4,3.8,0,Керчь
41,1936-02-09,-2.1,-0.3,0.6,0,Керчь
42,1936-02-10,-0.7,4.2,8.2,0.7,Керчь
43,1936-02-11,-4.6,-2.8,-0.6,3.2,Керчь
