,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1937-11-01,-9.4,0.7,12.1,0,Кзыл-Жар
2,1937-11-02,-6.3,-0.2,6.1,0,Кзыл-Жар
3,1937-11-03,-11.1,-2.6,4.3,0,Кзыл-Жар
4,1937-11-04,-13.3,-3.6,6.5,0,Кзыл-Жар
5,1937-11-05,-14.8,-3.6,8.8,0,Кзыл-Жар
6,1937-11-06,-8.3,-1,8,0,Кзыл-Жар
7,1937-11-07,-8.8,-3.7,4.6,1.4,Кзыл-Жар
8,1937-11-08,-9.8,-3.2,-1,2.5,Кзыл-Жар
9,1937-11-09,-4.3,-0.7,0.5,0.1,Кзыл-Жар
10,1937-11-10,-1.7,0.1,2.5,0,Кзыл-Жар
11,1937-11-11,-3.2,-1.1,1.5,0.2,Кзыл-Жар
12,1937-11-12,-2,-0.5,3,1.6,Кзыл-Жар
13,1937-11-13,-13.3,-5.3,0.5,1.2,Кзыл-Жар
14,1937-11-14,-18.3,-16.4,-10.1,0,Кзыл-Жар
15,1937-11-15,-19.8,-14.7,-11,0,Кзыл-Жар
16,1937-11-16,-19.8,-14.3,-9.8,0.4,Кзыл-Жар
17,1937-11-17,-25,-18.3,-11,0,Кзыл-Жар
18,1937-11-18,-22.8,-19.6,-13.5,0,Кзыл-Жар
19,1937-11-19,-25.4,-19.3,-10,0,Кзыл-Жар
20,1937-11-20,-19.3,-14.8,-9,0,Кзыл-Жар
21,1937-11-21,-22.7,-17.3,-10,0,Кзыл-Жар
22,1937-11-22,-22.1,-15.6,-7,0,Кзыл-Жар
23,1937-11-23,-19.8,-12.9,-8.5,0.1,Кзыл-Жар
24,1937-11-24,-20.8,-15.8,-9,0,Кзыл-Жар
25,1937-11-25,-24,-19.5,-12.6,0,Кзыл-Жар
26,1937-11-26,-24,-18.6,-11,0,Кзыл-Жар
27,1937-11-27,-23.7,-16.8,-6.2,0,Кзыл-Жар
28,1937-11-28,-20.3,-9.8,-5.5,0,Кзыл-Жар
29,1937-11-29,-9.5,-3.5,0,0,Кзыл-Жар
30,1937-11-30,-6.3,-1.8,1.4,0,Кзыл-Жар
32,1939-01-01,-27.3,-25,-22.5,0,Кзыл-Жар
33,1939-01-02,-25.5,-22.8,-19.3,0,Кзыл-Жар
34,1939-01-03,-23.7,-21.8,-18.1,0,Кзыл-Жар
35,1939-01-04,-28.4,-20.6,-14.3,0,Кзыл-Жар
36,1939-01-05,-15.6,-8.6,-6.8,0,Кзыл-Жар
37,1939-01-06,-10.2,-7.4,-3,0.7,Кзыл-Жар
38,1939-01-07,-24.4,-14.4,-9.3,0.1,Кзыл-Жар
39,1939-01-08,-28.9,-24.8,-17,0,Кзыл-Жар
40,1939-01-09,-27,-22.2,-14.6,0,Кзыл-Жар
41,1939-01-10,-20,-11.4,-7.7,0,Кзыл-Жар
42,1939-01-11,-8.3,-5.1,-3.5,0.6,Кзыл-Жар
43,1939-01-12,-5,-2.5,0,0.2,Кзыл-Жар
44,1939-01-13,-27.7,-17.5,-2.2,0,Кзыл-Жар
45,1939-01-14,-33.1,-29.7,-24.5,0,Кзыл-Жар
46,1939-01-15,-33.6,-26.8,-21,0,Кзыл-Жар
47,1939-01-16,-33.9,-27.2,-21.7,0,Кзыл-Жар
48,1939-01-17,-27.5,-20.4,-14.3,0,Кзыл-Жар
49,1939-01-18,-26.6,-20.9,-15.3,0,Кзыл-Жар
50,1939-01-19,-24.8,-20.5,-17.6,0,Кзыл-Жар
