,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-16.5,-14.9,-11.5,0,Кизыл-Арват
2,1900-01-02,-19.8,-17.2,-13.4,0,Кизыл-Арват
3,1900-01-03,-14.2,-12.4,-10.6,0,Кизыл-Арват
4,1900-01-04,-16.5,-12.7,-7.5,0,Кизыл-Арват
5,1900-01-05,-18.3,-9.7,0.4,0,Кизыл-Арват
6,1900-01-06,-7.7,7.5,11.4,0,Кизыл-Арват
7,1900-01-07,-0.6,1.1,8.4,4,Кизыл-Арват
8,1900-01-08,-2,3.3,11.3,0,Кизыл-Арват
9,1900-01-09,0.5,1.4,5,2,Кизыл-Арват
10,1900-01-10,-4,-3.3,1.5,1,Кизыл-Арват
11,1900-01-11,-4.8,-3,-0.9,0,Кизыл-Арват
12,1900-01-12,-2.5,-1.7,-0.1,0,Кизыл-Арват
13,1900-01-13,-3.4,-2.8,0,0,Кизыл-Арват
14,1900-01-14,-6,-4.9,-1.5,1,Кизыл-Арват
15,1900-01-15,-10.2,-8,-4.5,0,Кизыл-Арват
16,1900-01-16,-9.9,-7.5,-2.4,0,Кизыл-Арват
17,1900-01-17,-8.6,-6.5,-2.4,0,Кизыл-Арват
18,1900-01-18,-8,-6.1,-2.4,7,Кизыл-Арват
19,1900-01-19,-9.9,-8.3,-3.5,3,Кизыл-Арват
20,1900-01-20,-15.7,-13.5,-8.1,0,Кизыл-Арват
21,1900-01-21,-23.7,-17.8,-13.5,0,Кизыл-Арват
22,1900-01-22,-23.9,-22.8,-16,0,Кизыл-Арват
23,1900-01-23,-26,-21.9,-17.5,0,Кизыл-Арват
24,1900-01-24,-19.9,-16.3,-13,0,Кизыл-Арват
25,1900-01-25,-16.6,-9.9,-6.5,0,Кизыл-Арват
26,1900-01-26,-9.1,-4.5,-0.8,0,Кизыл-Арват
27,1900-01-27,-7,-4.7,-3,0,Кизыл-Арват
28,1900-01-28,-4.4,-3,-1.6,0,Кизыл-Арват
29,1900-01-29,-5,-3.1,-1.4,0,Кизыл-Арват
30,1900-01-30,-9.4,-6.1,-1.1,4.5,Кизыл-Арват
