,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1931-07-01,6.3,15.6,20.6,0,Киренск
2,1931-07-02,9.4,19.5,25.1,0,Киренск
3,1931-07-03,11.9,22.3,26.6,0,Киренск
4,1931-07-04,11.5,18.2,21.7,0,Киренск
5,1931-07-05,11.1,21.6,27.1,0,Киренск
6,1931-07-06,11,19.9,25.6,0,Киренск
7,1931-07-07,10.8,17.5,21.1,2,Киренск
8,1931-07-08,10.3,19.3,23,0,Киренск
9,1931-07-09,12.3,16.6,19.8,2.2,Киренск
10,1931-07-10,6.4,17.8,23.2,0,Киренск
11,1931-07-11,14.2,20.6,23.9,0,Киренск
12,1931-07-12,14.4,19.1,21.8,8.6,Киренск
13,1931-07-13,13.3,17.3,21.1,1,Киренск
14,1931-07-14,12.8,16.2,18.5,2.2,Киренск
15,1931-07-15,14.3,16.3,16.9,5.8,Киренск
16,1931-07-16,14,16.7,20.5,2.1,Киренск
17,1931-07-17,8.3,18,23.2,0,Киренск
18,1931-07-18,9.8,19.4,24.1,12.1,Киренск
19,1931-07-19,11.2,14.1,16.9,0.1,Киренск
20,1931-07-20,5.6,14.6,19.1,0,Киренск
21,1931-07-21,7.9,19.2,25.9,3.4,Киренск
22,1931-07-22,11.4,16.2,18.6,3.6,Киренск
23,1931-07-23,7.3,14.5,19.1,5,Киренск
24,1931-07-24,10.8,16.8,21,0,Киренск
25,1931-07-25,12.4,18,23.2,0,Киренск
26,1931-07-26,9.6,18.8,26.2,10,Киренск
27,1931-07-27,14.9,18.3,22.3,0.8,Киренск
28,1931-07-28,10.4,15.3,20.4,2.2,Киренск
29,1931-07-29,10.2,16.8,21.1,0.8,Киренск
30,1931-07-30,13,20.7,24.6,0,Киренск
31,1931-07-31,10.8,21.5,27.9,0,Киренск
33,1931-08-01,11,23.2,31.4,0,Киренск
34,1931-08-02,13.8,22.8,31,5,Киренск
35,1931-08-03,16.6,19.2,22.8,4.5,Киренск
36,1931-08-04,12.3,14.1,16.7,0.1,Киренск
37,1931-08-05,10.6,14.5,16.9,0,Киренск
38,1931-08-06,6.8,12.7,18.3,0,Киренск
39,1931-08-07,5.7,17.9,26.9,0,Киренск
40,1931-08-08,9.4,21.3,28.4,0,Киренск
41,1931-08-09,12,22.2,31.2,0,Киренск
42,1931-08-10,15.1,22.5,30,0.6,Киренск
43,1931-08-11,15.6,17.4,20.5,2.5,Киренск
44,1931-08-12,8.9,16,20,0,Киренск
45,1931-08-13,6.3,15.7,23,0.2,Киренск
46,1931-08-14,10.8,14.4,17,9.2,Киренск
47,1931-08-15,9.6,14.3,17.3,0.2,Киренск
48,1931-08-16,9.3,11.7,13,0,Киренск
49,1931-08-17,7.3,13.6,18,0,Киренск
50,1931-08-18,4.8,13.6,22,0,Киренск
51,1931-08-19,5.3,16.3,25,0,Киренск
52,1931-08-20,8.8,16.9,24.5,1.2,Киренск
53,1931-08-21,1.8,10.9,17.4,0,Киренск
54,1931-08-22,2.3,13.1,25,0,Киренск
55,1931-08-23,1.5,14.7,26.9,0.4,Киренск
56,1931-08-24,12.7,14.9,19.3,0.9,Киренск
57,1931-08-25,5.8,14.6,21.3,0,Киренск
58,1931-08-26,7.1,17.2,24,0.6,Киренск
59,1931-08-27,14.3,21.3,25.9,0,Киренск
60,1931-08-28,9.3,14,20.5,5.5,Киренск
61,1931-08-29,9.3,12.9,16.2,0,Киренск
62,1931-08-30,4.3,9.6,14,0.3,Киренск
63,1931-08-31,7.5,9.1,10,1.6,Киренск
65,1933-09-01,9.6,13.3,18.6,0,Киренск
66,1933-09-02,6,14.9,24.6,12,Киренск
67,1933-09-03,6.8,8.3,14.8,0,Киренск
68,1933-09-04,6.6,8.5,11.6,0,Киренск
69,1933-09-05,7.5,11.3,13.6,0,Киренск
70,1933-09-06,9.4,13.4,15.6,7.3,Киренск
71,1933-09-07,7.3,11.4,14.9,0,Киренск
72,1933-09-08,1.8,6.1,9.9,3.1,Киренск
73,1933-09-09,4.2,6.5,10.5,0.2,Киренск
74,1933-09-10,-1.1,6.7,13.6,0,Киренск
75,1933-09-11,1.4,3.5,8.9,0,Киренск
76,1933-09-12,1.5,6.9,12.5,0,Киренск
77,1933-09-13,0,12.3,20.1,0,Киренск
78,1933-09-14,6.4,9.5,14.6,0,Киренск
79,1933-09-15,2.2,10.3,17.6,0.1,Киренск
80,1933-09-16,8.2,10.6,12.7,7.6,Киренск
81,1933-09-17,3,6.2,10.1,0,Киренск
82,1933-09-18,1.7,4.5,8.1,2.2,Киренск
83,1933-09-19,-1.3,7.1,13.1,0,Киренск
84,1933-09-20,4.2,9.9,18.6,1.1,Киренск
85,1933-09-21,0.4,3.4,7.6,5,Киренск
86,1933-09-22,0.2,2.5,9.2,0.2,Киренск
87,1933-09-23,-1.8,2.4,4.6,0.6,Киренск
88,1933-09-24,1.7,3.6,6.6,0,Киренск
89,1933-09-25,-1.8,0.7,2.5,0,Киренск
90,1933-09-26,-0.3,2.1,4.7,0.1,Киренск
91,1933-09-27,1.5,4.2,5.6,0,Киренск
92,1933-09-28,4,5.1,6.6,3.9,Киренск
93,1933-09-29,4,8.5,15.9,0,Киренск
94,1933-09-30,0.3,5.7,13.1,0,Киренск
96,1933-10-01,-2.3,4.6,12.6,0,Киренск
97,1933-10-02,-0.3,2.1,5.2,0.1,Киренск
98,1933-10-03,-2.8,-1.5,0,0.5,Киренск
99,1933-10-04,-2.8,-1.3,1.7,0.5,Киренск
100,1933-10-05,-2.1,-0.1,1.6,0,Киренск
101,1933-10-06,-4.3,0.1,8.1,0,Киренск
102,1933-10-07,-5.3,-0.4,5.1,0,Киренск
103,1933-10-08,-5.3,-0.4,8.6,0,Киренск
104,1933-10-09,-6.6,0.1,12.3,0,Киренск
105,1933-10-10,-7.3,-0.1,10.6,0,Киренск
106,1933-10-11,-7.8,1.3,13.6,0.2,Киренск
107,1933-10-12,-3.8,4.3,14.6,0,Киренск
108,1933-10-13,-0.8,0.8,9.7,0.2,Киренск
109,1933-10-14,-2.8,-0.5,1.9,2,Киренск
110,1933-10-15,-0.3,1.4,3.1,1,Киренск
111,1933-10-16,1.9,3.5,4.6,4,Киренск
112,1933-10-17,1.7,4.2,7.6,1,Киренск
113,1933-10-18,1.2,4.2,6.6,2,Киренск
114,1933-10-19,0.2,1.3,5.3,0,Киренск
115,1933-10-20,-1.3,-0.8,0.5,0,Киренск
116,1933-10-21,-5.8,-3.9,-1,0,Киренск
117,1933-10-22,-4.2,-1.3,0,0,Киренск
118,1933-10-23,-0.4,1.1,2,0.9,Киренск
119,1933-10-24,-0.8,2,5.4,0,Киренск
120,1933-10-25,-6,0.9,4.2,0,Киренск
121,1933-10-26,-8.3,-7,5.9,0,Киренск
122,1933-10-27,-7.8,-5.7,-4.4,0,Киренск
123,1933-10-28,-5.3,-2.9,-1.5,0.2,Киренск
124,1933-10-29,-9.4,-7.3,-1.5,1.6,Киренск
125,1933-10-30,-15.9,-13.5,-8,0.2,Киренск
126,1933-10-31,-18.9,-15.5,-14,0.2,Киренск
128,1933-11-01,-17.7,-10,-6.8,0,Киренск
129,1933-11-02,-6.9,-5.1,-4,2,Киренск
130,1933-11-03,-16.5,-10.2,-4,0,Киренск
131,1933-11-04,-21,-20.1,-15.5,0,Киренск
132,1933-11-05,-23.6,-18.4,-15,3,Киренск
133,1933-11-06,-15.2,-10.6,-9.2,0.7,Киренск
134,1933-11-07,-12.3,-4.6,-0.5,2,Киренск
135,1933-11-08,-1.8,0.8,1.7,0.2,Киренск
136,1933-11-09,-5.3,-2.9,0.4,0.2,Киренск
137,1933-11-10,-13.6,-8.1,-3,0.2,Киренск
138,1933-11-11,-20.5,-17.8,-12.5,0,Киренск
139,1933-11-12,-25.3,-20.2,-14.2,0,Киренск
140,1933-11-13,-23.3,-14.8,-8.2,0,Киренск
141,1933-11-14,-8.3,-5.1,-4.5,0.6,Киренск
142,1933-11-15,-6.2,-3.1,-1.4,1.2,Киренск
143,1933-11-16,-3.6,-1.7,-0.8,0,Киренск
144,1933-11-17,-2.4,-1.1,0.2,0.1,Киренск
145,1933-11-18,-17.3,-13.7,-2.4,0,Киренск
146,1933-11-20,-26.6,-23.8,-19.7,0,Киренск
147,1933-11-21,-29.2,-18.2,-13.4,1.5,Киренск
148,1933-11-22,-15.2,-10.7,-6.5,0.2,Киренск
149,1933-11-23,-18.3,-10.2,-3.6,0,Киренск
150,1933-11-24,-17.7,-12.3,-5,0,Киренск
151,1933-11-25,-28.3,-20.1,-14.2,0,Киренск
152,1933-11-26,-20.8,-17,-12.6,0.3,Киренск
153,1933-11-27,-29.9,-20.3,-9,1,Киренск
154,1933-11-28,-26.8,-21.1,-9,0,Киренск
155,1933-11-29,-26.8,-10,-6,0.4,Киренск
156,1933-11-30,-10.6,-4.3,1,0.4,Киренск
158,1935-01-01,-27.6,-21.4,-13,0,Киренск
159,1935-01-02,-40.6,-35.2,-27,0.1,Киренск
160,1935-01-03,-31.6,-23.8,-21,1.2,Киренск
161,1935-01-04,-28.7,-17.8,-14,1.1,Киренск
162,1935-01-05,-23.6,-17.6,-10.2,0,Киренск
163,1935-01-06,-39.6,-35.1,-18.5,0,Киренск
164,1935-01-07,-46.1,-44.3,-38.4,0,Киренск
165,1935-01-08,-46.2,-40.1,-37,1.6,Киренск
166,1935-01-09,-40.4,-29.4,-23.8,0.5,Киренск
167,1935-01-10,-28.7,-19.3,-16,0.7,Киренск
168,1935-01-11,-18.3,-16.4,-15.8,0,Киренск
