,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1914-07-01,17.2,21.4,26.5,33.3,Киров
2,1914-07-02,16.8,20.3,23.7,0,Киров
3,1914-07-03,15.6,22.4,26,0,Киров
4,1914-07-04,13.7,21,24.8,0,Киров
5,1914-07-05,11.5,15.8,20.1,0,Киров
6,1914-07-06,6.5,16.4,19.4,0,Киров
7,1914-07-07,10.9,20,25.1,0,Киров
8,1914-07-08,8.4,13.3,18.5,0,Киров
9,1914-07-09,8.4,17.8,23.9,0,Киров
10,1914-07-10,14,19.6,25,0,Киров
11,1914-07-11,10.9,17.5,21.6,0,Киров
12,1914-07-12,9.8,17,20.9,0,Киров
13,1914-07-13,8.9,16.1,21.1,0,Киров
14,1914-07-14,10.4,17.6,22,2.3,Киров
15,1914-07-15,9.4,12.2,17.5,0.3,Киров
16,1914-07-16,5.5,11,14.8,0,Киров
17,1914-07-17,4.5,12.9,18.6,0.7,Киров
18,1914-07-18,9.4,13.1,17.9,24.5,Киров
19,1914-07-19,5.5,10,15.3,0,Киров
20,1914-07-20,5,14.7,18.8,3,Киров
21,1914-07-21,11.3,15.5,20.3,0.3,Киров
22,1914-07-22,12.2,16.1,20.1,0,Киров
23,1914-07-23,4.9,14.2,19.8,0.1,Киров
24,1914-07-24,10.3,14.4,19.8,0,Киров
25,1914-07-25,11.3,21.8,28,0,Киров
26,1914-07-26,16.4,23.1,30.6,0,Киров
27,1914-07-27,17.7,22.1,27.9,0,Киров
28,1914-07-28,12.3,21.8,26.7,0,Киров
29,1914-07-29,16.7,24.5,30.3,0,Киров
30,1914-07-30,18.4,26.4,32.8,0,Киров
31,1914-07-31,20.3,25,32.8,4.5,Киров
33,1914-08-01,15.3,18.9,23,0,Киров
34,1914-08-02,13.3,19.3,24,0.5,Киров
35,1914-08-03,13.9,18.8,23.6,23.6,Киров
36,1914-08-04,15,17.8,22,0,Киров
37,1914-08-05,13.7,18.3,22.6,0,Киров
38,1914-08-06,13.7,15.9,20.3,3.4,Киров
39,1914-08-07,11.4,15.8,20.5,0.2,Киров
40,1914-08-08,13.1,15.3,18.4,1.6,Киров
41,1914-08-09,10.9,16.5,20,0,Киров
42,1914-08-10,11.4,17.4,22.1,0,Киров
43,1914-08-11,11.4,19.3,24.5,0,Киров
44,1914-08-12,13.9,20.1,25.8,0,Киров
45,1914-08-13,11.4,14.5,17.8,2.2,Киров
46,1914-08-14,11.8,15.2,19.5,0,Киров
47,1914-08-15,9.2,13.4,18,0.3,Киров
48,1914-08-16,9.6,14.2,19.9,6.9,Киров
49,1914-08-17,10.8,12.4,15.4,7.4,Киров
50,1914-08-18,10.9,12.9,15.9,1.2,Киров
51,1914-08-19,7.2,13.6,18.8,1,Киров
52,1914-08-20,9.6,13.9,18.7,8.1,Киров
53,1914-08-21,12.6,14.7,21.6,23.3,Киров
54,1914-08-22,7.2,12.1,17.4,33.1,Киров
55,1914-08-23,5.3,6.8,11.2,13.2,Киров
56,1914-08-24,6.3,8.4,11.4,10.4,Киров
57,1914-08-25,6.3,9.2,12.3,0,Киров
58,1914-08-26,5,12,17.3,1.2,Киров
59,1914-08-27,9.2,11.2,13.6,20.6,Киров
60,1914-08-28,9,10.7,13.4,9.9,Киров
61,1914-08-29,10.2,13,16.4,0,Киров
62,1914-08-30,8.6,9.9,11.9,0,Киров
63,1914-08-31,7.6,10,13.5,3.8,Киров
65,1914-09-01,7.7,9.3,12.5,0,Киров
66,1914-09-02,3.9,7.8,11.7,0,Киров
67,1914-09-03,2.8,6.4,10.5,0.6,Киров
68,1914-09-04,3.6,5,7.5,3.9,Киров
69,1914-09-05,2.3,4.8,7,4.6,Киров
70,1914-09-06,2.6,5.1,6.9,8.1,Киров
71,1914-09-07,1.4,4.2,7.6,8.8,Киров
72,1914-09-08,4,6.9,11,1.9,Киров
73,1914-09-09,0.6,2.6,5.9,15.1,Киров
74,1914-09-10,-0.8,2.3,6.7,0.2,Киров
75,1914-09-11,-0.6,3.3,5.4,9.2,Киров
76,1914-09-12,4.1,7.1,10.5,0.2,Киров
77,1914-09-13,0.5,3.2,7.3,0,Киров
78,1914-09-14,-0.1,5.1,10.3,0,Киров
79,1914-09-15,1.4,7.2,13.2,0,Киров
80,1914-09-16,2.5,8.5,14.5,0,Киров
81,1914-09-17,4.3,9.8,16.4,0,Киров
82,1914-09-18,4.3,10.2,14.4,0.3,Киров
83,1914-09-19,8.4,11.4,16.8,0,Киров
84,1914-09-20,6,8.8,13,1.7,Киров
85,1914-09-21,7.7,13.7,18.2,0,Киров
86,1914-09-22,10.2,12.8,16.6,0,Киров
87,1914-09-23,7,9,11.3,0.4,Киров
88,1914-09-24,3.6,5.1,8.6,1.1,Киров
89,1914-09-25,0.5,3.8,6.7,3.2,Киров
90,1914-09-26,4.8,5.6,7.4,1.7,Киров
91,1914-09-27,5.4,7.5,9.1,1.5,Киров
92,1914-09-28,7.4,8.4,9.9,0.6,Киров
93,1914-09-29,6.6,7.8,9.7,0.4,Киров
94,1914-09-30,7,10.7,12.4,14.3,Киров
96,1914-10-01,6.6,8.6,12.6,0,Киров
97,1914-10-02,4.9,6.2,7.9,3.4,Киров
98,1914-10-03,4.8,6.9,9,6.4,Киров
99,1914-10-04,1.3,3,6.5,0.5,Киров
100,1914-10-05,-0.7,2.9,5.7,3.4,Киров
101,1914-10-06,1.9,3.4,5.5,1.5,Киров
102,1914-10-07,-1.7,0.5,2.7,0,Киров
103,1914-10-08,-1.9,0.4,4.5,0,Киров
104,1914-10-09,-1.4,2.6,6.4,0,Киров
105,1914-10-10,-2.3,-0.6,3.5,0,Киров
106,1914-10-11,-4.9,-1.2,3,0,Киров
107,1914-10-12,-2.4,1.5,5.7,0,Киров
108,1914-10-13,-2.6,1.8,6.7,0,Киров
109,1914-10-14,-1.5,3.1,7.9,0,Киров
110,1914-10-15,-1.5,3.2,7.9,0,Киров
111,1914-10-16,-1.4,2.2,5.5,0,Киров
112,1914-10-17,1.7,2.9,4.5,0,Киров
113,1914-10-18,0,2.6,4.3,0,Киров
114,1914-10-19,1.3,2.5,4.3,0,Киров
115,1914-10-20,-5,-2.9,2,0,Киров
116,1914-10-21,-6.3,-3.2,-0.1,0,Киров
117,1914-10-22,-3.3,-0.4,2.3,0,Киров
