,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-1.8,0.8,1.3,0,Кишинев
2,1900-01-02,-5.7,-0.4,1,0,Кишинев
3,1900-01-03,-5.7,0,4.4,0,Кишинев
4,1900-01-04,0.8,3,4.2,0,Кишинев
5,1900-01-05,0.2,2.5,4.2,0.3,Кишинев
6,1900-01-06,0.3,4.5,9.8,0,Кишинев
7,1900-01-07,-2.1,-1,-0.1,0,Кишинев
8,1900-01-08,-6.3,-5.1,-4.4,0,Кишинев
9,1900-01-09,-14.3,-10.1,-8.8,0,Кишинев
10,1900-01-10,-15.3,-11.9,-9.7,0,Кишинев
11,1900-01-11,-15.9,-13.4,-11.7,0,Кишинев
12,1900-01-12,-16.8,-12.9,-10.2,0,Кишинев
13,1900-01-13,-15.8,-11.5,-9.1,2.4,Кишинев
14,1900-01-14,-14.8,-7.1,-5.7,0,Кишинев
15,1900-01-15,-6.6,-5.2,-4.4,0,Кишинев
16,1900-01-16,-6.3,-4.6,-4,3.3,Кишинев
17,1900-01-17,-5.8,-2.6,-1,2.5,Кишинев
18,1900-01-18,-7.8,-4.8,-1.4,0,Кишинев
19,1900-01-19,-5.4,-2.3,-0.7,0,Кишинев
20,1900-01-20,-2.1,-1.2,-0.3,3.1,Кишинев
21,1900-01-21,-6.1,-5,-3.7,0,Кишинев
22,1900-01-22,-10.3,-8,-6.9,0,Кишинев
23,1900-01-23,-8.8,-5.5,-3.9,0,Кишинев
24,1900-01-24,-9.2,2.1,4.9,0,Кишинев
25,1900-01-25,-1.2,2.4,3.5,4.2,Кишинев
26,1900-01-26,0.4,1.4,2.1,0.3,Кишинев
27,1900-01-27,-0.1,1.9,2.7,0,Кишинев
28,1900-01-28,0,0.6,1.2,11,Кишинев
29,1900-01-29,0.5,1.8,4.1,0,Кишинев
30,1900-01-30,3.3,6.5,8.7,0,Кишинев
31,1900-01-31,3.7,5.7,7.4,0,Кишинев
33,1900-02-01,-0.2,4.8,9.6,0,Кишинев
34,1900-02-02,-0.2,2.2,7.2,0,Кишинев
35,1900-02-03,0.4,2.5,7.6,0.5,Кишинев
36,1900-02-04,-0.1,0.8,5.1,0,Кишинев
37,1900-02-05,0.4,1.3,6.1,1.3,Кишинев
38,1900-02-06,-0.1,2.5,3.6,1.5,Кишинев
39,1900-02-07,-0.1,1.6,1.9,2.7,Кишинев
40,1900-02-08,0.4,2.6,2.9,2.7,Кишинев
41,1900-02-09,0.4,2.5,4.1,0,Кишинев
42,1900-02-10,-0.1,2.2,4.1,0,Кишинев
43,1900-02-11,-0.6,0.7,2.1,0,Кишинев
44,1900-02-12,-0.1,3.2,4.3,2.8,Кишинев
45,1900-02-13,-0.2,5.4,7.1,0,Кишинев
46,1900-02-14,1.9,5,8.5,0,Кишинев
