,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1914-09-24,1.6,8,15.4,0,Ключи
2,1914-09-25,1.1,5.6,11.1,0,Ключи
3,1914-09-26,3.4,7,11.5,0.1,Ключи
4,1914-09-27,-0.1,6.6,11.6,3.8,Ключи
5,1914-09-28,-0.9,4.9,12.2,0,Ключи
6,1914-09-29,-1.2,4.4,11.9,0,Ключи
7,1914-09-30,-2.3,6.7,14,0,Ключи
9,1914-10-01,-3.8,4.7,12.5,0,Ключи
10,1914-10-02,-1.5,5.4,12,0,Ключи
11,1914-10-03,-4.5,3.8,9.6,0.8,Ключи
12,1914-10-04,-2,3.3,10.6,0,Ключи
13,1914-10-05,-3.2,2.8,6.1,15,Ключи
14,1914-10-06,0.5,2.3,13,0,Ключи
15,1914-10-07,-1.3,1.1,4.1,0,Ключи
16,1914-10-08,-10,-0.4,4,6.1,Ключи
17,1914-10-09,2.1,3.8,7,0.7,Ключи
18,1914-10-10,-2.9,1.5,7.6,0,Ключи
19,1914-10-11,-6.3,-0.2,6.7,0,Ключи
20,1914-10-12,-4.3,2.7,6.1,1,Ключи
21,1914-10-13,2.6,4.1,5.6,0.6,Ключи
22,1914-10-14,-0.3,1.8,4.8,0,Ключи
23,1914-10-15,-3.4,3.7,8.1,0.2,Ключи
24,1914-10-16,-2.4,0.5,4.5,0,Ключи
25,1914-10-17,-9.2,-1.3,3.6,0,Ключи
26,1914-10-18,-3.6,0,5.3,0.2,Ключи
27,1914-10-19,-7.3,0.6,5.6,0,Ключи
28,1914-10-20,-3,-0.1,5,0,Ключи
29,1914-10-21,-5.4,1,4.4,1.2,Ключи
30,1914-10-22,-1.4,0.8,3.1,0,Ключи
31,1914-10-23,-0.3,2.5,6.4,0,Ключи
32,1914-10-24,-0.8,0.8,3.5,0,Ключи
33,1914-10-25,-7.6,-4.4,1.6,0,Ключи
34,1914-10-26,-12.4,-7.6,-0.5,0,Ключи
35,1914-10-27,-11.9,-7.5,-1.4,0,Ключи
36,1914-10-28,-8,-4.2,-1.8,0.5,Ключи
37,1914-10-29,-4,-1.6,-0.5,10.8,Ключи
38,1914-10-30,-3,-1.4,-0.2,0,Ключи
39,1914-10-31,-3.3,-0.8,0.5,0,Ключи
41,1914-11-01,-6,-2.2,0.2,0,Ключи
42,1914-11-02,-8.5,-5.5,-2.5,7.1,Ключи
43,1914-11-03,-4.5,-3.2,-1.3,5.1,Ключи
44,1914-11-04,-4.2,-2.2,0.3,0.1,Ключи
45,1914-11-05,-5.1,-3.2,-0.4,0.6,Ключи
46,1914-11-06,-9.4,-6.1,-1.7,0,Ключи
47,1914-11-07,-15.1,-12.1,-5.8,0,Ключи
48,1914-11-08,-20.1,-14.9,-10,0,Ключи
49,1914-11-09,-18,-10.4,-5.6,0.2,Ключи
50,1914-11-10,-12.5,-5.8,-2.3,0.3,Ключи
51,1914-11-11,-5.8,-3.6,-1.4,10.7,Ключи
52,1914-11-12,-7,-3,-1.2,0,Ключи
