,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1915-01-01,-10.7,-9.4,-8.7,0.5,Койнас
2,1915-01-03,-27.6,-20.4,-9.2,0,Койнас
3,1915-01-04,-26.7,-22.1,-20.5,0.3,Койнас
4,1915-01-05,-32.5,-28.7,-20,0,Койнас
5,1915-01-06,-33.2,-31.4,-30,0,Койнас
6,1915-01-07,-37,-35.4,-32,0,Койнас
7,1915-01-08,-39.6,-34.1,-28.5,0.1,Койнас
8,1915-01-09,-29.2,-16.8,-15.4,0.4,Койнас
9,1915-01-10,-18.1,-13.8,-12.6,2.8,Койнас
10,1915-01-11,-15.6,-11.9,-8.1,1.5,Койнас
11,1915-01-12,-8.3,-5.4,-3.1,0.4,Койнас
12,1915-01-13,-10.3,-9,-2.7,1.2,Койнас
13,1915-01-14,-10.4,-6.1,-5.2,3,Койнас
14,1915-01-15,-12.6,-10.8,-4.8,2.5,Койнас
15,1915-01-16,-13.2,-12,-11,0,Койнас
16,1915-01-17,-26.7,-19,-11.7,0,Койнас
17,1915-01-18,-28.6,-13.9,-9.8,0.3,Койнас
18,1915-01-19,-14.1,-11.5,-9.8,0.1,Койнас
19,1915-01-20,-18.5,-16.2,-12.5,1.5,Койнас
20,1915-01-21,-15.8,-13.9,-12.9,2,Койнас
21,1915-01-22,-19.7,-14.5,-11.5,0,Койнас
22,1915-01-23,-31.9,-27.1,-18,3.3,Койнас
23,1915-01-24,-19.8,-10.9,-5.4,1.2,Койнас
24,1915-01-25,-7.6,-6.6,-4.6,0,Койнас
25,1915-01-26,-8.7,-7.5,-5.5,7.5,Койнас
26,1915-01-27,-11.2,-7.4,-4.5,4.3,Койнас
27,1915-01-28,-11.7,-4,-0.8,0,Койнас
28,1915-01-29,-1.2,-0.4,1,1.2,Койнас
29,1915-01-30,0.2,0.6,1.5,0,Койнас
30,1915-01-31,-1.1,0.3,1.5,2,Койнас
32,1915-02-01,-3.7,-1,2.8,0,Койнас
33,1915-02-02,-5.5,-0.4,3,0,Койнас
34,1915-02-03,-11.7,-9.8,-5.3,0,Койнас
35,1915-02-04,-19.7,-13.6,-10.2,0,Койнас
36,1915-02-05,-21.9,-18.3,-13.6,0,Койнас
37,1915-02-06,-27.8,-24.9,-19.5,0,Койнас
38,1915-02-07,-30.4,-18.5,-14.9,0,Койнас
39,1915-02-08,-18.7,-12.6,-7.8,0,Койнас
40,1915-02-09,-25.6,-15.3,-6.6,0,Койнас
41,1915-02-10,-19.2,-10,-6.3,0,Койнас
42,1915-02-11,-13.6,-9.2,-6.8,0,Койнас
43,1915-02-12,-17.4,-10.1,-8.4,0.5,Койнас
44,1915-02-13,-11.7,-9.2,-6.4,0.5,Койнас
45,1915-02-14,-15.2,-11.8,-9.3,6.6,Койнас
46,1915-02-15,-26.2,-18,-11.5,7.7,Койнас
47,1915-02-16,-12,-6.5,-3.2,4.5,Койнас
48,1915-02-17,-13.1,-11.6,-8.4,0.2,Койнас
49,1915-02-18,-21.2,-15.5,-12.1,0.1,Койнас
50,1915-02-19,-13.5,-11,-9.2,0.8,Койнас
51,1915-02-20,-10.6,-7.8,-5.9,0.1,Койнас
52,1915-02-21,-8,-5.2,-3.9,1,Койнас
53,1915-02-22,-5.3,-4.3,-3,0,Койнас
54,1915-02-23,-4.6,-1.8,-0.3,0.2,Койнас
55,1915-02-24,-2.6,-0.2,1.6,2,Койнас
56,1915-02-25,-2.6,-0.5,1.8,6,Койнас
57,1915-02-26,-12.6,-10.6,-0.6,6.3,Койнас
58,1915-02-27,-12.9,-9.6,-7,1,Койнас
59,1915-02-28,-12.8,-11.1,-8.4,0.8,Койнас
61,1915-03-01,-24.6,-18.4,-11.7,0,Койнас
62,1915-03-02,-37.9,-32.3,-22.2,0,Койнас
63,1915-03-03,-44.6,-33.1,-23.2,0,Койнас
64,1915-03-04,-31.8,-24.8,-17.2,0,Койнас
65,1915-03-05,-39.8,-30.3,-19.5,0,Койнас
66,1915-03-06,-34.7,-25.3,-15.1,0,Койнас
67,1915-03-07,-38.1,-28.3,-17.7,0,Койнас
68,1915-03-08,-30.8,-25.6,-17.7,0,Койнас
69,1915-03-09,-38.2,-30.1,-18.7,0,Койнас
70,1915-03-10,-39.4,-26,-13.5,0.7,Койнас
71,1915-03-11,-17.7,-8.7,-7.1,3.2,Койнас
72,1915-03-12,-10.5,-8.2,-6.6,1,Койнас
73,1915-03-13,-12.3,-10,-5.9,1,Койнас
74,1915-03-14,-19.6,-14.3,-8.4,1.2,Койнас
75,1915-03-15,-23.9,-12.8,-7.5,2,Койнас
76,1915-03-16,-17.7,-9.5,-5.3,3.8,Койнас
77,1915-03-17,-17.6,-6.1,-1.3,5.2,Койнас
78,1915-03-18,-16.4,-8.8,-6.3,0,Койнас
79,1915-03-19,-22.2,-13.7,-9,0,Койнас
80,1915-03-20,-14,-11.2,-6.6,0,Койнас
81,1915-03-21,-23.2,-12.3,-7.1,6.6,Койнас
82,1915-03-22,-11.2,-10.2,-6.4,0.4,Койнас
83,1915-03-23,-16.8,-8.3,-4.2,1.8,Койнас
84,1915-03-24,-12.7,-8.6,-4.6,1.6,Койнас
85,1915-03-25,-7.7,-2.5,-0.3,0.6,Койнас
86,1915-03-26,-6.3,-4.3,0.2,3.7,Койнас
87,1915-03-27,-9,-7.7,-3.3,3.2,Койнас
88,1915-03-28,-14,-3.8,1,1.3,Койнас
89,1915-03-29,-11.2,-9.1,-2.2,0,Койнас
90,1915-03-30,-16.9,-11.1,-4.8,0,Койнас
91,1915-03-31,-22,-9.7,-3.1,0.2,Койнас
93,1915-04-01,-15.6,-8,-1.4,0,Койнас
94,1915-04-02,-16.1,-9.3,2,0,Койнас
95,1915-04-03,-13.7,-5.1,-3.4,3.2,Койнас
96,1915-04-04,-12.7,-7.5,-2.9,3,Койнас
97,1915-04-05,-15.7,-4.4,-1.5,0,Койнас
98,1915-04-06,-22.5,-8.8,3.4,0,Койнас
99,1915-04-07,-20.8,-7,4,0,Койнас
100,1915-04-08,-20.1,-2.6,5,0,Койнас
101,1915-04-11,-6.7,1.3,7,0.2,Койнас
102,1915-04-12,-4.4,0,4,0.4,Койнас
103,1915-04-13,-5,-3.1,1.7,0,Койнас
104,1915-04-14,-9.5,-4.9,1.5,0,Койнас
105,1915-04-15,-13.3,-1.3,2.5,0,Койнас
106,1915-04-16,0.1,3.2,6.5,0,Койнас
107,1915-04-17,2.4,4.1,6.7,1.6,Койнас
108,1915-04-18,-1.8,4.4,9.3,4,Койнас
109,1915-04-19,1.4,3.3,5.7,2.8,Койнас
110,1915-04-20,0.3,3.4,7.3,0,Койнас
111,1915-04-21,-3.1,4.6,10.9,0,Койнас
112,1915-04-22,-2.1,5.8,13,0,Койнас
113,1915-04-23,-2.5,7.4,14,2.8,Койнас
114,1915-04-24,-1.1,3.2,8.5,0,Койнас
115,1915-04-25,-3.4,4,12.3,0,Койнас
116,1915-04-26,-2.8,1.7,5.8,0.4,Койнас
117,1915-04-27,-2.5,-1.3,2.4,1.2,Койнас
118,1915-04-28,-4.3,-2.2,0.8,0.9,Койнас
119,1915-04-29,-2.7,1.4,3.7,0.6,Койнас
120,1915-04-30,-0.5,0.6,3.4,4,Койнас
122,1915-05-01,-5.1,1.6,5.8,0.1,Койнас
123,1915-05-02,-1.3,3.1,6.5,1,Койнас
124,1915-05-03,-2.6,-1.5,0.8,3.8,Койнас
125,1915-05-04,-8.9,-6.8,-1.3,1.6,Койнас
126,1915-05-05,-10.3,0.1,3.7,0,Койнас
127,1915-05-06,0,5.8,11,0.1,Койнас
128,1915-05-07,2.9,10,16.8,0,Койнас
129,1915-05-08,0.3,10.4,16.2,0,Койнас
130,1915-05-09,0.2,12.5,16.3,0,Койнас
131,1915-05-10,2.5,3.5,10.2,1.9,Койнас
132,1915-05-11,0.9,2.6,3.7,9.8,Койнас
133,1915-05-12,2,7.5,11.4,0.2,Койнас
134,1915-05-13,5.8,8.8,13.3,0,Койнас
135,1915-05-14,4.9,7.9,10.8,0,Койнас
136,1915-05-15,5.2,9.8,18.5,0,Койнас
137,1915-05-16,3.4,18,25.3,0,Койнас
138,1915-05-17,6.4,8.8,17.5,0,Койнас
139,1915-05-18,3.5,10,16.8,14,Койнас
140,1915-05-19,0.4,5.6,10.3,4.6,Койнас
141,1915-05-20,-2.1,2.1,5.1,0.8,Койнас
142,1915-05-21,-1.9,1.4,4.3,0.6,Койнас
143,1915-05-22,-1.7,0.8,5.2,0.4,Койнас
144,1915-05-23,-1,1.6,4.8,0.1,Койнас
145,1915-05-24,0.4,2.8,5.3,1.8,Койнас
146,1915-05-25,0.4,4,6.5,0,Койнас
147,1915-05-26,0.3,6.8,11.7,0,Койнас
148,1915-05-27,0.2,1,6.8,0,Койнас
149,1915-05-28,-0.9,1.9,8.5,0,Койнас
150,1915-05-29,-0.2,5.6,9.8,5.4,Койнас
151,1915-05-30,4.4,8.5,14,0,Койнас
152,1915-05-31,6.9,11.2,17.2,0,Койнас
154,1915-06-01,6.4,9.1,11.2,0,Койнас
155,1915-06-02,10,13.3,22.7,1.8,Койнас
156,1915-06-03,6.4,13.1,18.8,2.9,Койнас
157,1915-06-04,5.9,7.7,13.6,1.2,Койнас
158,1915-06-05,3.4,5.7,8.3,2.6,Койнас
159,1915-06-06,1.7,3.5,6.9,5.6,Койнас
160,1915-06-07,0.9,5.1,9.7,0.9,Койнас
161,1915-06-08,2.1,4.3,6.8,0.9,Койнас
162,1915-06-09,1.6,5.3,6.9,5.2,Койнас
163,1915-06-10,3.8,7.4,10.8,0.3,Койнас
164,1915-06-11,6.9,13,19.2,0,Койнас
165,1915-06-12,9.3,16.6,20.4,0,Койнас
166,1915-06-13,5.5,13.6,16.7,3.8,Койнас
167,1915-06-14,9.5,11.7,15.7,4.2,Койнас
168,1915-06-15,5.4,9.3,15,16.8,Койнас
169,1915-06-16,4.7,7.6,10.3,9.6,Койнас
170,1915-06-17,7.8,10.1,12.8,3.3,Койнас
171,1915-06-18,5.3,15.7,19.7,0,Койнас
172,1915-06-19,8.6,11.6,16.5,5,Койнас
173,1915-06-20,4.6,10.1,16.4,0,Койнас
174,1915-06-21,2.3,16.9,20.4,1.4,Койнас
175,1915-06-22,9.4,15.9,21.4,0.1,Койнас
176,1915-06-23,8.9,15.1,22.8,2.7,Койнас
177,1915-06-24,9.1,15.2,19.8,0,Койнас
178,1915-06-25,5.3,18.4,22,0,Койнас
179,1915-06-26,7.8,14.8,22.3,12.6,Койнас
180,1915-06-27,3.4,6.2,9.3,4.8,Койнас
181,1915-06-28,2.9,6.8,9.8,3,Койнас
182,1915-06-29,3.1,6.8,8.9,1.4,Койнас
183,1915-06-30,3.9,11.3,15.8,0,Койнас
185,1915-07-01,4.5,15.9,20.2,0,Койнас
186,1915-07-02,4.3,16.4,20.4,0,Койнас
187,1915-07-03,3.9,17.5,21.4,0,Койнас
188,1915-07-04,10.2,17.2,21.2,5.8,Койнас
189,1915-07-05,9.5,10.5,17.2,25,Койнас
190,1915-07-06,9.2,11.8,13.6,3.6,Койнас
191,1915-07-07,10.1,17.7,22.8,0,Койнас
192,1915-07-08,10.7,13.9,18.8,0,Койнас
193,1915-07-09,11.9,13.9,17,0,Койнас
194,1915-07-10,9.9,14.5,20.2,0,Койнас
195,1915-07-11,7.9,17.9,23.6,0,Койнас
196,1915-07-12,13.8,21.1,26.4,0,Койнас
197,1915-07-13,14.5,20.4,26.8,3.1,Койнас
198,1915-07-14,15.9,21.2,26.4,0,Койнас
199,1915-07-15,14.9,20.7,26.8,0.8,Койнас
200,1915-07-16,15.7,20,26.2,18.4,Койнас
201,1915-07-17,15.4,20.7,27,0,Койнас
202,1915-07-18,15.5,19.8,26.3,22.5,Койнас
203,1915-07-19,12.4,21.9,29.3,8.7,Койнас
204,1915-07-20,12.8,21.7,28.5,0,Койнас
205,1915-07-21,15.4,22.5,28.8,0,Койнас
206,1915-07-22,13.9,22.9,30.2,6.6,Койнас
207,1915-07-23,14.8,22.7,28,0,Койнас
208,1915-07-24,14.1,18.5,23.2,3,Койнас
209,1915-07-25,14.9,20.3,25.4,0,Койнас
210,1915-07-26,16.3,22.2,26.8,0,Койнас
211,1915-07-27,15.6,21.4,25.2,0,Койнас
212,1915-07-28,12.9,18.4,23.2,0,Койнас
213,1915-07-29,11,16,20.2,2,Койнас
214,1915-07-30,15.6,18.7,23.8,11.8,Койнас
215,1915-07-31,15.5,16.5,19.7,18.4,Койнас
217,1915-08-01,13.7,16.4,22,0,Койнас
218,1915-08-02,9.8,18.4,23.5,0.6,Койнас
219,1915-08-03,12.4,18.1,22,0,Койнас
220,1915-08-04,14.9,17.7,21.8,1.8,Койнас
221,1915-08-05,13.1,14.8,18.2,13.2,Койнас
222,1915-08-06,11.6,13.4,16.5,8.1,Койнас
223,1915-08-07,9.2,10.3,13.5,2.8,Койнас
224,1915-08-08,7.3,8.2,11,0.3,Койнас
225,1915-08-09,5.1,8.7,13.1,0,Койнас
226,1915-08-10,6.4,11.6,16.9,0,Койнас
227,1915-08-11,9.3,11.2,14.5,0,Койнас
228,1915-08-12,5.5,8.3,11.4,5.8,Койнас
229,1915-08-13,5.3,8.7,10.4,0,Койнас
230,1915-08-14,7.8,9.1,11,0,Койнас
231,1915-08-15,8.4,11.6,13.5,0,Койнас
232,1915-08-16,9.5,11.4,13.3,0,Койнас
233,1915-08-17,8.1,12.6,14.6,0,Койнас
234,1915-08-18,11.1,12.3,14.2,0,Койнас
235,1915-08-19,10.6,12.2,14.5,0,Койнас
