,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1929-07-01,4.8,7.1,8.1,3,Корф
2,1929-07-02,5.4,10.9,13.6,0,Корф
3,1929-07-03,6.3,10,11.6,0,Корф
4,1929-07-04,8,9.2,10.1,0,Корф
5,1929-07-05,8.7,10.9,14.5,3.1,Корф
6,1929-07-06,8.9,11.2,13.8,2.4,Корф
7,1929-07-07,9,13.8,18.1,0.1,Корф
8,1929-07-08,8,10.3,13.3,0,Корф
9,1929-07-09,5.6,9.9,11.5,7,Корф
10,1929-07-10,5.3,11.6,14.1,0,Корф
11,1929-07-11,7.8,11,14.1,3.8,Корф
12,1929-07-12,7.7,10.5,11.6,0,Корф
13,1929-07-13,9.1,11.8,14.2,0,Корф
14,1929-07-14,5.8,10.3,12.3,5.4,Корф
15,1929-07-15,8.8,11.8,14.6,0,Корф
16,1929-07-16,7.5,10.8,13.1,0.9,Корф
17,1929-07-17,7.4,9.9,11.1,0,Корф
18,1929-07-18,4.6,12.7,16.6,0,Корф
19,1929-07-19,8.4,13.1,16.3,0,Корф
20,1929-07-20,7.7,12.7,16.1,2.8,Корф
21,1929-07-21,8,15.5,21.4,0,Корф
22,1929-07-22,8.3,12.9,16.3,0,Корф
23,1929-07-23,8.8,11.1,13.7,0,Корф
24,1929-07-24,8.7,13.6,18.6,0,Корф
25,1929-07-25,8.9,15.8,21.3,0,Корф
26,1929-07-26,10.4,14.8,17.4,2.4,Корф
27,1929-07-27,9.3,13.7,15.1,1.9,Корф
28,1929-07-28,10,11.6,13.1,2.8,Корф
29,1929-07-29,9.5,12,13.4,6.6,Корф
30,1929-07-30,9.5,11.6,14.3,0,Корф
31,1929-07-31,6.8,11.4,13.3,0.2,Корф
33,1929-08-01,9.4,13.5,16.6,0.1,Корф
34,1929-08-02,10.5,13.4,17.2,4.1,Корф
35,1929-08-03,10.2,15.9,20.8,0,Корф
36,1929-08-04,7.6,15.1,17.8,0,Корф
37,1929-08-05,9.1,14,17.1,0,Корф
38,1929-08-06,9.3,14.2,17.4,6,Корф
39,1929-08-07,10.2,13.4,15.6,1.2,Корф
40,1929-08-08,11.1,12.3,14.4,0,Корф
41,1929-08-09,10.7,12.9,14.6,0,Корф
42,1929-08-10,11.2,14.1,16.6,6.7,Корф
43,1929-08-11,8.6,10.4,15.4,6,Корф
44,1929-08-12,8.6,12.3,15.5,0,Корф
45,1929-08-13,8.7,13.2,16.8,0.8,Корф
46,1929-08-14,10.1,12,15.9,0.3,Корф
47,1929-08-15,7.9,11.7,14.6,0,Корф
48,1929-08-16,7.8,11.5,14.8,0,Корф
49,1929-08-17,8.5,11.5,13.6,0,Корф
50,1929-08-18,5.8,13,16.7,0,Корф
51,1929-08-19,8.3,14,18.3,0,Корф
52,1929-08-20,8.8,12.9,15.7,2,Корф
53,1929-08-21,6.6,9.3,11.8,1.4,Корф
54,1929-08-22,6,8.3,9.1,7.3,Корф
55,1929-08-23,7.7,9.6,11.4,0,Корф
56,1929-08-24,7.6,9.7,12.5,4.7,Корф
57,1929-08-25,7.8,12.4,16.5,0,Корф
58,1929-08-26,5.3,10,14.1,0,Корф
59,1929-08-27,2,11.1,15.6,0.5,Корф
60,1929-08-28,9.6,11.1,12.7,1.5,Корф
61,1929-08-29,8.6,11.8,14.7,0,Корф
62,1929-08-30,6.6,11.3,15.1,0,Корф
63,1929-08-31,4.7,10,13.7,0,Корф
65,1929-09-01,1.7,8.4,13.6,0,Корф
66,1929-09-02,2.4,9.5,14.1,0,Корф
67,1929-09-03,2.7,8.9,14.6,0,Корф
68,1929-09-04,5.2,10.3,14.7,0,Корф
69,1929-09-05,4.4,7.1,10.6,1,Корф
70,1929-09-06,2.2,6.7,10.1,0,Корф
71,1929-09-07,0.7,6.6,11,0,Корф
72,1929-09-08,-0.3,7,11.6,0,Корф
73,1929-09-09,0,6.4,10.5,0,Корф
74,1929-09-10,0.4,8.2,13.1,0,Корф
75,1929-09-11,1,6.4,10.7,0,Корф
76,1929-09-12,-1.3,4.8,8.3,0,Корф
77,1929-09-13,3,5.7,10.7,0.3,Корф
78,1929-09-14,3.2,5.6,7.8,2.3,Корф
79,1929-09-15,2.7,6.8,11,0,Корф
80,1929-09-16,-0.3,7,11.6,0,Корф
81,1929-09-17,3.7,7.9,11.1,5.3,Корф
82,1929-09-18,4.7,6.1,7.9,1.8,Корф
83,1929-09-19,2.6,4.6,9,0,Корф
84,1929-09-20,0,2.1,6.1,0,Корф
85,1929-09-21,-1.6,3.1,9.1,0,Корф
86,1929-09-22,-0.5,5.5,9.7,0,Корф
87,1929-09-23,2.8,6,10.1,0,Корф
88,1929-09-24,0,4,8.6,0,Корф
89,1929-09-25,-0.8,2.2,5.6,0,Корф
90,1929-09-26,-3.7,1.8,6.8,0,Корф
91,1929-09-27,-4.4,2.2,6.5,0,Корф
92,1929-09-28,1.2,4.3,7.6,0,Корф
93,1929-09-29,-0.3,4.1,7.7,0.1,Корф
94,1929-09-30,1.5,5.3,6.6,1.8,Корф
96,1930-08-04,9.4,14.5,17.5,0,Корф
97,1930-08-05,12,13.2,14,0,Корф
98,1930-08-06,9,13.4,17.7,0,Корф
99,1930-08-07,11,14,17,0,Корф
100,1930-08-08,12.1,17.8,22.7,0,Корф
101,1930-08-09,11.4,17.2,20,0,Корф
102,1930-08-10,12.5,19.3,23.1,0,Корф
103,1930-08-11,11.7,19,22.5,0.1,Корф
104,1930-08-12,16.1,17.5,20.3,0.1,Корф
105,1930-08-13,13.8,15.6,17,0.1,Корф
106,1930-08-14,14,14.6,15.7,1.4,Корф
107,1930-08-15,13.5,14.1,14.9,2.1,Корф
108,1930-08-16,9.9,12.7,16.5,0,Корф
109,1930-08-17,6,12.4,14.7,5.9,Корф
110,1930-08-18,12,13.4,14.2,2.2,Корф
111,1930-08-19,12.1,13,14.3,4.7,Корф
112,1930-08-20,10,13,16.7,0,Корф
113,1930-08-21,9,14.4,15.8,0,Корф
114,1930-08-22,9.4,14,18.2,0,Корф
115,1930-08-23,10.3,13.4,17.5,0,Корф
116,1930-08-24,3.4,9,14,0,Корф
117,1930-08-25,1.4,7.1,11,0,Корф
118,1930-08-26,1.1,8.1,11.7,0,Корф
119,1930-08-27,-0.2,7.2,11,1.8,Корф
120,1930-08-28,2.2,9.5,13.7,0,Корф
121,1930-08-29,7,8.5,11.1,0,Корф
122,1930-08-30,6,9.6,12.2,0,Корф
123,1930-08-31,7.5,13.1,17.1,0,Корф
125,1930-09-01,4.1,11.2,16.5,0,Корф
126,1930-09-02,3.9,10.3,13.4,0,Корф
127,1930-09-03,8.7,10.7,16.4,0,Корф
128,1930-09-04,9.5,10.7,13,0.4,Корф
129,1930-09-05,9.5,10.9,11.8,0,Корф
130,1930-09-06,8.5,10.7,13,3,Корф
131,1930-09-07,8,10.5,11.5,8,Корф
132,1930-09-08,9.5,12,15.6,0,Корф
133,1930-09-09,3.3,10.9,13.7,2.5,Корф
134,1930-09-10,10.6,10.9,11.5,1,Корф
135,1930-09-11,7,10.4,14,0,Корф
136,1930-09-12,4.6,8.1,12,0,Корф
137,1930-09-13,2.6,8.1,12.6,0,Корф
138,1930-09-14,-0.2,6.8,11.9,0,Корф
139,1930-09-15,5.1,9.3,11.2,0,Корф
140,1930-09-16,8.1,9.7,11.1,2.3,Корф
141,1930-09-17,7.3,11.4,16.3,0,Корф
142,1930-09-18,3.6,10.1,15,0,Корф
143,1930-09-19,1.6,8.1,11,0,Корф
144,1930-09-20,3.8,6.6,12,0,Корф
145,1930-09-21,0.3,4.2,7.8,0,Корф
146,1930-09-22,0.6,7,9.4,0,Корф
147,1930-09-23,-1.3,2.7,8.9,0,Корф
148,1930-09-24,0.6,3.3,4.9,1.7,Корф
149,1930-09-25,1.9,5.6,7.4,0.8,Корф
150,1930-09-26,5.1,6.4,8.5,0.6,Корф
151,1930-09-27,-2.9,1.7,6,0,Корф
152,1930-09-28,-4.9,2.6,5.6,0,Корф
153,1930-09-29,3.8,5.4,6.4,3.9,Корф
154,1930-09-30,3.6,6.3,10.2,0,Корф
156,1930-10-01,1.3,5.2,9.2,1.1,Корф
157,1930-10-02,1.3,6.5,8,7.6,Корф
158,1930-10-03,1.5,3.3,6.1,1,Корф
159,1930-10-04,0.5,5.3,7,5.3,Корф
160,1930-10-05,5.4,7.5,9.7,0,Корф
161,1930-10-06,-0.5,2.8,7,0,Корф
162,1930-10-07,-1.7,2.3,5.2,18,Корф
