,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1925-01-01,-15.6,-13.1,-12.2,1.4,Кострома
2,1925-01-02,-12.4,-7.1,-2.6,1.6,Кострома
3,1925-01-03,-3.2,-1.5,-1.1,5,Кострома
4,1925-01-04,-1.4,2.1,2.7,0,Кострома
5,1925-01-05,-0.7,0.1,1.5,3,Кострома
6,1925-01-06,-1.9,-1.3,-0.2,0,Кострома
7,1925-01-07,-2.8,-0.9,0.1,2.1,Кострома
8,1925-01-08,-9.8,-6.4,-1.4,0.3,Кострома
9,1925-01-09,-16,-11.9,-9.4,1.8,Кострома
10,1925-01-10,-10.9,-9.2,-7.9,1.9,Кострома
11,1925-01-11,-16.4,-13.9,-9.6,0.2,Кострома
12,1925-01-12,-23.3,-21.4,-15.7,0,Кострома
13,1925-01-13,-30.2,-18.7,-8.6,0.6,Кострома
14,1925-01-14,-8.6,-1,-0.1,0.2,Кострома
15,1925-01-15,-1.5,-0.7,0.3,4,Кострома
16,1925-01-16,-1.6,0.5,1.6,1.3,Кострома
17,1925-01-17,-3.4,0.2,1.4,0.3,Кострома
18,1925-01-18,-8.4,-2.9,0.7,1.2,Кострома
19,1925-01-19,-6.6,-0.4,1.5,0.2,Кострома
20,1925-01-20,-6.8,-5.1,1,0.9,Кострома
21,1925-01-21,-12.6,-5.6,-2.4,0,Кострома
22,1925-01-22,-6.3,-2.3,1.3,0,Кострома
23,1925-01-23,-12.4,-10,-5.3,0,Кострома
24,1925-01-24,-16.6,-13.2,-10.3,0,Кострома
25,1925-01-25,-17.4,-12.1,-8.4,0,Кострома
26,1925-01-26,-13.4,-7.4,-3.6,1,Кострома
27,1925-01-27,-14.8,-8.8,-7.2,0.9,Кострома
28,1925-01-28,-13.2,-10.4,-8,0.5,Кострома
29,1925-01-29,-24.4,-19.6,-9.5,0,Кострома
30,1925-01-30,-29.7,-20.3,-15.5,0.3,Кострома
31,1925-01-31,-16.4,-10.7,-8.4,0.6,Кострома
33,1925-02-01,-9.2,-8.4,-7.9,0.4,Кострома
34,1925-02-02,-12,-10.8,-9.2,1.7,Кострома
35,1925-02-03,-9.8,-7.1,-2.6,0.9,Кострома
36,1925-02-04,-8.5,-3.1,-1.7,1.3,Кострома
37,1925-02-05,-2.6,-1.2,0.7,0.7,Кострома
38,1925-02-06,-4.8,-2.1,-1.3,1.1,Кострома
39,1925-02-07,-1.3,1,1.6,1,Кострома
40,1925-02-08,-0.2,0.6,1.4,1.7,Кострома
