,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-4,-1.2,1.2,0,Котлас
2,1936-01-02,-3.5,-1.1,1.5,1.7,Котлас
3,1936-01-03,0.1,1,1.9,0,Котлас
4,1936-01-04,-2.9,-0.2,1,0,Котлас
5,1936-01-05,-5.4,-2.2,0.5,0.4,Котлас
6,1936-01-06,-0.4,0.8,1.8,0.6,Котлас
7,1936-01-07,-9,-5.6,0,1,Котлас
8,1936-01-08,-16.1,-12.9,-8.4,0,Котлас
9,1936-01-09,-16.5,-12.1,-9.7,1.8,Котлас
10,1936-01-10,-17.7,-16,-14.3,0.1,Котлас
11,1936-01-11,-14.7,-8.6,-5.4,0.3,Котлас
12,1936-01-12,-13,-9,-5.3,0.1,Котлас
13,1936-01-13,-15.1,-10.9,-10.1,0,Котлас
14,1936-01-14,-10.5,-6.6,-4.8,0.7,Котлас
15,1936-01-15,-7.5,-5.5,-4.4,0.3,Котлас
16,1936-01-16,-10,-6.8,-5.5,1.5,Котлас
17,1936-01-17,-11.5,-8.2,-6.3,0.9,Котлас
18,1936-01-18,-23.3,-16.8,-9.4,0.1,Котлас
19,1936-01-19,-25.9,-20.3,-15,0,Котлас
20,1936-01-20,-21.2,-9.6,-6.5,1.3,Котлас
21,1936-01-21,-7.6,-5.3,-2.8,0.4,Котлас
22,1936-01-22,-4.9,-4.2,-2.6,0,Котлас
23,1936-01-23,-4.8,-2.6,-0.2,0.4,Котлас
24,1936-01-24,-3.9,-2.4,-0.1,5.5,Котлас
25,1936-01-25,-11.6,-7.5,-3.5,4.6,Котлас
26,1936-01-26,-8.4,-6.8,-4.9,0.2,Котлас
27,1936-01-27,-12.2,-8.9,-5.7,0,Котлас
28,1936-01-28,-18.1,-14.5,-8,0.3,Котлас
29,1936-01-29,-30.7,-22.9,-15.8,0.2,Котлас
30,1936-01-30,-39,-36.6,-30.7,0,Котлас
31,1936-01-31,-39.8,-34.2,-28.4,0,Котлас
33,1936-02-01,-28.5,-23.5,-18.8,0,Котлас
34,1936-02-02,-18.9,-13.2,-9.3,0.3,Котлас
35,1936-02-03,-11.9,-10,-8.4,0,Котлас
36,1936-02-04,-8.6,-5.2,-2.2,2.6,Котлас
37,1936-02-05,-3.3,-0.9,1,0,Котлас
38,1936-02-06,-4.1,-2.4,1,1.7,Котлас
39,1936-02-07,-16.4,-10.4,-3.8,1.2,Котлас
40,1936-02-08,-29.6,-26.8,-16,0,Котлас
41,1936-02-09,-32.5,-30.4,-28.9,0,Котлас
42,1936-02-10,-41,-36.7,-30.6,0,Котлас
43,1936-02-11,-32.4,-29.1,-28,0.5,Котлас
44,1936-02-12,-33.6,-29.8,-25.5,0,Котлас
45,1936-02-13,-28.9,-20.8,-17,0.6,Котлас
46,1936-02-14,-29.9,-20.4,-15.2,0.1,Котлас
47,1936-02-15,-15.5,-13.2,-11.3,1.7,Котлас
48,1936-02-16,-25.2,-17.3,-11.7,0,Котлас
49,1936-02-17,-20.2,-15.3,-13.2,0.6,Котлас
50,1936-02-18,-19.2,-15.8,-9.9,0.2,Котлас
51,1936-02-19,-21.8,-13.5,-7.5,0,Котлас
52,1936-02-20,-20.6,-14.7,-9.4,0,Котлас
