,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-4.4,0.3,3.7,0,Красноводск
2,1936-01-02,-3,0.1,2.6,0,Красноводск
3,1936-01-03,-2,0.2,3.6,0,Красноводск
4,1936-01-04,-3.1,-0.3,2.3,0,Красноводск
5,1936-01-05,-4.9,-0.4,3.5,0,Красноводск
6,1936-01-06,-3.9,1,5.5,0,Красноводск
7,1936-01-07,-2.1,0.6,4.2,0,Красноводск
8,1936-01-08,-1,2.7,7.2,0,Красноводск
9,1936-01-09,-0.9,2,6,0,Красноводск
10,1936-01-10,0.1,2.4,6.6,0,Красноводск
11,1936-01-11,-1.1,2.6,5.7,0,Красноводск
12,1936-01-12,-1.8,3.1,8,0,Красноводск
13,1936-01-13,2.7,4.8,9,0,Красноводск
14,1936-01-14,3.6,5.5,7.9,0,Красноводск
15,1936-01-15,3.5,5.4,7,0,Красноводск
16,1936-01-16,3.6,6,10,0,Красноводск
17,1936-01-17,1.6,3.6,6.5,0,Красноводск
18,1936-01-18,2.6,7.4,13.5,0,Красноводск
19,1936-01-19,0.5,5,9.3,0,Красноводск
20,1936-01-20,1.3,3.5,8.5,0,Красноводск
21,1936-01-21,-0.8,2.8,8.3,0,Красноводск
22,1936-01-22,-1.3,1.9,6,0,Красноводск
23,1936-01-23,2,2.9,5,0,Красноводск
24,1936-01-24,2.1,3.5,5.2,0,Красноводск
25,1936-01-25,1.7,4,8,0,Красноводск
26,1936-01-26,4.4,5.8,9,0,Красноводск
27,1936-01-27,3.5,5,9,2.2,Красноводск
28,1936-01-28,3.9,6.2,8.7,0,Красноводск
29,1936-01-29,4.3,8.2,12.4,0,Красноводск
30,1936-01-30,6.9,10.6,13.5,0,Красноводск
31,1936-01-31,6.3,9.5,15.1,0,Красноводск
33,1936-03-01,-3.5,2.2,7.5,0,Красноводск
34,1936-03-02,-4.3,1.4,7,0,Красноводск
35,1936-03-03,-2.4,3.6,9.5,0,Красноводск
36,1936-03-04,-0.7,3.2,7.2,0,Красноводск
37,1936-03-05,1.8,4.6,8.3,0,Красноводск
38,1936-03-06,0.8,4.4,9,0,Красноводск
39,1936-03-07,2.1,5,9.7,0,Красноводск
40,1936-03-08,-1.4,3.6,8.9,0,Красноводск
