,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-12.2,-9.4,-8.2,0.2,Красноуфимск
2,1936-01-02,-10.8,-9.3,-8.5,0.2,Красноуфимск
3,1936-01-03,-9.2,-6.1,-4.6,0.7,Красноуфимск
4,1936-01-04,-6.6,-4.6,-3.2,0.2,Красноуфимск
5,1936-01-05,-9.4,-6,-3.8,0,Красноуфимск
6,1936-01-06,-11.6,-9.1,-5.4,0.1,Красноуфимск
7,1936-01-07,-12,-7.8,-4.7,0.6,Красноуфимск
8,1936-01-08,-16,-11.1,-6.6,0,Красноуфимск
9,1936-01-09,-16.1,-11.6,-8.3,0.1,Красноуфимск
10,1936-01-10,-9.8,-8.7,-7.7,2.6,Красноуфимск
11,1936-01-11,-17,-11.6,-8.2,1,Красноуфимск
12,1936-01-12,-24.3,-18.7,-12,1.1,Красноуфимск
13,1936-01-13,-12.3,-7.3,-4.4,1.4,Красноуфимск
14,1936-01-14,-13.6,-9.7,-6.2,0,Красноуфимск
15,1936-01-15,-9.5,-8.1,-5.1,0,Красноуфимск
16,1936-01-16,-17.1,-13.2,-9.1,1.8,Красноуфимск
17,1936-01-17,-13,-10.3,-8.4,0.8,Красноуфимск
18,1936-01-18,-17.2,-13.2,-10.3,0.5,Красноуфимск
19,1936-01-19,-13.7,-12.5,-10.7,0.1,Красноуфимск
20,1936-01-20,-17,-14.8,-12.2,0.1,Красноуфимск
21,1936-01-21,-18.5,-12.7,-10.2,0.5,Красноуфимск
22,1936-01-22,-13.5,-11.6,-10.2,0.5,Красноуфимск
23,1936-01-23,-13.5,-11.7,-9.1,1,Красноуфимск
24,1936-01-24,-12,-8,-6.9,0.8,Красноуфимск
25,1936-01-25,-15.7,-10.6,-6.9,0.2,Красноуфимск
26,1936-01-26,-21.5,-15.6,-9.9,0,Красноуфимск
27,1936-01-27,-28.1,-23.9,-19.4,0.1,Красноуфимск
28,1936-01-28,-25.9,-23.3,-20.2,0.1,Красноуфимск
29,1936-01-29,-25.8,-23.4,-20.1,0.5,Красноуфимск
30,1936-01-30,-25.4,-23.7,-22.2,0.3,Красноуфимск
31,1936-01-31,-25.6,-24.1,-21.5,0.4,Красноуфимск
33,1936-02-01,-25.4,-23.5,-21.4,0,Красноуфимск
34,1936-02-02,-30.8,-23.9,-16.6,0,Красноуфимск
35,1936-02-03,-27,-18.4,-9.6,0,Красноуфимск
36,1936-02-04,-11.6,-8.7,-4.9,0,Красноуфимск
37,1936-02-05,-10.7,-6.8,-4.6,0.5,Красноуфимск
38,1936-02-06,-9.9,-7,-1.1,0.2,Красноуфимск
39,1936-02-07,-15.6,-10.4,-2.5,0,Красноуфимск
40,1936-02-08,-13,-8.8,-4.9,0.5,Красноуфимск
41,1936-02-09,-26.5,-22.1,-8.6,0.3,Красноуфимск
42,1936-02-10,-27.1,-17.6,-11.5,0.3,Красноуфимск
43,1936-02-11,-12.6,-7.3,-3.4,0.9,Красноуфимск
44,1936-02-12,-24,-17.9,-3,0.1,Красноуфимск
45,1936-02-13,-35.7,-29.8,-23.2,0.1,Красноуфимск
46,1936-02-14,-28.4,-10.3,-7.2,0.7,Красноуфимск
47,1936-02-15,-12.6,-7.3,-2.4,7.1,Красноуфимск
48,1936-02-16,-15.6,-7.9,-4,4,Красноуфимск
49,1936-02-17,-10.3,-7.4,-2.1,0.5,Красноуфимск
50,1936-02-18,-23.4,-14,-6.6,0.1,Красноуфимск
51,1936-02-19,-14.2,-9.8,-6.6,0.4,Красноуфимск
52,1936-02-20,-20,-13.2,-6.5,0.3,Красноуфимск
53,1936-02-21,-23.2,-17.2,-10.1,0,Красноуфимск
54,1936-02-22,-29.4,-22.6,-14.5,0,Красноуфимск
55,1936-02-23,-27.2,-21.2,-12.4,0,Красноуфимск
56,1936-02-24,-26,-19,-11.1,0,Красноуфимск
57,1936-02-25,-15.6,-9.3,-6.7,0,Красноуфимск
58,1936-02-26,-13,-10.8,-9.1,0.1,Красноуфимск
59,1936-02-27,-13,-11,-9,0.1,Красноуфимск
60,1936-02-28,-17.5,-11.5,-3.6,0,Красноуфимск
61,1936-02-29,-10.5,-9.2,-7.6,1.9,Красноуфимск
63,1936-03-01,-22.3,-14.5,-9.7,0,Красноуфимск
64,1936-03-02,-17.7,-8.6,-5.7,0,Красноуфимск
65,1936-03-03,-7.2,-4.8,0.6,1.3,Красноуфимск
66,1936-03-04,-11.2,-6.2,1.3,0,Красноуфимск
67,1936-03-05,-12.6,-7.4,-1.7,0.1,Красноуфимск
68,1936-03-06,-5.4,-3.2,-0.4,0.5,Красноуфимск
69,1936-03-07,-5,-2.2,-0.1,0.1,Красноуфимск
70,1936-03-08,-15.4,-12,-4.8,0,Красноуфимск
