,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1923-05-01,-0.4,7,11,0,Красноярск
2,1923-05-02,7.7,9.4,11.5,1.8,Красноярск
3,1923-05-03,5,8.7,13,6.5,Красноярск
4,1923-05-04,7.6,9.7,13,0,Красноярск
5,1923-05-05,6.7,9.8,15.5,4.2,Красноярск
6,1923-05-06,4.2,6,13.5,1.9,Красноярск
7,1923-05-07,2.6,10,22,1.2,Красноярск
8,1923-05-08,1.9,4.6,21.5,0,Красноярск
9,1923-05-09,-0.3,6.2,10.5,2.1,Красноярск
10,1923-05-10,-1.1,3.5,10,0,Красноярск
11,1923-05-11,0.3,10.9,18.1,0,Красноярск
12,1923-05-12,-1.8,3.4,15,0,Красноярск
13,1923-05-13,-2.1,1.3,6.5,0.1,Красноярск
14,1923-05-14,-5,-1.5,1.6,0.2,Красноярск
15,1923-05-15,-2.2,1.7,5.2,0.4,Красноярск
16,1923-05-16,-3.8,1.1,5.5,0,Красноярск
17,1923-05-17,-1.8,4.2,6.4,2.5,Красноярск
18,1923-05-18,0.6,2.1,5.6,10.8,Красноярск
19,1923-05-19,-0.2,2.4,7,1.1,Красноярск
20,1923-05-20,0.1,6.2,10.7,0,Красноярск
21,1923-05-21,2.3,3.9,8,7.5,Красноярск
22,1923-05-22,1.1,3,6.7,0.9,Красноярск
23,1923-05-23,3.2,6,9.9,0,Красноярск
24,1923-05-24,0.8,4.3,5.1,1.1,Красноярск
25,1923-05-25,6.5,9.6,14.5,0.2,Красноярск
26,1923-05-26,8.1,10.3,13,3.1,Красноярск
27,1923-05-27,8.1,11.8,15.3,0,Красноярск
28,1923-05-28,4.1,16.9,27.1,1.4,Красноярск
29,1923-05-29,10.6,17,23.5,0,Красноярск
30,1923-05-30,5.1,9.6,16.6,0,Красноярск
31,1923-05-31,5.3,16.1,22.4,0,Красноярск
33,1923-06-01,10.1,17.6,22.4,3.3,Красноярск
34,1923-06-02,14.6,19.5,26.5,7.6,Красноярск
35,1923-06-03,10.6,12.9,16.8,0.1,Красноярск
36,1923-06-04,2.4,11.5,24.2,0,Красноярск
37,1923-06-05,4.3,18.4,27,0,Красноярск
38,1923-06-06,10.1,15.5,21.6,0,Красноярск
39,1923-06-07,7.6,15,22.7,0,Красноярск
40,1923-06-08,8.7,18.9,28.2,1.3,Красноярск
41,1923-06-09,16.1,23.2,29,0,Красноярск
42,1923-06-10,17.1,23.7,30,0,Красноярск
43,1923-06-11,10.5,13.6,22.6,0,Красноярск
44,1923-06-12,5.8,14.8,21.7,0,Красноярск
45,1923-06-13,8.3,21,29.7,0,Красноярск
46,1923-06-14,14.9,23.6,30,4,Красноярск
47,1923-06-15,14.5,20.5,26.4,0,Красноярск
48,1923-06-16,9.1,18.2,25.5,0,Красноярск
49,1923-06-17,8.4,18.6,27.4,22.6,Красноярск
50,1923-06-18,4.7,5.9,8.7,1.2,Красноярск
51,1923-06-19,2.1,7.6,11.5,0,Красноярск
52,1923-06-20,6.1,11.9,16,0,Красноярск
53,1923-06-21,11.2,13.7,19.5,2.4,Красноярск
54,1923-06-22,6.3,8.8,13.5,0,Красноярск
55,1923-06-23,6.1,12.3,16.8,0,Красноярск
56,1923-06-24,4.1,10.4,17.9,1.7,Красноярск
57,1923-06-25,1.5,9.7,16.8,0.2,Красноярск
58,1923-06-26,8.7,11.6,16.4,0,Красноярск
59,1923-06-27,11.2,18.7,26.7,0,Красноярск
60,1923-06-28,14.4,22.1,28.5,0,Красноярск
61,1923-06-29,16.8,24.1,29,1.2,Красноярск
62,1923-06-30,12.1,15.7,22.8,0,Красноярск
64,1923-07-01,9.5,13.9,20.2,2.6,Красноярск
65,1923-07-02,9,14.6,18.2,4.1,Красноярск
66,1923-07-03,9.3,13,18.2,0.3,Красноярск
67,1923-07-04,9.1,15.9,20.5,0,Красноярск
68,1923-07-05,8.7,17.2,23.5,0,Красноярск
69,1923-07-06,14.6,21.8,26.2,0.2,Красноярск
70,1923-07-07,16.1,22.2,28,0,Красноярск
71,1923-07-08,17.1,23.6,28.4,0,Красноярск
72,1923-07-09,14.7,22.6,27.5,0,Красноярск
73,1923-07-10,16,22.9,29,0,Красноярск
74,1923-07-11,15.7,22.9,30,0,Красноярск
75,1923-07-12,17.3,24,31,0,Красноярск
76,1923-07-13,16.5,23.4,43.6,0,Красноярск
77,1923-07-14,17.1,25.5,30,0,Красноярск
78,1923-07-15,19.1,23.2,27.8,3.7,Красноярск
79,1923-07-16,15,16.4,20,0,Красноярск
80,1923-07-17,11.8,16.2,20.3,0,Красноярск
81,1923-07-18,8.5,16.2,22.1,0,Красноярск
82,1923-07-19,9,17,22.5,1.4,Красноярск
83,1923-07-20,13.9,17,25.7,2.5,Красноярск
84,1923-07-21,15.6,19.4,25.2,0,Красноярск
85,1923-07-22,13.4,19.3,23,0,Красноярск
86,1923-07-23,13,17.5,21.8,1,Красноярск
87,1923-07-24,15.3,18,22.5,1.5,Красноярск
88,1923-07-25,16.2,22.3,26.3,0,Красноярск
89,1923-07-26,13.3,21.1,29.1,0,Красноярск
90,1923-07-27,13.8,22.8,31,8.7,Красноярск
91,1923-07-28,16.5,17.9,22.5,1,Красноярск
92,1923-07-29,14.6,18.6,25.6,1.6,Красноярск
93,1923-07-30,15.2,20.2,23.3,1.8,Красноярск
