,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-16.1,-12.2,-8.2,0,Куйбышев (центр)
2,1936-01-02,-15.4,-11,-6.3,0.2,Куйбышев (центр)
3,1936-01-03,-10.4,-7,-4.9,1,Куйбышев (центр)
4,1936-01-04,-12.7,-9.2,-5.4,0,Куйбышев (центр)
5,1936-01-05,-14.5,-11.4,-7.6,0.3,Куйбышев (центр)
6,1936-01-06,-17.9,-13.9,-9.9,1.1,Куйбышев (центр)
7,1936-01-07,-15.5,-10.9,-5.4,0,Куйбышев (центр)
8,1936-01-08,-10.8,-8.6,-3.2,0,Куйбышев (центр)
9,1936-01-09,-14.1,-10.9,-7.9,0,Куйбышев (центр)
10,1936-01-10,-18.4,-14.8,-11,0,Куйбышев (центр)
11,1936-01-11,-18.5,-14.7,-10.5,2.8,Куйбышев (центр)
12,1936-01-12,-11.7,-8.6,-7.5,5.4,Куйбышев (центр)
13,1936-01-13,-8.4,-7.1,-6.1,0.3,Куйбышев (центр)
14,1936-01-14,-6.4,-4.6,-3.4,0.5,Куйбышев (центр)
15,1936-01-15,-5.4,-4,-2.4,0.6,Куйбышев (центр)
16,1936-01-16,-6.9,-5.9,-4.4,2.4,Куйбышев (центр)
17,1936-01-17,-14.2,-11,-5.8,0,Куйбышев (центр)
18,1936-01-18,-16.3,-13.1,-11,0.2,Куйбышев (центр)
19,1936-01-19,-16.1,-13.3,-11.5,0,Куйбышев (центр)
20,1936-01-20,-24.1,-21.3,-15.4,0,Куйбышев (центр)
21,1936-01-21,-21,-16.2,-12.9,0,Куйбышев (центр)
22,1936-01-22,-20.6,-16.5,-14.9,0,Куйбышев (центр)
23,1936-01-23,-17.4,-15.4,-13.9,0.3,Куйбышев (центр)
24,1936-01-24,-17.5,-13.6,-10.7,0.7,Куйбышев (центр)
25,1936-01-25,-22.7,-16.7,-11.9,0.6,Куйбышев (центр)
26,1936-01-26,-12.1,-11.2,-9.9,0.3,Куйбышев (центр)
27,1936-01-27,-13.6,-11.7,-9.9,1.5,Куйбышев (центр)
28,1936-01-28,-11.9,-9,-7,0.6,Куйбышев (центр)
29,1936-01-29,-10,-8.4,-7.4,1.2,Куйбышев (центр)
30,1936-01-30,-17.3,-12.2,-8.4,3.3,Куйбышев (центр)
31,1936-01-31,-29.9,-23.5,-16.4,0,Куйбышев (центр)
33,1936-02-04,-17.3,-13.7,-9.5,0,Куйбышев (центр)
34,1936-02-07,-15.8,-10.5,-7.3,0,Куйбышев (центр)
35,1936-02-08,-16.4,-12,-8.9,0.3,Куйбышев (центр)
36,1936-02-10,-17.6,-13.9,-9.8,0.8,Куйбышев (центр)
37,1936-02-11,-18.8,-10.8,-3.5,0,Куйбышев (центр)
38,1936-02-13,-24.2,-16.5,-8.4,0.2,Куйбышев (центр)
39,1936-02-14,-14.3,-6.8,0.1,1,Куйбышев (центр)
40,1936-02-15,-17.5,-13.8,-7.7,0,Куйбышев (центр)
41,1936-02-18,-16.7,-13,-9.7,2.3,Куйбышев (центр)
42,1936-02-20,-17.3,-13.1,-9.3,0,Куйбышев (центр)
43,1936-02-27,-18.3,-13.2,-5.4,0,Куйбышев (центр)
44,1936-02-29,-17.1,-11.2,-7.4,0.1,Куйбышев (центр)
46,1936-03-01,-8.7,-7.6,-6.1,0,Куйбышев (центр)
47,1936-03-02,-13.4,-10.6,-7.1,0,Куйбышев (центр)
48,1936-03-03,-18.2,-14,-9.2,0,Куйбышев (центр)
49,1936-03-04,-19.7,-14,-6.9,0,Куйбышев (центр)
50,1936-03-05,-15.3,-10.2,-4.9,0,Куйбышев (центр)
51,1936-03-06,-14.4,-9.1,-3,0,Куйбышев (центр)
52,1936-03-07,-12.7,-7.1,-1.6,0,Куйбышев (центр)
53,1936-03-08,-7.9,-3.1,-0.2,0,Куйбышев (центр)
54,1936-03-09,-14.4,-9.5,-3.9,0,Куйбышев (центр)
55,1936-03-10,-14.9,-9.3,-2.3,0,Куйбышев (центр)
56,1936-03-11,-14.9,-10.3,-5.2,0,Куйбышев (центр)
57,1936-03-12,-16.3,-11.2,-4.5,0,Куйбышев (центр)
58,1936-03-13,-15.7,-10.4,-5.4,0,Куйбышев (центр)
59,1936-03-14,-12,-7,-1.2,0,Куйбышев (центр)
60,1936-03-15,-14,-9.5,-2,0,Куйбышев (центр)
