,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-2.6,-1.7,-0.1,0,Курган-Тюбе
2,1936-01-02,-2.8,-1.8,-0.3,0.4,Курган-Тюбе
3,1936-01-03,-3.2,-2.2,-1.4,2.8,Курган-Тюбе
4,1936-01-04,-4.8,-3,-2.4,0,Курган-Тюбе
5,1936-01-05,-5.5,-4.6,-2,0,Курган-Тюбе
6,1936-01-06,-6.6,-5.6,-4.6,0,Курган-Тюбе
7,1936-01-07,-6.7,-6.1,-4.5,0,Курган-Тюбе
8,1936-01-08,-7.8,-6.7,-5,0,Курган-Тюбе
9,1936-01-09,-8.6,-6.7,-0.6,0,Курган-Тюбе
10,1936-01-10,-8.6,-5.5,0.2,0,Курган-Тюбе
11,1936-01-11,-7,-3.2,0.9,0,Курган-Тюбе
12,1936-01-12,-5.6,-2,3.8,0,Курган-Тюбе
13,1936-01-13,-7.1,-2.1,4.5,0,Курган-Тюбе
14,1936-01-14,-4.2,0.4,7.7,0,Курган-Тюбе
15,1936-01-15,-4.3,1.6,11.2,0,Курган-Тюбе
16,1936-01-16,-3.9,2.3,12.6,0,Курган-Тюбе
17,1936-01-17,-1.7,3,9.1,0,Курган-Тюбе
18,1936-01-18,-3.5,2.8,13.1,0,Курган-Тюбе
19,1936-01-19,-3.8,2.1,10.1,0,Курган-Тюбе
20,1936-01-20,-3.9,2,11.2,0,Курган-Тюбе
21,1936-01-21,-0.8,2.9,7.6,0,Курган-Тюбе
22,1936-01-22,-1.7,2.9,10.1,0,Курган-Тюбе
23,1936-01-23,-5.4,0.4,9.4,0,Курган-Тюбе
24,1936-01-24,-5.3,1.8,11.4,0,Курган-Тюбе
25,1936-01-25,-1.1,3.2,12,0,Курган-Тюбе
26,1936-01-26,-2,5.1,13.7,0,Курган-Тюбе
27,1936-01-27,1.1,4,8.4,0.8,Курган-Тюбе
28,1936-01-28,1.9,5.4,12.6,0,Курган-Тюбе
29,1936-01-29,-2.4,4.4,16.2,0,Курган-Тюбе
30,1936-01-30,-0.7,7.4,18.3,0,Курган-Тюбе
31,1936-01-31,-2.7,7.8,19.1,0,Курган-Тюбе
33,1936-02-01,4.1,8.1,12.7,0,Курган-Тюбе
34,1936-02-02,2.7,6.3,12.1,2.3,Курган-Тюбе
35,1936-02-03,0.4,7.4,17.2,0,Курган-Тюбе
36,1936-02-04,-1.1,8.9,17.6,0,Курган-Тюбе
37,1936-02-05,1.6,6.4,11.3,0,Курган-Тюбе
38,1936-02-06,4.7,6.6,12.6,0,Курган-Тюбе
39,1936-02-07,1.1,6.5,15.7,0,Курган-Тюбе
40,1936-02-08,0.4,8.4,19.6,0,Курган-Тюбе
41,1936-02-09,6.1,12.4,19.3,0,Курган-Тюбе
42,1936-02-10,4.2,11.4,20.7,0,Курган-Тюбе
43,1936-02-11,5.5,11.8,21.3,0,Курган-Тюбе
44,1936-02-12,3,12.4,19.2,0,Курган-Тюбе
45,1936-02-13,8.1,13.3,20.6,0,Курган-Тюбе
46,1936-02-14,7.1,14.3,23.4,0,Курган-Тюбе
47,1936-02-15,4.4,13.6,24.4,0,Курган-Тюбе
48,1936-02-16,7.6,9.9,14.8,2.1,Курган-Тюбе
49,1936-02-17,4.6,9.2,16.6,0,Курган-Тюбе
50,1936-02-18,4.3,8.2,14.8,0,Курган-Тюбе
51,1936-02-19,0.7,7.8,16.1,0,Курган-Тюбе
52,1936-02-20,4.6,10.3,19.6,0,Курган-Тюбе
53,1936-02-21,3.1,10.6,18.6,0.3,Курган-Тюбе
54,1936-02-22,6.6,9.5,15.6,0,Курган-Тюбе
55,1936-02-23,1.1,8.6,18.1,0,Курган-Тюбе
56,1936-02-24,-0.2,4.3,11.4,0,Курган-Тюбе
57,1936-02-25,-4,-2.9,4.5,13,Курган-Тюбе
58,1936-02-26,-6.8,-3.2,1.4,0,Курган-Тюбе
59,1936-02-27,-3,0.7,3,0,Курган-Тюбе
60,1936-02-28,-0.6,0.8,4.7,2.2,Курган-Тюбе
61,1936-02-29,-2.4,-1.1,0.3,6.6,Курган-Тюбе
63,1936-03-01,-4.3,-2.4,1,1.9,Курган-Тюбе
64,1936-03-02,-3,-1.4,1.6,0.9,Курган-Тюбе
65,1936-03-03,-5.4,-1.2,5,0,Курган-Тюбе
66,1936-03-04,-4.5,1.2,9.1,0,Курган-Тюбе
67,1936-03-05,-2.7,3.8,13.2,0,Курган-Тюбе
68,1936-03-06,-1.9,5.6,14.6,0,Курган-Тюбе
69,1936-03-07,4.7,7.6,12.3,0,Курган-Тюбе
70,1936-03-08,0.4,2.6,8.4,8.5,Курган-Тюбе
71,1936-03-09,1.3,3.1,6.2,1.8,Курган-Тюбе
72,1936-03-10,1.2,4.8,10.6,0,Курган-Тюбе
73,1936-03-11,-2.1,4.6,12.7,0,Курган-Тюбе
74,1936-03-12,-0.7,7.4,17.6,0,Курган-Тюбе
75,1936-03-13,6.4,12.4,19.6,0,Курган-Тюбе
76,1936-03-14,8.4,14.4,21.5,0.1,Курган-Тюбе
77,1936-03-15,6.2,7.8,14.4,15,Курган-Тюбе
78,1936-03-16,1.8,6.9,12.6,0,Курган-Тюбе
79,1936-03-17,2.5,8.6,16.6,0,Курган-Тюбе
80,1936-03-18,3.8,11.3,20.8,0,Курган-Тюбе
81,1936-03-19,9.3,13.4,19.8,0,Курган-Тюбе
82,1936-03-20,7.9,13.1,20.2,7.3,Курган-Тюбе
83,1936-03-21,7.2,14.7,23.6,0,Курган-Тюбе
84,1936-03-22,8,15.4,25.6,0,Курган-Тюбе
