,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1929-05-01,0.4,5.2,8.8,0,Курган
2,1929-05-02,1.4,7.3,13,1.5,Курган
3,1929-05-03,6.9,14.5,21,0,Курган
4,1929-05-04,11.1,17.3,24.8,1,Курган
5,1929-05-05,10.9,12.2,16.3,3.5,Курган
6,1929-05-06,5.2,6.6,12.5,0,Курган
7,1929-05-07,0.1,6.3,10.9,0,Курган
8,1929-05-08,2.2,8.4,13,6.1,Курган
9,1929-05-09,0.8,3.4,8.2,0.4,Курган
10,1929-05-10,-0.4,12.4,19,0,Курган
11,1929-05-11,5.9,17.4,24,0,Курган
12,1929-05-12,7.9,18.9,25,0,Курган
13,1929-05-13,9.1,17.8,24.7,0,Курган
14,1929-05-14,10.9,14.9,18.3,0,Курган
15,1929-05-15,4.1,11.3,14.9,0,Курган
16,1929-05-16,5.9,17,23.6,0.4,Курган
17,1929-05-17,11.2,13.5,18,0,Курган
18,1929-05-18,7.9,14.5,21.1,0,Курган
19,1929-05-19,5.9,14.3,25.5,9.6,Курган
20,1929-05-20,-1.5,1,9.6,0.3,Курган
21,1929-05-21,-2,8.9,15.2,0,Курган
22,1929-05-22,0.8,8.3,13.7,0,Курган
23,1929-05-23,-0.6,10.9,15.8,0,Курган
24,1929-05-24,7.9,16.5,25.2,0,Курган
25,1929-05-25,8.9,12.4,17,0.3,Курган
26,1929-05-26,3.5,6.5,11.7,0.6,Курган
27,1929-05-27,-1.2,-0.3,4.2,4,Курган
28,1929-05-28,-3.2,0.2,1.8,0.1,Курган
29,1929-05-29,-4.1,7.5,14.1,0,Курган
30,1929-05-30,3.9,18.1,24.8,0,Курган
31,1929-05-31,16,20.5,26.6,0,Курган
33,1929-06-01,8.3,19.3,26.5,0,Курган
34,1929-06-02,15.1,20.2,26.5,0,Курган
35,1929-06-03,16.3,21.4,25.5,0,Курган
36,1929-06-04,14.2,22.1,29.4,0.6,Курган
37,1929-06-05,16.3,19.1,23.5,0,Курган
38,1929-06-06,8.2,19.2,24.5,0,Курган
39,1929-06-07,9.3,21.3,28.8,0,Курган
40,1929-06-08,13.4,24.9,31.6,0,Курган
41,1929-06-09,16.6,26.5,31.8,0,Курган
42,1929-06-10,17.4,23.7,31,0,Курган
43,1929-06-11,15.6,21.8,26.8,9.5,Курган
44,1929-06-12,12.6,14.6,17.5,2.8,Курган
45,1929-06-13,11,18.5,23,0,Курган
46,1929-06-14,11.1,21.3,26.4,0,Курган
47,1929-06-15,17.7,24.5,31.5,0,Курган
48,1929-06-16,17.6,26,33,0,Курган
49,1929-06-17,15.6,22.4,29.8,0,Курган
50,1929-06-18,15.6,16.6,20.3,6.6,Курган
51,1929-06-19,9.6,14.4,19.2,0,Курган
52,1929-06-20,6.3,16.1,20.7,0,Курган
53,1929-06-21,13.6,16.4,23,7.9,Курган
54,1929-06-22,12.9,18.1,22.6,0,Курган
55,1929-06-23,12,18.1,22.8,4.6,Курган
56,1929-06-24,12.6,17.7,20.2,0,Курган
57,1929-06-25,10.1,19.8,25.3,0,Курган
58,1929-06-26,13,22.3,25.5,0,Курган
59,1929-06-27,13.3,24.2,29.7,0,Курган
60,1929-06-28,17.5,25.8,33.4,0,Курган
61,1929-06-29,16.7,21.3,25.6,0,Курган
62,1929-06-30,13.4,22.4,28.8,0,Курган
64,1929-07-01,15.4,24.5,30.5,0,Курган
65,1929-07-02,16.9,24.7,31.7,0,Курган
66,1929-07-03,15,25.7,33.4,0,Курган
67,1929-07-04,16.9,27.5,34.8,0,Курган
68,1929-07-05,20.3,24.7,34.4,0,Курган
69,1929-07-06,17.8,26.5,33,0,Курган
70,1929-07-07,18.4,26.5,31,0,Курган
71,1929-07-08,15.5,23,29.8,1.8,Курган
72,1929-07-09,13.2,18.8,23.5,1.6,Курган
73,1929-07-10,14.7,20.1,26.1,2.1,Курган
74,1929-07-11,12.5,22.6,27.8,0,Курган
75,1929-07-12,12.2,23.8,30.1,0.6,Курган
76,1929-07-13,15.5,19.2,24.2,0,Курган
77,1929-07-14,10.7,19.4,23.2,0,Курган
78,1929-07-15,9.5,21.2,26.3,0,Курган
