,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-11.1,-9.4,-8.3,10.2,Курск
2,1900-01-02,-8.3,-5.1,-3.4,0.4,Курск
3,1900-01-03,-3.6,-2.1,-1,0,Курск
4,1900-01-04,-4.4,-3.3,-2.6,15.5,Курск
5,1900-01-05,-5,-3.9,-2.1,1.4,Курск
6,1900-01-06,-4.4,-1.2,0.6,6.5,Курск
7,1900-01-07,-18.2,-14.7,-0.8,0.1,Курск
8,1900-01-08,-23.2,-21.4,-18.2,0,Курск
9,1900-01-09,-25.4,-20.4,-17.9,0,Курск
10,1900-01-10,-22.8,-20.2,-17.4,0.1,Курск
11,1900-01-11,-24.2,-17.9,-13.1,3.2,Курск
12,1900-01-12,-13.2,-11.5,-10.9,1.7,Курск
13,1900-01-13,-11.9,-10.5,-9,0.5,Курск
14,1900-01-14,-19.2,-17.6,-11.2,0,Курск
15,1900-01-15,-18.7,-15.6,-13.1,0,Курск
16,1900-01-16,-16.1,-12.4,-10.5,0,Курск
17,1900-01-17,-15,-13.2,-11.1,1.1,Курск
18,1900-01-18,-16.9,-13.8,-11.6,2.9,Курск
19,1900-01-19,-14.3,-8.3,-6.4,0.4,Курск
20,1900-01-20,-13.8,-12.2,-6.4,2.8,Курск
21,1900-01-21,-13.8,-10.4,-9.2,0.3,Курск
22,1900-01-22,-9.2,-6.8,-4.1,2.1,Курск
23,1900-01-23,-12.7,-10.8,-8,1.1,Курск
24,1900-01-24,-12.7,-7.2,-1.9,5.2,Курск
25,1900-01-25,-3.9,-2,0.4,0,Курск
26,1900-01-26,-7.2,-5.1,-2.5,3.2,Курск
27,1900-01-27,-6.8,-5.3,-4,5.1,Курск
28,1900-01-28,-7.6,-4.4,-2.4,0.3,Курск
29,1900-01-29,-12.5,-9.1,-6.5,0,Курск
30,1900-01-30,-15.2,-12.6,-11.4,1.1,Курск
31,1900-01-31,-11.4,-7.1,-5.5,0.8,Курск
33,1912-01-01,-15,-12.1,-8.4,0,Курск
34,1912-01-02,-15.6,-12.2,-9.3,12.3,Курск
35,1912-01-03,-12.5,-2.6,1.1,4.5,Курск
36,1912-01-04,-10.4,-3.3,0.8,8.7,Курск
37,1912-01-05,-18,-16.3,-10.2,0.3,Курск
38,1912-01-06,-18.8,-17.6,-16.4,10.5,Курск
39,1912-01-07,-17.6,-11.9,-4.3,2.3,Курск
40,1912-01-08,-14.7,-5.3,-0.3,7.4,Курск
41,1912-01-09,-25.2,-23.5,-14.7,0,Курск
42,1912-01-10,-25.4,-17.8,-15,3.2,Курск
43,1912-01-11,-15.1,-12.5,-11.4,3.2,Курск
44,1912-01-12,-14,-11.9,-10.9,1.7,Курск
45,1912-01-13,-12,-10.6,-10,0.2,Курск
46,1912-01-14,-11.9,-10.6,-9.7,0.2,Курск
47,1912-01-15,-16.4,-13.9,-11.3,0.1,Курск
48,1912-01-16,-17.5,-15.3,-11.3,0,Курск
49,1912-01-17,-20.7,-16.9,-14.9,0,Курск
50,1912-01-18,-18.4,-16.6,-15.3,0,Курск
51,1912-01-19,-17.3,-13.6,-12,0.5,Курск
52,1912-01-20,-17.2,-15.1,-12.9,0,Курск
53,1912-01-21,-20.5,-18.7,-16.5,0,Курск
54,1912-01-22,-20.3,-14.2,-12.6,0.3,Курск
55,1912-01-23,-13.3,-7.2,-5.7,6.2,Курск
56,1912-01-24,-6.1,-2.9,0,1.8,Курск
57,1912-01-25,-5.3,-4.3,-2.7,0,Курск
58,1912-01-26,-4.9,-0.7,0.4,10.4,Курск
59,1912-01-27,-9.9,-5.8,0,0.7,Курск
60,1912-01-28,-12.7,-6.3,-0.1,1.5,Курск
61,1912-01-29,-19.4,-17.4,-12.4,6.1,Курск
62,1912-01-30,-22.8,-16.7,-11,0.3,Курск
63,1912-01-31,-25.4,-20.6,-16.4,0,Курск
65,1912-02-01,-21,-13.7,-9.8,3.9,Курск
66,1912-02-02,-15.2,-10.5,-7.4,0.2,Курск
67,1912-02-03,-15.5,-2.4,1,1.9,Курск
68,1912-02-04,-15,-8.1,1.1,3.6,Курск
69,1912-02-05,-19.8,-15.7,-11.7,0.4,Курск
70,1912-02-06,-18.5,-9.6,-8,4.8,Курск
71,1912-02-07,-14.6,-12.3,-8.8,0,Курск
72,1912-02-08,-18.5,-9.6,-5.1,14.2,Курск
73,1912-02-09,-5.3,-3.3,-2,0.4,Курск
74,1912-02-10,-3.9,-2.2,-0.9,0,Курск
75,1912-02-11,-4.4,-1.7,0.4,6.6,Курск
76,1912-02-12,0.3,1,1.9,2,Курск
77,1912-02-13,-16.5,-8.6,0.5,1.6,Курск
78,1912-02-14,-22.5,-19.3,-16,0,Курск
79,1912-02-15,-22.5,-18.4,-13.2,0,Курск
80,1912-02-16,-22.5,-16.8,-11.8,0,Курск
81,1912-02-17,-20.4,-14.2,-10.5,0,Курск
82,1912-02-18,-10.8,-6.3,-4.2,1.5,Курск
83,1912-02-19,-6,-2.2,0.3,0.1,Курск
84,1912-02-20,-20.4,-16.7,-2.2,0,Курск
85,1912-02-21,-21.1,-18.2,-16.3,5.5,Курск
86,1912-02-22,-21.1,-19.5,-15.3,0,Курск
87,1912-02-23,-23.7,-16.2,-12.5,1.3,Курск
88,1912-02-24,-20.6,-15.6,-12.1,0,Курск
89,1912-02-25,-26.3,-21.5,-17.6,0,Курск
90,1912-02-26,-21.4,-16.6,-14.7,3.9,Курск
91,1912-02-27,-16.2,-13.9,-10.1,0,Курск
92,1912-02-28,-17.9,-11.5,-8.3,2.6,Курск
93,1912-02-29,-9.3,-3.7,-1,0.2,Курск
95,1912-03-01,-2.5,0,1.7,0,Курск
96,1912-03-02,-1.4,0,0.9,0.1,Курск
97,1912-03-03,-0.1,1.4,3.9,0,Курск
98,1912-03-04,-2.4,0,2.9,0,Курск
99,1912-03-05,-0.5,0,1,0,Курск
100,1912-03-06,-2.5,-1.1,0.3,0.2,Курск
101,1912-03-07,-1.3,-0.5,0.7,0.5,Курск
102,1912-03-08,-1.1,0.3,1.2,2.1,Курск
103,1912-03-09,-0.4,0.7,1.6,0,Курск
104,1912-03-10,-0.9,0.8,3.1,0,Курск
105,1912-03-11,0,1.1,1.9,3.1,Курск
106,1912-03-12,-0.1,0.8,3,0.4,Курск
107,1912-03-13,-0.3,0.3,1.1,1.9,Курск
108,1912-03-14,-1.3,-0.1,2.2,0.5,Курск
109,1912-03-15,-4,-0.9,1.4,0,Курск
110,1912-03-16,-2.5,-1.9,-0.6,0,Курск
111,1912-03-17,-4.3,-2.8,-0.1,0,Курск
112,1912-03-18,-4.1,-2.1,-0.6,0.9,Курск
113,1912-03-19,-0.8,0.8,2.8,0,Курск
114,1912-03-20,-3.8,-2.7,-0.2,0,Курск
115,1912-03-21,-5.2,-2.5,1.9,0,Курск
116,1912-03-22,-7.4,-2.2,2.9,0,Курск
117,1912-03-23,-4.8,-0.7,3.6,0,Курск
118,1912-03-24,-4.4,0.6,4.2,0,Курск
119,1912-03-25,-2.1,1.2,5.6,0,Курск
120,1912-03-26,-3.7,0.4,5.2,0,Курск
121,1912-03-27,-3.1,-1,0.6,0.4,Курск
122,1912-03-28,-1.5,-0.5,0.5,1.6,Курск
123,1912-03-29,0.3,3.1,7.1,5.6,Курск
124,1912-03-30,0,1.9,4.4,1,Курск
125,1912-03-31,0,2.8,6.3,0,Курск
127,1912-04-01,-0.7,2.1,4.9,0,Курск
128,1912-04-02,-1.5,3.9,7.1,0.2,Курск
129,1912-04-03,4.1,7.3,13.1,1.5,Курск
130,1912-04-04,6,9.1,13.5,0.3,Курск
131,1912-04-05,1,1.9,7.4,1.9,Курск
132,1912-04-06,1.6,2.8,4.6,3.6,Курск
133,1912-04-07,-0.5,0.5,3.8,0.3,Курск
134,1912-04-08,-4.1,-0.9,2.1,0.1,Курск
135,1912-04-09,-2.4,4.8,9.9,0,Курск
136,1912-04-10,3.1,7,12.3,10,Курск
137,1912-04-11,6.2,9.4,13.9,7.4,Курск
138,1912-04-12,0.6,0.9,10.5,1.1,Курск
139,1912-04-13,-2,-0.5,0.9,0,Курск
140,1912-04-14,-3.8,-0.4,3.2,0,Курск
