,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1902-08-01,18.6,27,33.8,0,Кустанай
2,1902-08-02,17.7,27.3,35.2,0,Кустанай
3,1902-08-03,16.1,24,29.2,8.7,Кустанай
4,1902-08-04,14.6,19.2,23.5,0,Кустанай
5,1902-08-05,11.7,17.3,21.8,0.5,Кустанай
6,1902-08-06,9.5,18.1,22.4,0,Кустанай
7,1902-08-07,11.1,18.4,24.8,0,Кустанай
8,1902-08-08,11.6,20,27.5,0.9,Кустанай
9,1902-08-09,11.4,15.9,20.4,0.7,Кустанай
10,1902-08-10,8.9,15.1,20.5,0,Кустанай
11,1902-08-11,6.6,15,21.5,0,Кустанай
12,1902-08-12,5.6,18.4,24,0,Кустанай
13,1902-08-13,7.6,21.2,28.6,0,Кустанай
14,1902-08-14,10.7,19.3,26.5,0,Кустанай
15,1902-08-15,9.1,21,29.5,0,Кустанай
16,1902-08-16,11.6,24.6,31.3,0,Кустанай
17,1902-08-17,13.6,25.4,33,0,Кустанай
18,1902-08-18,15.6,24.2,32.5,0,Кустанай
19,1902-08-19,15.1,23,31.5,0,Кустанай
20,1902-08-20,10.2,23.9,34.3,0,Кустанай
21,1902-08-21,10.9,21.1,27.8,0,Кустанай
22,1902-08-22,8.5,17.9,25,0,Кустанай
23,1902-08-23,7.6,18.7,27.8,0,Кустанай
24,1902-08-24,11.6,20.8,30,0,Кустанай
25,1902-08-25,10.9,20.9,30,0,Кустанай
26,1902-08-26,15.1,24.7,32.3,0.2,Кустанай
27,1902-08-27,13.9,21.3,30,0,Кустанай
28,1902-08-28,11.3,22.1,29,0,Кустанай
29,1902-08-29,12.1,15.8,25.9,0.5,Кустанай
30,1902-08-30,8.6,11.9,16.6,0.1,Кустанай
31,1902-08-31,5.4,18,24.2,2.6,Кустанай
33,1902-09-01,8.6,10.4,16,0,Кустанай
34,1902-09-02,4.8,9.1,14,2.6,Кустанай
35,1902-09-03,2.1,8.4,15.2,0,Кустанай
36,1902-09-04,2.1,9.4,14,0,Кустанай
37,1902-09-05,1.2,7.2,12,0,Кустанай
38,1902-09-06,2.5,9.1,14.3,0.7,Кустанай
39,1902-09-07,7.3,11.5,17.6,4.6,Кустанай
40,1902-09-08,8.1,11.6,16.2,1.4,Кустанай
41,1902-09-09,6.6,9.5,13,0,Кустанай
42,1902-09-10,6.4,9,13.5,0,Кустанай
