,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1904-09-01,3,18.7,30.2,0,Кушка
2,1904-09-02,8.3,19.6,26.4,0,Кушка
3,1904-09-03,9.6,18.1,25.2,0,Кушка
4,1904-09-04,5.6,20.3,31,0,Кушка
5,1904-09-05,11.5,19.3,29.4,0,Кушка
6,1904-09-06,1.5,19.8,27.1,0,Кушка
7,1904-09-07,3.5,18.5,28.5,0,Кушка
8,1904-09-08,4,18.9,27,0,Кушка
9,1904-09-09,6,17.6,25.5,0,Кушка
10,1904-09-10,5.5,17.5,24.8,0,Кушка
11,1904-09-11,5,19.9,29.5,0,Кушка
12,1904-09-12,9.5,18.7,26.8,0,Кушка
13,1904-09-13,8.5,17.9,25.5,0,Кушка
14,1904-09-14,6.8,17.2,23.5,0,Кушка
15,1904-09-15,4.8,19.7,31,0,Кушка
16,1904-09-16,13.7,19.4,29.1,0,Кушка
17,1904-09-17,5.1,13.5,28.7,0,Кушка
18,1904-09-18,1,13.9,27.5,0,Кушка
19,1904-09-19,1.5,17.7,27,0,Кушка
20,1904-09-20,8,17.1,26.8,0,Кушка
21,1904-09-21,5,13.9,25.7,0,Кушка
22,1904-09-22,6.4,8.5,10.7,0,Кушка
23,1904-09-23,4.5,12.3,17.8,0,Кушка
24,1904-09-24,1.3,15.2,21.8,0,Кушка
25,1904-09-25,4.5,18.1,28.2,0,Кушка
26,1904-09-26,3.5,17.5,26.2,0,Кушка
27,1904-09-27,4.5,15.7,24.3,0,Кушка
28,1904-09-28,2.3,15.1,23.5,0,Кушка
29,1904-09-29,2.7,15.1,22.5,0,Кушка
30,1904-09-30,1.9,14,21,0,Кушка
32,1904-10-01,1.9,8.5,14.8,0,Кушка
33,1904-10-02,1.5,6.2,15.5,0,Кушка
34,1904-10-03,4.7,8.7,16,0,Кушка
35,1904-10-04,0,7.4,13.5,0,Кушка
36,1904-10-05,1,5,11.5,0,Кушка
37,1904-10-06,-7,5.8,14.8,0,Кушка
38,1904-10-07,-1.3,15,25.3,0,Кушка
39,1904-10-08,8.7,19.8,28.5,0,Кушка
40,1904-10-09,5.8,19.3,29,0,Кушка
41,1904-10-10,5.2,16.7,24.9,0,Кушка
42,1904-10-11,3.1,13.5,22.8,0,Кушка
43,1904-10-12,0.9,11.1,20,0,Кушка
44,1904-10-13,2,10.2,17.6,0,Кушка
45,1904-10-14,2.5,10.9,18.2,0,Кушка
46,1904-10-15,-3.3,8.6,17.3,0,Кушка
47,1904-10-16,-5.6,7.6,17.4,0,Кушка
48,1904-10-17,-8.1,8.9,22,0,Кушка
49,1904-10-18,4.9,16.9,25.3,0,Кушка
50,1904-10-19,8.8,18.9,28.1,0,Кушка
51,1904-10-20,6.7,17.9,28.7,0,Кушка
52,1904-10-21,5.3,14.5,19.8,0,Кушка
53,1904-10-22,4.5,17.7,29.5,0,Кушка
54,1904-10-23,10,22.5,31.8,0,Кушка
55,1904-10-24,17.6,24.8,31.7,0,Кушка
56,1904-10-25,6.4,9.1,19.3,0,Кушка
57,1904-10-26,4.9,10.7,19.3,0,Кушка
58,1904-10-27,5.2,11.5,16.5,0,Кушка
59,1904-10-28,6.3,11.1,16.5,0,Кушка
60,1904-10-29,-0.8,12.5,21.5,0,Кушка
61,1904-10-30,2.4,12.7,22.6,0,Кушка
62,1904-10-31,0,13.6,29.9,0,Кушка
64,1904-11-01,0,13.6,24.7,0,Кушка
65,1904-11-02,7,15.6,25.3,0,Кушка
66,1904-11-03,8.2,12.6,23.4,0,Кушка
67,1904-11-04,0.2,11.1,21.4,0,Кушка
68,1904-11-05,2.2,10,22.8,0,Кушка
69,1904-11-06,0.5,9.3,15.9,0,Кушка
70,1904-11-07,0.9,14,20.8,0,Кушка
71,1904-11-08,4.8,9.3,23,0,Кушка
72,1904-11-09,4.6,9.5,18.6,0,Кушка
73,1904-11-10,0.2,7.5,15,0,Кушка
74,1904-11-11,0.8,9.1,16.4,0,Кушка
75,1904-11-14,2,9.5,16.9,0,Кушка
76,1904-11-15,2,12.6,17.8,0,Кушка
77,1904-11-16,8.1,12.6,19.5,0,Кушка
78,1904-11-17,2,12.3,19.9,0,Кушка
79,1904-11-18,10.9,16.9,22.3,0,Кушка
80,1904-11-19,14.6,18.8,21.5,0,Кушка
81,1904-11-20,11.1,16.8,22.6,0,Кушка
82,1904-11-21,10,16.4,22.3,0,Кушка
83,1904-11-22,7.7,12,15.7,0,Кушка
84,1904-11-23,6.5,11,17.3,0,Кушка
85,1904-11-24,4.3,9.1,13.9,0,Кушка
86,1904-11-25,0.9,4.3,7.8,0,Кушка
87,1904-11-26,0.2,2.4,4,0,Кушка
88,1904-11-27,0.4,3.3,5.1,0,Кушка
89,1904-11-28,0.5,4.7,8.5,0,Кушка
90,1904-11-29,1,5.1,10.5,0,Кушка
91,1904-11-30,0.3,3.3,7.5,0,Кушка
93,1904-12-01,-2.6,3.7,11.6,0,Кушка
94,1904-12-02,-2.4,1.6,12.3,0,Кушка
95,1904-12-03,-1.2,4.4,11.3,0,Кушка
96,1904-12-04,-1.3,7.4,13.2,0,Кушка
97,1904-12-05,-3.4,2.8,9.8,0,Кушка
98,1904-12-06,-6.3,2.4,4.9,0,Кушка
99,1904-12-07,-5.8,4.9,12.8,0,Кушка
100,1904-12-08,3.2,13.3,17.5,0,Кушка
101,1904-12-09,2.1,8.2,15.5,2,Кушка
102,1904-12-10,-1.6,9.8,19.1,0,Кушка
103,1904-12-11,0.6,6.6,13.5,6,Кушка
104,1904-12-12,-1.2,6.3,14.3,0.5,Кушка
105,1904-12-13,0.9,7.3,14,0,Кушка
106,1904-12-14,1.8,10.7,15.4,0,Кушка
107,1904-12-15,0.8,10.3,17.5,0,Кушка
108,1904-12-16,2.8,10.3,16.6,0,Кушка
109,1904-12-17,1.5,8.6,12.8,0,Кушка
110,1904-12-18,8,14.4,19,0,Кушка
111,1904-12-19,5.2,10.1,15.4,0,Кушка
112,1904-12-20,0.6,6.2,12.8,0,Кушка
113,1904-12-21,-2,5.3,13.1,0,Кушка
114,1904-12-22,-1.5,5.9,15.2,0,Кушка
115,1904-12-23,-0.8,7.6,15.3,0,Кушка
116,1904-12-24,6,12.5,17.4,0,Кушка
117,1904-12-25,11.8,15.6,19.1,0,Кушка
118,1904-12-26,-0.8,10.5,17.8,0,Кушка
119,1904-12-27,0.2,12.2,17.3,0,Кушка
120,1904-12-28,0.2,10.1,14.5,0,Кушка
121,1904-12-29,-1,6.4,15.3,0,Кушка
122,1904-12-30,4.7,12.3,23.9,0,Кушка
123,1904-12-31,-1.3,3.8,11.2,0,Кушка
125,1905-02-06,-2.7,7.5,14.5,0,Кушка
126,1905-02-07,-1,7.2,12.9,0,Кушка
127,1905-02-08,-1.4,0.8,2.2,8.8,Кушка
128,1905-02-09,-6.7,-4.1,-1.5,0.4,Кушка
129,1905-02-10,-8.4,-5.5,-3.2,0.2,Кушка
130,1905-02-11,-7.2,-3.3,-0.5,0,Кушка
131,1905-02-12,-4.8,-3.7,-2,0,Кушка
132,1905-02-13,-6.4,-2.7,0.8,2,Кушка
133,1905-02-14,-5.3,-2.1,2.6,0,Кушка
134,1905-02-15,-10,-0.6,6.7,0,Кушка
135,1905-02-16,-8.2,4.9,13,0,Кушка
136,1905-02-17,-2.5,7.8,16,0,Кушка
137,1905-02-18,-2.3,8.8,18.2,0,Кушка
138,1905-02-19,1.4,12.3,20.7,0,Кушка
139,1905-02-20,-0.1,3.7,13.6,0,Кушка
140,1905-02-21,0,12,19.8,0.3,Кушка
141,1905-02-22,2.1,7,15.8,9.4,Кушка
142,1905-02-23,0.5,5.3,11.5,2.1,Кушка
143,1905-02-24,2.7,9.1,15.7,1.3,Кушка
144,1905-02-25,2.8,5.4,15.8,5.2,Кушка
145,1905-02-26,0.6,4.6,10.8,0.2,Кушка
146,1905-02-27,-1.7,4.4,8.9,0,Кушка
148,1905-03-01,-2.8,-1.2,1.2,0,Кушка
149,1905-03-02,-3.4,-0.2,2.9,6.1,Кушка
150,1905-03-03,-2.8,0.5,1.8,0,Кушка
151,1905-03-04,-0.7,3.4,6.6,0.1,Кушка
152,1905-03-05,0.8,5.4,8.4,0,Кушка
153,1905-03-06,1,6.8,13.4,0,Кушка
154,1905-03-07,-2.2,8.8,15.7,0,Кушка
155,1905-03-08,1,13.2,21.3,0,Кушка
156,1905-03-09,5.8,17.4,26.3,0,Кушка
157,1905-03-10,10.9,18.2,26,0,Кушка
158,1905-03-11,7.2,10.6,16,7.2,Кушка
159,1905-03-12,2,3.7,8.7,0.5,Кушка
160,1905-03-13,-2.8,0.2,3.4,6,Кушка
161,1905-03-14,-5.9,-1.4,2,0,Кушка
162,1905-03-15,-7.5,-3.5,0,0,Кушка
163,1905-03-16,-9.6,-2.7,2,0,Кушка
164,1905-03-17,-8.8,1.5,8.9,0,Кушка
