,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1927-08-10,7.8,15.2,22,1.2,Кыра
2,1927-08-11,10.5,17.8,26.5,10.2,Кыра
3,1927-08-12,13,18.5,25.7,1.1,Кыра
4,1927-08-13,7.9,15.4,19.9,0,Кыра
5,1927-08-14,7.2,15.2,22.8,0,Кыра
6,1927-08-15,6.3,15.5,23.5,0,Кыра
7,1927-08-16,7.4,11.4,14.4,3.1,Кыра
8,1927-08-17,10.8,15.2,20.5,0,Кыра
9,1927-08-18,1.4,15,24.2,0.6,Кыра
10,1927-08-19,7.7,11.4,16.9,0,Кыра
11,1927-08-20,-1.6,9.4,18.9,0,Кыра
12,1927-08-21,-2.7,8.8,19,0,Кыра
13,1927-08-22,0,10.8,20.2,0,Кыра
14,1927-08-23,-1,12.6,21.8,0,Кыра
15,1927-08-24,5.9,13.5,23,0,Кыра
16,1927-08-25,6.1,10.9,15.3,6.3,Кыра
17,1927-08-26,-1.4,9.3,18.7,0,Кыра
18,1927-08-27,-1.6,10.9,21.4,0,Кыра
19,1927-08-28,0.7,13,24.6,0,Кыра
20,1927-08-29,0.4,13.6,23.6,0,Кыра
21,1927-08-30,2.8,14.6,22.4,11.9,Кыра
22,1927-08-31,11,12.2,15.2,0,Кыра
24,1927-09-01,4.4,13.4,22.6,0,Кыра
25,1927-09-02,6.1,15.3,24.3,0,Кыра
26,1927-09-03,4.4,14.6,22.8,0,Кыра
27,1927-09-04,7.5,14.5,22.3,0,Кыра
28,1927-09-05,6.9,16.5,26,0,Кыра
29,1927-09-06,4.9,15.8,26.4,0,Кыра
30,1927-09-07,8.5,15.8,22.4,0,Кыра
31,1927-09-08,10.4,13.8,18.5,0,Кыра
32,1927-09-09,4.3,9.7,16.8,0.1,Кыра
33,1927-09-10,-2.4,10.6,18.9,0,Кыра
34,1927-09-11,-3.6,9.4,18.9,0,Кыра
35,1927-09-12,6.6,11.2,16.4,1.6,Кыра
36,1927-09-13,7.4,8.4,11.5,1.6,Кыра
37,1927-09-14,5.5,9.7,15.2,0,Кыра
38,1927-09-15,-1.4,7.2,12.7,1.3,Кыра
39,1927-09-16,3.3,6.9,11.3,0,Кыра
40,1927-09-17,0.4,9.7,16.1,0,Кыра
41,1927-09-18,2.9,11,19.8,0,Кыра
42,1927-09-19,-1.3,10.9,22.2,0,Кыра
43,1927-09-20,-1,11.5,20.4,0.1,Кыра
44,1927-09-21,3.2,12.6,19.9,0,Кыра
45,1927-09-22,2.6,11.4,23.5,1,Кыра
46,1927-09-23,2.3,6.2,10.5,0,Кыра
47,1927-09-24,-11.8,3.9,15.6,0,Кыра
48,1927-09-25,-2.9,7.7,18.5,0,Кыра
49,1927-09-26,-1.6,10.6,22.2,0,Кыра
50,1927-09-27,-2,11,22.4,0,Кыра
51,1927-09-28,0.4,9.1,14.2,0,Кыра
52,1927-09-29,1.3,2.8,9.8,7.8,Кыра
53,1927-09-30,-0.3,3.7,11.5,0,Кыра
55,1927-10-01,-7.6,5.3,12.1,0,Кыра
56,1927-10-02,-2.5,4.4,10,1.7,Кыра
57,1927-10-03,-2.8,1.4,5.5,0,Кыра
58,1927-10-04,-8.3,-0.5,8.8,0,Кыра
59,1927-10-05,-3.5,2.1,8.5,0,Кыра
60,1927-10-06,-6.8,1,7.3,0,Кыра
61,1927-10-07,-1.2,1.2,4.2,0,Кыра
62,1927-10-08,-7,-1.3,2.8,0,Кыра
63,1927-10-09,-3.4,-0.6,3.2,0,Кыра
