,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1930-07-01,12.2,15.4,21.7,8.5,Кяхта
2,1930-07-02,13,14.7,20.7,0,Кяхта
3,1930-07-03,12.4,15.4,20,0,Кяхта
4,1930-07-04,9.5,21.4,27.2,0,Кяхта
5,1930-07-05,12.5,20.5,28.7,0,Кяхта
6,1930-07-06,13,20.4,28.4,0,Кяхта
7,1930-07-07,14.2,21.5,25.3,0,Кяхта
8,1930-07-08,15.2,22,27.9,0.8,Кяхта
9,1930-07-09,12.2,17.6,27.7,15,Кяхта
10,1930-07-10,10,13.2,15.9,4.5,Кяхта
11,1930-07-11,11.5,17.7,24.5,0,Кяхта
12,1930-07-12,10.5,22,28.4,0,Кяхта
13,1930-07-13,15,21.2,25.7,0,Кяхта
14,1930-07-14,15.2,21.8,29.6,0,Кяхта
15,1930-07-15,13.4,25.2,30.9,0,Кяхта
16,1930-07-16,13,24,30,7,Кяхта
17,1930-07-17,11,20.1,26.1,5.6,Кяхта
18,1930-07-18,14,19.7,24.4,3.8,Кяхта
19,1930-07-19,14,16.2,20.7,12,Кяхта
20,1930-07-20,11.6,19.8,25.8,0,Кяхта
21,1930-07-21,11.5,20.8,28.4,0,Кяхта
22,1930-07-22,11.6,23.1,28.4,0,Кяхта
23,1930-07-23,13,22.9,32.4,0,Кяхта
24,1930-07-24,13.2,19.5,27.7,0,Кяхта
25,1930-07-25,12.2,17,22.9,15,Кяхта
26,1930-07-26,13.5,17.7,20.9,0,Кяхта
27,1930-07-27,15.4,18.1,26.3,0,Кяхта
28,1930-07-28,14.2,20.8,22.9,0,Кяхта
29,1930-07-29,11.6,21.5,26.1,0,Кяхта
30,1930-07-30,13.2,20.2,26.6,3,Кяхта
31,1930-07-31,13.7,16.3,19.6,0,Кяхта
33,1930-08-01,14.3,16,19.5,8.5,Кяхта
34,1930-08-02,18,20.9,24.1,7.5,Кяхта
35,1930-08-03,16.4,24.8,30.6,0,Кяхта
36,1930-08-04,11,23.1,30.4,9.2,Кяхта
37,1930-08-05,13.6,19.8,28.5,36,Кяхта
38,1930-08-06,14.2,17.1,26.2,0,Кяхта
39,1930-08-07,14.9,17.7,24.1,0,Кяхта
40,1930-08-08,12.4,18,22.7,1,Кяхта
41,1930-08-09,7.5,19.1,28.4,42,Кяхта
42,1930-08-10,14.5,19.6,24.9,27.5,Кяхта
43,1930-08-11,14.6,18.4,22.4,9.6,Кяхта
44,1930-08-12,8.5,16.4,24.7,0,Кяхта
45,1930-08-13,13.5,19.2,25.5,0,Кяхта
46,1930-08-14,10.5,20.8,25.5,0,Кяхта
47,1930-08-15,14.6,20,26.8,0,Кяхта
48,1930-08-16,13.5,17.7,20.3,0,Кяхта
49,1930-08-17,11.5,16.5,24.6,0,Кяхта
50,1930-08-18,10.6,19.5,25.3,0,Кяхта
51,1930-08-19,13.4,21.3,27.4,0,Кяхта
52,1930-08-20,9,19.8,26.9,0,Кяхта
53,1930-08-21,12.4,20.7,26.1,0,Кяхта
54,1930-08-22,11.2,20.2,27.5,0,Кяхта
55,1930-08-23,13.3,21.5,27.8,3,Кяхта
56,1930-08-24,9.2,13.4,22.3,0,Кяхта
57,1930-08-25,9,11.4,19.3,0,Кяхта
58,1930-08-26,5.2,13.6,17.4,9.6,Кяхта
59,1930-08-27,9.2,16.3,22.4,0,Кяхта
60,1930-08-28,9.3,15.4,20.6,15,Кяхта
61,1930-08-29,8,11.5,20,2.5,Кяхта
62,1930-08-30,4,9.4,16.1,0,Кяхта
63,1930-08-31,3.2,10.4,19.1,0,Кяхта
65,1930-09-01,3.1,11.4,17.9,0,Кяхта
66,1930-09-02,4.5,14.1,24.7,0,Кяхта
67,1930-09-03,8.5,17.2,23.9,0,Кяхта
68,1930-09-04,6,12,16.5,0,Кяхта
69,1930-09-05,4.2,8.5,21.4,0,Кяхта
70,1930-09-06,1.3,8.2,18.9,3.7,Кяхта
71,1930-09-07,2.6,7.6,13.4,0,Кяхта
72,1930-09-08,-0.9,6.6,13.4,0,Кяхта
73,1930-09-09,2.3,9,14.7,0,Кяхта
74,1930-09-10,2.1,13.3,20.3,0,Кяхта
75,1930-09-11,1.7,8.5,18.5,0,Кяхта
76,1930-09-12,0.7,8,18.1,0,Кяхта
77,1930-09-13,0.8,7.4,13.5,2.4,Кяхта
78,1930-09-14,2.1,6.1,12.9,0,Кяхта
79,1930-09-15,-0.9,7.8,15.7,0,Кяхта
80,1930-09-16,-1.4,8.2,16.8,0,Кяхта
81,1930-09-17,2.6,11.5,27.9,0,Кяхта
82,1930-09-18,2.6,8.2,19.4,0,Кяхта
83,1930-09-19,-0.9,9.3,19.1,0,Кяхта
84,1930-09-20,-0.9,7.5,16.4,0,Кяхта
85,1930-09-21,-1.3,4.6,10.4,0,Кяхта
86,1930-09-22,-1.4,6.2,18.1,0,Кяхта
87,1930-09-23,-2.2,9.5,16.4,0,Кяхта
88,1930-09-24,-1.7,7.6,15.9,0,Кяхта
89,1930-09-25,-2,4.5,10.2,3,Кяхта
90,1930-09-26,-2.9,4.7,14.7,0,Кяхта
91,1930-09-27,-2.7,3.8,9.7,8,Кяхта
92,1930-09-28,-1.4,2.5,6.7,0,Кяхта
93,1930-09-29,-3.4,3.1,10.9,0,Кяхта
94,1930-09-30,-3.7,4.1,11.7,0,Кяхта
96,1930-10-01,-3,4.5,13.7,0,Кяхта
97,1930-10-02,-1.2,7,16.3,0,Кяхта
98,1930-10-03,-2.8,4.8,13.9,0,Кяхта
99,1930-10-04,0,7.8,15.9,0,Кяхта
100,1930-10-05,0,9.6,19.1,0,Кяхта
101,1930-10-06,2.4,11.6,20.4,0,Кяхта
102,1930-10-07,-4.2,11.7,22.7,0,Кяхта
103,1930-10-08,1.4,7.8,14.7,9.5,Кяхта
104,1930-10-09,-4.6,-1.2,9.9,0,Кяхта
105,1930-10-10,-5.2,0.7,8.4,0,Кяхта
106,1930-10-11,-4.5,3.8,14.9,0,Кяхта
107,1930-10-12,-4,5.4,15.4,0,Кяхта
108,1930-10-13,-5.8,2.2,11.4,0,Кяхта
109,1930-10-14,0,8.5,12.9,0,Кяхта
110,1930-10-15,2.4,13.6,21.9,0,Кяхта
111,1930-10-16,-1,3.5,9.1,0,Кяхта
112,1930-10-17,-6.2,3.6,14.1,0,Кяхта
113,1930-10-18,-8.2,0.6,10.9,0,Кяхта
114,1930-10-19,-8.8,2.3,16.1,0,Кяхта
115,1930-10-20,-2.8,7.3,20.4,0,Кяхта
116,1930-10-21,-4.6,3.3,14.1,0,Кяхта
117,1930-10-22,-4.3,4.4,14.1,0,Кяхта
118,1930-10-23,-3.8,3.1,13.5,0,Кяхта
119,1930-10-24,-6,0.7,10.4,0,Кяхта
120,1930-10-25,-8.2,-0.9,9.4,0,Кяхта
121,1930-10-26,-6.2,-0.1,9.9,7.5,Кяхта
122,1930-10-27,-8.7,-6.3,-0.1,12.5,Кяхта
123,1930-10-28,-20.1,-10.4,-5.4,0,Кяхта
124,1930-10-29,-22.1,-14.1,-8.7,0,Кяхта
125,1930-10-30,-21.8,-14.1,-7.6,0,Кяхта
126,1930-10-31,-18.3,-13,-8.4,0,Кяхта
128,1930-11-08,-25.3,-19.5,-15.6,0,Кяхта
129,1930-11-09,-25.7,-18.9,-10.6,0,Кяхта
130,1930-11-10,-25.6,-20.9,-14.3,0,Кяхта
131,1930-11-11,-19.7,-12.1,-3.1,0,Кяхта
132,1930-11-12,-18.7,-12.2,-6.3,0,Кяхта
133,1930-11-13,-23.6,-15.4,-6.3,0,Кяхта
134,1930-11-14,-17.4,-10.4,-4.3,0,Кяхта
135,1930-11-15,-19.4,-6.6,-1.5,0,Кяхта
136,1930-11-16,-10.8,-4.8,-2,0,Кяхта
137,1930-11-17,-11.2,-4.9,-2.2,0,Кяхта
138,1930-11-18,-19.2,-9.9,-3.7,0,Кяхта
139,1930-11-19,-21,-7.8,-2.1,0,Кяхта
140,1930-11-20,-21.2,-12.2,-5.1,0,Кяхта
141,1930-11-21,-22.4,-13.7,-7.1,0,Кяхта
142,1930-11-22,-24.6,-15.2,-9.1,0,Кяхта
143,1930-11-23,-21.2,-13.9,-8.1,0,Кяхта
144,1930-11-24,-20,-13.5,-8.1,0,Кяхта
145,1930-11-25,-20.1,-12.3,-7.3,0,Кяхта
146,1930-11-26,-18.5,-11,-7.6,0,Кяхта
147,1930-11-27,-18.2,-14.3,-12.9,0,Кяхта
148,1930-11-28,-22.5,-13.8,-10.1,0,Кяхта
149,1930-11-29,-20.2,-12.4,-8.1,0,Кяхта
150,1930-11-30,-17.5,-8.8,-3.1,0,Кяхта
152,1930-12-01,-18.3,-11.6,-5.1,0,Кяхта
153,1930-12-02,-23.5,-17,-9.8,0,Кяхта
154,1930-12-03,-18,-13.8,-8.3,0,Кяхта
155,1930-12-04,-25.5,-19.1,-10.9,0,Кяхта
156,1930-12-05,-25.9,-19.5,-14.4,0,Кяхта
157,1930-12-06,-27.1,-20.4,-14.6,1.8,Кяхта
158,1930-12-07,-26.7,-17.9,-10.6,0,Кяхта
159,1930-12-08,-19.8,-12,-9.1,0,Кяхта
160,1930-12-09,-19.6,-11.9,-8.5,0,Кяхта
161,1930-12-11,-26.3,-21.7,-20.4,0,Кяхта
162,1930-12-12,-28.1,-22.9,-18.5,0,Кяхта
163,1930-12-13,-27.1,-23.6,-18.7,0,Кяхта
164,1930-12-14,-24.6,-19.9,-16.3,0,Кяхта
165,1930-12-15,-26.2,-19.6,-16.8,0,Кяхта
166,1930-12-16,-23.5,-19.4,-16.6,0,Кяхта
167,1930-12-17,-26.1,-21.5,-16.4,0,Кяхта
168,1930-12-18,-29.9,-24.3,-18.6,0,Кяхта
169,1930-12-19,-29.2,-22.9,-18.3,0,Кяхта
170,1930-12-20,-29.7,-23.5,-18.1,0,Кяхта
172,1931-04-01,-5.3,2.4,10.3,0,Кяхта
173,1931-04-02,-2.7,-1.4,4.7,0,Кяхта
174,1931-04-03,-5.6,-2.6,0.4,0,Кяхта
175,1931-04-04,-4.9,0.1,4.6,0,Кяхта
176,1931-04-05,-4.4,1.4,8,0,Кяхта
177,1931-04-06,-4.9,5.9,13.6,0,Кяхта
178,1931-04-07,-3.2,7.6,16.3,0,Кяхта
179,1931-04-08,-3.6,1.7,11.9,0,Кяхта
180,1931-04-09,-8.9,-5.8,0.9,0,Кяхта
181,1931-04-10,-11.4,-2.3,4,0,Кяхта
182,1931-04-11,-7.8,1,9.2,0,Кяхта
183,1931-04-12,-4.8,-3.2,-0.3,0,Кяхта
184,1931-04-13,-10.1,0,4.9,0,Кяхта
185,1931-04-14,-4.8,0.5,4.5,0,Кяхта
186,1931-04-15,-2.8,0.9,5.1,0,Кяхта
187,1931-04-16,-5.7,0.4,4.5,0,Кяхта
188,1931-04-17,-7,-1.2,3.9,0,Кяхта
189,1931-04-18,-9,0.2,5.4,0,Кяхта
190,1931-04-19,-7.4,0.8,5.9,0,Кяхта
191,1931-04-20,-6.2,1.4,4.2,0,Кяхта
192,1931-04-21,-1.8,2.2,7.6,0,Кяхта
193,1931-04-22,-6.2,4.3,9,0,Кяхта
194,1931-04-23,-2.1,1.2,5.9,0,Кяхта
195,1931-04-24,-7.5,4.9,11.4,0,Кяхта
196,1931-04-25,-2.6,3.5,9.1,0,Кяхта
197,1931-04-26,-2.5,2.7,7.7,0,Кяхта
198,1931-04-27,-4,3.7,9.9,0,Кяхта
199,1931-04-28,-2.1,2.4,6.4,0,Кяхта
200,1931-04-29,-9,2.6,10.1,0,Кяхта
201,1931-04-30,-2.7,8.5,16.9,0,Кяхта
203,1931-05-01,-6.4,3.5,9.4,0,Кяхта
204,1931-05-02,-3,5.9,10.4,0,Кяхта
205,1931-05-03,-2.7,3.3,7.1,1.6,Кяхта
206,1931-05-04,-3,-1.1,1.6,0,Кяхта
207,1931-05-05,-7.4,3.4,8.2,0,Кяхта
208,1931-05-06,-3.5,6.7,13,0.2,Кяхта
209,1931-05-07,-7.4,-3.9,3.9,0,Кяхта
210,1931-05-08,-12.1,-1.9,3.7,0,Кяхта
211,1931-05-09,-6.6,5.7,11.4,0,Кяхта
212,1931-05-10,-0.7,13.2,18.9,0,Кяхта
213,1931-05-11,1.5,14,20.6,0,Кяхта
214,1931-05-12,5.4,9.5,13.7,0,Кяхта
215,1931-05-13,0.6,7.1,13.6,0,Кяхта
216,1931-05-14,-3.4,10.8,19.7,1.9,Кяхта
217,1931-05-15,-5.1,2.3,5.4,0,Кяхта
218,1931-05-16,-4,4.3,9.1,0,Кяхта
219,1931-05-17,-2.4,8.3,19.3,0,Кяхта
220,1931-05-18,-2.1,11.4,17.9,0,Кяхта
221,1931-05-19,0.3,1.8,11.4,0.1,Кяхта
222,1931-05-20,-1,7.5,14.5,2,Кяхта
223,1931-05-21,-1,9,13.8,0,Кяхта
224,1931-05-22,-0.9,8.5,14.1,0,Кяхта
225,1931-05-23,5,13.1,19.6,1.2,Кяхта
226,1931-05-24,3.5,7.6,12.1,4.5,Кяхта
227,1931-05-25,1.2,10.2,14.8,0,Кяхта
228,1931-05-26,6.4,11.7,17.1,1,Кяхта
229,1931-05-27,4.3,8,12.9,0,Кяхта
230,1931-05-28,4.5,11.7,17.9,0,Кяхта
231,1931-05-29,2.6,16.1,23.4,0,Кяхта
232,1931-05-30,5.2,14.3,21.9,0.9,Кяхта
233,1931-05-31,1.7,15.4,22.2,0,Кяхта
235,1931-06-01,9.9,13.9,19.1,0.5,Кяхта
236,1931-06-02,4.5,17.7,24.4,0,Кяхта
237,1931-06-03,9.3,21,28.4,3.3,Кяхта
238,1931-06-04,10,17.4,24.4,0.6,Кяхта
239,1931-06-05,2.4,14.2,19.7,0,Кяхта
240,1931-06-06,4.6,16.2,24.9,0,Кяхта
241,1931-06-07,8.9,12.2,16.3,0,Кяхта
242,1931-06-08,4.5,11.7,16.2,1,Кяхта
243,1931-06-09,0.3,11.1,12.4,0,Кяхта
244,1931-06-10,5.7,16.5,21.4,0,Кяхта
245,1931-06-11,6.7,17.8,23.4,0,Кяхта
246,1931-06-12,6.5,17.9,24.1,0,Кяхта
247,1931-06-13,10,13.9,18.4,0,Кяхта
248,1931-06-14,8.9,15,19.9,0,Кяхта
249,1931-06-15,5,19.7,29.4,4.5,Кяхта
250,1931-06-16,9.9,11.9,18.4,0.8,Кяхта
251,1931-06-17,7.2,15.4,20.6,0,Кяхта
252,1931-06-18,10,16.1,21.3,0,Кяхта
253,1931-06-19,6.4,19.5,24.4,0,Кяхта
254,1931-06-20,1,23.3,28.4,0,Кяхта
255,1931-06-21,13.2,24.8,28.9,0,Кяхта
256,1931-06-22,16.8,25.8,28.9,0,Кяхта
257,1931-06-23,14.2,18.5,23.8,0,Кяхта
259,1931-07-05,13,15.1,17.4,4.5,Кяхта
260,1931-07-06,13.3,17.1,20.6,0,Кяхта
261,1931-07-07,11.2,21.2,27.8,0,Кяхта
262,1931-07-08,14.2,25.1,31.1,0,Кяхта
263,1931-07-09,18,22.7,27.7,0,Кяхта
264,1931-07-10,15.5,22.9,28.1,4.5,Кяхта
265,1931-07-11,12.4,20.9,26.7,0,Кяхта
266,1931-07-12,13.8,26.3,35.7,5.5,Кяхта
267,1931-07-13,17.8,21.3,26.6,19,Кяхта
268,1931-07-14,18,21.1,23.3,20,Кяхта
269,1931-07-15,15.8,17.9,21,14.5,Кяхта
270,1931-07-16,9.8,13,16.3,4,Кяхта
272,1931-08-05,11.2,18.5,25.6,0,Кяхта
273,1931-08-06,11.4,17.1,21.9,0,Кяхта
274,1931-08-07,10,18.6,23.4,0,Кяхта
275,1931-08-08,10.8,20.3,25.6,0,Кяхта
276,1931-08-09,16.4,23.8,31.7,0,Кяхта
277,1931-08-10,17.8,21.2,24.3,2,Кяхта
278,1931-08-11,16.6,21.6,27.3,0,Кяхта
279,1931-08-12,12.2,18.3,23.4,4.4,Кяхта
280,1931-08-13,15.6,18.8,23.4,3.2,Кяхта
281,1931-08-14,10.4,13.5,19.4,0,Кяхта
282,1931-08-15,6,16.1,21.5,1,Кяхта
283,1931-08-16,13.6,15.3,16.9,0.2,Кяхта
284,1931-08-17,12,15.5,20.2,0,Кяхта
285,1931-08-18,8.2,15.4,19.8,0.4,Кяхта
286,1931-08-19,10,12.2,16.2,9,Кяхта
287,1931-08-20,8.8,14.9,21.2,0.3,Кяхта
288,1931-08-21,8.5,16.9,22.2,0,Кяхта
289,1931-08-22,7.5,16.5,24,0,Кяхта
290,1931-08-23,7.2,16.9,23.1,0.7,Кяхта
291,1931-08-24,11.5,17.4,26.6,0,Кяхта
