,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-8.9,-5.1,-1,0,Ленинабад
2,1936-01-02,-11.5,-6.9,-0.8,0,Ленинабад
3,1936-01-03,-7.5,-4.8,-2.3,0,Ленинабад
4,1936-01-04,-5.8,-4,0,0,Ленинабад
5,1936-01-05,-8.9,-4,1.4,0,Ленинабад
6,1936-01-06,-8.3,-5,-0.2,0,Ленинабад
7,1936-01-07,-9.4,-4.6,1,0,Ленинабад
8,1936-01-08,-9.2,-5,0.7,0,Ленинабад
9,1936-01-09,-9.7,-5.2,1.1,0,Ленинабад
10,1936-01-10,-10,-5,0.8,0,Ленинабад
11,1936-01-11,-8.4,-4.5,3.5,0,Ленинабад
12,1936-01-12,-11.1,-5.8,0,0,Ленинабад
13,1936-01-13,-9.8,-4.4,2.4,0,Ленинабад
14,1936-01-14,-9.5,-3.6,2.7,0,Ленинабад
15,1936-01-15,-5.3,-0.8,4.5,0,Ленинабад
16,1936-01-16,-6,0,6.3,0,Ленинабад
17,1936-01-17,-1.9,1,5.2,0,Ленинабад
18,1936-01-18,-4.6,-0.1,6.2,0,Ленинабад
19,1936-01-19,-2.8,0,5.6,0,Ленинабад
20,1936-01-20,-5.4,-1.4,5.3,0,Ленинабад
21,1936-01-21,-8.8,-6.4,-1.3,0.5,Ленинабад
22,1936-01-22,-15.4,-8.5,-1.5,0,Ленинабад
23,1936-01-23,-10.7,-5.5,2.2,0,Ленинабад
24,1936-01-24,-10.9,-4.8,2.4,0,Ленинабад
25,1936-01-25,-9.4,-3.8,3.7,0,Ленинабад
26,1936-01-26,-9.9,-3,3.5,0,Ленинабад
27,1936-01-27,-2.5,0.6,4.2,0.2,Ленинабад
28,1936-01-28,-2.2,1.4,6.2,0,Ленинабад
29,1936-01-29,-2.2,1.5,5.4,0,Ленинабад
30,1936-01-30,-1.8,3,10.6,0,Ленинабад
31,1936-01-31,-1.1,4.5,11.6,0,Ленинабад
33,1936-02-01,1.9,5.2,9.4,0,Ленинабад
34,1936-02-02,-1.2,2.2,9.6,1,Ленинабад
35,1936-02-03,-5.8,-0.5,4.3,0,Ленинабад
36,1936-02-04,-2,3,7.8,0,Ленинабад
37,1936-02-05,0.6,4.8,10,0,Ленинабад
38,1936-02-06,-3.8,1.7,10.4,0,Ленинабад
39,1936-02-07,-3.6,1.8,10.1,0,Ленинабад
40,1936-02-08,-1.6,4.4,12.7,0,Ленинабад
41,1936-02-09,2.7,6.7,13,0,Ленинабад
42,1936-02-10,2.2,7.6,13.4,0,Ленинабад
43,1936-02-11,4.6,8.8,14.5,0,Ленинабад
44,1936-02-12,2.7,8,14.2,0,Ленинабад
45,1936-02-13,1.2,8,14.9,0,Ленинабад
46,1936-02-14,4.8,9.3,14.4,0,Ленинабад
47,1936-02-15,5.2,6.7,18.9,0,Ленинабад
48,1936-02-16,4.8,9,16.3,0.1,Ленинабад
49,1936-02-17,0.6,5.5,9,0.7,Ленинабад
50,1936-02-18,2.7,4.9,9.3,0,Ленинабад
51,1936-02-19,1.2,3.7,7.2,0,Ленинабад
52,1936-02-20,-0.3,4.2,11.3,0,Ленинабад
53,1936-02-21,1,3.2,6.5,5.2,Ленинабад
54,1936-02-22,2.7,5.9,9.6,0.7,Ленинабад
55,1936-02-23,0.2,5.6,12.2,0.2,Ленинабад
56,1936-02-24,-2.3,2.1,7.9,0,Ленинабад
57,1936-02-25,-6,-4.4,2.3,0.5,Ленинабад
58,1936-02-26,-6.7,-2.2,4.7,0,Ленинабад
59,1936-02-27,-5.2,-2.4,2.5,0,Ленинабад
60,1936-02-28,-5,-1.6,3.6,0,Ленинабад
61,1936-02-29,-2.8,-2.1,0.4,0,Ленинабад
63,1936-03-01,-4.3,-2.2,0.8,0,Ленинабад
64,1936-03-02,-2,-0.2,2,0,Ленинабад
65,1936-03-03,-1.2,0.9,3.7,0,Ленинабад
66,1936-03-04,-0.8,2.4,7.5,0,Ленинабад
67,1936-03-05,-2.4,2.4,8.7,0,Ленинабад
68,1936-03-06,-1.8,5,12,0,Ленинабад
69,1936-03-07,1.2,6.6,14.4,0,Ленинабад
70,1936-03-08,1.7,3,9.6,0.3,Ленинабад
71,1936-03-09,1,2.5,5.2,0.7,Ленинабад
72,1936-03-10,-0.4,2,5,0,Ленинабад
73,1936-03-11,-4.3,3.2,10.8,0,Ленинабад
74,1936-03-12,-0.6,7.3,13.8,0,Ленинабад
75,1936-03-13,0.7,7.6,15.7,0,Ленинабад
76,1936-03-14,2.9,8.6,16.3,0,Ленинабад
77,1936-03-15,5,6.8,10.3,7,Ленинабад
78,1936-03-16,3.5,7.4,14.2,1.5,Ленинабад
79,1936-03-17,4,7.6,12.1,0.1,Ленинабад
80,1936-03-18,0.2,7.8,16.2,0,Ленинабад
81,1936-03-19,6.8,10.2,15.7,0,Ленинабад
82,1936-03-20,5.4,9.6,14.4,5.6,Ленинабад
83,1936-03-21,5.9,12.6,19.5,0.1,Ленинабад
84,1936-03-22,7.7,14.8,21.5,0,Ленинабад
85,1936-03-23,-0.8,7,17.7,0.3,Ленинабад
86,1936-03-24,-3.4,-1.6,1.3,0.2,Ленинабад
87,1936-03-25,-3.7,2.8,10.4,0,Ленинабад
88,1936-03-26,-0.3,6.9,16.5,0,Ленинабад
89,1936-03-27,-1,9.3,18.6,0,Ленинабад
90,1936-03-28,2.6,10.2,18.4,0,Ленинабад
91,1936-03-29,5,13,21.1,0,Ленинабад
92,1936-03-30,8.4,15.7,24.5,0,Ленинабад
93,1936-03-31,9.3,11.2,19.9,0,Ленинабад
95,1936-04-01,6,10.5,15.9,0,Ленинабад
96,1936-04-02,2.5,6.7,10.7,6.7,Ленинабад
97,1936-04-03,1.5,5.6,10.6,0.7,Ленинабад
98,1936-04-04,1.1,7.6,14.2,0,Ленинабад
99,1936-04-05,3.8,9.2,16.8,2,Ленинабад
100,1936-04-06,4.7,9.5,15.6,1.4,Ленинабад
101,1936-04-07,3.3,9.2,17.1,0,Ленинабад
102,1936-04-08,6.9,10.8,16.1,0,Ленинабад
103,1936-04-09,3.7,11.5,19.9,0,Ленинабад
104,1936-04-10,8.1,14.8,22.4,0,Ленинабад
105,1936-04-11,5.7,15.4,25.1,0,Ленинабад
106,1936-04-12,10.1,17.7,27.2,0,Ленинабад
107,1936-04-13,12.7,19.5,27.6,0,Ленинабад
108,1936-04-14,11.2,20.7,31.1,0,Ленинабад
109,1936-04-15,12.8,22.9,33.4,0,Ленинабад
