,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1922-01-01,-18.9,-11.7,-7.1,5.3,Ленинакан
2,1922-01-02,-11,-5.6,-3,3.1,Ленинакан
3,1922-01-03,-11.5,-5.3,-2.6,2.6,Ленинакан
4,1922-01-04,-5.5,-2,0.9,0,Ленинакан
5,1922-01-05,-3,0.9,4.4,0,Ленинакан
6,1922-01-06,-6.5,-3.4,2.9,0,Ленинакан
7,1922-01-07,-12.5,-9.6,-2.1,0,Ленинакан
8,1922-01-08,-14.5,-7,-3.6,1.6,Ленинакан
9,1922-01-09,-6,-3.5,-0.6,1.3,Ленинакан
10,1922-01-10,-7,-1.6,1.9,0,Ленинакан
11,1922-01-11,-11,-8.4,-2.1,2,Ленинакан
12,1922-01-12,-11.5,-7.2,-4.6,0,Ленинакан
13,1922-01-13,-17.9,-9.9,-5.6,0,Ленинакан
14,1922-01-14,-24.4,-19.5,-7.1,0,Ленинакан
15,1922-01-16,-18.9,-13.2,-7.6,0,Ленинакан
16,1922-01-17,-17.9,-9.7,-7.6,3.9,Ленинакан
17,1922-01-18,-9.5,-4.2,-0.6,0,Ленинакан
18,1922-01-19,-7.5,-4.7,-0.1,0,Ленинакан
19,1922-01-20,-6,-1.7,1.4,6.2,Ленинакан
20,1922-01-21,-6,-1.9,2.4,2,Ленинакан
21,1922-01-22,-6.5,-3.5,-1.1,0,Ленинакан
22,1922-01-23,-4.5,-2,0.4,0,Ленинакан
23,1922-01-24,-6,-4.1,-2,8.6,Ленинакан
24,1922-01-25,-11.5,-7.7,-2.1,4,Ленинакан
25,1922-01-26,-10.5,-5.7,-3.4,0,Ленинакан
26,1922-01-27,-15.4,-9.3,-2.6,0,Ленинакан
27,1922-01-28,-23.4,-18.1,-5.1,0,Ленинакан
28,1922-01-29,-24.9,-14.6,-10.1,0,Ленинакан
29,1922-01-30,-16.4,-7.9,-5.6,0,Ленинакан
30,1922-01-31,-10.5,-6.3,-3,2.4,Ленинакан
32,1922-02-01,-12.9,-7.3,-2.6,0,Ленинакан
33,1922-02-02,-9.9,-4.2,-1.6,0,Ленинакан
34,1922-02-03,-4.4,-0.1,1.9,2.2,Ленинакан
35,1922-02-04,-1.5,1.5,4.4,0,Ленинакан
36,1922-02-05,-1.4,1.2,3.4,0,Ленинакан
37,1922-02-06,-1.9,0.4,1.9,0,Ленинакан
38,1922-02-07,-9.9,-6.3,-0.6,0,Ленинакан
39,1922-02-08,-16.8,-9.2,-3.1,0,Ленинакан
40,1922-02-09,-5.4,-3.7,-1.1,0,Ленинакан
41,1922-02-10,-8.9,-4.8,-0.6,0,Ленинакан
42,1922-02-11,-13.4,-6.2,-1.6,0,Ленинакан
43,1922-02-12,-8.4,-5.6,-2.1,0,Ленинакан
44,1922-02-13,-13.9,-7.4,-2.6,0,Ленинакан
45,1922-02-14,-8.9,-4.7,-0.1,3.2,Ленинакан
46,1922-02-15,-7.9,-1.7,3.9,0,Ленинакан
47,1922-02-16,-9.9,-4.2,0.9,0,Ленинакан
48,1922-02-17,-8.9,-2.6,1.4,6,Ленинакан
49,1922-02-18,-3.9,0.3,4.4,0,Ленинакан
50,1922-02-19,-11.4,-3.9,0.4,0,Ленинакан
51,1922-02-20,-6.4,-3.2,0.4,0,Ленинакан
52,1922-02-21,-13.4,-7.8,-1.1,0,Ленинакан
53,1922-02-22,-15.8,-10,-4.1,0,Ленинакан
54,1922-02-23,-15.8,-10.3,-2.1,0,Ленинакан
55,1922-02-24,-20.8,-13,-4.1,0,Ленинакан
56,1922-02-25,-19.3,-9.7,-5.1,0,Ленинакан
57,1922-02-26,-9.9,-6.4,-2.6,2.9,Ленинакан
58,1922-02-27,-11.4,-2.7,0.9,0,Ленинакан
59,1922-02-28,-6.4,-3.8,0.4,0,Ленинакан
61,1922-03-01,-15.3,-9.3,-1.1,0,Ленинакан
62,1922-03-02,-14.4,-8.2,-1.6,0,Ленинакан
63,1922-03-03,-15.8,-8.1,-0.6,0,Ленинакан
64,1922-03-04,-15.3,-6.2,0.4,0,Ленинакан
65,1922-03-05,-12.9,-3.3,2.4,0,Ленинакан
66,1922-03-06,-13.9,-7.6,-0.1,0,Ленинакан
67,1922-03-07,-12.4,-3.6,3.9,0,Ленинакан
68,1922-03-08,-12.9,-6.3,1.9,0,Ленинакан
69,1922-03-09,-14.9,-6.8,-0.6,0,Ленинакан
70,1922-03-10,-13.9,-5.5,0.9,0,Ленинакан
71,1922-03-11,-9.9,-3.8,4.4,0,Ленинакан
72,1922-03-12,-9.4,-3.4,4.4,0,Ленинакан
73,1922-03-13,-5.9,-0.1,5.9,0,Ленинакан
74,1922-03-14,-2.9,0.4,4.4,5.3,Ленинакан
75,1922-03-15,-12.4,-6.8,7.4,0,Ленинакан
76,1922-03-16,-13.9,-5.1,3.9,0,Ленинакан
77,1922-03-17,-2,3.2,6.4,1.5,Ленинакан
78,1922-03-18,1.6,3.7,5,0,Ленинакан
79,1922-03-19,-5.9,-3.2,4.4,0,Ленинакан
80,1922-03-20,-9.9,-5.7,0.9,0,Ленинакан
81,1922-03-21,-12.4,-7,-0.6,0,Ленинакан
82,1922-03-22,-9.4,-2.6,3,0,Ленинакан
83,1922-03-23,-4.9,1,5.4,0,Ленинакан
84,1922-03-24,-1.4,2.2,8.9,0,Ленинакан
85,1922-03-25,-2.9,3.2,9.4,0,Ленинакан
86,1922-03-26,1.6,7,14.4,0,Ленинакан
87,1922-03-27,3.1,5.9,10.9,0,Ленинакан
88,1922-03-28,-1.9,5.8,12.9,6.2,Ленинакан
89,1922-03-30,0.1,7.4,15.9,0,Ленинакан
91,1922-04-01,-2.9,2.3,6.4,0,Ленинакан
92,1922-04-02,-6.4,2.7,9.9,0,Ленинакан
93,1922-04-03,-5.9,4.4,10,0,Ленинакан
94,1922-04-04,2.1,4.6,10.4,11.6,Ленинакан
95,1922-04-05,1.1,6.2,12.9,0,Ленинакан
96,1922-04-06,-1.4,9,13.4,0,Ленинакан
97,1922-04-07,3.1,7.6,12,6.9,Ленинакан
98,1922-04-08,3.1,10.3,17.9,1,Ленинакан
99,1922-04-09,4.1,6.5,10.9,4.8,Ленинакан
100,1922-04-10,1.6,7.1,14.4,9.4,Ленинакан
101,1922-04-11,2.1,6.8,12.4,0,Ленинакан
102,1922-04-12,-1.9,6.6,15.4,0,Ленинакан
103,1922-04-13,0.6,10.7,17.9,0,Ленинакан
104,1922-04-14,5.6,9.3,14.9,0,Ленинакан
105,1922-04-15,1.6,8,14.4,6,Ленинакан
106,1922-04-16,2.1,14.5,18.9,5.4,Ленинакан
107,1922-04-17,7.1,14,19.9,14.2,Ленинакан
108,1922-04-18,5.1,11.3,17.9,0,Ленинакан
109,1922-04-19,2.6,11.2,18.4,0,Ленинакан
110,1922-04-20,3.6,13,19.6,0,Ленинакан
111,1922-04-21,6.6,14.5,20.4,0.9,Ленинакан
112,1922-04-22,4,9.8,19.4,0,Ленинакан
113,1922-04-23,1.6,5.2,15.4,0,Ленинакан
114,1922-04-24,-2.9,6.4,12.9,0,Ленинакан
115,1922-04-25,-1.4,8.2,15.4,1.7,Ленинакан
116,1922-04-26,5.1,11.3,15.9,0,Ленинакан
117,1922-04-27,5.1,12.9,19.4,11.2,Ленинакан
118,1922-04-28,3.1,6.8,16.9,0,Ленинакан
119,1922-04-29,2.6,6,15.9,0,Ленинакан
120,1922-04-30,-0.9,9.2,15.9,0,Ленинакан
122,1928-07-01,12.9,18.5,27.2,2.7,Ленинакан
123,1928-07-02,12.6,17.3,23.8,0.3,Ленинакан
124,1928-07-03,13.2,16,20.5,0,Ленинакан
125,1928-07-04,10.8,17.4,25.9,0,Ленинакан
126,1928-07-05,10.2,17.4,23.5,0,Ленинакан
127,1928-07-06,11.6,18,25.3,0,Ленинакан
128,1928-07-07,13.6,19.8,24.5,0,Ленинакан
129,1928-07-08,13,18.6,26.7,3,Ленинакан
130,1928-07-09,10.2,18.5,26.5,2.9,Ленинакан
131,1928-07-10,11.8,17.3,24.9,20.7,Ленинакан
132,1928-07-11,11.5,17.9,25.1,0,Ленинакан
133,1928-07-12,13,18.1,27.9,0,Ленинакан
134,1928-07-13,12.4,16.8,22.8,0,Ленинакан
135,1928-07-14,10.2,15.5,21.2,0,Ленинакан
136,1928-07-15,8.8,16.1,20.7,0,Ленинакан
137,1928-07-16,10.5,15.3,21.1,0,Ленинакан
138,1928-07-17,12,16.6,22.1,0,Ленинакан
139,1928-07-18,11,18.1,23.1,0,Ленинакан
140,1928-07-19,12.1,18.7,24.6,0,Ленинакан
141,1928-07-20,10.9,19.8,27.8,0,Ленинакан
142,1928-07-21,15.7,22.8,28.7,0,Ленинакан
143,1928-07-22,17.7,22.8,28.5,0,Ленинакан
144,1928-07-23,18.1,22.9,27.8,0,Ленинакан
145,1928-07-24,16.5,19.5,23.6,0,Ленинакан
146,1928-07-25,15.9,18.8,24.5,3,Ленинакан
147,1928-07-26,10.1,19.4,24.6,0,Ленинакан
148,1928-07-27,12.3,18.7,24.3,0,Ленинакан
149,1928-07-28,10.8,18.9,26.7,0,Ленинакан
150,1928-07-29,13.8,20.2,25.7,1.7,Ленинакан
151,1928-07-30,14.2,21.2,28.8,0,Ленинакан
152,1928-07-31,15.7,22.1,27.8,0,Ленинакан
154,1928-08-01,15,20.8,27.5,0,Ленинакан
155,1928-08-02,14.6,20.5,26,0,Ленинакан
156,1928-08-03,15,20.6,29.4,17.7,Ленинакан
157,1928-08-04,11.4,17.1,24.5,0,Ленинакан
