,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-9.3,-5.6,-3.2,0,Леуши
2,1936-01-02,-6.5,-5,-3.2,1.2,Леуши
3,1936-01-03,-8.9,-6.4,-4.4,0,Леуши
4,1936-01-04,-8.6,-4.1,-2.3,0,Леуши
5,1936-01-05,-14.9,-5.3,-2.5,0,Леуши
6,1936-01-06,-8,-5.5,-3.6,0.1,Леуши
7,1936-01-07,-6.9,-5.5,-3.7,0.4,Леуши
8,1936-01-08,-11.9,-8.7,-4.8,0,Леуши
9,1936-01-09,-16.7,-14.6,-11.2,0.1,Леуши
10,1936-01-10,-16.5,-14,-12.5,0,Леуши
11,1936-01-11,-25.9,-19.3,-14.7,0.2,Леуши
12,1936-01-12,-18.6,-15,-12.2,0,Леуши
13,1936-01-13,-19.9,-13.6,-9,1.4,Леуши
14,1936-01-14,-14.1,-11.1,-8.8,0,Леуши
15,1936-01-15,-20.3,-17.4,-13,0,Леуши
16,1936-01-16,-24.1,-19.2,-17,0.1,Леуши
17,1936-01-17,-22.4,-19.1,-17,0.5,Леуши
18,1936-01-18,-23,-20,-18.7,0.1,Леуши
19,1936-01-19,-25.4,-22.8,-18.7,0.1,Леуши
20,1936-01-20,-26.4,-22.1,-18.9,0.1,Леуши
21,1936-01-21,-19,-15.7,-11.5,0.8,Леуши
22,1936-01-22,-12.1,-8.8,-5.1,2.3,Леуши
23,1936-01-23,-15.5,-10.3,-7,1.2,Леуши
24,1936-01-24,-13.4,-7.6,-6.2,0.2,Леуши
25,1936-01-25,-28.9,-26.2,-6.2,1.4,Леуши
26,1936-01-26,-35.5,-30.8,-28.4,0.1,Леуши
27,1936-01-27,-31.5,-27.8,-26.4,0.1,Леуши
28,1936-01-28,-29.8,-26.7,-24.1,0.3,Леуши
29,1936-01-29,-30.4,-27.4,-25.4,0.7,Леуши
30,1936-01-30,-32.7,-31,-27.8,0.9,Леуши
31,1936-01-31,-37.9,-33.5,-31.2,0,Леуши
33,1936-02-01,-40.5,-36.3,-33.5,0,Леуши
34,1936-02-02,-38.2,-33.1,-29.4,0,Леуши
35,1936-02-03,-29.7,-14.8,-8.4,0,Леуши
36,1936-02-04,-10.4,-8.1,-7,1.5,Леуши
37,1936-02-05,-8.4,-5.2,-4.5,0,Леуши
38,1936-02-06,-8.4,-5.8,-4.5,0,Леуши
39,1936-02-07,-5.4,-2.3,-0.2,0,Леуши
40,1936-02-08,-9.3,-5.4,-1.1,0.4,Леуши
41,1936-02-09,-26.2,-18.8,-4.2,0,Леуши
42,1936-02-10,-28.8,-23.2,-18.7,0,Леуши
43,1936-02-11,-20.4,-15.4,-10.7,0.4,Леуши
44,1936-02-12,-11.4,-7.9,-4,0,Леуши
45,1936-02-13,-27,-23,-10.3,0,Леуши
46,1936-02-14,-30.8,-22.4,-14.8,1.2,Леуши
47,1936-02-15,-15,-7.9,-4.8,3.5,Леуши
48,1936-02-16,-7.1,-5.8,-3.3,0.1,Леуши
49,1936-02-17,-11.4,-9.1,-4.2,0,Леуши
50,1936-02-18,-13.6,-9.5,-7.6,0,Леуши
51,1936-02-19,-20.5,-13.5,-5.9,0,Леуши
52,1936-02-20,-19.9,-15.3,-7,0,Леуши
