,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1922-04-01,-7,-0.3,2.4,0.8,Лиепая
2,1922-04-02,-0.5,-0.3,0.5,3.6,Лиепая
3,1922-04-03,-2.8,0.1,3.2,0,Лиепая
4,1922-04-05,1.8,2,3.5,1.5,Лиепая
5,1922-04-06,-0.6,-0.3,1,2.4,Лиепая
6,1922-04-07,-1.2,0.5,1.2,1.3,Лиепая
7,1922-04-08,0,2.1,5,0.1,Лиепая
8,1922-04-09,-1.2,0.1,1.2,0,Лиепая
9,1922-04-10,-1.5,-0.6,3.5,0,Лиепая
10,1922-04-11,-2.5,0.4,1.6,0.2,Лиепая
11,1922-04-12,-4.6,1.1,6,0,Лиепая
12,1922-04-13,0.5,5.3,7.8,0,Лиепая
13,1922-04-14,3.6,5.9,8,1.5,Лиепая
14,1922-04-15,3.8,12.9,17.4,0.1,Лиепая
15,1922-04-16,10.8,13.7,19.5,0,Лиепая
16,1922-04-17,4,6.7,16,0,Лиепая
17,1922-04-18,4.5,6.7,10.5,0.7,Лиепая
18,1922-04-19,1.5,2.9,5,0,Лиепая
19,1922-04-20,-0.6,0.9,2.5,0,Лиепая
20,1922-04-21,-0.5,1.1,4.5,0,Лиепая
21,1922-04-22,-0.2,1.7,3.5,0,Лиепая
22,1922-04-23,-0.6,6.8,12.2,0,Лиепая
23,1922-04-24,4.6,5.7,7.5,0,Лиепая
24,1922-04-25,3.4,6.8,11.2,5,Лиепая
25,1922-04-26,2.2,6.2,9,0,Лиепая
26,1922-04-27,5.5,10.1,15.8,11.5,Лиепая
27,1922-04-28,3,7.8,16.6,6.1,Лиепая
28,1922-04-29,1,6.9,13,6.3,Лиепая
29,1922-04-30,4.2,8.3,12.6,9.9,Лиепая
31,1922-05-01,5.5,10.3,15.2,4.3,Лиепая
32,1922-05-02,5,5.8,9,0,Лиепая
33,1922-05-03,4.4,8.5,11.6,0,Лиепая
34,1922-05-04,4.8,9.3,12.5,0,Лиепая
35,1922-05-05,4.7,6.4,10.2,0,Лиепая
36,1922-05-06,4.6,6.7,9,0,Лиепая
37,1922-05-07,4.8,6.1,7,0,Лиепая
38,1922-05-08,5,7,9,0.6,Лиепая
39,1922-05-09,5.8,6.7,8,0,Лиепая
40,1922-05-10,2.2,4.3,6.5,0,Лиепая
41,1922-05-11,4,5,6,0,Лиепая
42,1922-05-12,3,5.3,7,0,Лиепая
43,1922-05-13,1.8,6.6,9.2,0,Лиепая
44,1922-05-14,2.5,4.5,7.5,0,Лиепая
45,1922-05-15,5,6.4,7,3,Лиепая
46,1922-05-16,5.2,5.7,7,5.2,Лиепая
47,1922-05-17,5.3,9.1,12.5,0,Лиепая
48,1922-05-18,6.4,12.3,17,4.3,Лиепая
49,1922-05-19,7.2,8,13,0,Лиепая
50,1922-05-20,6.2,7.5,9.4,11,Лиепая
51,1922-05-21,5.7,8.6,10.7,0,Лиепая
52,1922-05-22,7,9.6,12,0,Лиепая
53,1922-05-23,8,13.6,16.7,0,Лиепая
54,1922-05-24,12.6,15.1,17.5,0,Лиепая
55,1922-05-25,11,15.3,20,0,Лиепая
56,1922-05-26,10.5,14.9,18,0,Лиепая
57,1922-05-27,9.8,12.1,18.6,10.9,Лиепая
58,1922-05-28,8.5,9.5,12,0,Лиепая
59,1922-05-29,7.5,9.3,13.3,0,Лиепая
60,1922-05-30,6.8,9.8,11.5,0,Лиепая
61,1922-05-31,8.8,9.6,10.6,0,Лиепая
63,1922-07-01,13,14.5,17.1,0,Лиепая
64,1922-07-02,10.5,17.7,20.4,0,Лиепая
65,1922-07-03,13.8,19.8,22.9,0,Лиепая
66,1922-07-04,14.8,17.7,23.8,0,Лиепая
67,1922-07-05,15.4,19.3,26,0,Лиепая
68,1922-07-06,14.9,24.6,28.6,0,Лиепая
69,1922-07-07,14.5,18,28.6,0,Лиепая
70,1922-07-08,13.7,15.3,17.3,0,Лиепая
71,1922-07-09,10.5,18.4,24.6,0,Лиепая
72,1922-07-10,13.8,16.3,21.6,0.9,Лиепая
73,1922-07-11,14.6,15.9,18.1,0,Лиепая
74,1922-07-12,14.3,15.6,17.6,0,Лиепая
75,1922-07-13,10.2,15.9,18.6,0,Лиепая
76,1922-07-14,11.7,15.4,18.6,4,Лиепая
77,1922-07-15,13.9,16,18.1,6.6,Лиепая
78,1922-07-16,14.4,18.2,21.1,0,Лиепая
79,1922-07-17,12.6,15.5,19.7,7.5,Лиепая
80,1922-07-18,11,13.4,15.6,3.7,Лиепая
81,1922-07-19,13.3,15.3,17.1,0,Лиепая
82,1922-07-20,14.3,15.3,16.4,0,Лиепая
83,1922-07-21,14.9,16.1,18.2,0,Лиепая
84,1922-07-22,14.9,17.5,19.5,0,Лиепая
85,1922-07-23,15.4,16.1,17.6,0,Лиепая
86,1922-07-24,13.6,18.1,22.5,13.4,Лиепая
87,1922-07-25,14.6,15.5,16.6,0,Лиепая
88,1922-07-26,14.6,16.3,17.9,0,Лиепая
89,1922-07-27,15.9,17,18.1,0,Лиепая
90,1922-07-28,15,16.3,18.1,0,Лиепая
91,1922-07-29,15.1,17.3,19.6,0,Лиепая
92,1922-07-30,14.6,16.1,17.6,1.8,Лиепая
93,1922-07-31,15,16.2,18.6,0,Лиепая
95,1922-08-01,14.7,15.6,17.1,1.5,Лиепая
96,1922-08-02,14.9,16,18.3,23.5,Лиепая
97,1922-08-03,12.4,14.7,16.9,0.7,Лиепая
98,1922-08-04,14.4,15.8,17.5,0,Лиепая
99,1922-08-05,14.5,15.9,17.9,8.6,Лиепая
100,1922-08-06,12.8,15.2,16.4,0.9,Лиепая
101,1922-08-08,12.8,15,17.1,3.5,Лиепая
102,1922-08-09,14.9,16.2,17.6,0.9,Лиепая
103,1922-08-10,10.4,14,19.1,0,Лиепая
104,1922-08-11,11.8,16.1,18.1,0,Лиепая
105,1922-08-12,14.4,15.5,17.6,0,Лиепая
106,1922-08-13,14,15.4,17.6,2.8,Лиепая
107,1922-08-14,12.5,14,16.7,3.5,Лиепая
108,1922-08-15,14.5,15.7,17.7,0,Лиепая
109,1922-08-16,10,15.9,18,0,Лиепая
110,1922-08-17,14.8,16.5,17.8,0,Лиепая
111,1922-08-18,12,15.4,19.7,7.7,Лиепая
112,1922-08-19,13.5,15,17.7,0.1,Лиепая
113,1922-08-20,9.9,15.5,18.1,0,Лиепая
114,1922-08-21,14.5,16,18.4,0,Лиепая
115,1922-08-23,12,17.7,21.5,0.8,Лиепая
116,1922-08-24,13.6,15.3,18.6,1.7,Лиепая
117,1922-08-25,13.2,14.5,16.7,0.4,Лиепая
118,1922-08-26,12.5,13.9,16.7,6,Лиепая
119,1922-08-27,12.4,14.3,17.1,0,Лиепая
120,1922-08-28,8.9,13.4,17.1,0,Лиепая
121,1922-08-29,11.4,17,20.5,0,Лиепая
122,1922-08-30,13.9,18.7,23.4,0,Лиепая
123,1922-08-31,13.9,21.1,27.5,0,Лиепая
125,1922-09-01,14.6,19.7,26.8,0,Лиепая
126,1922-09-02,14.2,17.8,22.6,0,Лиепая
127,1922-09-03,11.1,15.5,21.1,0,Лиепая
128,1922-09-04,6.8,12.7,18.5,0,Лиепая
129,1922-09-05,7.1,11.4,16.2,0,Лиепая
130,1922-09-06,5.7,11.9,17.6,0,Лиепая
131,1922-09-07,7.3,14.7,21.2,0,Лиепая
132,1922-09-08,11.8,15.3,19.8,0.6,Лиепая
133,1922-09-09,12.5,14.3,17.1,0.9,Лиепая
134,1922-09-10,10.2,13.1,17.7,0,Лиепая
135,1922-09-11,7.8,13.6,18.7,0,Лиепая
136,1922-09-12,8.9,13.1,20.1,0,Лиепая
137,1922-09-13,13.5,16.2,21.2,1.3,Лиепая
138,1922-09-14,11.3,12.8,15.1,2.2,Лиепая
139,1922-09-15,10.4,13.8,16.1,0.5,Лиепая
140,1922-09-16,12.6,14.4,16.2,1.6,Лиепая
141,1922-09-17,12.5,13.9,15.1,15,Лиепая
142,1922-09-18,11.9,13.8,16.4,3.8,Лиепая
143,1922-09-19,7.5,10.1,14.4,12.1,Лиепая
144,1922-09-20,7.4,9.4,13.5,23.4,Лиепая
145,1922-09-21,10,11.3,13.9,0,Лиепая
146,1922-09-22,10,11,13.4,0,Лиепая
147,1922-09-23,9.9,10.7,13.4,0,Лиепая
148,1922-09-24,7.5,9.5,12.2,1.8,Лиепая
149,1922-09-25,8,10.3,12.5,1.1,Лиепая
150,1922-09-26,8,9.3,12.3,0.1,Лиепая
151,1922-09-27,9.5,10.5,13.4,0,Лиепая
152,1922-09-28,8.5,10.3,12.5,0.5,Лиепая
153,1922-09-29,7,9.3,12.2,0,Лиепая
154,1922-09-30,4.5,9.3,12.9,0,Лиепая
156,1922-10-01,6.6,8.4,11.1,0,Лиепая
157,1922-10-02,6.2,8.2,11.5,0.2,Лиепая
158,1922-10-03,4.2,7.5,10,1.8,Лиепая
159,1922-10-04,6.9,8.8,10.8,13.8,Лиепая
160,1922-10-05,7,8,10,2,Лиепая
161,1922-10-06,6.5,8.6,10.3,1.1,Лиепая
162,1922-10-07,6,10,10.9,0.9,Лиепая
163,1922-10-08,3.4,5.6,11.1,0,Лиепая
164,1922-10-09,0.9,5.3,9.4,0,Лиепая
165,1922-10-10,2,5.6,10.6,0,Лиепая
166,1922-10-11,0.6,4.5,6.9,0,Лиепая
167,1922-10-12,6,7.4,8.6,0.3,Лиепая
168,1922-10-13,7.6,8.9,10,0,Лиепая
169,1922-10-14,6.6,9.1,12.1,0,Лиепая
170,1922-10-15,8.9,10.3,13.4,0,Лиепая
171,1922-10-16,7.5,8.8,13.4,1.8,Лиепая
172,1922-10-17,5.4,6.3,9.4,0,Лиепая
173,1922-10-18,1.7,3.9,7,0,Лиепая
174,1922-10-19,0.4,4.5,7,0,Лиепая
175,1922-10-20,6.4,7.7,8.9,1.5,Лиепая
176,1922-10-21,2,5.5,7.9,1.1,Лиепая
177,1922-10-22,1.4,5.7,6.5,2,Лиепая
178,1922-10-23,-0.2,1.8,5.8,7,Лиепая
179,1922-10-24,-2.5,-0.2,2.8,7.3,Лиепая
180,1922-10-25,-1.2,3.4,6,5,Лиепая
181,1922-10-26,1.5,4.9,7.1,0.3,Лиепая
182,1922-10-27,0.5,2.8,5.9,2.5,Лиепая
183,1922-10-28,-1,1.1,2.6,1.8,Лиепая
184,1922-10-29,-1.1,4.3,5.9,0,Лиепая
185,1922-10-30,-1.2,2.2,8.3,3.6,Лиепая
186,1922-10-31,-1.5,0.3,1.8,2,Лиепая
188,1923-01-01,3,3.8,5.1,0,Лиепая
189,1923-01-02,2.7,3.5,5.5,0,Лиепая
190,1923-01-03,-0.9,0.5,4.1,0,Лиепая
191,1923-01-04,1,1.4,1.9,0,Лиепая
192,1923-01-05,0.1,0.7,1.5,0,Лиепая
193,1923-01-06,-0.8,-0.6,1.6,0,Лиепая
194,1923-01-07,-1,0,1.3,0,Лиепая
195,1923-01-08,0,1.8,3.5,0,Лиепая
196,1923-01-09,0.6,2.8,4,0,Лиепая
197,1923-01-10,0.8,2.7,3.7,0,Лиепая
198,1923-01-11,1,3.1,3.4,0,Лиепая
199,1923-01-12,1.1,3.1,4.2,0,Лиепая
200,1923-01-13,0,1.5,3.4,0,Лиепая
201,1923-01-14,-1.4,0.7,2.7,0,Лиепая
202,1923-01-15,-1,1.6,3.8,0,Лиепая
203,1923-01-16,-2,-0.2,1.2,0,Лиепая
204,1923-01-17,-4.8,-2.6,-0.8,0,Лиепая
205,1923-01-18,-6,-5,-2.4,0,Лиепая
206,1923-01-19,-4.5,-1,1.3,0,Лиепая
207,1923-01-20,-2.4,-1.1,1.8,0,Лиепая
208,1923-01-21,-3,1.1,2.4,0,Лиепая
209,1923-01-22,0.7,2.5,4,0,Лиепая
210,1923-01-23,-0.5,0.8,4.8,0,Лиепая
211,1923-01-24,-0.5,2.5,4.4,0,Лиепая
212,1923-01-25,2.6,4,4.8,0,Лиепая
213,1923-01-26,3.6,4.3,6.1,0,Лиепая
214,1923-01-27,2.4,3.9,5.4,0,Лиепая
215,1923-01-28,-0.4,0.5,4.6,0,Лиепая
216,1923-01-29,-1.4,-0.9,2.4,0,Лиепая
217,1923-01-30,-3.8,-0.8,0,0,Лиепая
218,1923-01-31,-4.5,-1.9,0,0,Лиепая
220,1923-03-01,0.4,1.5,2.4,0,Лиепая
221,1923-03-02,-0.7,0.5,1.5,0,Лиепая
222,1923-03-03,0,1.3,2.6,0,Лиепая
223,1923-03-04,-0.7,-0.1,1.6,0,Лиепая
224,1923-03-05,-3.5,-2.2,0.2,0,Лиепая
225,1923-03-06,-5.6,-4.2,-1.4,0,Лиепая
226,1923-03-07,-5.7,-3,-0.7,0,Лиепая
227,1923-03-08,-4.5,-2.7,-0.1,0,Лиепая
228,1923-03-09,-5.6,-2,0.1,0,Лиепая
229,1923-03-10,-2.3,-1.4,-0.5,0,Лиепая
230,1923-03-11,-2.6,-0.1,2.3,0,Лиепая
231,1923-03-12,-4,-1.1,2.8,0,Лиепая
232,1923-03-13,-1.7,0.9,2.8,0,Лиепая
233,1923-03-14,-1,0.9,3.8,0,Лиепая
234,1923-03-15,-2.8,-1.7,-0.3,0,Лиепая
235,1923-03-16,-2.5,-0.1,1.4,0,Лиепая
236,1923-03-17,-1.3,0.7,2.8,0,Лиепая
237,1923-03-18,-0.2,0.8,4.3,0,Лиепая
238,1923-03-19,-0.4,1.5,2.8,0,Лиепая
239,1923-03-20,-1,1.6,3.3,0,Лиепая
240,1923-03-21,0.4,1.9,3.8,0,Лиепая
241,1923-03-22,-0.5,1.9,4.8,0,Лиепая
242,1923-03-23,-2,1.7,4.5,0,Лиепая
243,1923-03-24,0,5.8,11.3,0,Лиепая
244,1923-03-25,1,5.4,10.2,0,Лиепая
245,1923-03-26,0.5,2.3,6.1,0,Лиепая
246,1923-03-27,-0.5,0.8,3.2,0,Лиепая
247,1923-03-28,0.5,1.4,2.2,0,Лиепая
248,1923-03-29,-0.9,0.7,2.8,0,Лиепая
249,1923-03-30,-2,1.9,3.8,0,Лиепая
250,1923-03-31,-3.7,-0.9,3.8,0,Лиепая
252,1923-04-01,-6.7,-2.5,1.7,0,Лиепая
