,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0.4,0.8,1.2,0.1,Лубны
2,1936-01-02,-2.4,-1,0.8,0.2,Лубны
3,1936-01-03,-4.9,-3.4,-2.1,0.3,Лубны
4,1936-01-04,-3.1,-2,-0.5,0,Лубны
5,1936-01-05,-2.5,-1.6,-0.4,0,Лубны
6,1936-01-06,-2,-0.6,0.2,0.6,Лубны
7,1936-01-07,-3.2,-1.6,0.2,0.1,Лубны
8,1936-01-08,-3.5,-2.6,-1.5,0,Лубны
9,1936-01-09,-2.4,-1.1,0,6.7,Лубны
10,1936-01-10,-0.3,0.5,1,3.4,Лубны
11,1936-01-11,0.1,0.7,1.4,5.6,Лубны
12,1936-01-12,0,1.3,2.4,2.9,Лубны
13,1936-01-13,-0.8,0,1,1.2,Лубны
14,1936-01-14,-3.3,-1.5,-0.2,0,Лубны
15,1936-01-15,-7.2,-3,-0.1,0.9,Лубны
16,1936-01-16,-5.3,-2.6,-0.1,0,Лубны
17,1936-01-17,-9.7,-5.1,-1.9,0,Лубны
18,1936-01-18,-5.3,-2.2,-0.2,2.2,Лубны
19,1936-01-19,-2,-0.6,0.7,7.8,Лубны
20,1936-01-20,0.2,0.7,1.2,0.7,Лубны
21,1936-01-21,0.2,1.4,2.7,0,Лубны
22,1936-01-22,1.6,2.8,4,5.6,Лубны
23,1936-01-23,1.6,4.3,8.5,0.5,Лубны
24,1936-01-24,-1.2,1.7,9,3.5,Лубны
25,1936-01-25,-2.3,0.1,1.5,0.1,Лубны
26,1936-01-26,-4.6,-1.8,1,0,Лубны
27,1936-01-27,-4.2,-0.5,0.2,2,Лубны
28,1936-01-28,-0.1,1.3,3.6,0.3,Лубны
29,1936-01-29,1.1,1.6,2.4,0.1,Лубны
30,1936-01-30,-9.7,-5.4,2.7,4.7,Лубны
31,1936-01-31,-15.3,-12.8,-9.5,0,Лубны
33,1936-02-01,-12.5,-8.9,-6.2,0,Лубны
34,1936-02-02,-6.5,-4.2,-2,0.6,Лубны
35,1936-02-03,-2.1,1.1,3.4,0.2,Лубны
36,1936-02-04,2.2,3.8,4.8,0.7,Лубны
37,1936-02-05,0,1.2,4.5,0.3,Лубны
38,1936-02-06,1.2,3.4,6.1,3.1,Лубны
39,1936-02-07,0.2,0.9,3.8,0.4,Лубны
40,1936-02-08,-3.3,-1,0.5,0,Лубны
41,1936-02-09,-3.3,-1.8,-1,0.1,Лубны
42,1936-02-10,-15.3,-8.1,1.4,0.2,Лубны
43,1936-02-11,-19.2,-16.8,-14.1,0,Лубны
44,1936-02-12,-18.4,-14.2,-9.2,0,Лубны
45,1936-02-13,-15.9,-9.9,-3.2,0,Лубны
46,1936-02-14,-11.3,-7.5,-2.9,0.1,Лубны
47,1936-02-15,-16.4,-12.1,-8.1,0.2,Лубны
48,1936-02-16,-14.7,-12.4,-9,0,Лубны
49,1936-02-17,-19.6,-15.5,-10.6,0,Лубны
50,1936-02-18,-16.6,-12.4,-8.4,0,Лубны
51,1936-02-19,-11.6,-9.1,-6.4,0,Лубны
52,1936-02-20,-14.9,-11.8,-8.5,0,Лубны
53,1936-02-21,-14.9,-10.5,-6.7,0,Лубны
54,1936-02-22,-9,-7.2,-5.5,0,Лубны
55,1936-02-23,-7.9,-6.3,-4.5,0,Лубны
56,1936-02-24,-7.3,-5.9,-5,0,Лубны
57,1936-02-25,-10.4,-5.8,-1.9,0,Лубны
58,1936-02-26,-9.6,-7.2,-4.3,0,Лубны
59,1936-02-27,-5.7,-3.7,-2.5,0.7,Лубны
60,1936-02-28,-4.4,-2,-1,0,Лубны
61,1936-02-29,-1.1,2.1,5.2,0.7,Лубны
63,1936-03-01,1.7,4.2,9.4,5.5,Лубны
64,1936-03-02,0.6,1.3,6.1,0.6,Лубны
65,1936-03-03,-0.6,2.8,6.5,0.5,Лубны
66,1936-03-04,0.7,3.7,10.6,0.2,Лубны
67,1936-03-05,0.5,2.1,6,0.2,Лубны
68,1936-03-06,-2.1,2.8,8.5,0,Лубны
69,1936-03-07,-0.8,1.7,5.6,0,Лубны
70,1936-03-08,-2.7,0,3.6,0,Лубны
71,1936-03-09,-1.5,1,5,0,Лубны
72,1936-03-10,-1.8,-0.7,2,0,Лубны
73,1936-03-11,-1.1,0.8,3,0.2,Лубны
74,1936-03-12,1.5,3.2,6.3,0.1,Лубны
75,1936-03-13,1.5,4.5,8.8,0,Лубны
76,1936-03-14,1.9,6.1,10,0,Лубны
77,1936-03-15,4.2,5.8,8.7,0,Лубны
78,1936-03-16,-0.2,1.8,5.1,5.4,Лубны
79,1936-03-17,0.2,2.8,7.1,0,Лубны
80,1936-03-18,1.2,3.3,7,0,Лубны
81,1936-03-19,-1,2.6,6.7,0,Лубны
82,1936-03-20,0.3,3.4,6.9,0.1,Лубны
83,1936-03-21,-4.2,-0.1,5.4,0,Лубны
84,1936-03-22,-2.8,2,7.9,0,Лубны
85,1936-03-23,0.8,4.6,10.5,0,Лубны
86,1936-03-24,1.6,7.8,14.2,0,Лубны
87,1936-03-25,-1.7,0.6,9.2,0,Лубны
88,1936-03-26,-5.5,-1.9,2.4,0,Лубны
89,1936-03-27,-2.1,-0.8,0.6,0.2,Лубны
90,1936-03-28,-1.6,0.4,2.6,0.6,Лубны
91,1936-03-29,-3.7,-0.2,3.4,0,Лубны
92,1936-03-30,-1.3,0.2,2.1,0,Лубны
93,1936-03-31,-3.6,-0.2,3.5,0,Лубны
95,1936-04-01,-2.6,2.8,8.9,0,Лубны
96,1936-04-02,-1.2,4.2,9.3,0,Лубны
97,1936-04-03,4.4,6.9,9.5,0,Лубны
98,1936-04-04,3.1,5,8.4,3.5,Лубны
99,1936-04-05,-0.3,2.2,7.4,0.9,Лубны
100,1936-04-06,-3.3,-0.9,2.7,0.2,Лубны
101,1936-04-07,-5,0.8,6.1,0,Лубны
102,1936-04-08,-1.5,-0.2,7,12,Лубны
103,1936-04-09,-5.3,-0.1,7.2,0.1,Лубны
104,1936-04-10,1.7,4.2,8.6,0,Лубны
105,1936-04-11,-0.5,3.9,9.6,0,Лубны
106,1936-04-12,3.7,7.6,12.5,0.1,Лубны
107,1936-04-13,1.7,4.3,8.3,9.3,Лубны
108,1936-04-14,0.2,2,5.2,13.7,Лубны
109,1936-04-15,1.9,7,13.6,0.2,Лубны
