,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,2.1,3.2,4.7,0,Львов
2,1936-01-02,1,3,5.8,0,Львов
3,1936-01-03,1,2.6,4.2,0,Львов
4,1936-01-04,1.7,3.1,4.2,3,Львов
5,1936-01-05,1.2,1.9,2.4,2.9,Львов
6,1936-01-06,1.4,2.3,3.2,0,Львов
7,1936-01-07,1.4,3.9,6.2,0,Львов
8,1936-01-08,0.4,2.4,3.8,1.5,Львов
9,1936-01-09,2.8,4.7,7.2,0,Львов
10,1936-01-10,2.7,5.7,7.9,4.3,Львов
11,1936-01-11,4.7,6.6,8.7,5.4,Львов
12,1936-01-12,0.5,1.7,4.8,0.2,Львов
13,1936-01-13,-0.7,0.5,1.1,0.5,Львов
14,1936-01-14,-2.9,-1.3,0.1,0.7,Львов
15,1936-01-15,-2.8,-0.4,0.5,0.1,Львов
16,1936-01-16,-4.2,-2.4,0,0,Львов
17,1936-01-17,-4.2,-1.1,0.3,0,Львов
18,1936-01-18,0.3,2.8,4.2,2,Львов
19,1936-01-19,-0.1,1.7,3.7,0,Львов
20,1936-01-20,-1.2,2.3,5.8,1.2,Львов
21,1936-01-21,1.3,2.8,3.8,1.9,Львов
22,1936-01-22,1.5,4.5,7.4,6,Львов
23,1936-01-23,0.4,3.2,8,1.1,Львов
24,1936-01-24,-0.2,0.6,1.5,0,Львов
25,1936-01-25,-1.6,1.4,3.7,0,Львов
26,1936-01-26,2.4,4.8,7.8,0,Львов
27,1936-01-27,3.8,7,11.3,0,Львов
28,1936-01-28,4.8,5.8,6.7,0,Львов
29,1936-01-29,2.8,3.9,5,0,Львов
30,1936-01-30,-0.2,1.6,2.8,0,Львов
31,1936-01-31,-1.2,-0.7,-0.2,0,Львов
33,1936-02-01,-0.7,3.2,5.2,1.2,Львов
34,1936-02-02,3.7,7.1,10.2,0.4,Львов
35,1936-02-03,4.8,7,9.1,0,Львов
36,1936-02-04,3.8,4.4,6.2,10.7,Львов
37,1936-02-05,0.3,0.8,3.8,7,Львов
38,1936-02-06,-1,0,0.4,0.3,Львов
39,1936-02-07,-4.8,-4,-1,5.2,Львов
40,1936-02-08,-7,-5.9,-4.8,0,Львов
41,1936-02-09,-7.1,-3.6,-2.6,0.8,Львов
42,1936-02-10,-17.3,-14.1,-7.1,0,Львов
43,1936-02-11,-20.2,-17.6,-14.8,0,Львов
44,1936-02-12,-18,-9.1,-5.8,0.3,Львов
45,1936-02-13,-7.8,-4.6,-2.3,0.7,Львов
46,1936-02-14,-9.8,-7.1,-4.2,0,Львов
47,1936-02-15,-10,-8.2,-5.7,0,Львов
48,1936-02-16,-10.4,-6.6,-4,1.5,Львов
49,1936-02-17,-5.5,-3.6,-2.3,3,Львов
50,1936-02-18,-7.4,-4.6,-3.3,0,Львов
51,1936-02-19,-8.9,-5.7,-3.8,0,Львов
52,1936-02-20,-7.2,-5.6,-3.5,1.4,Львов
53,1936-02-21,-11,-6.9,-5.4,0,Львов
54,1936-02-22,-14.8,-9.1,-5.6,0,Львов
55,1936-02-23,-6.7,-3.6,-0.9,0.5,Львов
56,1936-02-24,-1,-0.3,0.5,0,Львов
57,1936-02-25,-1.1,0.4,1.5,0,Львов
58,1936-02-26,-3.2,-1.6,-0.2,0.2,Львов
59,1936-02-27,-0.8,0.9,2.7,0,Львов
60,1936-02-28,-1.3,1.6,3.5,0,Львов
61,1936-02-29,2.6,5.8,9.5,0,Львов
63,1936-03-01,4.4,8.2,12.7,0,Львов
64,1936-03-02,5.8,8.3,12,0,Львов
65,1936-03-03,3,6.2,10.5,0,Львов
66,1936-03-04,4.7,9.6,13.8,0,Львов
67,1936-03-05,6.2,8.7,12.2,0,Львов
68,1936-03-06,2.9,4.7,7.2,0,Львов
69,1936-03-07,2.4,4.2,6.2,0,Львов
70,1936-03-08,0.8,2.8,6.2,0,Львов
71,1936-03-09,0,4.5,7.8,0,Львов
72,1936-03-10,1.6,5.5,10.4,0,Львов
73,1936-03-11,2.5,7.6,12.3,0,Львов
74,1936-03-12,3.8,8.2,13.6,1.7,Львов
75,1936-03-14,0.4,1.7,2.7,0,Львов
76,1936-03-15,0.6,1.7,3.7,0,Львов
77,1936-03-16,1,3.3,5.3,0.2,Львов
78,1936-03-17,1.8,3.3,5,0,Львов
79,1936-03-18,-0.2,3.8,7.7,0,Львов
80,1936-03-19,1.2,6,9.3,0,Львов
81,1936-03-20,1.2,5.1,8.2,0,Львов
82,1936-03-21,0,4.9,10,0,Львов
83,1936-03-22,2.3,8.8,14.8,0,Львов
84,1936-03-23,6.1,11.7,16.8,0,Львов
85,1936-03-24,10.1,12.8,17,1,Львов
86,1936-03-25,3.6,7.6,11.1,3.1,Львов
87,1936-03-26,3.2,4.6,6.2,0,Львов
88,1936-03-27,3.2,4.8,5.9,0.7,Львов
89,1936-03-28,2.2,4.2,7.4,0,Львов
90,1936-03-29,-0.7,5.7,10.9,0,Львов
91,1936-03-30,4.7,7.5,9.8,0,Львов
92,1936-03-31,3.3,5.8,9,0,Львов
94,1936-04-01,3.9,9.5,14.3,2.9,Львов
95,1936-04-02,8.8,10.5,12.9,4.7,Львов
96,1936-04-03,7.5,11.1,13.2,1.4,Львов
97,1936-04-04,4.2,5.3,7.5,1.5,Львов
98,1936-04-05,-0.7,3.4,5.8,0,Львов
99,1936-04-06,-2.8,0.6,3.4,0,Львов
100,1936-04-07,-1,5.1,9.4,0,Львов
101,1936-04-08,1.5,2.3,4.2,8,Львов
102,1936-04-09,0.1,6.9,11.2,0,Львов
103,1936-04-10,5,7.2,9,0,Львов
104,1936-04-11,4.5,11.7,16.1,0,Львов
105,1936-04-12,7.9,10.3,13,0,Львов
106,1936-04-13,3.7,6.5,9.2,5.7,Львов
107,1936-04-14,1.9,9.1,16.8,0,Львов
108,1936-04-15,6.5,12.5,18.8,0,Львов
109,1936-04-16,10.2,15,20,0,Львов
110,1936-04-17,10.6,15.8,23.1,3.7,Львов
111,1936-04-18,8.7,12.3,14.8,0,Львов
112,1936-04-19,1.8,5.3,8.7,0,Львов
113,1936-04-20,0.8,6.4,10.3,0,Львов
114,1936-04-21,3.6,12,17.2,0.3,Львов
115,1936-04-22,9.1,13.9,18,0,Львов
116,1936-04-23,8.8,10.3,12,0,Львов
117,1936-04-24,4.8,5.8,9.2,0,Львов
118,1936-04-25,3.1,9,15.6,0,Львов
119,1936-04-26,2,5.5,11.3,8.9,Львов
120,1936-04-27,2.4,5.5,8.3,0.7,Львов
121,1936-04-28,5.9,10.3,13.2,0.2,Львов
122,1936-04-29,7.8,12.1,15.7,0,Львов
123,1936-04-30,6.7,15.1,20,0,Львов
125,1936-05-01,10.8,17.3,24.2,0.9,Львов
126,1936-05-02,13.2,18.8,22.7,0,Львов
127,1936-05-03,7.8,15.8,21.8,0,Львов
128,1936-05-04,10.3,17.6,22.6,0,Львов
129,1936-05-05,11.8,17.8,24.3,0,Львов
130,1936-05-06,12.1,15.6,20.9,0,Львов
131,1936-05-07,10.9,15,19,0,Львов
132,1936-05-08,11.5,16.1,20.6,0,Львов
133,1936-05-09,12.2,18.9,24.3,0,Львов
134,1936-05-10,11.8,18.5,26.4,0,Львов
135,1936-05-11,12,19.2,24.7,0,Львов
