,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-11.2,-10.6,-9.8,2.7,Магадан
2,1936-01-02,-11.1,-7.4,-4,0.3,Магадан
3,1936-01-03,-8.2,-6.6,-4,0.1,Магадан
4,1936-01-04,-12.1,-9.7,-7.9,0.6,Магадан
5,1936-01-05,-18.1,-15.4,-11.1,0,Магадан
6,1936-01-06,-21.5,-17,-12.8,0,Магадан
7,1936-01-07,-26.8,-23.7,-20.4,0,Магадан
8,1936-01-08,-24.4,-21.7,-18.9,0,Магадан
9,1936-01-09,-24.8,-22,-19.6,0,Магадан
10,1936-01-10,-20.6,-18.2,-17,0,Магадан
11,1936-01-11,-23.9,-21.1,-18.3,0,Магадан
12,1936-01-12,-24.9,-21.1,-18.9,0,Магадан
13,1936-01-13,-21.4,-18.4,-15.3,0,Магадан
14,1936-01-14,-23.4,-18,-13.5,0,Магадан
15,1936-01-15,-15.9,-12.6,-11,0,Магадан
16,1936-01-16,-12.2,-4.3,-1,0,Магадан
17,1936-01-17,-3.1,-2.6,-1,0,Магадан
18,1936-01-18,-8.2,-4.8,-2.5,0,Магадан
19,1936-01-19,-13.9,-10,-6.9,0,Магадан
20,1936-01-20,-20.8,-16,-7.5,0,Магадан
21,1936-01-21,-22.9,-21.7,-20.2,0,Магадан
22,1936-01-22,-22.9,-18.9,-16.1,0,Магадан
23,1936-01-23,-18.7,-16.7,-14.7,0,Магадан
24,1936-01-24,-19.7,-17.8,-15.8,0,Магадан
25,1936-01-25,-24.2,-20.2,-16.9,0,Магадан
26,1936-01-26,-25.3,-22.6,-20.1,0,Магадан
27,1936-01-27,-27.6,-24.6,-21.6,0,Магадан
28,1936-01-28,-26.2,-16.6,-11.9,0,Магадан
29,1936-01-29,-14,-12.1,-10.9,0,Магадан
30,1936-01-30,-15.6,-13.5,-9.8,0,Магадан
31,1936-01-31,-17.4,-16,-13.6,0,Магадан
33,1936-02-01,-16.5,-14,-11.6,0,Магадан
34,1936-02-02,-13.6,-11.8,-10.7,0,Магадан
35,1936-02-03,-11.7,-4.5,-0.4,0,Магадан
36,1936-02-04,-7.1,-6.1,-1.6,0,Магадан
37,1936-02-05,-9.6,-7.9,-4.8,0,Магадан
38,1936-02-06,-13.6,-10.9,-8.5,0,Магадан
39,1936-02-07,-15.6,-14.3,-12,0,Магадан
40,1936-02-08,-18.2,-16,-14.4,0,Магадан
41,1936-02-09,-17.9,-14.2,-11,0,Магадан
42,1936-02-10,-16.8,-12.7,-8.9,0,Магадан
43,1936-02-11,-11.2,-10,-7.3,0,Магадан
44,1936-02-12,-14.6,-12.4,-7.6,0,Магадан
45,1936-02-13,-17.4,-13.4,-7.3,0,Магадан
46,1936-02-14,-19.6,-14.1,-11.2,0,Магадан
47,1936-02-15,-16.7,-13.6,-9.5,0,Магадан
48,1936-02-16,-21.2,-17.5,-13,0,Магадан
49,1936-02-17,-22.7,-19.2,-14.4,0,Магадан
50,1936-02-18,-22.2,-18.5,-13.4,0,Магадан
51,1936-02-19,-19.2,-14.2,-10.1,0,Магадан
52,1936-02-20,-13.1,-10.2,-8.5,0.1,Магадан
53,1936-02-21,-11.6,-9.6,-6.3,0.9,Магадан
