,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-16.3,-8,-3.5,0.2,Марково
2,1900-01-02,-15.5,-13.2,-3.5,0.8,Марково
3,1900-01-03,-14.2,-7,-3.1,0.2,Марково
4,1900-01-04,-5.3,-3.4,-2.8,0,Марково
5,1900-01-05,-12.1,-10,-3.6,0,Марково
6,1900-01-06,-13.3,-10.7,-9.6,0,Марково
7,1900-01-07,-23.7,-20.8,-12.6,0,Марково
8,1900-01-08,-25.7,-24.2,-23,0,Марково
9,1900-01-09,-32.8,-29.6,-23.8,0,Марково
10,1900-01-10,-35.5,-31.6,-29.6,0,Марково
11,1900-01-11,-39.6,-36.9,-32.8,0,Марково
12,1900-01-12,-40.5,-33,-26.9,0,Марково
13,1900-01-13,-36,-23.5,-20,0,Марково
14,1900-01-14,-24.2,-22.9,-20,0,Марково
15,1900-01-15,-36.5,-30.9,-24.2,0,Марково
16,1900-01-16,-38,-32.9,-31.2,0,Марково
17,1900-01-17,-36.5,-31.9,-29.8,0.3,Марково
18,1900-01-18,-33.6,-31.8,-29.8,0,Марково
19,1900-01-19,-37.5,-34.7,-31.4,0,Марково
20,1900-01-20,-41.9,-38.7,-35.4,0,Марково
21,1900-01-21,-42,-38.2,-37,0,Марково
22,1900-01-22,-46.1,-40.3,-35.5,0,Марково
23,1900-01-23,-47,-41.7,-36.9,0,Марково
24,1900-01-24,-44.1,-30.2,-27.6,0,Марково
25,1900-01-25,-39.2,-34.5,-30,0,Марково
26,1900-01-26,-37,-31.4,-30.3,0,Марково
27,1900-01-27,-30.5,-23.3,-20.5,0,Марково
28,1900-01-28,-20.9,-19.3,-18.5,0.2,Марково
29,1900-01-29,-23.3,-20.9,-18.5,0.2,Марково
30,1900-01-30,-21,-20.4,-19.3,0,Марково
31,1900-01-31,-20.5,-16.8,-13.8,0.4,Марково
33,1900-02-01,-14.4,-7.1,-5.1,0.3,Марково
34,1900-02-02,-5.9,-4.4,-3.6,0.3,Марково
35,1900-02-03,-10.4,-7.9,-5.8,1.3,Марково
36,1900-02-04,-26.4,-18.6,-10.2,0,Марково
37,1900-02-05,-35.6,-22.4,-17.6,0,Марково
38,1900-02-06,-25.6,-20.5,-18.2,0.3,Марково
39,1900-02-07,-19.4,-14.4,-12.8,0.4,Марково
40,1900-02-08,-13.7,-12,-10.4,0.2,Марково
41,1900-02-09,-13.8,-12,-11.4,0.1,Марково
42,1900-02-10,-21.4,-14.7,-11.2,0,Марково
43,1900-02-11,-26,-23.7,-20.2,0,Марково
44,1900-02-12,-22.8,-20.1,-19.6,0,Марково
45,1900-02-13,-27.3,-13.8,-7.6,0,Марково
46,1900-02-14,-16.1,-8.6,-4.7,0,Марково
47,1900-02-15,-6.9,-3.1,0.9,0.2,Марково
48,1900-02-16,-8.3,-2.8,-1.4,1.8,Марково
49,1900-02-17,-12,-6.1,-1.4,0,Марково
50,1900-02-18,-16.8,-13.7,-8.8,0,Марково
