,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1913-01-01,-0.4,5.2,6.9,0,Махачкала
2,1913-01-02,1.6,4.4,6.6,0,Махачкала
3,1913-01-03,1.7,4,7.6,0,Махачкала
4,1913-01-04,0.5,1.8,2.6,0,Махачкала
5,1913-01-05,-0.4,1.8,3.9,0.1,Махачкала
6,1913-01-06,0.5,1.5,2.8,3.9,Махачкала
7,1913-01-07,0.7,3.4,4.7,4.5,Махачкала
8,1913-01-08,2.1,5.3,6.3,1.3,Махачкала
9,1913-01-09,2.6,5,7.1,0.5,Махачкала
10,1913-01-10,0,1.1,3.9,0,Махачкала
11,1913-01-11,-3.7,-2.4,0.4,0.7,Махачкала
12,1913-01-12,-4.5,-3.6,-2.6,0,Махачкала
13,1913-01-13,-3.8,0.4,3.5,0,Махачкала
14,1913-01-14,-2.3,-0.3,2.7,0.3,Махачкала
15,1913-01-15,-8.4,-6.3,0.1,0,Махачкала
16,1913-01-16,-11.7,-10.1,-7.8,0.4,Махачкала
17,1913-01-17,-12.8,-10.2,-7.1,0,Махачкала
18,1913-01-18,-11.8,-7.4,-5,0,Махачкала
19,1913-01-19,-7.2,-3.2,-0.3,0,Махачкала
20,1913-01-20,-3.2,0.8,5.1,0.4,Махачкала
21,1913-01-21,-2.3,2,4.1,0.2,Махачкала
22,1913-01-22,-2.4,0.9,5.6,0,Махачкала
23,1913-01-23,-3.8,0.7,3.3,0,Махачкала
24,1913-01-24,-1,1.3,4.5,0.2,Махачкала
25,1913-01-25,-1,0.5,4,0.1,Махачкала
26,1913-01-26,0.1,1.5,4,0,Махачкала
27,1913-01-27,0.6,4.2,7.5,0,Махачкала
28,1913-01-28,-0.1,1.4,4.2,0,Махачкала
29,1913-01-29,-1.9,-1.2,0.3,0.1,Махачкала
30,1913-01-30,-5.5,-3.8,-0.3,0,Махачкала
31,1913-01-31,-10.1,-8.5,-4,0,Махачкала
33,1913-02-01,-12.6,-10.7,-7.8,0,Махачкала
34,1913-02-02,-12.7,-7.2,-1.8,0,Махачкала
35,1913-02-03,-11.4,-3.8,1.3,0,Махачкала
36,1913-02-04,-4.2,-1.4,0.2,0,Махачкала
37,1913-02-05,-2.9,2.4,7.5,2.1,Махачкала
38,1913-02-06,0.6,2.5,4.3,0.7,Махачкала
39,1913-02-07,0.6,4.7,8,0,Махачкала
40,1913-02-08,0.9,4.2,8.5,0.1,Махачкала
41,1913-02-09,1.3,3.1,5.6,0,Махачкала
42,1913-02-10,-0.5,2,4.8,0,Махачкала
43,1913-02-11,0.9,3.7,6.7,0,Махачкала
44,1913-02-12,0.4,2.9,6,0,Махачкала
45,1913-02-13,1,2.6,3.6,0,Махачкала
46,1913-02-14,1.5,3.9,6.4,0,Махачкала
47,1913-02-15,0.1,2.5,6.1,0.2,Махачкала
48,1913-02-16,-3.2,-2.7,0.2,4.2,Махачкала
49,1913-02-17,-5.4,-1.9,0.7,1.4,Махачкала
50,1913-02-18,-5.9,-5,-1.3,2.1,Махачкала
51,1913-02-19,-6.6,-5.1,-3.7,0.6,Махачкала
52,1913-02-20,-7.7,-6.5,-4.2,1.4,Махачкала
53,1913-02-21,-9.8,-7.9,-5.5,0.1,Махачкала
54,1913-02-22,-10.9,-5,0.5,0,Махачкала
55,1913-02-23,-6.3,-1.2,3.7,0,Махачкала
56,1913-02-24,-3,-0.8,3.5,0.7,Махачкала
57,1913-02-25,-6.4,-3.5,1.1,0,Махачкала
58,1913-02-26,-6.6,-0.9,4.2,0,Махачкала
59,1913-02-27,-4,-0.2,3.5,0.1,Махачкала
60,1913-02-28,-0.9,1.5,2.6,0.9,Махачкала
62,1913-03-01,-1.3,1.2,4.4,1,Махачкала
63,1913-03-02,-2.1,1.2,4.5,0.1,Махачкала
64,1913-03-03,-2.8,0.5,4,0.3,Махачкала
65,1913-03-04,-10.9,-8.2,-2.5,0.1,Махачкала
66,1913-03-05,-12.2,-1.8,2.4,0,Махачкала
67,1913-03-06,-1.3,3.3,5.5,0,Махачкала
68,1913-03-07,2.7,6.8,11.6,0,Махачкала
69,1913-03-08,2.1,7.1,13.3,0,Махачкала
70,1913-03-09,4.1,7.8,12,0,Махачкала
71,1913-03-10,3.3,6.1,9.6,0,Махачкала
72,1913-03-11,3.2,4,6.1,0,Махачкала
73,1913-03-12,0.9,3.7,7.3,0,Махачкала
74,1913-03-13,0.1,3.6,8.9,0,Махачкала
75,1913-03-14,-1.4,3.8,5.3,0.2,Махачкала
76,1913-03-15,1.5,2.7,4.3,0,Махачкала
77,1913-03-16,-0.1,3.3,7.2,0,Махачкала
78,1913-03-17,0.8,7.3,12.6,0,Махачкала
79,1913-03-18,2.5,6.2,10.3,0.1,Махачкала
80,1913-03-19,0.9,3.4,9.2,0.1,Махачкала
81,1913-03-21,0.9,4.4,13.1,0,Махачкала
82,1913-03-22,2,8.9,16.7,0.1,Махачкала
83,1913-03-23,-0.5,4,10,0.5,Махачкала
84,1913-03-24,1.3,5.9,13.8,0.4,Махачкала
85,1913-03-25,1.1,4.8,10.4,0.2,Махачкала
86,1913-03-26,1.5,7.9,14.7,0,Махачкала
87,1913-03-27,6.3,9.2,15.5,0,Махачкала
88,1913-03-28,5.2,7.9,13.8,0,Махачкала
89,1913-03-29,0.8,3.9,11.3,13.7,Махачкала
90,1913-03-30,-1.5,0,1.4,10.5,Махачкала
91,1913-03-31,-0.9,1.3,4.5,0.7,Махачкала
93,1913-04-01,0.6,3.6,5.4,1,Махачкала
94,1913-04-02,2.5,5.2,7.5,0.6,Махачкала
95,1913-04-03,4.4,6.7,9.7,0,Махачкала
96,1913-04-04,5,6.9,9.9,0,Махачкала
97,1913-04-05,5.8,9.7,14,0.1,Махачкала
98,1913-04-06,3.6,6.7,11.4,0.1,Махачкала
99,1913-04-07,5.6,6.5,7.9,0.1,Махачкала
100,1913-04-08,4.7,7.5,11,0.1,Махачкала
101,1913-04-09,5.6,8.5,11.7,0,Махачкала
102,1913-04-10,5.9,8.3,11.3,0.4,Махачкала
103,1913-04-11,6.8,9.6,14.6,0.1,Махачкала
104,1913-04-12,5.6,10.7,14.4,0,Махачкала
105,1913-04-13,5.4,10.7,13.3,0,Махачкала
106,1913-04-14,5.9,14.7,18.6,0,Махачкала
107,1913-04-15,8,11.6,16.4,0,Махачкала
108,1913-04-16,5.6,7.8,13.7,0.4,Махачкала
