,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1907-01-01,-12,-10.5,-9.5,1.4,Минск
2,1907-01-02,-14.5,-13.8,-12,1.6,Минск
3,1907-01-03,-14,-7.5,-1,1.2,Минск
4,1907-01-04,-2,-0.7,0.5,0,Минск
5,1907-01-05,-6,-4.1,0.5,0,Минск
6,1907-01-06,-6.5,-3.8,-3,0.3,Минск
7,1907-01-07,-5.5,-4.5,-4,0.6,Минск
8,1907-01-08,-4,-1.2,0,1.5,Минск
9,1907-01-09,-5,-2.3,0,1.1,Минск
10,1907-01-10,-1,0.1,1.5,1.6,Минск
11,1907-01-11,-7,-5.6,-1,0,Минск
12,1907-01-12,-7,-6,-4.5,3,Минск
13,1907-01-13,-7,-2,0.5,4.2,Минск
14,1907-01-14,-8.5,-6.6,0,5.6,Минск
15,1907-01-15,-6,-1.5,0,3.9,Минск
16,1907-01-16,-3,-2.3,0,3.7,Минск
17,1907-01-17,-9,-8.5,-2.5,5.4,Минск
18,1907-01-18,-8,-4.1,-2.5,1.8,Минск
19,1907-01-19,-17.1,-14.9,-5,0.2,Минск
20,1907-01-20,-28,-27.1,-17,0,Минск
21,1907-01-21,-28.5,-25.3,-23.5,0,Минск
22,1907-01-22,-29.5,-25.5,-22.5,0,Минск
23,1907-01-23,-25,-19.3,-15.5,0,Минск
24,1907-01-24,-21.1,-17.6,-16,0,Минск
25,1907-01-25,-21.1,-14.8,-11,0,Минск
26,1907-01-26,-12,-7.6,-5,4.2,Минск
27,1907-01-27,-12.5,-8.6,-5,0,Минск
28,1907-01-28,-21.6,-17.8,-12.5,0,Минск
29,1907-01-29,-25.1,-18.5,-12,1.6,Минск
30,1907-01-30,-12,-4.6,-2,0.3,Минск
31,1907-01-31,-9.5,-4.3,-1,0.5,Минск
33,1907-02-01,-4.6,-2.5,-1,1.2,Минск
34,1907-02-02,-5,-3.9,-2.5,0.1,Минск
35,1907-02-03,-7.6,-6,-4,0.3,Минск
36,1907-02-04,-10,-8.9,-7.5,0.5,Минск
37,1907-02-05,-8.2,-5.7,-4.5,0,Минск
38,1907-02-06,-12.5,-9.1,-5.5,0.4,Минск
39,1907-02-07,-15.6,-12.5,-10,0,Минск
40,1907-02-08,-20.1,-16.5,-14,0.2,Минск
41,1907-02-09,-16.1,-12.5,-11,0.5,Минск
42,1907-02-10,-17.1,-14.3,-11.5,0,Минск
43,1907-02-11,-21.6,-16.7,-14.5,0,Минск
44,1907-02-12,-20.1,-15.9,-10,0,Минск
45,1907-02-13,-20.1,-16.1,-11.5,0,Минск
46,1907-02-14,-22.6,-17,-12,0,Минск
47,1907-02-15,-19.1,-15.8,-12,0,Минск
48,1907-02-16,-22.1,-16.1,-12,0.5,Минск
49,1907-02-17,-12,-4,-1,2.2,Минск
50,1907-02-18,-3,-2,0,2.7,Минск
51,1907-02-19,-8,-4.1,-1.5,1,Минск
52,1907-02-20,-3,0.1,0.5,9.1,Минск
53,1907-02-21,0,0.8,1.5,0.2,Минск
54,1907-02-23,-2.6,-1.5,0,1.9,Минск
55,1907-02-24,-3,-1.8,0,0.8,Минск
56,1907-02-25,-5,-3.1,-1.5,0.3,Минск
57,1907-02-26,-10,-4.5,-2.5,2.1,Минск
58,1907-02-27,-4.5,-1.8,1,0,Минск
59,1907-02-28,-6,-5.5,-4.5,0.6,Минск
61,1907-03-01,-7,-5.5,-2.5,0,Минск
62,1907-03-02,-8,-6.1,-2.5,0,Минск
63,1907-03-03,-8,-2.9,0,1,Минск
64,1907-03-04,-3.6,-2.2,2,0,Минск
65,1907-03-05,-10,-4.1,2.5,0,Минск
66,1907-03-06,-7.5,-3.5,5,0,Минск
67,1907-03-07,-12,-5,4.5,0,Минск
68,1907-03-08,-11.5,-4.5,3,0,Минск
69,1907-03-09,-10,-5.1,-2.5,0,Минск
70,1907-03-10,-5,-3.3,-1.5,2.9,Минск
71,1907-03-11,-10,-6.5,-3,0.9,Минск
72,1907-03-12,-11,-6.1,-3,1.1,Минск
73,1907-03-13,-12,-7.1,-3,0,Минск
74,1907-03-14,-11,-7.9,-2.5,0,Минск
75,1907-03-15,-13.5,-7.5,-1,0,Минск
76,1907-03-16,-14,-8.8,-1,0,Минск
77,1907-03-17,-17.1,-10,-0.5,0,Минск
78,1907-03-18,-16.1,-7.5,0,1.4,Минск
79,1907-03-19,-5,-1.2,1.5,6.1,Минск
80,1907-03-20,-0.5,0.6,2.5,1.2,Минск
81,1907-03-21,-2,-1,1,2.1,Минск
82,1907-03-22,-4,-1.9,0.5,3.6,Минск
83,1907-03-23,-2,-0.2,1.5,0.6,Минск
84,1907-03-24,-6,-2.5,1.5,0,Минск
85,1907-03-25,-6.6,-2.7,2,0,Минск
86,1907-03-26,-8.5,-3.1,1.5,0,Минск
87,1907-03-27,-7,-1.7,4,0,Минск
88,1907-03-28,-5,0.1,7.5,0,Минск
89,1907-03-29,-5.5,-0.3,5.5,0,Минск
90,1907-03-30,-7,-0.4,7.5,0,Минск
91,1907-03-31,0.5,3.6,8.5,0,Минск
93,1907-04-01,-0.5,2.9,7.5,0,Минск
94,1907-04-02,-2.5,1.5,5.5,0,Минск
95,1907-04-03,-1,1.6,6,0,Минск
96,1907-04-04,0,3.1,7,0,Минск
97,1907-04-05,0.5,1.6,3,0,Минск
98,1907-04-06,0.4,1.7,3.5,0,Минск
99,1907-04-07,-1.6,0.8,4.5,0,Минск
100,1907-04-08,-2,0.3,3,0,Минск
101,1907-04-09,-4,1.3,7,0,Минск
102,1907-04-10,-3,0.7,4.5,0,Минск
103,1907-04-11,-0.5,3.7,9,0,Минск
104,1907-04-12,-0.5,3.4,6.5,0,Минск
105,1907-04-13,1,4,7,0.3,Минск
106,1907-04-14,1,2.9,6.5,0.4,Минск
107,1907-04-15,-1,1,4.5,0,Минск
108,1907-04-16,-5,0.8,5.5,0.2,Минск
109,1907-04-17,-1,1.5,3,3.6,Минск
110,1907-04-18,0.5,5,8.5,0,Минск
111,1907-04-19,1,3.8,7.5,32.8,Минск
112,1907-04-20,0,1,3.5,0,Минск
113,1907-04-21,-1.5,1.5,5,0,Минск
114,1907-04-22,0,6.1,11,0,Минск
115,1907-04-23,4,8.5,12.5,0.5,Минск
116,1907-04-24,4.5,6.1,8,1,Минск
117,1907-04-25,3.5,7.1,11.5,0.4,Минск
118,1907-04-26,4,4.8,7,1,Минск
119,1907-04-27,0,3.5,6,7.6,Минск
120,1907-04-28,1.5,4.8,9,0.2,Минск
121,1907-04-29,1,5.5,11,7,Минск
122,1907-04-30,4.5,7.1,11,1.5,Минск
124,1907-05-01,2,6.1,10.5,1,Минск
125,1907-05-02,2.5,10.5,15.6,2.5,Минск
126,1907-05-03,6,10.3,16,1,Минск
127,1907-05-04,6,11.3,15,5.5,Минск
128,1907-05-05,7.5,10.1,14,0,Минск
129,1907-05-06,6.5,13.5,17.5,0,Минск
130,1907-05-07,10.5,17.2,25,0,Минск
131,1907-05-08,8.5,16.4,22,0,Минск
132,1907-05-09,10.5,17.1,23.5,0,Минск
133,1907-05-10,11,16.9,23,4.6,Минск
134,1907-05-11,9,14.7,20,0,Минск
135,1907-05-12,8.5,17.3,23,0,Минск
136,1907-05-13,11,19.5,24.5,0,Минск
137,1907-05-14,8.5,15.2,21.5,0,Минск
138,1907-05-15,10.5,15.1,17,5.7,Минск
139,1907-05-16,10,16.3,23,8,Минск
140,1907-05-17,9.5,11.3,15,0,Минск
141,1907-05-18,7.5,13,17,0.1,Минск
142,1907-05-19,11,15,21,0,Минск
143,1907-05-20,10.5,18,24.5,0,Минск
144,1907-05-21,15,18.5,23.5,0,Минск
145,1907-05-22,10.5,16.5,22,23.8,Минск
146,1907-05-23,8,11.9,17,2.3,Минск
147,1907-05-24,10.5,13.6,17.5,0,Минск
148,1907-05-25,5.5,13.1,17.5,0,Минск
149,1907-05-26,6.5,13.1,18,0.2,Минск
150,1907-05-27,8,10.5,14,0.7,Минск
151,1907-05-28,3,6.7,10,0.4,Минск
152,1907-05-29,3.5,6.3,10,0.2,Минск
153,1907-05-30,2,6.4,10.5,0,Минск
154,1907-05-31,1,8.8,14.5,0,Минск
156,1907-06-01,4.5,8.6,12,0,Минск
157,1907-06-02,4,12.3,17.5,0,Минск
158,1907-06-03,6.5,15.8,21.5,0,Минск
159,1907-06-04,12,19.2,25,0,Минск
160,1907-06-05,12,14.1,18,0.2,Минск
161,1907-06-06,10.5,14.5,18,4.2,Минск
162,1907-06-07,12,19,24,0,Минск
163,1907-06-08,16,17.5,19.5,21.1,Минск
164,1907-06-09,11.5,15.5,21,0,Минск
165,1907-06-10,10.5,17.6,23,2.7,Минск
166,1907-06-11,14.5,15.7,18.5,12.5,Минск
167,1907-06-12,14,17,21.5,0.7,Минск
168,1907-06-13,14,17.3,22,0,Минск
169,1907-06-14,12.5,16.1,21,0,Минск
170,1907-06-15,9,15.9,21,0,Минск
171,1907-06-16,11,16.5,21.5,0,Минск
172,1907-06-17,13.5,18.7,24,0,Минск
