,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1927-03-01,-12.8,-7.9,-4.5,0,Минусинск
2,1927-03-02,-23.1,-13.4,-7.4,0,Минусинск
3,1927-03-03,-26.2,-13.1,-7.3,0,Минусинск
4,1927-03-04,-24,-22.1,-15.3,0,Минусинск
5,1927-03-05,-31,-26.9,-20.5,0,Минусинск
6,1927-03-06,-35.6,-29.9,-22.6,0,Минусинск
7,1927-03-07,-38.9,-30.1,-25.5,0,Минусинск
8,1927-03-08,-38,-29.2,-20.3,0,Минусинск
9,1927-03-09,-38.9,-30.2,-23.3,0,Минусинск
10,1927-03-10,-38.9,-30.8,-23.3,0,Минусинск
11,1927-03-11,-38.9,-30.7,-22.4,0,Минусинск
12,1927-03-12,-36.7,-23.6,-18.1,1.3,Минусинск
13,1927-03-13,-22.2,-10,-4.5,0,Минусинск
14,1927-03-14,-7,-4.6,0.8,0,Минусинск
15,1927-03-15,-9.6,-4.4,2.2,0,Минусинск
16,1927-03-16,-20.5,-13.1,-4,0,Минусинск
17,1927-03-17,-22.5,-11.6,-4,0,Минусинск
18,1927-03-18,-12.6,-4.9,-2,0,Минусинск
19,1927-03-19,-10.6,-5,0.5,0,Минусинск
20,1927-03-20,-18.1,-9.6,-3.5,0,Минусинск
21,1927-03-21,-15.6,-8,-0.7,0,Минусинск
22,1927-03-22,-13.1,-10,-5.5,0,Минусинск
23,1927-03-23,-22.5,-14.1,-6,0,Минусинск
24,1927-03-24,-20.1,-9.3,2.5,0,Минусинск
25,1927-03-25,-9.6,3.6,13,0,Минусинск
26,1927-03-26,-0.1,1.2,6.8,0,Минусинск
27,1927-03-27,-4.4,-3.1,0,1.1,Минусинск
28,1927-03-28,-12.6,-11.1,-4.4,0,Минусинск
29,1927-03-29,-12.6,-10.8,-8.5,0,Минусинск
30,1927-03-30,-13.3,-11.4,-9,0,Минусинск
31,1927-03-31,-19.1,-13.2,-8,0,Минусинск
33,1927-04-01,-21.9,-11.9,-5.3,0,Минусинск
34,1927-04-02,-17.6,-5,1.8,0,Минусинск
35,1927-04-03,-4.2,-3,3,0,Минусинск
36,1927-04-04,-15.6,-8.6,-4,0,Минусинск
37,1927-04-05,-19.1,-8.6,-2.5,0,Минусинск
38,1927-04-06,-23.5,-14.4,-9.8,0,Минусинск
39,1927-04-07,-19.4,-8.5,-2.7,0,Минусинск
40,1927-04-08,-8.1,0.7,10.2,0,Минусинск
41,1927-04-09,-8.6,-3.9,5,1,Минусинск
42,1927-04-10,-7.1,-3.9,-1,0,Минусинск
43,1927-04-11,-11.2,-4.2,0,1.2,Минусинск
44,1927-04-12,-4.1,0.4,6,0,Минусинск
45,1927-04-13,-3.6,4.1,10.5,0,Минусинск
46,1927-04-14,3.4,7.5,10.5,0,Минусинск
47,1927-04-15,2.4,6.3,10,0,Минусинск
48,1927-04-16,-1.1,3.3,8,0,Минусинск
49,1927-04-17,-5.2,1.5,7.5,0,Минусинск
50,1927-04-18,-6.6,4.9,14.4,0,Минусинск
51,1927-04-19,-4.1,8.3,20,0,Минусинск
52,1927-04-20,2.7,8.6,18,0,Минусинск
53,1927-04-21,-2.8,9.7,19.7,0,Минусинск
54,1927-04-22,-1.6,12,24.2,0,Минусинск
55,1927-04-23,-1.1,13.3,21.5,3,Минусинск
56,1927-04-24,11.2,17.8,24.8,1.4,Минусинск
57,1927-04-25,7.9,11.1,16.2,10.8,Минусинск
58,1927-04-26,6.9,9,13.3,0,Минусинск
59,1927-04-27,1.9,5.7,10.4,11,Минусинск
60,1927-04-28,1.2,4.5,10.5,0,Минусинск
61,1927-04-29,1.4,6.2,10.6,0,Минусинск
62,1927-04-30,3.4,7.8,14.5,0,Минусинск
64,1927-05-01,2.9,10.9,21.5,0,Минусинск
65,1927-05-02,6.9,9.2,11,1,Минусинск
66,1927-05-03,5.9,10.3,16.5,0,Минусинск
67,1927-05-04,1.4,13.5,22.2,0,Минусинск
68,1927-05-05,3.4,15.7,24.5,0,Минусинск
69,1927-05-06,2.9,16.1,24.4,0,Минусинск
70,1927-05-07,2.8,16.3,26.8,0,Минусинск
71,1927-05-08,4.8,14.5,21.5,0,Минусинск
72,1927-05-09,7.8,10.7,15.5,1.2,Минусинск
73,1927-05-10,5.3,9.7,14.8,1,Минусинск
74,1927-05-11,3.6,12.1,19.5,0,Минусинск
75,1927-05-12,5.1,16.6,24,0,Минусинск
76,1927-05-13,8.7,14.9,19.8,0,Минусинск
77,1927-05-14,9.9,11.9,15.8,2.7,Минусинск
78,1927-05-15,4.9,13.4,21,0,Минусинск
79,1927-05-16,1.4,15.1,24,0,Минусинск
80,1927-05-17,4,15.5,23.8,0,Минусинск
81,1927-05-18,4.7,17.5,26.5,0,Минусинск
82,1927-05-19,7.9,18.3,26,0,Минусинск
83,1927-05-20,5.8,10.1,14.3,12.6,Минусинск
84,1927-05-21,5,11.6,18.5,0,Минусинск
85,1927-05-22,6,15.9,21.8,3.7,Минусинск
86,1927-05-23,9.2,13.9,20.2,0,Минусинск
87,1927-05-24,4.8,15.4,21.4,5.4,Минусинск
88,1927-05-25,3.4,6.9,14.2,7.4,Минусинск
