,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
15672,1948-12-11,-4.5,-1.1,2.4,0,Москва
15673,1948-12-12,-8.7,-6.2,1.9,0.5,Москва
15674,1948-12-13,-12.3,-10.1,-7.4,0,Москва
15675,1948-12-14,-13.2,-9.4,-5.6,0,Москва
15676,1948-12-15,-9.2,-6.6,-3.6,0,Москва
15677,1948-12-16,-6.7,-4.3,-2.6,0,Москва
15678,1948-12-17,-14.4,-9,-3.7,0.2,Москва
15679,1948-12-18,-17.5,-15.9,-6.7,0,Москва
15680,1948-12-19,-17.3,-13.5,-10.4,0,Москва
15681,1948-12-20,-10.9,-8.8,-6.7,0,Москва
15682,1948-12-21,-7.8,-6.3,-4.2,1.1,Москва
15683,1948-12-22,-7.2,-4.8,-3.1,0,Москва
15684,1948-12-23,-9.6,-7.2,-6,0,Москва
15685,1948-12-24,-9.7,-8.3,-6.1,0,Москва
15686,1948-12-25,-12.5,-11,-8.6,0,Москва
15687,1948-12-26,-13.2,-9.5,-6,0,Москва
15688,1948-12-27,-6.3,-2.8,-0.5,0,Москва
15689,1948-12-28,-3.5,-1.2,-0.2,0.6,Москва
15690,1948-12-29,-4.9,-2.5,-0.3,0,Москва
15691,1948-12-30,-6.5,-5.2,-3.3,0,Москва
15692,1948-12-31,-5.3,-2.3,-1.2,0,Москва
0,1949-01-01,-6.7,-4.2,-2.1,0,Москва
1,1949-01-02,-6.7,-1.2,-0.5,4.2,Москва
2,1949-01-03,-2.1,-0.7,1.1,0,Москва
3,1949-01-04,0.9,2.3,3.3,0,Москва
4,1949-01-05,-0.9,1.1,4,0.8,Москва
5,1949-01-06,-3.2,-2.3,-0.8,0,Москва
6,1949-01-07,-5.1,-3.4,-0.6,0,Москва
7,1949-01-08,-3,-0.6,0.5,1.7,Москва
8,1949-01-09,-1.6,-0.6,0.8,0,Москва
9,1949-01-10,-4.2,-2.5,-1.1,1.6,Москва
10,1949-01-11,-5.3,-4.3,-3,0,Москва
11,1949-01-12,-8.4,-5.8,-3.3,0,Москва
12,1949-01-13,-10.2,-6.8,-4.8,0.2,Москва
13,1949-01-14,-5.7,-2.5,-1,0,Москва
14,1949-01-15,-3.2,-2.9,-1.9,2.2,Москва
15,1949-01-16,-4.9,-2.5,-0.5,0.9,Москва
16,1949-01-17,-4,-3.2,-0.7,0.1,Москва
17,1949-01-18,-10.3,-7.5,-3.8,0,Москва
18,1949-01-19,-10.4,-8.8,-6.9,0.2,Москва
19,1949-01-20,-13.5,-8.6,-2.4,2.5,Москва
20,1949-01-21,-2.6,0,1.6,3.6,Москва
21,1949-01-22,-11.7,-4.2,0.2,2,Москва
