,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-12,-3.5,-2.2,-1.7,0.2,Мурманск
2,1936-01-15,-6.9,-5.5,-2.9,0.3,Мурманск
3,1936-01-16,-10.1,-8,-6.4,0.2,Мурманск
4,1936-01-17,-15.7,-14.4,-9,0,Мурманск
5,1936-01-18,-22,-19.3,-13.4,0,Мурманск
6,1936-01-19,-21.4,-16.3,-10.9,0.6,Мурманск
7,1936-01-20,-14.6,-11.6,-9.5,1.3,Мурманск
9,1936-02-01,-14.4,-12.8,-8.5,0.4,Мурманск
10,1936-02-02,-14.2,-12.4,-11.3,0.1,Мурманск
11,1936-02-03,-18.6,-15,-10.5,0,Мурманск
12,1936-02-04,-19.7,-17.6,-15.6,0,Мурманск
13,1936-02-05,-17.5,-12.7,-11.5,0.1,Мурманск
14,1936-02-06,-15.2,-11.9,-11.2,0.2,Мурманск
15,1936-02-07,-23.4,-19.2,-11.4,0,Мурманск
16,1936-02-08,-24.3,-21.5,-19.3,0.1,Мурманск
17,1936-02-09,-25.1,-19,-15.2,2.9,Мурманск
18,1936-02-10,-16.3,-12.1,-7.9,2.5,Мурманск
19,1936-02-11,-16.1,-13.6,-12,0,Мурманск
20,1936-02-12,-20.7,-18.1,-15.5,0,Мурманск
21,1936-02-13,-28.7,-25.2,-19.5,0,Мурманск
22,1936-02-14,-26.5,-23.5,-21.3,0,Мурманск
23,1936-02-15,-33.1,-29.9,-24.4,0,Мурманск
24,1936-02-16,-33.7,-28.7,-23.6,0,Мурманск
25,1936-02-17,-27.9,-25.4,-20.2,1,Мурманск
26,1936-02-18,-30.7,-26.1,-22,0,Мурманск
27,1936-02-19,-22.5,-14.6,-11.5,0,Мурманск
28,1936-02-20,-19.4,-16.6,-14,0,Мурманск
29,1936-02-21,-20.4,-18.2,-14.6,0,Мурманск
30,1936-02-22,-27.1,-22.7,-18.4,0,Мурманск
31,1936-02-23,-22.7,-19.2,-17.2,0,Мурманск
32,1936-02-24,-16.7,-10.4,-3.7,0,Мурманск
33,1936-02-25,-9.2,-6.9,-3.4,0,Мурманск
34,1936-02-26,-11.2,-9.3,-7.3,0,Мурманск
35,1936-02-27,-15.2,-13.9,-10.8,0,Мурманск
36,1936-02-28,-18.9,-16.4,-14.2,0,Мурманск
37,1936-02-29,-20.6,-14.7,-10.7,0.3,Мурманск
39,1936-03-01,-16.7,-13.6,-10.5,0,Мурманск
40,1936-03-02,-15.2,-10.9,-7,1,Мурманск
41,1936-03-03,-11.6,-9.8,-7.3,0,Мурманск
42,1936-03-04,-12.9,-9.8,-7.2,0,Мурманск
43,1936-03-05,-12.5,-10.2,-7.8,0,Мурманск
44,1936-03-06,-15.1,-11.2,-7,0,Мурманск
45,1936-03-07,-21.7,-15.4,-7.8,0.2,Мурманск
46,1936-03-08,-11.8,-6.4,-4.5,0.5,Мурманск
47,1936-03-09,-6.8,-3.7,-1.4,0,Мурманск
48,1936-03-10,-3.6,-2.3,-0.9,0,Мурманск
49,1936-03-11,-7.5,-5.6,-2.6,0,Мурманск
50,1936-03-12,-12.8,-8.1,-4.1,0,Мурманск
51,1936-03-13,-8.7,-4.9,-1.8,0,Мурманск
52,1936-03-14,-6.8,-5,-2.8,0,Мурманск
53,1936-03-15,-10.9,-6.1,-2,0,Мурманск
54,1936-03-16,-5,-2.6,-1.2,0,Мурманск
55,1936-03-17,-12.7,-7,-3.5,0,Мурманск
56,1936-03-18,-14.7,-8,-4.5,0.2,Мурманск
57,1936-03-19,-9.1,-5.4,-3.7,0.9,Мурманск
58,1936-03-20,-6.4,-4.7,-2.3,0.4,Мурманск
59,1936-03-21,-12.7,-7.2,-4,0.1,Мурманск
60,1936-03-22,-6.8,-5,-2.3,0.3,Мурманск
61,1936-03-23,-8,-5.3,-4.8,0,Мурманск
62,1936-03-25,-14,-9.1,-5.7,0.7,Мурманск
63,1936-03-26,-14.8,-8.4,-6.5,0,Мурманск
64,1936-03-27,-8.5,-5.2,-2.6,0.4,Мурманск
65,1936-03-28,-8.4,-5.5,-1.5,0,Мурманск
66,1936-03-29,-8.4,-6.6,-5.1,0,Мурманск
67,1936-03-30,-14.3,-7.7,-3.1,0,Мурманск
68,1936-03-31,-4.1,0.4,2.3,0,Мурманск
70,1936-04-01,1.6,3.2,4.6,0,Мурманск
71,1936-04-02,-1,0.2,1.7,6.4,Мурманск
72,1936-04-03,-6.2,-4.9,1.6,0,Мурманск
73,1936-04-04,-11.6,-8.2,-5.2,0,Мурманск
74,1936-04-05,-18.2,-10.2,-2.1,0,Мурманск
75,1936-04-06,-12.3,-7.7,-2.1,0,Мурманск
76,1936-04-07,-17,-8.8,-1,0,Мурманск
77,1936-04-08,-9.1,-5,-0.9,0,Мурманск
78,1936-04-09,-4.4,-0.4,1.9,0,Мурманск
79,1936-04-10,-3.1,-1.8,0.5,0.1,Мурманск
80,1936-04-11,-2.2,-0.2,2.2,0,Мурманск
81,1936-04-12,-2.2,0.6,3.3,0,Мурманск
82,1936-04-13,-4.9,-1,3.5,0.3,Мурманск
83,1936-04-14,-7.9,-5.2,-3.3,0,Мурманск
84,1936-04-15,-7.7,-4.5,-0.5,0,Мурманск
85,1936-04-16,-6.7,-4.8,-2.6,0.2,Мурманск
86,1936-04-17,-5.7,-4.6,-3.2,0,Мурманск
87,1936-04-18,-8.2,-5.9,-3.2,0.8,Мурманск
88,1936-04-19,-4.7,-3.4,-1.8,0,Мурманск
89,1936-04-21,3.2,4.8,7.3,0,Мурманск
90,1936-04-22,2.1,5.3,7.9,0,Мурманск
91,1936-04-23,-1.3,2.1,6.4,0.1,Мурманск
92,1936-04-24,0.2,1.2,4,3.5,Мурманск
93,1936-04-25,-1,1.8,5.5,0,Мурманск
94,1936-04-26,0.6,4.6,9.5,0.7,Мурманск
95,1936-04-27,2.4,5.7,9.4,0,Мурманск
96,1936-04-28,3.9,6.2,9.4,0,Мурманск
97,1936-04-29,3,4.6,6.7,0.3,Мурманск
98,1936-04-30,1.7,4.8,9.1,2.8,Мурманск
100,1936-05-01,2.2,5.2,8.8,0,Мурманск
101,1936-05-02,-0.5,2.8,7.1,0,Мурманск
102,1936-05-03,0.8,4.7,8.5,0,Мурманск
103,1936-05-04,-0.5,7.2,13.5,0,Мурманск
104,1936-05-05,0,8.5,14.2,0,Мурманск
105,1936-05-06,0.3,6.5,14.3,0,Мурманск
106,1936-05-07,0.2,4.2,10.3,0,Мурманск
107,1936-05-08,2.4,3.7,6.3,0,Мурманск
108,1936-05-09,-0.1,5.4,12.1,0,Мурманск
109,1936-05-10,3,4.6,7.4,0.1,Мурманск
110,1936-05-11,-1,6.4,15.5,0,Мурманск
111,1936-05-12,1.4,5.6,10.9,0,Мурманск
112,1936-05-13,3,4.1,6.4,0,Мурманск
113,1936-05-14,-2.5,1.6,7.4,0,Мурманск
114,1936-05-15,-2.8,5.6,12.9,0,Мурманск
115,1936-05-16,6.1,7.8,12.2,2.4,Мурманск
116,1936-05-17,4.2,7,10,2.3,Мурманск
117,1936-05-18,5.3,6.5,10.7,0,Мурманск
118,1936-05-19,1,9.3,21.1,0,Мурманск
119,1936-05-20,3.6,11.1,19.9,0.3,Мурманск
120,1936-05-21,4.6,7.9,14.7,0.9,Мурманск
121,1936-05-22,1,2.7,6.9,0.2,Мурманск
122,1936-05-23,-0.5,2.3,5.5,0.2,Мурманск
123,1936-05-24,0.6,8.2,14.7,0,Мурманск
124,1936-05-25,4.4,5.6,12.8,0.2,Мурманск
125,1936-05-26,3.2,5.7,10.3,0.2,Мурманск
126,1936-05-27,1,2.4,4.8,4.3,Мурманск
127,1936-05-28,0,1,2.7,0.1,Мурманск
128,1936-05-29,-1.6,0.4,3.2,0,Мурманск
129,1936-05-31,0.4,5.6,9.7,0,Мурманск
131,1936-06-01,1.8,8,13.5,0,Мурманск
132,1936-06-02,4.4,9.3,14.7,1.2,Мурманск
133,1936-06-03,7.5,10.2,13.6,1.1,Мурманск
134,1936-06-04,6.1,7,11.4,2.7,Мурманск
135,1936-06-05,3.1,6.2,10.3,0,Мурманск
136,1936-06-06,5.2,10.4,14.9,0,Мурманск
137,1936-06-07,12.3,18.6,24.3,0,Мурманск
138,1936-06-08,13.1,20.2,25.4,0,Мурманск
139,1936-06-09,12.9,21.7,26.1,0,Мурманск
140,1936-06-10,13.6,21,27.1,0,Мурманск
141,1936-06-11,11.3,19.7,26.3,0,Мурманск
142,1936-06-12,6.4,9.2,13.8,0,Мурманск
143,1936-06-13,5.5,13.4,25.5,0,Мурманск
144,1936-06-14,12.1,18.8,25.5,0,Мурманск
145,1936-06-15,10.3,18.7,24.9,0,Мурманск
146,1936-06-16,12.1,19.8,25.8,0,Мурманск
147,1936-06-17,13.8,21,27.4,0,Мурманск
148,1936-06-18,9.9,15.3,18.4,0,Мурманск
149,1936-06-19,8.2,12.6,20.9,0.1,Мурманск
150,1936-06-20,10.9,15.5,20.9,0,Мурманск
151,1936-06-21,11.4,17.6,22.5,0,Мурманск
152,1936-06-22,9.9,13.6,21.3,0,Мурманск
153,1936-06-23,4.8,8.4,13,0,Мурманск
154,1936-06-24,6.2,10.4,17.5,0,Мурманск
155,1936-06-25,6.9,8.2,14.1,3.7,Мурманск
156,1936-06-26,5,6.2,8.3,1.3,Мурманск
157,1936-06-27,5.1,6.4,7.8,0.2,Мурманск
158,1936-06-28,4.5,6.8,9.9,2.4,Мурманск
159,1936-06-29,5.3,8.5,12.1,1.2,Мурманск
160,1936-06-30,5.8,7.9,10.1,3.7,Мурманск
162,1936-07-01,4.3,8.2,13.1,0,Мурманск
163,1936-07-02,6.1,9.1,12.4,0,Мурманск
164,1936-07-03,6.4,14.1,20.8,0,Мурманск
165,1936-07-04,11.5,16.9,21.6,0,Мурманск
166,1936-07-05,6.4,11.4,17.9,1,Мурманск
167,1936-07-06,13.3,15.1,19.4,4.1,Мурманск
168,1936-07-07,11.4,13.8,18,0,Мурманск
169,1936-07-08,7.4,8.6,11,0,Мурманск
170,1936-07-09,5.1,7.3,8.8,0,Мурманск
171,1936-07-10,6.7,7.4,8.7,0.5,Мурманск
172,1936-07-11,4.8,7.1,10,0.1,Мурманск
173,1936-07-12,8,13.4,20.4,0,Мурманск
174,1936-07-13,11.4,16.3,20.9,0,Мурманск
175,1936-07-14,14.6,16.8,21.4,0,Мурманск
176,1936-07-15,8.1,9.3,16.9,0.2,Мурманск
177,1936-07-16,5.4,6.8,9.3,3.4,Мурманск
178,1936-07-17,6.5,8.2,11.4,4.8,Мурманск
179,1936-07-18,6.5,7.3,8.5,0.9,Мурманск
180,1936-07-19,4.8,6.8,8.9,0,Мурманск
181,1936-07-20,2.8,10,19.3,0,Мурманск
182,1936-07-21,10.3,14.3,19.2,3.7,Мурманск
183,1936-07-22,13.2,15.5,19.1,0,Мурманск
184,1936-07-23,9.1,13.5,20.8,0,Мурманск
185,1936-07-24,12.8,17.8,22,6,Мурманск
186,1936-07-25,15.1,20,25.3,0,Мурманск
187,1936-07-26,15.2,21.8,27.6,0,Мурманск
188,1936-07-27,14.1,21,26.7,0,Мурманск
189,1936-07-28,13.9,16.5,24.6,4.7,Мурманск
190,1936-07-29,10.3,16.2,22.1,0.4,Мурманск
191,1936-07-30,10.4,13.4,18.7,13.3,Мурманск
192,1936-07-31,11.3,14.1,16.7,3.2,Мурманск
194,1936-08-01,9.4,11.1,15,0.7,Мурманск
195,1936-08-02,6.7,12.6,19.3,0.6,Мурманск
196,1936-08-03,14.1,18,23.1,0.8,Мурманск
197,1936-08-04,14.9,20,26.3,3.7,Мурманск
198,1936-08-05,13.5,16,21.5,0.1,Мурманск
199,1936-08-06,12.5,13.9,16.8,0.6,Мурманск
200,1936-08-07,10.6,12.2,13.8,0,Мурманск
201,1936-08-08,8.2,11,14.1,0.1,Мурманск
202,1936-08-09,7.2,8.8,10.8,0.1,Мурманск
203,1936-08-10,5.6,12.9,20.2,2.4,Мурманск
204,1936-08-11,9.9,13,19.3,7.5,Мурманск
205,1936-08-12,11.4,14.6,19.6,1.5,Мурманск
206,1936-08-13,10.2,12.5,16.6,5.7,Мурманск
207,1936-08-14,7.7,9.1,10.7,0,Мурманск
208,1936-08-15,6.6,9.2,12.9,0,Мурманск
209,1936-08-16,5.2,11.4,17.7,0,Мурманск
210,1936-08-17,11.8,16.4,21.8,0,Мурманск
211,1936-08-18,10.9,14.2,19.2,0,Мурманск
212,1936-08-19,10.3,16.1,21.9,0,Мурманск
213,1936-08-20,9.7,16.8,22.5,0,Мурманск
214,1936-08-21,9.2,15.3,22.1,0,Мурманск
215,1936-08-22,12.7,16.9,21.8,0,Мурманск
216,1936-08-23,12.2,17.3,22.4,0,Мурманск
217,1936-08-24,11.9,15.8,20.4,3.9,Мурманск
218,1936-08-25,12.9,15.2,19.8,0.4,Мурманск
219,1936-08-26,11.6,13.6,15.8,2.2,Мурманск
220,1936-08-27,9.2,11.7,15.1,12.3,Мурманск
221,1936-08-28,9.3,10.7,13.8,1.2,Мурманск
222,1936-08-29,5.9,7.4,10,2.1,Мурманск
223,1936-08-30,4.8,6.1,7.6,2.1,Мурманск
224,1936-08-31,6.5,8.4,10.3,2.6,Мурманск
226,1936-09-01,6,8.6,12,1,Мурманск
227,1936-09-02,8.8,10.4,11.6,12.8,Мурманск
