,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1950-03-16,-17.2,-10.9,-6.7,0,Мыс Каменный
2,1950-03-17,-11.2,-8.8,-6.2,0,Мыс Каменный
3,1950-03-18,-21.4,-16.6,-10.6,0,Мыс Каменный
4,1950-03-19,-24.5,-20.5,-14.5,0,Мыс Каменный
5,1950-03-20,-20.7,-16.5,-13,0,Мыс Каменный
6,1950-03-21,-13.8,-7.3,-1.5,0.4,Мыс Каменный
7,1950-03-22,-23.4,-17.5,-8.6,0,Мыс Каменный
8,1950-03-23,-25.5,-18.8,-11.3,0.2,Мыс Каменный
9,1950-03-24,-31.2,-29.4,-25,0,Мыс Каменный
10,1950-03-25,-31.2,-23.7,-15.6,0,Мыс Каменный
11,1950-03-26,-32,-27.6,-23,0,Мыс Каменный
12,1950-03-27,-23.8,-18.6,-14.8,0.1,Мыс Каменный
13,1950-03-28,-23.7,-18.1,-13.7,0.1,Мыс Каменный
14,1950-03-29,-14,-9.8,-5.5,0.1,Мыс Каменный
15,1950-03-30,-9.7,-7.6,-4.6,0,Мыс Каменный
16,1950-03-31,-13.3,-10.2,-7.3,0,Мыс Каменный
18,1950-04-01,-12,-8.8,-5.4,0.1,Мыс Каменный
19,1950-04-02,-11.2,-8.2,-5.3,0,Мыс Каменный
20,1950-04-03,-6,-2.8,1,0.1,Мыс Каменный
21,1950-04-04,-2.9,-0.8,1.3,0.1,Мыс Каменный
22,1950-04-05,-10.5,-3.5,1.7,1.5,Мыс Каменный
23,1950-04-06,-18.7,-15,1.3,0,Мыс Каменный
24,1950-04-07,-19.4,-16.3,-14,0.6,Мыс Каменный
25,1950-04-08,-27.8,-22.4,-16.7,0,Мыс Каменный
26,1950-04-09,-25.1,-17.2,-5.7,0.3,Мыс Каменный
27,1950-04-10,-27.7,-24.8,-18.8,0,Мыс Каменный
28,1950-04-11,-30,-25.9,-21.3,0,Мыс Каменный
29,1950-04-12,-30.1,-23.5,-17.4,0,Мыс Каменный
30,1950-04-13,-17.5,-8,-3.8,0.1,Мыс Каменный
31,1950-04-14,-11.7,-10.2,-6.4,0.5,Мыс Каменный
32,1950-04-15,-22,-18.6,-11,0.1,Мыс Каменный
33,1950-04-16,-30,-24.8,-19.3,0,Мыс Каменный
34,1950-04-17,-25.7,-19.9,-13.8,0,Мыс Каменный
