,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-29.8,-26.8,-22.9,0,Мыс Шмидта
2,1936-01-02,-34,-31,-27.2,0,Мыс Шмидта
3,1936-01-03,-34.2,-31.4,-29.8,0,Мыс Шмидта
4,1936-01-04,-32.3,-28.8,-26.6,0,Мыс Шмидта
5,1936-01-05,-35.3,-32.3,-29.4,0,Мыс Шмидта
6,1936-01-06,-36.2,-34,-31.8,0,Мыс Шмидта
7,1936-01-07,-32.4,-29.1,-27,0,Мыс Шмидта
8,1936-01-08,-28.8,-27.6,-24.9,1.3,Мыс Шмидта
9,1936-01-09,-29.9,-29.1,-28.2,0,Мыс Шмидта
10,1936-01-10,-36.9,-32.9,-28.4,0,Мыс Шмидта
11,1936-01-11,-37.6,-36,-34.5,0,Мыс Шмидта
12,1936-01-12,-34.7,-31.5,-30.3,0,Мыс Шмидта
13,1936-01-13,-30.2,-27,-25.6,0,Мыс Шмидта
14,1936-01-14,-37,-33,-26.3,0,Мыс Шмидта
15,1936-01-15,-37.7,-36,-34.8,0,Мыс Шмидта
16,1936-01-16,-38.5,-36.6,-36.2,0,Мыс Шмидта
17,1936-01-17,-37.8,-28.4,-23,0,Мыс Шмидта
18,1936-01-18,-31.5,-30.2,-24.1,0,Мыс Шмидта
19,1936-01-19,-34.5,-32.8,-31.5,0,Мыс Шмидта
20,1936-01-20,-34.6,-33.7,-33.3,0,Мыс Шмидта
21,1936-01-21,-34.7,-31.4,-28.3,0,Мыс Шмидта
22,1936-01-22,-28.6,-27.5,-25.5,0,Мыс Шмидта
23,1936-01-23,-30.1,-27.7,-25.6,0,Мыс Шмидта
24,1936-01-24,-36.9,-34.5,-29.8,0,Мыс Шмидта
25,1936-01-25,-37,-32.6,-30.8,1.2,Мыс Шмидта
26,1936-01-26,-30.8,-25.5,-23.4,0.3,Мыс Шмидта
27,1936-01-27,-31.3,-27.8,-24.4,0.8,Мыс Шмидта
28,1936-01-28,-34.2,-30.5,-27.6,0,Мыс Шмидта
29,1936-01-29,-27.6,-25.1,-23.2,0,Мыс Шмидта
30,1936-01-30,-25.3,-23.7,-23,0,Мыс Шмидта
31,1936-01-31,-25.6,-24.6,-23.9,0,Мыс Шмидта
33,1936-02-01,-32.4,-29.7,-24.5,0,Мыс Шмидта
34,1936-02-02,-30.8,-28.2,-25.1,0.1,Мыс Шмидта
35,1936-02-03,-35.6,-34.2,-30.1,0,Мыс Шмидта
36,1936-02-04,-37.3,-35.2,-34.2,0,Мыс Шмидта
37,1936-02-05,-38.6,-36.1,-34.8,0,Мыс Шмидта
38,1936-02-06,-40.8,-38.9,-36.8,0,Мыс Шмидта
39,1936-02-07,-36.8,-35.1,-34.2,0.1,Мыс Шмидта
40,1936-02-08,-41.2,-38.3,-35,0,Мыс Шмидта
41,1936-02-09,-39.8,-33,-28.2,0,Мыс Шмидта
42,1936-02-10,-39.2,-35.9,-31.8,0,Мыс Шмидта
43,1936-02-11,-37.9,-35.3,-34.6,0,Мыс Шмидта
44,1936-02-12,-37.9,-32.7,-28,0,Мыс Шмидта
45,1936-02-13,-30.6,-24.5,-22.4,0.7,Мыс Шмидта
46,1936-02-14,-30.8,-27,-22.4,0,Мыс Шмидта
47,1936-02-15,-37.9,-33.7,-28.7,0,Мыс Шмидта
48,1936-02-16,-41.6,-38.5,-36,0,Мыс Шмидта
49,1936-02-17,-36,-33.2,-31.2,0,Мыс Шмидта
50,1936-02-18,-35.9,-34,-29.9,0,Мыс Шмидта
51,1936-02-19,-35,-31.9,-28.7,0,Мыс Шмидта
52,1936-02-20,-31.8,-29,-27.5,0,Мыс Шмидта
53,1936-02-21,-38.1,-35.3,-31.5,0,Мыс Шмидта
54,1936-02-22,-40.7,-36.9,-32.5,0,Мыс Шмидта
55,1936-02-23,-32.5,-28.8,-26,0.4,Мыс Шмидта
56,1936-02-24,-32.2,-26.9,-24.6,0,Мыс Шмидта
57,1936-02-25,-29.5,-21.5,-19.3,0,Мыс Шмидта
58,1936-02-26,-29.2,-25.7,-20.4,0,Мыс Шмидта
59,1936-02-27,-30.2,-26.2,-23.4,0,Мыс Шмидта
60,1936-02-28,-24.9,-23.1,-20.5,0,Мыс Шмидта
61,1936-02-29,-26.4,-20.1,-18.5,0,Мыс Шмидта
63,1936-03-01,-26.1,-21.7,-18.9,0.3,Мыс Шмидта
64,1936-03-02,-28.2,-26.6,-25.7,0,Мыс Шмидта
65,1936-03-03,-29.4,-26.7,-24.5,0,Мыс Шмидта
66,1936-03-04,-26.5,-24.6,-23.5,0,Мыс Шмидта
67,1936-03-05,-27,-25.2,-23.4,0,Мыс Шмидта
68,1936-03-06,-29.8,-29,-26.8,0,Мыс Шмидта
69,1936-03-07,-32.2,-29.3,-27.5,0,Мыс Шмидта
70,1936-03-08,-31.6,-26,-19.6,0,Мыс Шмидта
71,1936-03-09,-29.5,-24.8,-21.4,0,Мыс Шмидта
72,1936-03-10,-35.8,-31.5,-24.6,0,Мыс Шмидта
73,1936-03-11,-36.5,-32.4,-27.6,0,Мыс Шмидта
74,1936-03-12,-34.7,-32.2,-29.6,0,Мыс Шмидта
75,1936-03-13,-37,-34.1,-30.1,0,Мыс Шмидта
76,1936-03-14,-38,-33.4,-30.3,0,Мыс Шмидта
77,1936-03-15,-37.3,-32.2,-29.5,0,Мыс Шмидта
78,1936-03-16,-32.8,-31.2,-30,0.4,Мыс Шмидта
79,1936-03-17,-37,-35.3,-31.6,0.4,Мыс Шмидта
80,1936-03-18,-38.5,-34.3,-31.8,0,Мыс Шмидта
81,1936-03-19,-38.1,-35.4,-28.5,0,Мыс Шмидта
82,1936-03-20,-40.5,-34.8,-28.3,0,Мыс Шмидта
83,1936-03-21,-28.3,-25.3,-23.7,1.3,Мыс Шмидта
84,1936-03-22,-27.6,-26.2,-24,0.6,Мыс Шмидта
85,1936-03-23,-27.7,-26.7,-26,1.1,Мыс Шмидта
86,1936-03-24,-31,-28,-25,0.4,Мыс Шмидта
87,1936-03-25,-35.4,-32,-28.5,0,Мыс Шмидта
88,1936-03-26,-36,-32.2,-27.8,0,Мыс Шмидта
89,1936-03-27,-34,-29.7,-25.6,0,Мыс Шмидта
90,1936-03-28,-26.6,-24.2,-22.5,2,Мыс Шмидта
91,1936-03-29,-24.7,-21.5,-19.4,0.9,Мыс Шмидта
92,1936-03-30,-22.7,-20.8,-17.5,2,Мыс Шмидта
93,1936-03-31,-19.8,-15.5,-12.4,0,Мыс Шмидта
95,1936-04-01,-13.5,-11.3,-8.6,0.4,Мыс Шмидта
96,1936-04-02,-15.6,-11.1,-3.2,0,Мыс Шмидта
97,1936-04-03,-14.9,-9.3,-6.6,0,Мыс Шмидта
98,1936-04-04,-10.4,-8.6,-7,0.2,Мыс Шмидта
99,1936-04-05,-12.6,-10,-7.8,0,Мыс Шмидта
100,1936-04-06,-18.9,-16.6,-12.2,0,Мыс Шмидта
101,1936-04-07,-21.5,-18.5,-15,0,Мыс Шмидта
102,1936-04-08,-24.6,-13.6,-6.5,0.3,Мыс Шмидта
103,1936-04-09,-10.9,-9.1,-6.5,0.3,Мыс Шмидта
104,1936-04-10,-14.2,-11.4,-8.5,0,Мыс Шмидта
105,1936-04-11,-18.3,-14.8,-12.3,0,Мыс Шмидта
106,1936-04-12,-20.3,-15.2,-12.3,0,Мыс Шмидта
107,1936-04-13,-18.7,-16.6,-14.5,0.3,Мыс Шмидта
108,1936-04-14,-21.6,-20.3,-18.4,0,Мыс Шмидта
109,1936-04-15,-26.6,-22.1,-18.6,0,Мыс Шмидта
