,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1926-11-14,-0.2,0.2,1,0.2,Нарьян-Мар
2,1926-11-15,-0.2,1,1.1,1,Нарьян-Мар
3,1926-11-16,-0.1,0.2,1.1,6,Нарьян-Мар
4,1926-11-17,-0.7,0.4,0.9,2,Нарьян-Мар
5,1926-11-18,-12.1,-8.8,0,1.5,Нарьян-Мар
6,1926-11-19,-13.5,-9.2,-5.7,2,Нарьян-Мар
7,1926-11-20,-21.4,-12.6,-10,0.6,Нарьян-Мар
8,1926-11-21,-16.4,-13.3,-9.5,0,Нарьян-Мар
9,1926-11-22,-10.5,-7.7,-6,0.2,Нарьян-Мар
10,1926-11-23,-20.9,-18.5,-7.5,0,Нарьян-Мар
11,1926-11-24,-20.1,-11.8,-10.5,0,Нарьян-Мар
12,1926-11-25,-20,-16.7,-5.5,1.2,Нарьян-Мар
13,1926-11-26,-13.5,-5,-1,0.6,Нарьян-Мар
14,1926-11-27,-19,-14.5,-6.3,0,Нарьян-Мар
15,1926-11-28,-24.8,-18.6,-15.5,0,Нарьян-Мар
16,1926-11-29,-33.2,-28.5,-13.5,0,Нарьян-Мар
17,1926-11-30,-32.7,-29.6,-25,0,Нарьян-Мар
19,1926-12-01,-32.2,-29.1,-25,0,Нарьян-Мар
20,1926-12-02,-31.7,-26,-17.3,0,Нарьян-Мар
21,1926-12-03,-25.8,-19.5,-13.8,0,Нарьян-Мар
22,1926-12-04,-23.1,-16.8,-5.5,0,Нарьян-Мар
23,1926-12-05,-23.1,-10,-8,1.5,Нарьян-Мар
24,1926-12-06,-9,-6,-5,4,Нарьян-Мар
25,1926-12-07,-9,-2.1,-0.5,0.2,Нарьян-Мар
26,1926-12-08,-4.8,-3,-1.5,1.7,Нарьян-Мар
27,1926-12-09,-9.5,-2.4,-1.5,0,Нарьян-Мар
28,1926-12-10,-9.5,-6.3,-1.5,0,Нарьян-Мар
29,1926-12-11,-7.9,-6.7,-5.5,0,Нарьян-Мар
30,1926-12-12,-9.5,-6.3,-5.5,0.3,Нарьян-Мар
31,1926-12-13,-10,-7.8,-6,0,Нарьян-Мар
32,1926-12-14,-13.5,-10.8,-7.5,0,Нарьян-Мар
33,1926-12-15,-22.9,-17.9,-9.1,0,Нарьян-Мар
34,1926-12-16,-26.7,-24.2,-20.5,0,Нарьян-Мар
35,1926-12-17,-30.2,-22.6,-20,0,Нарьян-Мар
36,1926-12-18,-26.9,-23.9,-20.4,0.8,Нарьян-Мар
37,1926-12-19,-28.7,-23.8,-18.5,0,Нарьян-Мар
38,1926-12-20,-26.8,-22.5,-17.3,1.2,Нарьян-Мар
39,1926-12-21,-27.7,-19.5,-15,0.1,Нарьян-Мар
40,1926-12-22,-16.9,-11.3,-7,0,Нарьян-Мар
41,1926-12-23,-20.3,-11.1,-3.5,1.6,Нарьян-Мар
42,1926-12-24,-9.6,-1.2,1,3,Нарьян-Мар
43,1926-12-25,-16.4,-13.7,-4.5,0,Нарьян-Мар
44,1926-12-26,-23.9,-20.3,-12.5,0,Нарьян-Мар
45,1926-12-27,-28.3,-25.8,-18.2,0,Нарьян-Мар
46,1926-12-28,-29.7,-27.8,-25,0,Нарьян-Мар
47,1926-12-29,-28.7,-25.8,-22.5,0,Нарьян-Мар
48,1926-12-30,-24.4,-21,-17.6,0.5,Нарьян-Мар
49,1926-12-31,-35.4,-28.5,-23.4,0.4,Нарьян-Мар
51,1927-01-01,-37,-29.2,-21.9,0,Нарьян-Мар
52,1927-01-02,-42.7,-41.1,-36.2,0,Нарьян-Мар
