,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1966-01-01,-26.8,-21,-15.3,0.4,Нижнеудинск
2,1966-01-02,-24.7,-16.8,-10,0.2,Нижнеудинск
3,1966-01-03,-14.8,-9.3,-3.5,0.3,Нижнеудинск
4,1966-01-04,-12.9,-5.8,3.3,0.4,Нижнеудинск
5,1966-01-05,-20.8,-16,-9.7,0,Нижнеудинск
6,1966-01-06,-27,-22,-15,0.3,Нижнеудинск
7,1966-01-07,-18.6,-14.8,-9.4,1.4,Нижнеудинск
8,1966-01-08,-24.3,-19.5,-13,0.2,Нижнеудинск
9,1966-01-09,-29.2,-18.6,-13.1,0.4,Нижнеудинск
10,1966-01-10,-17.6,-14.1,-10.6,0.9,Нижнеудинск
11,1966-01-11,-29.9,-20.4,-12.5,0.8,Нижнеудинск
12,1966-01-12,-30.3,-25,-16.6,0.7,Нижнеудинск
13,1966-01-13,-17.3,-9.2,-6.6,0.5,Нижнеудинск
14,1966-01-14,-20.8,-14.2,-8.3,1.7,Нижнеудинск
15,1966-01-15,-38.3,-33.6,-20.5,0.2,Нижнеудинск
16,1966-01-16,-42.2,-37.9,-33.4,0.4,Нижнеудинск
17,1966-01-17,-44.2,-39.4,-30.5,0.2,Нижнеудинск
18,1966-01-18,-39.8,-34,-26.1,0,Нижнеудинск
19,1966-01-19,-35.4,-30.5,-24.7,0,Нижнеудинск
20,1966-01-20,-38.2,-33.2,-25.9,0,Нижнеудинск
21,1966-01-21,-41,-35.5,-24.8,0,Нижнеудинск
22,1966-01-22,-38.1,-31.7,-21.2,0,Нижнеудинск
23,1966-01-23,-38.3,-32.3,-24.1,0.2,Нижнеудинск
24,1966-01-24,-27.1,-22.2,-18.7,0.6,Нижнеудинск
25,1966-01-25,-30.2,-24.2,-17.5,0.4,Нижнеудинск
26,1966-01-26,-31.6,-20.7,-5.2,0,Нижнеудинск
27,1966-01-27,-17.4,-11.1,-6.7,0.9,Нижнеудинск
28,1966-01-28,-38,-27.2,-17,0,Нижнеудинск
29,1966-01-29,-22.9,-19.5,-15.3,3.2,Нижнеудинск
30,1966-01-30,-28.8,-22.1,-15.2,0.2,Нижнеудинск
31,1966-01-31,-41.3,-30.8,-20.9,0.2,Нижнеудинск
33,1966-02-01,-23.6,-18.3,-12,1.5,Нижнеудинск
34,1966-02-02,-33.9,-26.1,-16.7,0,Нижнеудинск
35,1966-02-03,-26.8,-21.2,-16.5,1.1,Нижнеудинск
