,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1925-01-01,-24.8,-23.2,-21.8,0.1,Николаевск-на-Амуре
2,1925-01-02,-35.8,-30.7,-23.2,0.2,Николаевск-на-Амуре
3,1925-01-03,-35.8,-21.2,-16.8,0.5,Николаевск-на-Амуре
4,1925-01-04,-30.7,-19.2,-15,0.1,Николаевск-на-Амуре
5,1925-01-05,-18.2,-15.7,-13.8,0.4,Николаевск-на-Амуре
6,1925-01-06,-21.7,-15.5,-13.8,0.1,Николаевск-на-Амуре
7,1925-01-07,-20.7,-17.7,-15,0,Николаевск-на-Амуре
8,1925-01-08,-33.5,-25.5,-19.8,0,Николаевск-на-Амуре
9,1925-01-09,-31.3,-26.7,-23.3,0,Николаевск-на-Амуре
10,1925-01-10,-32.8,-29,-23.2,0,Николаевск-на-Амуре
11,1925-01-11,-36.3,-32.3,-29.3,0,Николаевск-на-Амуре
12,1925-01-12,-33.8,-27.2,-24.8,0,Николаевск-на-Амуре
13,1925-01-13,-30.3,-24.5,-20.4,0.2,Николаевск-на-Амуре
14,1925-01-14,-27.9,-18.8,-15,0.7,Николаевск-на-Амуре
15,1925-01-15,-17.2,-14.5,-13,0.2,Николаевск-на-Амуре
16,1925-01-16,-15.7,-13.9,-12.6,0.2,Николаевск-на-Амуре
17,1925-01-17,-22.1,-16.3,-12.3,0.1,Николаевск-на-Амуре
18,1925-01-18,-28,-22.7,-18.3,0,Николаевск-на-Амуре
19,1925-01-19,-32.3,-23.5,-18.8,0,Николаевск-на-Амуре
20,1925-01-20,-32.5,-23.6,-19.6,0,Николаевск-на-Амуре
21,1925-01-21,-29.8,-25.5,-20.5,0,Николаевск-на-Амуре
22,1925-01-22,-29.2,-22.9,-19.4,0,Николаевск-на-Амуре
23,1925-01-23,-26.9,-23,-21,0,Николаевск-на-Амуре
24,1925-01-24,-24.7,-19.3,-16,0.2,Николаевск-на-Амуре
25,1925-01-25,-22.2,-17.6,-13.8,0,Николаевск-на-Амуре
26,1925-01-26,-24.9,-21,-15.3,0,Николаевск-на-Амуре
27,1925-01-27,-32.9,-20,-15.1,0,Николаевск-на-Амуре
28,1925-01-28,-19.7,-14.7,-12.8,0,Николаевск-на-Амуре
29,1925-01-29,-16,-13.8,-12.6,0.2,Николаевск-на-Амуре
30,1925-01-30,-16,-9.5,-3.5,5.1,Николаевск-на-Амуре
31,1925-01-31,-13,-10.2,-3.2,0.3,Николаевск-на-Амуре
33,1925-02-01,-19.7,-10.8,-6,0.4,Николаевск-на-Амуре
34,1925-02-02,-19.1,-15.7,-8.9,0,Николаевск-на-Амуре
35,1925-02-03,-32.7,-23,-16.9,0,Николаевск-на-Амуре
36,1925-02-04,-28.7,-22.4,-17.4,0,Николаевск-на-Амуре
37,1925-02-05,-26.7,-19.8,-16.8,0.2,Николаевск-на-Амуре
38,1925-02-06,-28.7,-22,-17.4,0.4,Николаевск-на-Амуре
39,1925-02-07,-29.7,-26.3,-19.6,0,Николаевск-на-Амуре
40,1925-02-08,-34.2,-25.4,-20.8,0,Николаевск-на-Амуре
41,1925-02-09,-27.2,-18.4,-13.5,0,Николаевск-на-Амуре
42,1925-02-10,-20.1,-18.8,-12.9,0,Николаевск-на-Амуре
43,1925-02-11,-28.7,-22.8,-19.4,0,Николаевск-на-Амуре
44,1925-02-12,-28.4,-23.1,-21.2,0,Николаевск-на-Амуре
45,1925-02-13,-27.6,-22.6,-19.9,0,Николаевск-на-Амуре
46,1925-02-14,-24.6,-22.1,-17.9,0,Николаевск-на-Амуре
47,1925-02-15,-30.9,-21.9,-17.2,0,Николаевск-на-Амуре
48,1925-02-16,-26.1,-21.5,-16.9,0,Николаевск-на-Амуре
49,1925-02-17,-31,-23.9,-18.9,0.2,Николаевск-на-Амуре
50,1925-02-18,-23.3,-14.6,-12.2,0.6,Николаевск-на-Амуре
51,1925-02-19,-15.6,-12.5,-10.1,1.6,Николаевск-на-Амуре
52,1925-02-20,-15.3,-11.7,-9,0.5,Николаевск-на-Амуре
53,1925-02-21,-15.1,-12.7,-9.4,0,Николаевск-на-Амуре
54,1925-02-22,-23.9,-19.3,-13.4,0,Николаевск-на-Амуре
55,1925-02-23,-29.4,-23.5,-20,0,Николаевск-на-Амуре
56,1925-02-24,-30.7,-21.6,-17.4,0,Николаевск-на-Амуре
57,1925-02-25,-31.4,-25.2,-21.2,0,Николаевск-на-Амуре
58,1925-02-26,-30.9,-24.1,-19.4,0,Николаевск-на-Амуре
59,1925-02-27,-33,-22.7,-20,0,Николаевск-на-Амуре
60,1925-02-28,-28.2,-21.1,-14.1,0,Николаевск-на-Амуре
62,1925-03-01,-25.2,-17.6,-12.2,0,Николаевск-на-Амуре
63,1925-03-02,-26.7,-19.1,-13.6,0,Николаевск-на-Амуре
64,1925-03-03,-27.1,-19.7,-15.4,0,Николаевск-на-Амуре
65,1925-03-04,-27.3,-20.3,-14.4,0.2,Николаевск-на-Амуре
66,1925-03-05,-27.3,-22.2,-16.2,0,Николаевск-на-Амуре
67,1925-03-06,-30.3,-23.6,-15.6,0,Николаевск-на-Амуре
68,1925-03-07,-27.7,-21.1,-15,0,Николаевск-на-Амуре
69,1925-03-08,-28.2,-18.6,-15,0.4,Николаевск-на-Амуре
70,1925-03-09,-19.8,-17,-12.8,0,Николаевск-на-Амуре
71,1925-03-10,-26.9,-18.7,-15.6,0,Николаевск-на-Амуре
72,1925-03-11,-22.4,-17.4,-12.8,0,Николаевск-на-Амуре
73,1925-03-12,-29.4,-16.8,-11.7,0,Николаевск-на-Амуре
74,1925-03-13,-14.4,-11.4,-8.4,0.4,Николаевск-на-Амуре
75,1925-03-14,-13.1,-8.4,-5.9,1.6,Николаевск-на-Амуре
76,1925-03-15,-15.4,-8.5,-5,0.2,Николаевск-на-Амуре
77,1925-03-16,-9.7,-4.7,-2.4,3.2,Николаевск-на-Амуре
78,1925-03-17,-5.4,-3.6,-2.4,0.1,Николаевск-на-Амуре
79,1925-03-18,-10.3,-7.1,-2.4,0.4,Николаевск-на-Амуре
80,1925-03-19,-13.2,-7.9,-3.9,0,Николаевск-на-Амуре
81,1925-03-20,-16.8,-11.6,-6.8,0,Николаевск-на-Амуре
82,1925-03-21,-21.4,-16.8,-11.8,0,Николаевск-на-Амуре
83,1925-03-22,-25.4,-15.3,-10.6,0,Николаевск-на-Амуре
84,1925-03-23,-26.4,-16.2,-8,0,Николаевск-на-Амуре
85,1925-03-24,-23.8,-14.8,-9.5,0,Николаевск-на-Амуре
86,1925-03-25,-28.3,-18.6,-10.9,0,Николаевск-на-Амуре
87,1925-03-26,-23.2,-16.2,-12.4,0,Николаевск-на-Амуре
88,1925-03-27,-23,-13.5,-8.4,0,Николаевск-на-Амуре
89,1925-03-28,-21.4,-11.2,-5.6,0,Николаевск-на-Амуре
90,1925-03-29,-19,-9.4,-1,0,Николаевск-на-Амуре
91,1925-03-30,-15,-8.8,-1.4,0,Николаевск-на-Амуре
92,1925-03-31,-13.4,-7.4,-0.6,0,Николаевск-на-Амуре
94,1925-04-01,-15.2,-7.3,-4.3,0,Николаевск-на-Амуре
95,1925-04-02,-7.5,-0.9,2.5,0.9,Николаевск-на-Амуре
96,1925-04-03,-11.9,-8.3,-0.1,0.3,Николаевск-на-Амуре
97,1925-04-04,-13.5,-8.1,-6.8,4.4,Николаевск-на-Амуре
98,1925-04-05,-9.9,-5.9,-4.2,5.1,Николаевск-на-Амуре
99,1925-04-06,-10.4,-6.5,-4.6,1.5,Николаевск-на-Амуре
100,1925-04-07,-14.8,-8.3,-3.4,2,Николаевск-на-Амуре
101,1925-04-08,-13.4,-5.7,-0.2,0,Николаевск-на-Амуре
102,1925-04-09,-14,-8.3,-1.1,0,Николаевск-на-Амуре
103,1925-04-10,-15.3,-8.5,-5.6,0,Николаевск-на-Амуре
104,1925-04-11,-10.6,-0.6,4.6,0,Николаевск-на-Амуре
105,1925-04-12,-6.3,-3.9,1.3,0.4,Николаевск-на-Амуре
106,1925-04-13,-13.9,-5.1,2.5,0,Николаевск-на-Амуре
107,1925-04-14,-11.6,-4.6,1,0,Николаевск-на-Амуре
108,1925-04-15,-7.9,-2.7,1.6,0,Николаевск-на-Амуре
109,1925-04-16,-8.2,-1.3,4.1,0,Николаевск-на-Амуре
110,1925-04-17,-4.7,0.3,4.5,0,Николаевск-на-Амуре
111,1925-04-18,-3.2,0.8,2.7,0,Николаевск-на-Амуре
112,1925-04-19,0.6,3,4.5,0,Николаевск-на-Амуре
113,1925-04-20,0.1,2.6,8.4,0,Николаевск-на-Амуре
114,1925-04-21,-5.3,-0.1,5,0.7,Николаевск-на-Амуре
115,1925-04-22,-9.9,-2.1,3,0,Николаевск-на-Амуре
116,1925-04-23,-10,-0.1,3.7,0,Николаевск-на-Амуре
117,1925-04-24,-1.8,2,6,0,Николаевск-на-Амуре
118,1925-04-25,-1.7,2.8,5.6,0,Николаевск-на-Амуре
119,1925-04-26,-2.7,2.1,4.9,8.8,Николаевск-на-Амуре
120,1925-04-27,-1.7,0.5,4,1.4,Николаевск-на-Амуре
121,1925-04-28,-6,3.2,12.5,0,Николаевск-на-Амуре
122,1925-04-29,0.2,2.4,6.2,0,Николаевск-на-Амуре
123,1925-04-30,-0.9,1.1,4.9,0,Николаевск-на-Амуре
125,1925-05-01,0.5,1.5,5.1,0,Николаевск-на-Амуре
126,1925-05-02,-0.1,1.5,4.2,0,Николаевск-на-Амуре
127,1925-05-03,-1.3,1.1,5.6,0,Николаевск-на-Амуре
128,1925-05-04,-0.5,3,7.5,0,Николаевск-на-Амуре
129,1925-05-05,0.4,2.6,5.2,2.2,Николаевск-на-Амуре
130,1925-05-06,-1.4,1.8,5.8,0,Николаевск-на-Амуре
131,1925-05-07,-4.7,3.7,10.9,0,Николаевск-на-Амуре
132,1925-05-08,-3.5,2.8,6.8,0,Николаевск-на-Амуре
133,1925-05-09,-3.6,0.2,5,0,Николаевск-на-Амуре
134,1925-05-10,0.2,2.5,5.1,0,Николаевск-на-Амуре
135,1925-05-11,-0.7,3.1,6.9,2.7,Николаевск-на-Амуре
136,1925-05-12,-0.7,1.8,6.5,0,Николаевск-на-Амуре
137,1925-05-13,-1.9,1.9,8.5,0,Николаевск-на-Амуре
138,1925-05-14,-2.4,5,8.4,0.1,Николаевск-на-Амуре
139,1925-05-15,3.3,5.4,7.3,2.6,Николаевск-на-Амуре
140,1925-05-16,2.3,8.7,15,0,Николаевск-на-Амуре
141,1925-05-17,0.4,8,15.4,0,Николаевск-на-Амуре
142,1925-05-18,3.3,8,12.4,0,Николаевск-на-Амуре
143,1925-05-19,3.3,5,8.9,0,Николаевск-на-Амуре
144,1925-05-20,1.1,5.8,9.6,0,Николаевск-на-Амуре
145,1925-05-21,1.9,6.5,10.7,0,Николаевск-на-Амуре
146,1925-05-22,5.6,11,15.2,0,Николаевск-на-Амуре
147,1925-05-23,6.6,10.7,15,0,Николаевск-на-Амуре
148,1925-05-24,2.4,7.7,12.9,0,Николаевск-на-Амуре
149,1925-05-25,3.3,8.3,14.5,0,Николаевск-на-Амуре
150,1925-05-26,-2.7,8.2,13.4,0,Николаевск-на-Амуре
151,1925-05-27,4.7,11.4,16.3,0,Николаевск-на-Амуре
152,1925-05-28,7.7,13,19,0,Николаевск-на-Амуре
153,1925-05-29,8.4,17.1,29.2,0,Николаевск-на-Амуре
154,1925-05-30,8.3,14.9,25.6,0,Николаевск-на-Амуре
155,1925-05-31,8.5,13.2,16.7,0,Николаевск-на-Амуре
157,1925-07-01,7.5,9.3,11,0,Николаевск-на-Амуре
158,1925-07-02,7.8,11.5,13.8,0,Николаевск-на-Амуре
159,1925-07-03,9.4,11.7,15.5,0,Николаевск-на-Амуре
160,1925-07-04,9.2,17,20.4,0,Николаевск-на-Амуре
161,1925-07-05,11.8,15,16.1,0,Николаевск-на-Амуре
162,1925-07-06,10.1,13.4,14.4,0,Николаевск-на-Амуре
163,1925-07-07,10.1,12.9,14,0,Николаевск-на-Амуре
164,1925-07-08,11.2,13.4,16.5,0,Николаевск-на-Амуре
165,1925-07-09,9.2,13.8,18,0,Николаевск-на-Амуре
166,1925-07-10,13,17.3,23.4,5.6,Николаевск-на-Амуре
167,1925-07-11,9.7,11.3,15.5,0,Николаевск-на-Амуре
168,1925-07-12,9.9,15.1,19.1,0,Николаевск-на-Амуре
169,1925-07-13,6.3,17.7,25,0,Николаевск-на-Амуре
170,1925-07-14,7.9,17.3,18.1,0,Николаевск-на-Амуре
171,1925-07-15,10.1,16.7,17.8,0,Николаевск-на-Амуре
172,1925-07-16,10,15.8,18.8,0,Николаевск-на-Амуре
173,1925-07-17,10.5,18.5,22.4,0,Николаевск-на-Амуре
174,1925-07-18,13.5,18,22,0,Николаевск-на-Амуре
175,1925-07-19,14.7,19.9,23.7,0,Николаевск-на-Амуре
176,1925-07-20,18.5,22.9,31.5,0,Николаевск-на-Амуре
177,1925-07-21,16.2,22.7,30.9,0,Николаевск-на-Амуре
178,1925-07-22,11.2,17.8,22.3,12.3,Николаевск-на-Амуре
179,1925-07-23,9.2,11.4,19,0,Николаевск-на-Амуре
180,1925-07-24,4.8,16.5,22.9,0,Николаевск-на-Амуре
181,1925-07-25,11.5,21.2,27.9,0,Николаевск-на-Амуре
182,1925-07-26,16.4,21.2,23.5,3.1,Николаевск-на-Амуре
183,1925-07-27,16.7,20.4,22.6,0,Николаевск-на-Амуре
184,1925-07-28,17.8,18.8,21.6,3.8,Николаевск-на-Амуре
185,1925-07-29,17.4,19.4,20.8,0,Николаевск-на-Амуре
186,1925-07-30,17.6,22.1,24.4,3.3,Николаевск-на-Амуре
187,1925-07-31,16.3,18.3,24.1,0,Николаевск-на-Амуре
189,1925-08-01,7.9,18.7,24.7,0,Николаевск-на-Амуре
190,1925-08-02,13.8,23.3,28.8,0,Николаевск-на-Амуре
191,1925-08-03,12.3,19.7,24.7,0.4,Николаевск-на-Амуре
192,1925-08-04,6.7,16.5,22.6,0,Николаевск-на-Амуре
193,1925-08-05,9.1,18.8,23.6,0,Николаевск-на-Амуре
194,1925-08-06,10.7,21.1,25.5,0,Николаевск-на-Амуре
195,1925-08-07,17.6,19.4,21.2,6.9,Николаевск-на-Амуре
196,1925-08-08,10.7,13.7,20,2.9,Николаевск-на-Амуре
197,1925-08-09,10.6,13.7,21,0,Николаевск-на-Амуре
198,1925-08-10,9.6,19,24.8,0,Николаевск-на-Амуре
199,1925-08-11,13.6,20.7,25.6,0,Николаевск-на-Амуре
200,1925-08-12,17.2,20,23.2,0,Николаевск-на-Амуре
201,1925-08-13,14.8,20.3,24.9,8.3,Николаевск-на-Амуре
202,1925-08-14,14.1,15.3,18.3,0,Николаевск-на-Амуре
203,1925-08-15,12.3,15.4,18.2,0,Николаевск-на-Амуре
204,1925-08-16,13.2,15.3,16.2,0.3,Николаевск-на-Амуре
205,1925-08-17,13.9,16.4,18.7,0,Николаевск-на-Амуре
206,1925-08-18,14.3,16.9,17.9,73.9,Николаевск-на-Амуре
207,1925-08-19,14.3,18,20.7,6.3,Николаевск-на-Амуре
208,1925-08-20,12.1,13.7,15.6,0,Николаевск-на-Амуре
209,1925-08-21,11.7,14.7,22,0,Николаевск-на-Амуре
210,1925-08-22,12.7,16.4,20.2,0,Николаевск-на-Амуре
211,1925-08-23,7.3,17.6,23.9,0,Николаевск-на-Амуре
212,1925-08-24,8.8,18.3,21.4,0,Николаевск-на-Амуре
213,1925-08-25,13.5,16.7,19,0,Николаевск-на-Амуре
214,1925-08-26,12,14.3,19.1,0,Николаевск-на-Амуре
215,1925-08-27,9.2,15.2,17.8,0,Николаевск-на-Амуре
216,1925-08-28,12.6,16.3,20,0,Николаевск-на-Амуре
217,1925-08-29,12.7,14.9,17.1,0,Николаевск-на-Амуре
218,1925-08-30,8.7,16.2,19.9,2.9,Николаевск-на-Амуре
219,1925-08-31,13.5,17.2,21.7,3,Николаевск-на-Амуре
221,1925-09-01,6.9,12.1,17.2,0,Николаевск-на-Амуре
222,1925-09-02,4.6,10.8,14.1,1.8,Николаевск-на-Амуре
223,1925-09-03,7,11.9,17,0,Николаевск-на-Амуре
224,1925-09-04,3.5,13.9,20.8,0,Николаевск-на-Амуре
225,1925-09-05,5.7,16.9,20.7,0,Николаевск-на-Амуре
226,1925-09-06,11.9,18.9,25.2,3.2,Николаевск-на-Амуре
227,1925-09-07,13.6,16.4,21.6,0,Николаевск-на-Амуре
228,1925-09-08,7.7,13.2,17.8,0,Николаевск-на-Амуре
229,1925-09-09,6,13.2,18.2,1.9,Николаевск-на-Амуре
230,1925-09-10,4.5,8.1,15,0,Николаевск-на-Амуре
231,1925-09-11,-1.2,11.4,18.7,0,Николаевск-на-Амуре
232,1925-09-12,1.9,14.3,18.8,0,Николаевск-на-Амуре
233,1925-09-13,10.8,13.3,15.5,0,Николаевск-на-Амуре
234,1925-09-14,3.5,10.1,17.2,0,Николаевск-на-Амуре
235,1925-09-15,4.1,9.9,16.5,0,Николаевск-на-Амуре
236,1925-09-16,-0.3,10.3,17.7,0,Николаевск-на-Амуре
237,1925-09-17,2.1,13.6,17.8,0,Николаевск-на-Амуре
238,1925-09-18,9.7,14.6,17.2,0,Николаевск-на-Амуре
239,1925-09-19,8.8,13.1,16,0,Николаевск-на-Амуре
240,1925-09-20,6.7,11.2,14.8,0,Николаевск-на-Амуре
241,1925-09-21,1.6,9.5,14.7,0,Николаевск-на-Амуре
242,1925-09-22,3.7,8.4,14.8,0,Николаевск-на-Амуре
243,1925-09-23,-0.1,10.3,17,0,Николаевск-на-Амуре
244,1925-09-24,3.7,8.6,13.1,0,Николаевск-на-Амуре
245,1925-09-25,1.3,10.6,14.2,0.4,Николаевск-на-Амуре
246,1925-09-26,9.8,11.3,12.8,1.3,Николаевск-на-Амуре
247,1925-09-27,9,10.9,12.7,0,Николаевск-на-Амуре
248,1925-09-28,8,10.5,12.7,10.2,Николаевск-на-Амуре
249,1925-09-29,2.4,6.9,13.9,0,Николаевск-на-Амуре
250,1925-09-30,1.3,7.9,11.7,0,Николаевск-на-Амуре
252,1925-10-01,2.2,7.3,14.3,0,Николаевск-на-Амуре
253,1925-10-02,-0.8,5.5,13.7,0,Николаевск-на-Амуре
254,1925-10-03,-2.2,6.6,14.9,0,Николаевск-на-Амуре
255,1925-10-04,-2.2,8,15.1,0.8,Николаевск-на-Амуре
256,1925-10-05,3.8,9.4,15.7,0,Николаевск-на-Амуре
257,1925-10-06,-0.2,5.8,7.8,17.2,Николаевск-на-Амуре
258,1925-10-07,-2.4,2.6,9.3,0,Николаевск-на-Амуре
259,1925-10-08,-6.2,2.2,13.2,0,Николаевск-на-Амуре
260,1925-10-09,-3,2.4,5.9,0,Николаевск-на-Амуре
261,1925-10-10,-2.4,2.6,8,0,Николаевск-на-Амуре
262,1925-10-11,-0.7,3,8.8,18,Николаевск-на-Амуре
263,1925-10-12,-2,2.9,7.4,0,Николаевск-на-Амуре
264,1925-10-13,-2.9,3.4,7.8,0,Николаевск-на-Амуре
265,1925-10-14,-1.7,2.6,7,0,Николаевск-на-Амуре
266,1925-10-15,-4,1.3,4.3,0,Николаевск-на-Амуре
267,1925-10-16,-1.7,3.6,7.7,0,Николаевск-на-Амуре
268,1925-10-17,-0.4,7.2,15.3,0,Николаевск-на-Амуре
269,1925-10-18,1.7,5.4,14.6,3.4,Николаевск-на-Амуре
270,1925-10-19,-5.7,-0.2,5,0,Николаевск-на-Амуре
271,1925-10-20,-6.2,0.7,2.8,10.9,Николаевск-на-Амуре
272,1925-10-21,0.3,5,7.7,10.5,Николаевск-на-Амуре
273,1925-10-22,-6.2,-1,3.8,0.8,Николаевск-на-Амуре
274,1925-10-23,-5.2,-4,-0.9,0,Николаевск-на-Амуре
275,1925-10-24,-9.7,-5.7,-3.3,0,Николаевск-на-Амуре
276,1925-10-25,-7.2,-4.6,-2.8,0,Николаевск-на-Амуре
277,1925-10-26,-7.9,-3.7,4.5,0,Николаевск-на-Амуре
278,1925-10-27,-4.7,-0.4,2.6,1.7,Николаевск-на-Амуре
279,1925-10-28,-5.7,-3.3,-2.2,0,Николаевск-на-Амуре
280,1925-10-29,-7.2,-3.5,0.2,0,Николаевск-на-Амуре
281,1925-10-30,-5.8,-3.7,-1,0,Николаевск-на-Амуре
282,1925-10-31,-5.2,-2.5,-1.3,13,Николаевск-на-Амуре
284,1925-11-01,-6.7,-3.1,-0.9,0,Николаевск-на-Амуре
285,1925-11-02,-6.7,-4.4,-3.1,0.4,Николаевск-на-Амуре
286,1925-11-03,-6.2,-4,-2.6,0,Николаевск-на-Амуре
287,1925-11-04,-6.8,-4.9,-2.4,0,Николаевск-на-Амуре
288,1925-11-05,-6.9,-5.3,-3.9,0,Николаевск-на-Амуре
289,1925-11-06,-7.2,-4.9,-3.6,0.1,Николаевск-на-Амуре
290,1925-11-07,-6.2,-4,-2.1,0,Николаевск-на-Амуре
291,1925-11-08,-5.2,-3.4,0,0,Николаевск-на-Амуре
292,1925-11-09,-12.2,-6.6,-2.6,0,Николаевск-на-Амуре
293,1925-11-10,-13.9,-9.4,-5.3,0,Николаевск-на-Амуре
294,1925-11-11,-16.3,-11.4,-6.6,0,Николаевск-на-Амуре
295,1925-11-12,-22.1,-12.6,-8,0,Николаевск-на-Амуре
296,1925-11-13,-17.6,-11.3,-7.6,0,Николаевск-на-Амуре
297,1925-11-14,-19.1,-10.8,-4.6,0,Николаевск-на-Амуре
298,1925-11-15,-15.1,-4.3,-0.5,3.6,Николаевск-на-Амуре
299,1925-11-16,-3.7,-1.4,1.4,0.2,Николаевск-на-Амуре
