,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1933-06-01,7.9,13.6,18,3.1,Норск
2,1933-06-02,9.7,12.1,15,1.4,Норск
3,1933-06-03,8.5,15.6,20.5,0,Норск
4,1933-06-04,7.6,16.6,22.9,0.4,Норск
5,1933-06-05,7,10.3,15.8,0,Норск
6,1933-06-06,1.7,9.1,14,0,Норск
7,1933-06-07,-0.4,13.1,21.2,0,Норск
8,1933-06-08,9.8,14.6,21.3,0,Норск
9,1933-06-09,2.8,20.5,27.9,0,Норск
10,1933-06-10,13.2,19.7,26.1,0,Норск
11,1933-06-11,7.3,22.7,29.1,0,Норск
12,1933-06-12,12.1,23.2,31,0,Норск
13,1933-06-13,14.8,22.1,27.4,4.3,Норск
14,1933-06-14,12.4,16.8,20.6,1.1,Норск
15,1933-06-15,9.7,18.3,24.5,0,Норск
16,1933-06-16,14.8,19.7,25.6,0,Норск
17,1933-06-17,10.2,19.3,25.3,0,Норск
18,1933-06-18,6.2,20,25.8,0,Норск
19,1933-06-19,10.9,21.6,29.1,0,Норск
20,1933-06-20,9,22.2,29.6,0,Норск
21,1933-06-21,5.8,20.1,29,0,Норск
22,1933-06-22,6.7,22.1,30.4,1.4,Норск
23,1933-06-23,12.3,21.6,30.6,0,Норск
24,1933-06-24,11.3,22.3,30.8,7.1,Норск
25,1933-06-25,12.1,18.9,24.6,3.1,Норск
26,1933-06-26,14.4,20,25.3,0,Норск
27,1933-06-27,10.2,19.3,23.9,0,Норск
28,1933-06-28,9.3,20.8,27,0,Норск
29,1933-06-29,10.6,21.4,27.7,0,Норск
30,1933-06-30,15.3,22.9,27.5,0,Норск
32,1933-07-01,12.4,23.4,30.3,0,Норск
33,1933-07-02,12.3,24.6,31.7,0,Норск
34,1933-07-03,12.3,23.4,30,0,Норск
35,1933-07-04,13.3,21.9,29.1,0,Норск
36,1933-07-05,16.1,23.3,30,4.4,Норск
37,1933-07-06,17.3,23.2,29.2,0,Норск
38,1933-07-07,13.2,23.5,30.8,0,Норск
39,1933-07-08,15.3,23.3,29.1,2.2,Норск
40,1933-07-09,16.5,22.6,28.3,0,Норск
41,1933-07-10,9.9,23.4,30.5,6.9,Норск
42,1933-07-11,19.1,23.1,24.6,11.1,Норск
43,1933-07-12,18.1,20.6,24.2,10.6,Норск
44,1933-07-13,13.6,16.4,20.6,4.4,Норск
45,1933-07-14,13.4,19.1,25,0,Норск
46,1933-07-15,13.2,21.1,27.8,0,Норск
47,1933-07-16,18.3,19.5,23.3,20.3,Норск
48,1933-07-17,15.1,19,23.3,0.1,Норск
49,1933-07-18,13.8,18.2,24.1,0,Норск
50,1933-07-19,11.6,17.1,20.5,32.7,Норск
51,1933-07-20,13.8,16.1,20.1,0,Норск
52,1933-07-21,12.6,18.8,25.2,0,Норск
53,1933-07-22,11.3,20.3,27,3,Норск
54,1933-07-23,9.7,17.3,22.6,0,Норск
55,1933-07-24,6.5,15.9,22.5,0.2,Норск
56,1933-07-25,5.2,17.5,24.3,0,Норск
57,1933-07-26,9.2,22.2,27.8,0,Норск
58,1933-07-27,14.8,17.1,22.3,6.6,Норск
59,1933-07-28,10.6,11.9,16.5,0,Норск
60,1933-07-29,7.9,14.5,21.6,0,Норск
61,1933-07-30,12.5,20.3,28.3,0,Норск
62,1933-07-31,14.4,21.5,28.5,0,Норск
64,1933-08-01,14.3,22.1,26.8,2.3,Норск
65,1933-08-02,19,19.8,20.9,26,Норск
66,1933-08-03,18.9,21.2,28.9,14.8,Норск
67,1933-08-04,15.3,19.8,25.6,14.3,Норск
68,1933-08-05,15.1,17.1,20.2,0.5,Норск
69,1933-08-06,12.4,17.1,22.9,0,Норск
70,1933-08-07,11.2,18.5,24.9,0,Норск
71,1933-08-08,9.8,18.4,25.7,56.8,Норск
72,1933-08-09,13.8,15.8,18,11.9,Норск
73,1933-08-10,12.4,14.4,18.7,0,Норск
74,1933-08-11,12,15.8,22,0,Норск
75,1933-08-12,10.8,17.1,23.2,0,Норск
76,1933-08-13,10.8,17.7,24,0,Норск
77,1933-08-14,11.9,17.7,23.7,12.2,Норск
78,1933-08-15,13.2,15,18.6,6.2,Норск
79,1933-08-16,13.5,15.4,17.4,15.1,Норск
80,1933-08-17,14.5,16.8,22,0,Норск
81,1933-08-18,14.4,16.9,21.5,0,Норск
82,1933-08-19,12,16.6,22.4,0,Норск
83,1933-08-20,10.9,17.5,24.4,0,Норск
84,1933-08-21,10,18.4,26.9,0,Норск
85,1933-08-22,10.5,18.7,26.5,0,Норск
86,1933-08-23,12,17,21.3,0,Норск
87,1933-08-24,13.2,18.2,25.4,10.7,Норск
88,1933-08-25,13.6,15.6,17.9,13,Норск
89,1933-08-26,8.5,15.6,20.9,0.1,Норск
90,1933-08-27,7.8,13.9,18.5,3.1,Норск
91,1933-08-28,10.6,14.1,20.2,5.6,Норск
92,1933-08-29,6.1,13.1,21.7,0,Норск
93,1933-08-30,5.4,15,21.4,4.4,Норск
94,1933-08-31,12.7,15,20.8,5.3,Норск
96,1933-09-01,13.1,15,20,1.8,Норск
97,1933-09-02,10.6,15.7,20.4,0,Норск
98,1933-09-03,9.9,14.6,22.3,0,Норск
99,1933-09-04,8.5,15.3,23.6,1.5,Норск
100,1933-09-05,8.2,11,14.2,0.6,Норск
101,1933-09-06,5.2,10,17.6,0,Норск
102,1933-09-07,0.4,10.5,19.4,0,Норск
103,1933-09-08,1.4,11.3,20.9,0,Норск
104,1933-09-09,2.2,12.9,22.9,0,Норск
105,1933-09-10,2.9,12.7,22,3.5,Норск
106,1933-09-11,8,12.3,19.8,0,Норск
107,1933-09-12,7.4,13,17.2,25.6,Норск
108,1933-09-13,6.8,12,17.7,0.7,Норск
109,1933-09-14,3.5,10,16.4,0,Норск
110,1933-09-15,6.4,11.2,17.5,0,Норск
111,1933-09-16,5.1,10.5,15.1,0,Норск
112,1933-09-17,5.4,10.2,17.2,0,Норск
113,1933-09-18,1.4,11.3,19.9,0,Норск
114,1933-09-19,8.8,16.1,23.4,0,Норск
115,1933-09-20,10.1,13.8,17,0,Норск
116,1933-09-21,9,13.6,19.5,0,Норск
117,1933-09-22,4.8,10.2,15.5,0,Норск
118,1933-09-23,5.1,9.2,16.5,0,Норск
